"","x"
"矮冬青",161
"八角枫",43
"白桂木",319
"白花苦灯笼",479
"白花龙",208
"白蜡树",63
"薄叶山矾",5
"扁担杆",1
"变叶榕",39
"伯乐树",53
"茶",7
"豺皮樟",11
"常绿荚蒾",2
"常山",1
"潮州山矾",1
"沉水樟",3
"赤楠",16
"赤杨叶",406
"川杨桐",226
"粗糠柴",178
"粗叶榕",48
"大果木姜子",83
"大叶臭花椒",22
"大叶桂樱",2
"大叶新木姜子",2
"滇粤山胡椒",2
"吊钟花",3
"鼎湖血桐",7
"冬青",13
"短梗大参",4885
"短梗幌伞枫",19
"短序润楠",3
"多花山竹子",166
"二列叶柃",1591
"二色波罗蜜",2
"翻白叶树",14
"芬芳安息香",58
"枫香",28
"钩毛紫珠",11
"狗骨柴",757
"谷木叶冬青",167
"观光木",35
"光叶海桐",82
"光叶红豆",4
"光叶山矾",21
"广东冬青",353
"广东琼楠",233
"海红豆",14
"褐毛杜英",1283
"黑面神",32
"红淡比",41
"红鳞蒲桃",899
"红锥",479
"猴欢喜",607
"厚皮香",16
"厚叶冬青",2
"虎皮楠",312
"华杜英",513
"华南桂",1821
"华南木姜子",1
"华南蒲桃",1
"华南青皮木",211
"华南云实",1
"华南皂荚",1
"华润楠",4846
"黄丹木姜子",1291
"黄花倒水莲",1
"黄梨木",63
"黄毛冬青",151
"黄牛奶树",134
"黄杞",150
"黄绒润楠",903
"黄檀",3
"黄樟",1387
"灰毛大青",1
"鸡仔木",125
"檵木",47
"尖脉木姜子",1
"金叶含笑",12
"栲",1543
"柯",131
"蓝果树",27
"老鼠矢",198
"乐昌含笑",1
"雷公鹅耳枥",1
"黧蒴锥",2
"楝",63
"两广梭罗",1
"亮叶猴耳环",182
"亮叶桦",9
"橉木",9
"岭南山茉莉",221
"柳叶杜茎山",1
"罗浮柿",2685
"罗浮锥",1272
"椤木石楠",298
"毛冬青",1137
"毛狗骨柴",403
"毛果巴豆",488
"毛山矾",82
"毛柿",11
"毛桐",4
"毛叶冬青",6
"米槠",16073
"密花山矾",80
"密花树",557
"闽楠",913
"木荷",2753
"木姜润楠",355
"木姜叶柯",1389
"南酸枣",236
"南烛",50
"牛耳枫",211
"刨花润楠",51
"枇杷叶紫珠",140
"朴树",28
"千年桐",493
"茜树",644
"青冈",36
"青檀",2
"全缘桂樱",40
"全缘火棘",5
"日本杜英",172
"绒毛润楠",15
"榕叶冬青",294
"肉花卫矛",4
"软荚红豆",12
"锐尖山香圆",499
"三花冬青",409
"三尖杉",3
"山苍子",39
"山矾",199
"山桂花",82
"山黄麻",2
"山橘",15
"山牡荆",14
"山乌桕",63
"山血丹",1
"杉木",31
"珊瑚树",58
"深山含笑",280
"石笔木",34
"鼠刺",2022
"树参",425
"栓叶安息香",1872
"水团花",100
"穗序鹅掌柴",10
"台湾冬青",1223
"台湾榕",91
"台湾相思",1
"桃叶石楠",116
"天料木",53
"铁冬青",14
"秃瓣杜英",5
"弯蒴杜鹃",2809
"微毛柃",942
"微毛山矾",1
"尾叶樱桃",9
"蚊母树",12
"乌材",9
"乌药",20
"五列木",1
"细叶台湾榕",7
"细枝柃",4574
"细轴荛花",1
"显脉新木姜子",123
"腺毛泡花树",30
"腺叶桂樱",27
"香港四照花",868
"香港鹰爪花",1
"香皮树",2789
"小果冬青",8
"小果山龙眼",318
"小腊",7
"小叶石楠",59
"小叶五月茶",2208
"锈叶新木姜子",89
"鸭公树",8023
"鸭脚木",4
"延平柿",1
"盐肤木",3
"杨梅",14
"野漆树",13
"野柿",120
"野鸦椿",1
"异株木樨榄",6
"阴香",257
"映山红",9
"硬壳桂",5
"硬壳柯",12
"油茶",527
"油桐",39
"越南山矾",3364
"云和新木姜子",788
"云南越桔",2
"柞木",2
"樟叶槭",369
"长花厚壳树",228
"栀子",115
"枳椇",9
"中华石楠",33
"钟花樱桃",5
"竹叶榕",1
"子凌蒲桃",79
"紫麻",37
"紫楠",1052
