"","allsp","","","","","","","","","abund"
"1","Èý¼âÉ¼","1.33997131737277","0.834835908738365","0.802268100032557","0.899196995582939","0.900122543989271","0.88542855330792","0.868630506971875","0.87961365002982","3"
"2","Èý»¨¶¬Çà","0.916186882189089","0.897947798281418","0.910761349171913","0.911615504823764","0.920166784535486","0.9193365717241","0.91931789061541","0.921232676561574","409"
"3","Á½¹ãËóÂÞ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ÖÐ»ªÊ¯éª","0.695228013327191","0.793805585000214","0.820233388434682","0.795090973402447","0.812066587574715","0.830138985579278","0.842354780176506","0.865568819408073","33"
"5","ÎÚ²Ä","1.17050152105116","0.995393443536487","1.12034042801314","1.11790862436213","1.07678465530946","1.05032516233767","1.01548346884241","1.02506715876625","9"
"6","ÎÚÒ©","0.75953236523297","0.975975611082885","0.972798598526267","0.924236468310253","0.928718496264106","0.941883884719692","0.945312999568336","0.946289657273149","20"
"7","ÀÖ²ýº¬Ð¦",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","¶þÁÐÒ¶èÚ","0.888711349100225","0.872546552433231","0.872581549301379","0.871511316406431","0.871868548784859","0.871243268375683","0.876620352050754","0.881097653333266","1591"
"9","¶þÉ«²¨ÂÞÃÛ","0.462228316569394","1.12080839146736","1.13223415672151","1.2373933626484","1.28451456072647","1.23739765766765","1.18650558764526","1.14384303832565","2"
"10","ÔÆÄÏÔ½½Û","1.6507703595011","1.29496977486825","1.35311969920174","1.24539664474778","1.23120041753153","1.20398081382633","1.17121844999112","1.16437191189699","2"
"11","ÔÆºÍÐÂÄ¾½ª×Ó","0.970508776232379","1.00781346908584","1.01830207819794","1.02440043338529","1.03065137923744","1.03102617570028","1.03535231984777","1.03688162528172","788"
"12","ÎåÁÐÄ¾",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ÁÁÒ¶èë","1.85881612160859","1.36330166598409","1.54575593679718","1.50271141964977","1.36367331743473","1.32024980610803","1.25980864644585","1.19973030845136","9"
"14","ÁÁÒ¶ºï¶ú»·","0.931119669024529","0.976703854237345","0.969353607248905","0.984260910506561","0.996868419383921","1.00073711292934","1.00516591075919","1.0137981709721","182"
"15","²®ÀÖÊ÷","0.980416841415061","0.946841327076537","0.913555376417256","0.896698765147816","0.882846130150973","0.882884722972193","0.885935549785953","0.890859169253305","53"
"16","¹âÒ¶É½·¯","0.782614662984911","0.96896807997929","1.04831358479146","1.02199371008549","1.01655259473623","1.0370603780788","1.03557141849481","1.03466600805456","21"
"17","¹âÒ¶º£Í©","0.916722766275621","0.86339967203941","0.879068435009169","0.887016454723404","0.886095966836506","0.889667256341261","0.892227036085984","0.898918016389889","82"
"18","¹âÒ¶ºì¶¹","0.922267516885582","0.754197301417351","0.767091335820316","0.693023189701782","0.752374309235469","0.794187282078894","0.844191165065852","0.858065995661676","4"
"19","È«Ôµ¹ðÓ£","1.17401126503725","1.15126195103081","1.16922681702813","1.13074340864373","1.12074213650655","1.11533649321332","1.09981217361344","1.09911693994814","40"
"20","È«Ôµ»ð¼¬","1.60351165873176","1.40151785485482","1.2141319798536","1.1663439477506","1.11236358882398","1.07084308303554","1.04582545784423","1.04480871255485","5"
"21","°Ë½Ç·ã","1.04425169071848","0.983691857371463","1.01108674056307","1.03309908216636","1.03761293408368","1.03666712842912","1.03074402987668","1.02610182386632","43"
"22","¶¬Çà","0.750906416662879","0.836040662429392","0.82991241236746","0.843193808479561","0.856717797188862","0.843108224963166","0.83897730911132","0.84084376955432","13"
"23","ÅÙ»¨Èóéª","1.06302839135853","1.03148006900507","0.978828525437235","1.00357208029077","1.01609243162729","1.01797921231867","1.01879871250887","1.01932633034067","51"
"24","Ç§ÄêÍ©","1.07030891389854","1.05636296295213","1.05951004941214","1.05849321168645","1.05098152527712","1.04931122454042","1.04757733347769","1.04587683677831","493"
"25","»ªÄÏÔÆÊµ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","»ªÄÏÄ¾½ª×Ó",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","»ªÄÏ¹ð","0.854558001772284","0.895978812276125","0.916794216744151","0.927357735081256","0.932703474434379","0.937942289561337","0.942223840862031","0.944275848211727","1821"
"28","»ªÄÏÔí¼Ô",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","»ªÄÏÆÑÌÒ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
