"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","Èý¼âÉ¼","1.3509034792071","1.07274666498785","1.00131452308883","1.08224040532572","1.04273960869532","1.03624223568049","1.02606550044263","1.0402595744121","0.26","0.724","1","0.474","0.728","0.772","0.844","0.66","1.26696511992304","0.443123516113325","0.00667138911464109","0.758625441242469","0.425897435663621","0.365958883811194","0.282790272071533","0.519214585953633","3"
"2","Èý»¨¶¬Çà","0.941853801440511","0.953905065966443","0.961185187850076","0.971341102504801","0.983204128268325","0.983694791033013","0.983570359831394","0.985384043675728","0.024","0.008","0.008","0.012","0.062","0.056","0.036","0.038","-2.3090488753811","-2.94367678992488","-3.15319007291717","-2.82183224626624","-1.87297505353211","-2.03572384497589","-2.28321065290975","-2.23948772010616","409"
"3","Á½¹ãËóÂÞ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ÖÐ»ªÊ¯éª","0.811000845496553","0.85167491668158","0.853106525880904","0.862973294120925","0.896151069143534","0.904418189886688","0.91774112260452","0.942511728830024","0.026","0.01","0.006","0.002","0.006","0.004","0.004","0.014","-2.2488799247125","-2.8149005204573","-3.47273941822439","-3.84932615453897","-3.3498019261597","-3.55488953307417","-3.48665272830751","-2.65340911855969","33"
"5","ÎÚ²Ä","1.0822294551063","1.01990525230175","1.10324554895447","1.08278876547751","1.03481261574144","0.99196577988519","1.01651971114782","1.04419989399087","0.63","0.838","0.174","0.174","0.516","0.878","0.688","0.246","0.543411922195277","0.252347897206069","1.43356465867764","1.39133204805455","0.677623350635065","-0.185783837278713","0.41859783072041","1.25323070462039","9"
"6","ÎÚÒ©","0.852083393705005","1.06889392109965","1.02310035716413","1.00328145606928","0.95846160031643","0.932368809577286","0.939762790807064","0.951373312762513","0.168","0.328","0.71","0.978","0.31","0.058","0.062","0.096","-1.40894585655625","1.02972214132966","0.432188063739044","0.0799097671982412","-1.06716282210039","-1.94685171862461","-1.92516881533097","-1.66650494664753","20"
"7","ÀÖ²ýº¬Ð¦",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","¶þÁÐÒ¶èÚ","0.929863809639104","0.941593371109304","0.958204110796987","0.96947504965946","0.974930697304687","0.978748948874273","0.984278571656934","0.990630690453271","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.73272550864449","-7.64195616372724","-6.73271469984341","-5.79175194680969","-5.51012832406511","-5.24539361325791","-4.41981710490151","-2.95918244186044","1591"
"9","¶þÉ«²¨ÂÞÃÛ","0.57197850618073","1.0781814859519","1.16027130110147","1.15818282895956","1.14374022933417","1.09713517025775","1.11272615816358","1.08638680426762","0.288","0.738","0.336","0.29","0.258","0.416","0.278","0.364","-1.22126974993266","0.393521747715129","1.03387662851552","1.13060729502933","1.19364333971976","0.883616096094808","1.14618419706296","1.00947744211059","2"
"10","ÔÆÄÏÔ½½Û","1.68055580882219","1.1397224382855","1.31922873216049","1.29029367621693","1.31102765448959","1.20420458451685","1.15310252785558","1.11030315187683","0.102","0.668","0.092","0.032","0.008","0.074","0.156","0.214","1.84433391954488","0.552797049160709","1.72261283162177","1.97287453294142","2.46318646443502","1.7781552398366","1.51702780442949","1.27764215575233","2"
"11","ÔÆºÍÐÂÄ¾½ª×Ó","1.02779791374794","1.03269949698655","1.02568457209717","1.02024833748615","1.01904241090525","1.01219286749716","1.01370278702329","1.01237280370571","0.118","0.004","0.004","0.004","0.002","0.024","0.004","0.006","1.64338649657376","3.0944768908803","3.14936426028818","2.89677532590705","3.1472219328356","2.32721083662192","2.87565275177411","2.87925047072698","788"
"12","ÎåÁÐÄ¾",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ÁÁÒ¶èë","1.24966750310303","1.15861158258801","1.10337676867943","1.05160031467415","1.02356358411824","1.06573288052083","1.02680766325965","1.01273921619966","0.188","0.152","0.23","0.446","0.726","0.226","0.63","0.806","1.41714952153086","1.48624037454541","1.22633068963631","0.763786740492621","0.402294859215592","1.21818466382843","0.542516566601978","0.283105431898828","9"
"14","ÁÁÒ¶ºï¶ú»·","1.004397341735","1.01672336479409","1.01744001630854","1.01892846224057","1.03138966115042","1.01966518220326","1.01025319523501","1.00685929385188","0.9","0.502","0.36","0.21","0.008","0.066","0.288","0.45","0.125789262296203","0.691518106500196","0.966997652592069","1.29236199342476","2.5279233899879","1.80267502050585","1.05070964864971","0.759835411597319","182"
"15","²®ÀÖÊ÷","0.992018685617569","0.949801479544628","0.972482577386569","0.954603859598972","0.970025724569885","0.980078702184568","0.987935623481674","0.995622646868527","0.904","0.27","0.412","0.11","0.226","0.358","0.568","0.85","-0.156121535753281","-1.17158111292601","-0.832197044682082","-1.65597820127991","-1.23869759685185","-0.948099011367922","-0.636820427290639","-0.226590271544688","53"
"16","¹âÒ¶É½·¯","0.851622718268397","0.954859385479158","0.980782673519307","0.976848399576079","0.999511228954732","1.00143173263299","1.01650905828943","1.03486534170473","0.164","0.564","0.758","0.612","1","0.964","0.552","0.16","-1.41589399635859","-0.619613642650358","-0.32962993907302","-0.493753737414961","0.0210223005744108","0.0690330114396339","0.605299120698947","1.38123953770878","21"
"17","¹âÒ¶º£Í©","0.971835966238497","0.962165114272982","0.971774095587888","0.979593151952476","0.978859771366896","0.978855279548563","0.986262414739032","0.988493506344185","0.616","0.25","0.27","0.316","0.24","0.202","0.35","0.404","-0.5340018721345","-1.17279481767992","-1.13278733100262","-0.984933304288282","-1.17753681986132","-1.29489405176551","-0.923282980111471","-0.860406251816505","82"
"18","¹âÒ¶ºì¶¹","0.882779440092917","0.806701468604972","0.816192603668159","0.833095492248736","0.868202286120087","0.837473028124269","0.868160006988828","0.922739038222966","0.694","0.146","0.042","0.04","0.048","0.002","0.01","0.058","-0.534993948837692","-1.50499007845769","-2.03974036558842","-2.29608643265391","-2.08881853085852","-3.12191669767786","-2.94282345074646","-1.85471251805089","4"
"19","È«Ôµ¹ðÓ£","1.20793184485674","1.10572012416923","1.08213825047497","1.04847232927844","1.01678054477312","1.00867744725525","1.00188435071152","0.995908250829859","0.006","0.022","0.022","0.104","0.518","0.7","0.916","0.894","2.82631409575873","2.38018199165982","2.358002044584","1.65640918503987","0.668171944314907","0.422209047606437","0.13459591972424","-0.149864200851575","40"
"20","È«Ôµ»ð¼¬","1.47585966577419","1.21775368547419","1.11234499244339","1.03239818989498","1.02960206690215","1.03127200567422","1.01064377994665","1.01720848488574","0.03","0.114","0.33","0.788","0.798","0.76","0.978","0.882","2.30872951469115","1.58881574337653","1.00936799299839","0.338779519332321","0.334435353098016","0.386916795667753","0.142934440616651","0.266092568564132","5"
"21","°Ë½Ç·ã","1.15194044354314","1.02952177887417","1.04023207422215","1.0309406047143","1.04684832718447","1.03247271940555","1.02303018729936","1.020773998592","0.044","0.52","0.272","0.258","0.058","0.142","0.23","0.258","2.13587149518977","0.647183170186797","1.11465994046632","1.09060735978827","1.87171752878766","1.52096954683162","1.16668369406515","1.15902243328981","43"
"22","¶¬Çà","0.70821025954405","0.972802592027516","0.920998654762772","0.952455712396815","0.958262703296362","0.988216522243003","1.00327187611577","0.995966907898209","0.022","0.744","0.294","0.428","0.42","0.704","0.94","0.8","-2.04207328238316","-0.360098177444038","-1.07888413802155","-0.802707677857156","-0.809640275597094","-0.322528846346941","-0.0097539899803544","-0.195539090620531","13"
"23","ÅÙ»¨Èóéª","1.03731343684415","1.05918765129298","1.05840193457884","1.03870494504922","1.01352855474173","1.00722142148986","1.01281611806273","1.01757421467036","0.568","0.178","0.086","0.16","0.604","0.74","0.51","0.342","0.581556808775522","1.3639927611965","1.70122383616872","1.37241920575845","0.553125808604559","0.334699855607407","0.636498013265617","0.948883948181745","51"
"24","Ç§ÄêÍ©","1.10582359111208","1.08708998705197","1.07916142193959","1.08362842925943","1.06929184413009","1.06112839977242","1.04897139977477","1.04516803568275","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.82459322321038","6.02145648198549","6.98858082182461","8.86502090544965","8.68623267571423","8.64697416202342","7.81912169686904","7.87095638079277","493"
"25","»ªÄÏÔÆÊµ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","»ªÄÏÄ¾½ª×Ó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","»ªÄÏ¹ð","0.895274014228443","0.959940079009005","0.982845936989533","0.987830560128021","0.992200419492382","0.993610799895691","0.994463830782094","0.996158510491582","0.002","0.002","0.006","0.016","0.06","0.102","0.11","0.216","-9.31130000225996","-5.46199274369297","-2.96094446275281","-2.45854186776377","-1.83734165914276","-1.70592380516971","-1.67111831970304","-1.27847988615727","1821"
"28","»ªÄÏÔí¼Ô",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","»ªÄÏÆÑÌÒ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"30","»ªÄÏÇàÆ¤Ä¾","1.06246427912886","1.04502943959463","1.0299807872222","1.02696110178557","1.01228351807914","1.00492900267618","1.00202405310965","0.995270591819654","0.076","0.028","0.058","0.054","0.298","0.63","0.83","0.564","1.87575058790004","2.24032441997584","1.88870743772546","2.05364455648155","1.08622092253252","0.486524692298671","0.217929248743935","-0.595137735889366","211"
"31","»ª¶ÅÓ¢","1.06774521375043","1.03247463376143","1.00484682332837","1.00048662925547","0.997174656580012","0.989526370010225","0.98376789503618","0.98038206800172","0.004","0.018","0.628","0.912","0.732","0.112","0.012","0.004","3.23299096868768","2.48072866634846","0.487154630820304","0.0848663894788289","-0.363104788708553","-1.53844750068988","-2.63713693985273","-3.42438445568614","513"
"32","»ªÈóéª","1.04266295077372","1.0348593557728","1.0254840035047","1.02082720640617","1.01719357341972","1.014999396179","1.01307562110118","1.01154008017006","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.42303114359243","8.27327776223316","7.78319113795211","7.2657858726774","6.90875642127126","6.79174656442867","6.69423228704137","6.55209130123508","4846"
"33","ÄÏÖò","0.93717686468779","1.0368929503486","1.03737498200125","1.0487031997535","1.01986180107014","1.01510228749052","1.02708553399144","1.03812985269083","0.376","0.406","0.266","0.078","0.42","0.458","0.144","0.022","-0.917322247093492","0.846450341542405","1.12966752536344","1.80383070291776","0.843753332479305","0.730073556233552","1.49160137276622","2.31702635784662","50"
"34","ÄÏËáÔæ","0.987342857375829","0.961142769144263","0.951752107688028","0.957577246382135","0.975776991970298","0.980228722726362","0.984749030942286","0.986138464035384","0.714","0.078","0.012","0.008","0.064","0.092","0.134","0.132","-0.380504379104227","-1.79879459833177","-2.77712327610437","-2.86092978151871","-1.91794356468618","-1.74598761142898","-1.51257881436744","-1.52540945125948","236"
"35","ºñÒ¶¶¬Çà","0.402323192082696","0.436092010333359","0.52684212613679","0.675487318868924","0.805008828335121","0.76644726580778","0.885121028152658","0.899363453850254","0.134","0.024","0.02","0.054","0.164","0.04","0.25","0.268","-1.54121000673808","-2.3519526681131","-2.56524440666231","-2.10833318341929","-1.48609848285936","-2.13214881956813","-1.2273402258561","-1.18874252449617","2"
"36","ºñÆ¤Ïã","0.930609975428401","1.03913185302726","1.00524318481836","0.965390402227888","1.00007600113236","0.995020897865984","1.00072792775016","0.986626614945103","0.604","0.688","0.964","0.484","1","0.894","0.986","0.65","-0.586877330723018","0.47042440610072","0.0925139244619487","-0.706909088889844","-0.0332930255441139","-0.158267722443075","0.00481096951408237","-0.459024328365014","16"
"37","±äÒ¶éÅ","1.09845353458841","1.04970007661138","1.0605943180508","1.03674145186642","1.00946931787563","1.00611850330838","0.996949457641715","0.990414033842938","0.208","0.272","0.078","0.234","0.726","0.828","0.846","0.646","1.32810318156734","1.11662929384158","1.69620974515016","1.2356219476547","0.394301653434991","0.270041054638537","-0.12171972130645","-0.452976143435183","39"
"38","Ì¨Íå¶¬Çà","0.951348505189354","0.998485806767873","1.00479474631799","1.00997856939155","1.01308862428483","1.01473716571484","1.01234219748682","1.01181628344542","0.002","0.86","0.512","0.086","0.008","0.002","0.006","0.004","-3.34842059800973","-0.168336792998097","0.695041028133997","1.69264472254646","2.57294056913993","3.30353591488395","3.11551580317325","3.31256833809828","1223"
"39","Ì¨ÍåéÅ","0.851253403166768","0.898979740254862","0.901275150915425","0.914975214954656","0.93241793647533","0.947693618852212","0.962365267549281","0.9634037944075","0.004","0.002","0.002","0.002","0.002","0.006","0.024","0.012","-2.94378809708751","-3.09128196153382","-3.86229863184653","-3.88808015037894","-3.49570362618229","-2.99515221491299","-2.40922534303553","-2.56471792065854","91"
"40","Ì¨ÍåÏàË¼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"41","µõÖÓ»¨","0.976400473188482","1.26194030643687","1.1248042746185","1.01903991135254","1.06890967483745","1.08215370455591","1.07044009475128","1.06445916071546","1","0.134","0.324","0.836","0.392","0.276","0.304","0.306","-0.0939145094109115","1.60800220928966","1.06174093308767","0.236161578602565","0.925327703951179","1.17862963048005","1.09131007492221","1.07828191583878","3"
"42","¶à»¨É½Öñ×Ó","0.977969540182547","1.02459462460809","1.03156973603392","1.03308377772825","1.03140544746717","1.03203331574588","1.02847631582668","1.0211785411469","0.58","0.312","0.07","0.028","0.016","0.004","0.014","0.034","-0.571557403860312","1.03215406747265","1.78196200608071","2.25008959531731","2.49385865786599","2.83753149267215","2.72153116207221","2.18072663352916","166"
"43","´óÒ¶ÐÂÄ¾½ª×Ó","0.49360580897477","0.730317023980864","0.626549538232494","0.797968641472052","0.822675808092895","0.793618659427509","0.824992236288508","0.853040736604799","0.198","0.302","0.076","0.226","0.238","0.124","0.144","0.166","-1.45304331391678","-1.16943252530387","-2.00991695710694","-1.29448727418629","-1.31777635702666","-1.75533714717766","-1.71811873860672","-1.59943235434438","2"
"44","´óÒ¶¹ðÓ£","2.16776847363009","1.03696416022488","0.9558305771898","0.868920032976092","0.922222141206151","0.90817410088531","0.895919909331318","0.902573649183227","0.072","0.986","0.884","0.62","0.726","0.622","0.486","0.462","2.18634338428485","0.0857725740019835","-0.146420095219414","-0.575267932873161","-0.397629637001711","-0.572025474801713","-0.773139178955418","-0.841341476930265","2"
"45","´óÒ¶³ô»¨½·","1.21341562373696","1.11814371060798","1.10695117665135","1.10459028138027","1.11864191210461","1.09453486029615","1.07583881452402","1.06910887762192","0.074","0.106","0.054","0.024","0.004","0.004","0.014","0.012","1.91249883316031","1.67101072356528","1.94169644500328","2.34097273039165","3.15358643736943","2.87545733700828","2.50715163680742","2.52399351864767","22"
"46","´ó¹ûÄ¾½ª×Ó","0.693858616201879","0.752890125784556","0.805791052284016","0.87867025243617","0.922741842135249","0.94991150531011","0.976820226009741","0.97932594120723","0.002","0.002","0.002","0.002","0.002","0.008","0.132","0.13","-5.55813016758939","-7.33895117953399","-7.72242033924689","-5.48119195451927","-4.00278517099535","-2.96529693322786","-1.50412351770523","-1.4846502735308","83"
"47","ÌìÁÏÄ¾","1.03880803007352","1.02543994363101","1.03642089919688","1.03547794170231","1.00752621532656","1.01348739011369","1.01732683511165","1.01563035613364","0.588","0.596","0.296","0.22","0.77","0.542","0.394","0.404","0.549117220595954","0.557123931556099","1.04670249401656","1.22467863554523","0.29779744976783","0.604264274448026","0.854520330664846","0.845096982781676","53"
"48","×ÓÁèÆÑÌÒ","1.10521906421989","1.04900154289579","1.06935763942636","1.06575279341533","1.05959433456571","1.04414373880054","1.03692971708026","1.03188231048355","0.084","0.186","0.018","0.01","0.008","0.016","0.028","0.044","1.8379226847055","1.33101085279566","2.4097161478123","2.70984542368208","2.83157778861132","2.37164144961388","2.15997270926233","2.00278583088585","79"
"49","ÃÜ»¨É½·¯","0.918439122523883","1.003909752784","1.00898877858746","1.03468389624278","1.03982072915213","1.03236661383679","1.01746228769535","1.0174799204133","0.158","0.926","0.698","0.108","0.028","0.04","0.25","0.208","-1.45110242346535","0.114068904319312","0.356565498873098","1.63751068060473","2.16901657069728","1.98267993950052","1.16482251158712","1.27965793016724","80"
"50","ÃÜ»¨Ê÷","1.02774424960017","0.958172966644569","0.938939479770339","0.928267245188184","0.936650525203258","0.939765368644852","0.941491046570273","0.946250546875799","0.198","0.004","0.002","0.002","0.002","0.002","0.002","0.002","1.31637049347227","-3.32304463245784","-6.22717721961121","-8.47683948370432","-8.56263887052706","-8.87425924590264","-9.60696800259741","-9.36663812012417","557"
"51","Ð¡Ò¶ÎåÔÂ²è","1.01982398294752","1.01319471785353","1.01317320292796","1.01055955363532","1.00790631306764","1.00543161907529","1.00570850645102","1.00441815579454","0.068","0.036","0.01","0.01","0.04","0.1","0.054","0.096","1.92972597958013","2.15454492290426","2.75431069189274","2.60096492283655","2.22290757225761","1.67761311689139","1.98109412023164","1.69176981257946","2208"
"52","Ð¡Ò¶Ê¯éª","1.19264887521799","1.07837433291306","1.05505284849583","1.01379051918823","1.0349597431634","1.03387567963455","1.02648088619825","1.03855199959928","0.002","0.09","0.106","0.668","0.17","0.128","0.184","0.032","3.03598715481281","1.8738578016499","1.59907016083587","0.448041085775863","1.44473769940073","1.61163309054189","1.37934295223309","2.26101265080469","59"
"53","Ð¡¹û¶¬Çà","1.00958873584502","1.02297573792727","1.04148822337679","1.02469837999753","1.02727268806281","1.06751457435817","1.10446262795872","1.09374617812489","1","0.938","0.676","0.822","0.728","0.24","0.026","0.042","0.0226231358734345","0.153747740194193","0.447398325649497","0.304318773328016","0.415000543626434","1.20026438819737","2.13392966160886","2.14718802016865","8"
"54","Ð¡¹ûÉ½ÁúÑÛ","1.02802317264451","1.0311007386489","1.02820904302385","1.03177903750027","1.02856982958559","1.01846213396883","1.01532060446436","1.01558186358234","0.312","0.082","0.04","0.002","0.002","0.03","0.046","0.022","1.03633471109706","1.74051096732985","2.03717188954232","2.81261100599649","3.03300374660702","2.2164448199955","2.03140371190476","2.26451365564954","318"
"55","Ð¡À°","0.806986262793968","0.871555620248522","0.890563425610902","0.935148996490949","0.956077155274587","0.970400390089935","0.959469707656587","0.977504302011816","0.384","0.366","0.346","0.498","0.612","0.688","0.564","0.734","-0.998804819887073","-1.00850085216438","-1.01520080123214","-0.685405325792504","-0.525163324443277","-0.395109894297274","-0.577042025502979","-0.345418241216369","7"
"56","¼âÂöÄ¾½ª×Ó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"57","Î²Ò¶Ó£ÌÒ","0.970638916620121","0.959895647844949","0.934347876061814","0.90873429811659","0.942657557505986","0.969051543747648","0.96383205755818","0.999641241405354","0.938","0.746","0.528","0.278","0.422","0.604","0.484","0.938","-0.194988372570278","-0.359271944796225","-0.671615825238017","-1.14354432611822","-0.838608119502979","-0.572281161946141","-0.745765688024797","-0.0664000888314684","9"
"58","É½ÎÚèê","1.16493206635176","1.16357036506389","1.14992976775599","1.14076429405494","1.11250647749782","1.10190604589506","1.09324867958279","1.07431287838636","0.01","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.71620144751579","4.32214248326608","5.22977767611378","5.94764224710081","5.32883317136477","5.33545021979976","5.33962219353102","4.65227581476194","63"
"59","É½¹ð»¨","1.03086450126508","0.904248566515758","0.949273053376161","0.930869301590718","0.938191397632914","0.94615612536558","0.946956240939853","0.970267296571425","0.642","0.006","0.07","0.004","0.004","0.006","0.004","0.064","0.481590741254059","-2.71449544229467","-1.80714994736914","-3.04857363733278","-3.16374498381545","-3.01919884883423","-3.23255644150586","-1.93799553193988","82"
"60","É½éÙ","0.879809022663539","0.863901051330549","0.873499864433191","0.845369272498852","0.862204273836209","0.866164655981776","0.904718131955797","0.917634767260686","0.326","0.062","0.016","0.002","0.002","0.002","0.002","0.002","-1.00784135902733","-1.99757626915327","-2.380715681403","-3.6305138481726","-3.87212746075266","-4.33558067940299","-3.38811214789377","-3.34549542181179","15"
"61","É½Äµ¾£","1.24713258733502","0.959347673018703","1.03262599404055","1.00320157617127","1.01569171365621","1.02116250706838","1.02807436058884","1.01424399668549","0.114","0.708","0.708","1","0.778","0.628","0.472","0.696","1.67172670920855","-0.391538017088472","0.410844433262406","0.0347145940417927","0.284933073403291","0.478554862720697","0.706963127362561","0.394274906392933","14"
"62","É½·¯","0.987360018934972","1.01442431891195","1.04383369850341","1.04028108056466","1.02354999585711","1.01763407610547","1.01225791880637","1.00415492328372","0.766","0.536","0.01","0.002","0.052","0.09","0.188","0.668","-0.34108961844104","0.663152578865743","2.64598457261003","2.86543012567321","1.95690761103287","1.69816599753857","1.3557061710122","0.460970956635496","199"
"63","É½²Ô×Ó","1.1478204850887","1.14599616043449","1.12928632337139","1.11140417705659","1.07715068031434","1.0404657188662","1.04905507156585","1.05047838233466","0.088","0.004","0.002","0.002","0.006","0.102","0.034","0.02","1.85043867073984","3.01291569012274","3.40129085006492","3.61957769710153","2.83834880875159","1.63511911662256","2.13141891356298","2.36569825820153","39"
"64","É½Ñªµ¤",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"65","É½»ÆÂé","1.52351730735823","1.36829556379618","1.28261278287008","1.19995600603637","1.19323714126294","1.19131915407908","1.11805630892322","1.1003248759654","0.156","0.086","0.056","0.11","0.048","0.028","0.142","0.17","1.63387350968026","1.75472186237074","1.76819436063117","1.54345018177946","1.81871405191587","2.11053557716615","1.44811198133075","1.35198352257067","2"
"66","ÁëÄÏÉ½ÜÔÀò","0.932697068394553","0.913851546051271","0.939354525052484","0.956745581773494","0.975484270688944","0.989536346059982","1.00183390937547","1.0019820764521","0.03","0.002","0.002","0.002","0.034","0.358","0.876","0.812","-2.10336358288291","-4.18101171924909","-3.79267764584057","-3.19846001887147","-2.03322922247947","-0.948307077352258","0.18586070873744","0.235041660636781","221"
"67","´¨ÑîÍ©","1.15037340915968","1.0684908319315","1.068553367706","1.04723352496581","1.04262825045834","1.03704237542755","1.02760821971932","1.02495927233669","0.002","0.002","0.002","0.002","0.004","0.002","0.006","0.006","4.56534629944642","3.21657764037479","3.97187117490257","3.28812784762226","3.43215595629885","3.44572597240575","2.90482383802699","2.92313871105402","226"
"68","³£É½",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"69","³£ÂÌ¼ÔÉo","1.31350270779933","1.17485345122874","0.929935082021075","0.903025214313659","0.753491007391324","0.833981089932979","0.828718798079204","0.914654840392286","0.384","0.43","0.686","0.448","0.066","0.138","0.102","0.304","0.971985143292684","0.89204980980348","-0.421415542633184","-0.74019750269712","-2.20709516116506","-1.68311976512796","-1.96687095302227","-1.08287821065065","2"
"70","¹ã¶«¶¬Çà","1.00837727093394","1.03611109576657","1.02672690096289","1.02307625746663","1.02237306348172","1.01831768525261","1.01307975641803","1.01065810891581","0.746","0.022","0.028","0.026","0.014","0.018","0.068","0.114","0.327220452686647","2.28127193291021","2.15889046532766","2.23578610619367","2.54142853593713","2.32715664882323","1.87386095272769","1.64021169270588","353"
"71","¹ã¶«Çíéª","0.977375209924295","0.96390298088397","0.996463031862866","0.999427474206487","1.00254901393709","1.01123099147405","1.00649632135258","1.00642587243132","0.542","0.126","0.866","0.986","0.842","0.294","0.502","0.456","-0.646800578152638","-1.59018718182579","-0.161576657368604","-0.00947742406822091","0.235581516104819","1.04630738341862","0.691741826792559","0.769002775182262","233"
"72","ÑÓÆ½ÊÁ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"73","ÒìÖêÄ¾éØé­","1.17229050116606","1.03430331103101","1.01642610961465","1.00386371077939","1.01619842927123","1.02412782795152","1.03068487828335","1.03143300701278","0.466","0.876","0.968","1","0.934","0.818","0.706","0.638","0.787036001375415","0.22560124683428","0.109032504174652","-0.00170311069205742","0.161207239651467","0.320122324586087","0.476319492851272","0.551545804488825","6"
"74","ÍäÝô¶Å¾é","0.96703939945375","0.969723328272823","0.960745633690353","0.957857702523995","0.957703681297393","0.960424605141446","0.967145042304856","0.972350108452919","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.6672921485484","-5.28865654816464","-9.13753796061647","-11.864827147068","-13.4903464204231","-14.2318161198311","-12.8991329964702","-12.0779012673881","2809"
"75","Î¢Ã«É½·¯",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"76","Î¢Ã«èÚ","1.06991393212476","1.03704831787606","1.02954428249422","1.02402191617706","1.01663892339839","1.01159808540549","1.00501405652316","1.00242454800442","0.002","0.002","0.002","0.002","0.006","0.02","0.268","0.572","4.36335262529324","3.70418736455445","3.8868542134755","3.81347306258767","2.98923562071783","2.32693956059475","1.08269164202754","0.558522849197192","942"
"77","±âµ£¸Ë",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"78","ÈÕ±¾¶ÅÓ¢","1.13332350435412","1.09026846758701","1.05518854692689","1.03497108855523","1.03978322826405","1.03704853164984","1.02832295674344","1.02224610378964","0.002","0.002","0.004","0.028","0.01","0.006","0.018","0.046","3.6297603194972","3.80785110739057","3.016906951277","2.29331009151044","2.91192454653142","2.97551111561364","2.46689168437991","2.08023837176863","172"
"79","Ó³É½ºì","1.05395051330559","0.983389194172051","0.832332306978156","1.10167474118571","0.958636530213691","0.916884710166946","0.87977803321864","0.790015265115292","0.73","0.982","0.05","0.164","0.59","0.198","0.044","0.002","0.389346504099319","-0.0937443123984412","-2.00014610421973","1.43201047194826","-0.598715996010905","-1.35407017298561","-2.09186867324416","-3.94105004527189","9"
"80","ÏÔÂöÐÂÄ¾½ª×Ó","1.00438017644271","1.01855655208873","1.02454844167953","1.02776765697848","1.02546619772007","1.01804033753223","1.01037035456374","1.01149179522922","0.938","0.558","0.286","0.176","0.118","0.272","0.44","0.326","0.0744364821058157","0.620715144380642","1.06337871097788","1.40699073503566","1.47956264609901","1.15282049614797","0.768576791515576","0.967660904955349","123"
"81","Ä¾½ªÒ¶¿Â","0.93706824642136","0.981253419317901","0.989302589973369","0.994275691389652","0.997020042128584","1.00050033528443","1.00437894997603","1.00666332751683","0.002","0.018","0.1","0.296","0.522","0.878","0.22","0.07","-4.81461446695942","-2.32569074303571","-1.63301250424647","-1.03541041685539","-0.606115797862336","0.132294384899843","1.18533594275506","1.93942689424428","1389"
"82","Ä¾½ªÈóéª","0.958242241115707","1.00470800591899","1.01573478222481","1.0150842734406","1.02032173812946","1.02099109373685","1.02053637919884","1.02074145296904","0.116","0.818","0.278","0.206","0.056","0.028","0.022","0.004","-1.51654770367294","0.244792776139991","1.08781047707121","1.27152147617304","1.99954003492059","2.34522257416938","2.55345974407805","2.87456694530816","355"
