"","allsp","","","","","","","","","abund"
"1","Èý¼âÉ¼","1.3509034792071","1.07274666498785","1.00131452308883","1.08224040532572","1.04273960869532","1.03624223568049","1.02606550044263","1.0402595744121","3"
"2","Èý»¨¶¬Çà","0.942436365700335","0.955566203379523","0.963780914479653","0.973698023323733","0.98553862444708","0.985982300497527","0.985366902684681","0.986710456807237","409"
"3","Á½¹ãËóÂÞ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ÖÐ»ªÊ¯éª","0.844914159330308","0.865227168401817","0.871915757425792","0.877958901663575","0.916133000414805","0.925289053522184","0.93387749605577","0.956132512318715","33"
"5","ÎÚ²Ä","0.944510458628213","0.927562935493938","1.0994446869546","1.09270947704694","1.0436951373829","0.982472540104419","1.01049056544468","1.04775152244581","9"
"6","ÎÚÒ©","0.852083393705005","1.06889392109965","1.02310035716413","1.00328145606928","0.95846160031643","0.932368809577286","0.939762790807064","0.951373312762513","20"
"7","ÀÖ²ýº¬Ð¦",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","¶þÁÐÒ¶èÚ","0.929863809639104","0.941593371109304","0.958204110796987","0.96947504965946","0.974930697304687","0.978748948874273","0.984278571656934","0.990630690453271","1591"
"9","¶þÉ«²¨ÂÞÃÛ","0.57197850618073","1.0781814859519","1.16027130110147","1.15818282895956","1.14374022933417","1.09713517025775","1.11272615816358","1.08638680426762","2"
"10","ÔÆÄÏÔ½½Û","1.68055580882219","1.1397224382855","1.31922873216049","1.29029367621693","1.31102765448959","1.20420458451685","1.15310252785558","1.11030315187683","2"
"11","ÔÆºÍÐÂÄ¾½ª×Ó","1.02998646656017","1.03302546109927","1.02524114582427","1.02002159853904","1.01848981452489","1.01153825789498","1.01311491033695","1.01182737974317","788"
"12","ÎåÁÐÄ¾",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ÁÁÒ¶èë",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"14","ÁÁÒ¶ºï¶ú»·","0.987601092701284","1.01308256128937","1.01311916303694","1.01480664118856","1.02931744752381","1.01985146836485","1.00938320657073","1.00608678930298","182"
"15","²®ÀÖÊ÷","0.992018685617569","0.949801479544628","0.972482577386569","0.954603859598972","0.970025724569885","0.980078702184568","0.987935623481674","0.995622646868527","53"
"16","¹âÒ¶É½·¯","0.851622718268397","0.954859385479158","0.980782673519307","0.976848399576079","0.999511228954732","1.00143173263299","1.01650905828943","1.03486534170473","21"
"17","¹âÒ¶º£Í©","0.968214232389085","0.959044079549771","0.969083459257516","0.976976399439469","0.975904052885369","0.977300681450429","0.984345820046071","0.987331342047714","82"
"18","¹âÒ¶ºì¶¹","0.882779440092917","0.806701468604972","0.816192603668159","0.833095492248736","0.868202286120087","0.837473028124269","0.868160006988828","0.922739038222966","4"
"19","È«Ôµ¹ðÓ£","1.19767215413438","1.12478564651076","1.08110261845273","1.04754088584164","1.01883867020219","1.01224248555581","1.00637067868618","1.0001565686681","40"
"20","È«Ôµ»ð¼¬","1.47585966577419","1.21775368547419","1.11234499244339","1.03239818989498","1.02960206690215","1.03127200567422","1.01064377994665","1.01720848488574","5"
