"","x"
"凹叶冬青",1830.63093636855
"白背算盘子",210.882862624134
"白背叶",201.988699662556
"白车",27587.4530014744
"白楸",4142.81273450172
"白肉榕",443.168767678644
"白颜树",49024.0262785613
"柏拉木",9652.88570467425
"半枫荷",2587.32931569858
"薄叶胡桐",83.7386809425379
"笔管榕",706.858347057703
"笔罗子",8440.40577001976
"变叶榕",1221.2060224091
"布渣叶",444.016997695113
"茶杆竹",134.303085940964
"豺皮樟",89.4361162994557
"赤楠蒲桃",38.775107326932
"刺叶葱木",38.6250962777231
"粗毛野桐",118.516582856675
"粗叶木",81.3866490626116
"粗叶榕",784.220066152352
"粗壮润楠",2120.02494829947
"大苞血桐",1211.42954315076
"大青",2.01061929829747
"大叶臭椒",1081.64249664933
"大叶土蜜树",4414.98665608069
"吊钟花",1340.83370804753
"鼎湖钓樟",21823.6503216523
"鼎湖杜鹃",21.1193566137574
"鼎湖合欢",961.141134093935
"鼎湖血桐",12528.1452857466
"杜英",316.939574857406
"短序润楠",63000.5385331359
"多花山竹子",222.984356065578
"肥荚红豆",406.357155760206
"凤凰润楠",358.826743866984
"柑桔",93.9179123790669
"橄榄",21066.9982022741
"岗柃",14.5220120412188
"狗骨柴",3385.59395034862
"谷木",15744.313222827
"拐枣",14.5220120412188
"光叶海桐",6.36926494588795
"光叶红豆",58059.7115489186
"光叶山矾",796.653233238199
"光叶山黄皮",37447.2590779588
"广东蒲桃",120.590034008044
"广东润楠",1780.54672380723
"广东山胡椒",71.6361664834812
"鬼灯笼",7.49269847881166
"海红豆",743.552149251632
"荷木",773657.414249487
"褐叶柄果木",8063.82902765999
"黑柃",14470.6849360639
"黑叶谷木",727.036718131894
"红背山麻杆",48.6475622408379
"红车",169762.446975333
"红鳞蒲桃",450.567218377848
"红皮紫棱",317130.960524783
"猴耳环",71.1413656405409
"猴欢喜",16.6897109721958
"厚壳桂",219728.469993596
"厚皮香",522.713893667538
"虎皮楠",369.035035035559
"华南青皮木",255.52520839091
"华润楠",172910.120809822
"华卫矛",1.13097335529233
"黄果厚壳桂",30364.1042723359
"黄毛榕",2058.45004644837
"黄毛五月茶",9.0792027688745
"黄牛木",608.887780155506
"黄杞",637661.465320633
"黄叶树",64479.8879672534
"黄栀子",77.0083684609361
"嘉赐树",130.42321901378
"假苹婆",3490.92204870571
"坚荚树",2.67035375555132
"降真香",9112.2880592067
"金叶含笑",2846.31436007889
"金叶树",3490.59956421982
"九节",3005.04741297196
"簕党",203.583057934253
"了哥王",8.43525481470494
"黧蒴",13249.3296880038
"荔枝",1.76714586764426
"两广梭罗",5392.67997792841
"亮叶猴耳环",2122.38797575368
"岭南杜鹃",657.383053692461
"岭南山竹子",19328.7684173515
"柳叶空心花",4.73979937628726
"龙船花",0.785398163397448
"龙眼",1.13097335529233
"鹿角杜鹃",375.074746912085
"轮叶木姜子",1565.13172108121
"罗浮杜鹃",77410.4494378559
"罗浮柿",7257.38431405853
"罗伞树",13103.7299061194
"马尾松",139171.070151499
"芒果",1316.05243249693
"毛冬青",32.2405946074653
"毛果巴豆",172.357826072428
"毛果算盘子",20.972015918304
"毛稔",898.3667721677
"毛秀柱花",526.680154392695
"毛叶嘉赐树",176.506691870575
"密花树",57311.9686721467
"密毛乌口树",68.8186291121092
"木蜡树",92.3706779971739
"破布木",2.26980069221863
"蒲桃",1424.72797636624
"琴叶榕",86.3309661206475
"青果榕",588.231808458153
"日本杜英",249.678076144049
"绒楠",5672.53132363423
"榕叶冬青",50771.8648602344
"软荚红豆",1116.05558111657
"三叉苦",178.933493655656
"三花冬青",11020.6255830034
"沙坝冬青",38981.9890571525
"山苍子",560.010646031507
"山钓樟",34960.2840911282
"山杜英",3923.7403681482
"山黄麻",45.2624961565949
"山牡荆",1413.32399503371
"山枇杷",1.32732289614169
"山檨叶泡花树",325.626078544582
"山石榴",224.367285151688
"山乌桕",343.44676287207
"山小桔",16.8860605130451
"韶子",9076.68132661073
"深山含笑",3.46360590058275
"石斑木",3.14159265358979
"疏花卫矛",764.356639741684
"鼠刺",1329.28348557698
"栓叶安息香",27.3397100678652
"水石梓",61704.0717317192
"水同木",97.9312969940278
"酸味子",717.801692367402
"桃金娘",3.46360590058275
"桃叶石楠",17035.6318178224
"铁冬青",4287.38647222543
"凸脉榕",1874.22461850756
"土沉香",1095.60883948995
"臀果木",19625.8737826099
"网脉山龙眼",2828.29520563551
"微毛山矾",30847.0469381859
"乌材",6567.62542019487
"乌榄",59.7213621854766
"乌檀",2769.58881349659
"五列木",1.76714586764426
"五月茶",24.8648419151835
