"","x"
"凹叶冬青",17
"白背算盘子",5
"白背叶",3
"白车",217
"白楸",38
"白肉榕",5
"白颜树",195
"柏拉木",6
"半枫荷",11
"笔管榕",1
"笔罗子",96
"变叶榕",20
"布渣叶",3
"豺皮樟",1
"赤楠蒲桃",1
"粗毛野桐",1
"粗叶榕",1
"粗壮润楠",30
"大苞血桐",12
"大叶臭椒",9
"大叶土蜜树",15
"吊钟花",33
"鼎湖钓樟",365
"鼎湖合欢",9
"鼎湖血桐",137
"杜英",2
"短序润楠",551
"多花山竹子",1
"肥荚红豆",4
"凤凰润楠",8
"柑桔",1
"橄榄",102
"狗骨柴",49
"谷木",221
"光叶红豆",480
"光叶山矾",7
"光叶山黄皮",494
"广东蒲桃",2
"广东润楠",5
"广东山胡椒",2
"海红豆",2
"荷木",2266
"褐叶柄果木",49
"黑柃",316
"黑叶谷木",9
"红车",1977
"红鳞蒲桃",1
"红皮紫棱",2061
"猴耳环",1
"厚壳桂",1405
"厚皮香",9
"虎皮楠",3
"华南青皮木",4
"华润楠",396
"黄果厚壳桂",138
"黄毛榕",20
"黄牛木",8
"黄杞",695
"黄叶树",562
"嘉赐树",1
"假苹婆",20
"降真香",146
"金叶含笑",1
"金叶树",44
"九节",5
"簕党",1
"黧蒴",71
"两广梭罗",58
"亮叶猴耳环",18
"岭南杜鹃",9
"岭南山竹子",222
"鹿角杜鹃",8
"轮叶木姜子",21
"罗浮杜鹃",1106
"罗浮柿",98
"罗伞树",14
"马尾松",168
"芒果",23
"毛冬青",1
"毛稔",10
"毛秀柱花",7
"密花树",618
"木蜡树",1
"蒲桃",14
"琴叶榕",1
"青果榕",4
"日本杜英",1
"绒楠",34
"榕叶冬青",226
"软荚红豆",10
"三叉苦",1
"三花冬青",60
"沙坝冬青",115
"山苍子",6
"山钓樟",486
"山杜英",36
"山牡荆",10
"山檨叶泡花树",6
"山石榴",2
"山乌桕",5
"韶子",33
"疏花卫矛",2
"鼠刺",15
"栓叶安息香",1
"水石梓",661
"水同木",1
"酸味子",5
"桃叶石楠",128
"铁冬青",15
"凸脉榕",6
"土沉香",5
"臀果木",49
"网脉山龙眼",43
"微毛山矾",90
"乌材",84
"乌榄",1
"乌檀",4
"细齿叶柃",1
"显脉杜英",41
"腺叶野樱",6
"香港大沙叶",2
"香皮树",2
"小果冬青",2
"小盘木",16
"小新木姜",408
"小叶五月茶",2
"小叶胭脂",229
"肖蒲桃",970
"锈叶新木姜",31
"鸭脚木",56
"胭脂",2
"杨桐",2
"异株木犀榄",2
"映山红",1
"鱼骨木",157
"鱼尾葵",38
"越南冬青",6
"越南山龙眼",4
"越南天料木",17
"云开红豆",2
"云南银柴",1585
"窄叶半枫荷",1
"中华杜英",1
"猪肚木",2
"竹节树",80
"锥栗",2264
"子凌蒲桃",112
