"","x"
"1","凹叶冬青"
"2","白背算盘子"
"3","白背叶"
"4","白车"
"5","白楸"
"6","白肉榕"
"7","白颜树"
"8","柏拉木"
"9","半枫荷"
"10","薄叶胡桐"
"11","笔管榕"
"12","笔罗子"
"13","变叶榕"
"14","布渣叶"
"15","茶杆竹"
"16","豺皮樟"
"17","赤楠蒲桃"
"18","刺叶葱木"
"19","粗毛野桐"
"20","粗叶木"
"21","粗叶榕"
"22","粗壮润楠"
"23","大苞血桐"
"24","大青"
"25","大叶臭椒"
"26","大叶土蜜树"
"27","吊钟花"
"28","鼎湖钓樟"
"29","鼎湖杜鹃"
"30","鼎湖合欢"
"31","鼎湖血桐"
"32","杜英"
"33","短序润楠"
"34","多花山竹子"
"35","肥荚红豆"
"36","凤凰润楠"
"37","柑桔"
"38","橄榄"
"39","岗柃"
"40","狗骨柴"
"41","谷木"
"42","拐枣"
"43","光叶海桐"
"44","光叶红豆"
"45","光叶山矾"
"46","光叶山黄皮"
"47","广东蒲桃"
"48","广东润楠"
"49","广东山胡椒"
"50","鬼灯笼"
"51","海红豆"
"52","荷木"
"53","褐叶柄果木"
"54","黑柃"
"55","黑叶谷木"
"56","红背山麻杆"
"57","红车"
"58","红鳞蒲桃"
"59","红皮紫棱"
"60","猴耳环"
"61","猴欢喜"
"62","厚壳桂"
"63","厚皮香"
"64","虎皮楠"
"65","华南青皮木"
"66","华润楠"
"67","华卫矛"
"68","黄果厚壳桂"
"69","黄毛榕"
"70","黄毛五月茶"
"71","黄牛木"
"72","黄杞"
"73","黄叶树"
"74","黄栀子"
"75","嘉赐树"
"76","假苹婆"
"77","坚荚树"
"78","降真香"
"79","金叶含笑"
"80","金叶树"
"81","九节"
"82","簕党"
"83","了哥王"
"84","黧蒴"
"85","荔枝"
"86","两广梭罗"
"87","亮叶猴耳环"
"88","岭南杜鹃"
"89","岭南山竹子"
"90","柳叶空心花"
"91","龙船花"
"92","龙眼"
"93","鹿角杜鹃"
"94","轮叶木姜子"
"95","罗浮杜鹃"
"96","罗浮柿"
"97","罗伞树"
"98","马尾松"
"99","芒果"
"100","毛冬青"
"101","毛果巴豆"
"102","毛果算盘子"
"103","毛稔"
"104","毛秀柱花"
"105","毛叶嘉赐树"
"106","密花树"
"107","密毛乌口树"
"108","木蜡树"
"109","破布木"
"110","蒲桃"
"111","琴叶榕"
"112","青果榕"
"113","日本杜英"
"114","绒楠"
"115","榕叶冬青"
"116","软荚红豆"
"117","三叉苦"
"118","三花冬青"
"119","沙坝冬青"
"120","山苍子"
"121","山钓樟"
"122","山杜英"
"123","山黄麻"
"124","山牡荆"
"125","山枇杷"
"126","山檨叶泡花树"
"127","山石榴"
"128","山乌桕"
"129","山小桔"
"130","韶子"
"131","深山含笑"
"132","石斑木"
"133","疏花卫矛"
"134","鼠刺"
"135","栓叶安息香"
"136","水石梓"
"137","水同木"
"138","酸味子"
"139","桃金娘"
"140","桃叶石楠"
"141","铁冬青"
"142","凸脉榕"
"143","土沉香"
"144","臀果木"
"145","网脉山龙眼"
"146","微毛山矾"
"147","乌材"
"148","乌榄"
"149","乌檀"
"150","五列木"
"151","五月茶"
"152","细齿叶柃"
"153","细轴荛花"
"154","狭叶山黄麻"
"155","显脉杜英"
"156","腺柄山矾"
"157","腺叶野樱"
"158","香港大沙叶"
"159","香皮树"
"160","香叶树"
"161","小果冬青"
"162","小盘木"
"163","小新木姜"
"164","小叶五月茶"
"165","小叶胭脂"
"166","肖蒲桃"
"167","斜基粗叶木"
"168","新木姜"
"169","锈叶新木姜"
"170","鸭公树"
"171","鸭脚木"
"172","胭脂"
"173","杨桐"
"174","异株木犀榄"
"175","映山红"
"176","鱼骨木"
"177","鱼尾葵"
"178","越南冬青"
"179","越南山矾"
"180","越南山龙眼"
"181","越南天料木"
"182","云开红豆"
"183","云南银柴"
"184","窄叶半枫荷"
"185","长花厚壳树"
"186","长叶卫矛"
"187","长叶玉兰"
"188","长叶竹柏"
"189","桢桐"
"190","中华杜英"
"191","猪肚木"
"192","竹节树"
"193","锥栗"
"194","子凌蒲桃"
"195","紫麻"
