,sp,dhs
1,凹叶冬青,AM
2,白背算盘子,AM
3,白背叶,AM
4,白车,AM
5,白楸,AM
6,白肉榕,AM
7,白颜树,AM
8,柏拉木,AM
9,半枫荷,AM
10,薄叶胡桐,AM
11,笔管榕,AM
12,笔罗子,AM
13,变叶榕,AM
14,布渣叶,AM
15,茶杆竹,AM
16,豺皮樟,AM
17,赤楠蒲桃,AM
18,刺叶葱木,AM
19,粗毛野桐,AM
20,粗叶木,AM
21,粗叶榕,AM
22,粗壮润楠,AM
23,大苞血桐,AM
24,大青,AM
25,大叶臭椒,AM
26,大叶土蜜树,AM
27,吊钟花,AM
28,丁公藤,AM
29,鼎湖钓樟,AM
30,鼎湖合欢,AM
31,鼎湖血桐,AM
32,杜英,AM
33,短序润楠,AM
34,多花山竹子,AM
35,肥荚红豆,AM
36,凤凰润楠,AM
37,柑桔,AM
38,橄榄,AM
39,岗柃,AM
40,革叶铁榄,AM
41,狗骨柴,AM
42,谷木,AM
43,拐枣,AM
44,光叶海桐,AM
45,光叶红豆,AM
46,光叶山矾,AM
47,光叶山黄皮,AM
48,广东蒲桃,AM
49,广东润楠,AM
50,广东山胡椒,AM
51,鬼灯笼,AM
52,海红豆,AM
53,荷木,AM
54,褐叶柄果木,AM
55,黑柃,AM
56,黑叶谷木,AM
57,红背山麻杆,AM
58,红车,AM
59,红鳞蒲桃,AM
60,猴耳环,AM
61,猴欢喜,AM
62,厚壳桂,AM
63,厚皮香,AM
64,虎皮楠,AM
65,华南青皮木,AM
66,华润楠,AM
67,华卫矛,AM
68,黄果厚壳桂,AM
69,黄毛榕,AM
70,黄毛五月茶,AM
71,黄牛木,AM
72,黄杞,AM
73,黄叶树,AM
74,黄栀子,AM
75,嘉赐树,AM
76,假苹婆,AM
77,坚荚树,AM
78,降真香,AM
79,金叶含笑,AM
80,金叶树,AM
81,九节,AM
82,簕党,AM
83,了哥王,AM
84,荔枝,AM
85,两广梭罗,AM
86,亮叶猴耳环,AM
87,岭南山竹子,AM
88,柳叶空心花,AM
89,龙船花,AM
90,龙眼,AM
91,轮叶木姜子,AM
92,罗浮柿,AM
93,罗伞树,AM
94,芒果,AM
95,毛冬青,AM
96,毛果巴豆,AM
97,毛果算盘子,AM
98,毛稔,AM
99,毛柿,AM
100,毛秀柱花,AM
101,毛叶嘉赐树,AM
102,梅叶冬青,AM
103,密花树,AM
104,木蜡树,AM
105,蒲桃,AM
106,琴叶榕,AM
107,青果榕,AM
108,日本杜英,AM
109,绒楠,AM
110,榕叶冬青,AM
111,软荚红豆,AM
112,三叉苦,AM
113,三花冬青,AM
114,沙坝冬青,AM
115,山苍子,AM
116,山钓樟,AM
117,山杜英,AM
118,山黄麻,AM
119,山牡荆,AM
120,山枇杷,AM
121,山檨叶泡花树,AM
122,山石榴,AM
123,山乌桕,AM
124,山小桔,AM
125,韶子,AM
126,深山含笑,AM
127,石斑木,AM
128,疏花卫矛,AM
129,鼠刺,AM
130,栓叶安息香,AM
131,水石梓,AM
132,水同木,AM
133,酸味子,AM
134,桃金娘,AM
135,桃叶石楠,AM
136,铁冬青,AM
137,凸脉榕,AM
138,土沉香,AM
139,臀果木,AM
140,微毛山矾,AM
141,乌材,AM
142,乌榄,AM
143,乌檀,AM
144,五列木,AM
145,五月茶,AM
146,细齿叶柃,AM
147,细轴荛花,AM
148,狭叶山黄麻,AM
149,显脉杜英,AM
150,腺柄山矾,AM
151,腺叶野樱,AM
152,香港大沙叶,AM
153,香皮树,AM
154,香叶树,AM
155,小果冬青,AM
156,小盘木,AM
157,小新木姜,AM
158,小叶五月茶,AM
159,小叶胭脂,AM
160,肖蒲桃,AM
161,斜基粗叶木,AM
162,新木姜,AM
163,锈叶新木姜,AM
164,鸭公树,AM
165,鸭脚木,AM
166,胭脂,AM
167,杨桐,AM
168,异株木犀榄,AM
169,鱼骨木,AM
170,鱼尾葵,AM
171,越南冬青,AM
172,越南山矾,AM
173,越南山龙眼,AM
174,越南天料木,AM
175,云南银柴,AM
176,窄叶半枫荷,AM
177,长叶卫矛,AM
178,长叶玉兰,AM
179,长叶竹柏,AM
180,桢桐,AM
181,中华杜英,AM
182,猪肚木,AM
183,竹节树,AM
184,子凌蒲桃,AM
185,黧蒴,EcM
186,马尾松,EcM
187,锥栗,EcM
188,鼎湖杜鹃,ErM
189,红皮紫棱,ErM
190,岭南杜鹃,ErM
191,鹿角杜鹃,ErM
192,罗浮杜鹃,ErM
193,映山红,ErM
194,网脉山龙眼,NM
195,密毛乌口树,NM-AM
196,长花厚壳树,NM-AM
197,紫麻,NM-AM
