"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","»˝≤Êø‡","1.01074853659187","1.01678418348742","1.01356455298162","1.01117847728351","1.01987871941631","1.02821688649304","1.03744129933861","1.0343399993881","0.874","0.766","0.802","0.824","0.618","0.394","0.252","0.246","0.0872211502769693","0.288427453689405","0.281832433283976","0.258838479990561","0.529325528450704","0.817970590795189","1.16336351222118","1.1391515580948","62"
"2","»˝ª®∂¨«‡","1.05537196294493","1.01429342888417","1.01809428317958","1.03168925910001","1.03421001434887","1.03618782164","1.03311863650109","1.03150407727893","0.216","0.632","0.494","0.186","0.114","0.078","0.09","0.08","1.27531820582439","0.476004466159962","0.681855529536577","1.33175010378975","1.5892058409486","1.81311551186159","1.78693728478627","1.80662799191016","183"
"3","¡Ωπ„ÀÛ¬ﬁ","1.01677596508795","0.987043666990069","0.996008838247383","1.00263266937103","1.00551515454334","1.01395193848905","1.01573515285701","1.01346724976724","0.682","0.694","0.862","0.934","0.8","0.494","0.366","0.392","0.439665576004104","-0.400915468536685","-0.159051463793271","0.100972891132671","0.256135636484989","0.70645361007207","0.877822518204088","0.811140767883311","181"
"4","÷–ª™∂≈”¢",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"5","Œ⁄≤ƒ","0.95951606539928","0.958502903237323","0.94661708830445","0.948081981830295","0.94683058919336","0.953069863363963","0.952675137876069","0.955402077838149","0.298","0.13","0.014","0.01","0.004","0.012","0.006","0.008","-1.01186153743717","-1.51156770902721","-2.33349774785939","-2.54887459004534","-2.82682577554222","-2.63660833691342","-2.82282223648751","-2.81149387930882","249"
"6","Œ⁄È≠","1.10667791605197","0.91999040151894","0.967420820713062","1.05043717896068","1.04476199727794","1.06408553750103","1.08289162930359","1.07468537754548","0.6","0.608","0.818","0.716","0.748","0.632","0.456","0.492","0.455026935434885","-0.509483921259037","-0.260167632663489","0.372830865866267","0.349867726905278","0.547439024929129","0.760690577777776","0.723816216619305","7"
"7","Œ⁄Ã¥","0.531123845186262","0.718723920410046","0.713723825114896","0.817584340089737","0.857372478667203","0.857063537693362","0.884494367462028","0.901109667965544","0.012","0.052","0.022","0.122","0.218","0.18","0.254","0.296","-1.98233378306325","-1.78875385405382","-2.11935133376843","-1.48317706669659","-1.23921248139675","-1.33472321100071","-1.16893059978144","-1.06301132657736","8"
"8","æ≈Ω⁄","0.904439049755417","0.916199648976902","0.922550258823791","0.918457829848077","0.922302915862878","0.924584128740944","0.927302537542973","0.929225390563769","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.13454409158739","-6.26512791703671","-6.52011485032651","-7.69007772729646","-7.84041978121782","-8.05511624988641","-8.26725086037937","-8.37785124991553","902"
"9","¡À∏ÁÕı","1.02372493169779","0.916724198611958","0.958955095353886","0.967559028116421","1.03510873751362","1.05348533663663","1.03251759068337","1.0444364588658","0.86","0.678","0.8","0.808","0.804","0.664","0.794","0.7","0.0912946419214952","-0.499656009606986","-0.316328147227783","-0.292131624121281","0.270943836135334","0.445190028026506","0.278634093283637","0.417104761105121","7"
"10","‘∆ƒœ“¯≤Ò","0.747154689808921","0.799194741949888","0.820265087658797","0.829440048374849","0.835632899475858","0.841747052742666","0.846818671837733","0.852715759129511","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-25.5740250652789","-29.3325959524169","-31.4318675368955","-32.7160939589298","-33.5266346529966","-34.1985141825038","-35.0241663759196","-35.1624941035859","3722"
"11","‘∆ø™∫Ï∂π","2.2893495626564","2.3426248165818","2.31965439425792","2.04705016565054","1.83369633194328","1.69851598488695","1.58212665179812","1.49473312770213","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.55403431683825","4.9089510242897","5.46307374377886","4.76068992138078","4.1657826278291","3.77038355492268","3.36282658593419","3.02724040009794","3"
"12","ŒÂ¡–ƒæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ŒÂ‘¬≤Ë","1.32560329467609","1.13932482203486","0.991686061483934","0.998962620822694","1.02452794119833","0.990787754678501","0.999569259067783","1.03166519995724","0.18","0.37","0.984","0.94","0.804","0.992","0.942","0.724","1.44914196483104","0.882425048471539","-0.0363482176046331","0.0115370632414014","0.213583006459254","-0.0723524037068612","0.00637364907270547","0.328499647343178","7"
"14","¡¡“∂∫Ô∂˙ª∑","0.996348849961312","1.0031976368351","1.00778904368424","1.00475361495134","1.00592173860226","1.00158869347741","1.0012842582214","0.998245202097681","0.942","0.896","0.664","0.748","0.71","0.924","0.926","0.896","-0.0938038965394811","0.152190920926904","0.395151170641336","0.281379519451634","0.385738625813759","0.115431460440676","0.0977966797370917","-0.134124383714989","319"
"15","ºŸ∆ª∆≈","0.87117883382415","0.811061552079318","0.82951594392884","0.818844946622094","0.811550005210113","0.819107531942756","0.816421984206569","0.834651245428406","0.118","0.006","0.004","0.002","0.002","0.002","0.002","0.002","-1.50956672596413","-3.12400584811783","-3.32103190278615","-3.9370296978027","-4.39971262253639","-4.57416522886315","-4.92930672726032","-4.71597611812575","52"
"16","π‚“∂…Ω∑Ø","1.09896908422885","0.975306692165081","0.995274239351266","0.979837660271734","1.00491394706328","1.01492272242522","0.999895535785777","1.01163836913948","0.536","0.982","0.956","0.91","0.88","0.83","0.95","0.846","0.535437207254011","-0.120621646629915","-0.00837955575262342","-0.172605608135821","0.0780980958857775","0.191421922890061","0.0184963943185012","0.169067597034851","10"
"17","π‚“∂…Ωª∆∆§","1.04604385850138","1.05056138278106","1.04706967116438","1.04478163482813","1.04365072014828","1.04049037699897","1.03625496380151","1.03353120721385","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.22700083936026","9.69281655370945","10.5277924585323","11.0963313912257","11.9379226640236","11.9506132981411","11.3628709577879","11.1231570794235","5969"
"18","π‚“∂∫£Õ©","1.05782492161712","1.05445769057013","0.974140503083935","1.02405820804967","1.05311389210831","1.12584866522272","1.16688260243871","1.14897899837473","0.728","0.754","0.93","0.818","0.602","0.196","0.054","0.066","0.247799696290244","0.309736985417751","-0.174626003986663","0.225400816171734","0.514613596928826","1.29105303484799","1.87823449924842","1.83356885731719","4"
"19","π‚“∂∫Ï∂π","1.04082639576969","1.05594791991156","1.05487652091168","1.05503204180788","1.05451024348923","1.0518608963811","1.05288484964505","1.05259404235759","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.73429905842339","7.12497914835627","8.22198168839552","9.29553548682587","10.1837004093305","10.5055279314484","11.4099627593666","12.2186392268083","2752"
"20","∑ÔªÀ»ÛÈ™","1.08993216615064","1.15660186888232","1.18224625380734","1.16347704317411","1.15574567992451","1.15485380558247","1.15032215530064","1.13858750100324","0.258","0.01","0.004","0.004","0.002","0.002","0.002","0.002","1.16631339661752","2.74121237769228","3.791369912942","3.82508156370829","3.98752181324705","4.33449854256552","4.55591853971077","4.52232478994455","48"
"21","Õπ¬ˆÈ≈","1.45696339072452","1.26682566914396","1.23145606074563","1.12568033425831","1.06750922673492","1.02723286469688","1.03912991791061","1.04743927583899","0.124","0.166","0.158","0.356","0.558","0.768","0.69","0.612","1.60284820267097","1.46602093421166","1.45828384165207","0.922836206270423","0.562946058157059","0.273742021322528","0.382149099717619","0.476082314334538","6"
"22","∞º“∂∂¨«‡","1.20719803531938","1.11782772796374","1.05673576901759","1.06672702457816","1.04518683528983","1.05828822903832","1.04730888038456","1.04516273702377","0.042","0.064","0.29","0.186","0.304","0.152","0.21","0.22","2.22792189976875","1.86579511323594","1.04269677995118","1.3389477479244","0.996686734001212","1.38507266645862","1.20614651718472","1.22270824529216","41"
"23","¥Ã“∂¥–ƒæ","1.35414476780273","1.075576198943","1.13289584535501","1.17243856647114","1.18579979668248","1.21413446198375","1.23062650787471","1.23251199717542","0.158","0.618","0.366","0.2","0.148","0.086","0.054","0.038","1.433059283348","0.456585513666955","0.883047928714003","1.2683533221703","1.46903033887689","1.8091719842747","2.0492402729775","2.16848077460625","5"
"24","∞Î∑„∫…","0.919452892311569","0.71434883087715","0.686253952869275","0.687539919874942","0.696751155813763","0.726608562389525","0.736674689008462","0.746021404319711","0.36","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-0.897865340443467","-4.12368172030178","-5.21941828079801","-5.64238111673699","-5.87466791127766","-5.63786618312363","-5.73461637621924","-5.76633996484908","48"
"25","ª™ƒœ«‡∆§ƒæ","0.987629161465801","1.00898661061799","0.978051419415634","1.00547015349954","1.00792535287227","1.00216365298693","1.00837861042619","1.00983317797422","0.98","0.866","0.79","0.866","0.834","0.928","0.8","0.766","-0.0140334466874461","0.138552188997994","-0.276953830571701","0.133948513548075","0.18197000917262","0.0962605897717435","0.222639701707154","0.25915062991602","28"
"26","ª™Œ¿√¨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","ª™»ÛÈ™","1.0796458604355","1.04971089614074","1.03253149204904","1.02215803026812","1.01406820192503","1.00714413600072","1.0041333079705","1.00380882828317","0.01","0.022","0.06","0.136","0.288","0.574","0.738","0.742","3.03995112410598","2.53156020511507","1.97704028155872","1.53265554924528","1.04733667737426","0.571079886910462","0.348034068011023","0.335448462470967","507"
"28","∫Òø«π","0.939792244599911","0.950924082611279","0.952871770413221","0.959765879020382","0.965474737862497","0.968181539863273","0.970771066663797","0.973513019767382","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.93711986348569","-5.70703180174964","-6.60281061200981","-6.3410093613983","-5.9929801751943","-6.07593557217572","-5.93387166584352","-5.73189874620845","2546"
"29","∫Ò∆§œ„","1.39826533378294","1.26052918428252","1.33203546685703","1.33975997008233","1.36791842500478","1.38482220205819","1.37851683480881","1.37244381964927","0.064","0.088","0.016","0.004","0.002","0.002","0.002","0.002","2.06535847130649","1.86776027875638","2.78672007321659","3.18671791924766","3.76073395731483","4.25343651461291","4.49711829889782","4.78536709506917","10"
