"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","»˝≤Êø‡","1.08161670646382","1.08043772058439","1.11417580534804","1.1117006269469","1.10995826174791","1.0937809313619","1.08826583302399","1.08349322235047","0.208","0.052","0.004","0.002","0.002","0.002","0.002","0.002","1.29340893476003","2.04996712990143","3.55273944609085","3.89850891242397","4.30208178797664","4.06659158461427","4.12013123960553","4.14292383344547","62"
"2","»˝ª®∂¨«‡","1.04578408703961","1.02574706813047","1.01665887153801","1.01961928275711","1.01362629262521","1.00877820102211","1.00903213148968","1.00544602832572","0.25","0.26","0.318","0.172","0.264","0.434","0.404","0.572","1.2105220464242","1.15606307335645","0.97963843474424","1.33443211522676","1.07168975739619","0.787430856309018","0.888354938179212","0.598982297169252","183"
"3","¡Ωπ„ÀÛ¬ﬁ","1.05766871513668","1.01598833332591","1.03273194696676","1.03713059787027","1.03281221836508","1.03025568700412","1.02528629243323","1.01477370705877","0.124","0.47","0.05","0.014","0.004","0.004","0.008","0.116","1.56389846535743","0.711468105563228","1.97369363009166","2.61136932227991","2.64180016772932","2.76048512992015","2.52826419761344","1.62013242633911","181"
"4","÷–ª™∂≈”¢",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"5","Œ⁄≤ƒ","0.956531229208208","0.995745225377403","0.98315667499887","0.985656754076408","0.991117775164881","0.99739282388127","0.997216517112216","0.994834508869409","0.192","0.892","0.28","0.294","0.45","0.832","0.77","0.556","-1.32321160166856","-0.174129497380351","-1.04608346571827","-1.09358232880443","-0.809036229341317","-0.289766391374195","-0.326071014682819","-0.611729068933114","249"
"6","Œ⁄È≠","1.0093940320014","0.982776547398911","1.05400098775381","1.05558957610343","1.03785475145512","1.06168716593659","1.05216966388263","1.02327510944076","1","0.972","0.592","0.524","0.644","0.39","0.426","0.716","0.0497383866811222","-0.115376710487083","0.58734767899288","0.680428479712313","0.50661542044783","0.892504554459456","0.811141131526561","0.366544276764172","7"
"7","Œ⁄Ã¥","0.406997610641855","0.590851750504202","0.633437672122049","0.789448793441611","0.858042877257205","0.883371151054884","0.888822747254605","0.920509183809822","0.002","0.002","0.002","0.008","0.034","0.056","0.044","0.132","-2.83430684159117","-3.2193953608168","-3.70560316272843","-2.53328405250852","-2.0682533685952","-1.90539419575664","-2.02699496972438","-1.56153745999284","8"
"8","æ≈Ω⁄","0.966465997422566","0.993296116894549","1.00016906606801","0.99247835668956","0.990042636322019","0.986347099235141","0.984536425323429","0.985019800330761","0.052","0.496","0.958","0.288","0.12","0.014","0.006","0.004","-2.03355752869193","-0.66020621431652","0.0268548239888874","-1.04041580287755","-1.56635689730859","-2.43792848129502","-2.96836859854426","-3.12695454818183","902"
"9","¡À∏ÁÕı","1.00285250250323","0.975154027862117","0.982788853392604","0.997947333423817","1.06091156646983","1.0791726049769","1.06791797234048","1.03452136773525","0.99","0.91","0.898","1","0.434","0.3","0.35","0.634","0.0292293285622846","-0.179186597084997","-0.163851279139319","0.00937011862057123","0.809908202763395","1.08989573254599","0.971552827377916","0.515730176606172","7"
"10","‘∆ƒœ“¯≤Ò","0.795683490277244","0.85080000578878","0.879193787494596","0.898268511150785","0.909522333844684","0.91980711547489","0.929190279193878","0.937535046567094","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-23.8311982090136","-26.8925649514273","-27.7177550193787","-27.8409255840379","-27.6981551067303","-26.9710497487083","-25.7601038302938","-24.2498857729639","3722"
"11","‘∆ø™∫Ï∂π","1.46943580397997","1.47678686572131","1.39589376421668","1.30746372342811","1.24533406066526","1.14879282270309","1.10222723537161","1.05945236003895","0.14","0.022","0.018","0.016","0.042","0.144","0.272","0.484","1.63133083236944","2.63435566744307","2.76778804116384","2.47004651979023","2.23397204997742","1.50906574135537","1.12728512984597","0.73371404514137","3"
"12","ŒÂ¡–ƒæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ŒÂ‘¬≤Ë","1.13306656420894","0.961049531939038","0.873979194437875","0.914531258060299","0.972097300595232","0.945325950422024","0.947515951663164","0.980630780489513","0.558","0.824","0.208","0.34","0.784","0.488","0.458","0.764","0.648343618790339","-0.304623103047254","-1.2851470847733","-1.00024136109104","-0.311703439347601","-0.746350454838928","-0.803760848682427","-0.30294930266608","7"
"14","¡¡“∂∫Ô∂˙ª∑","1.03914149587667","1.0398234348617","1.04424787249035","1.03396154972138","1.02640737076167","1.01704855012847","1.01675546775793","1.01030158519497","0.154","0.02","0.004","0.006","0.022","0.092","0.088","0.22","1.41170233500324","2.36767934886599","3.35064891016683","2.91821569351013","2.50912285639714","1.77865111012837","1.85754700404793","1.26337867045717","319"
"15","ºŸ∆ª∆≈","0.914013748859712","0.857336439949162","0.915719097016932","0.926816747000978","0.932923424617097","0.940588649842726","0.944974966459411","0.968817093196613","0.302","0.002","0.024","0.01","0.014","0.012","0.004","0.124","-1.13762773704483","-3.09488749991097","-2.35158804628668","-2.52133591331038","-2.61217694803175","-2.5500376706413","-2.51321937305311","-1.5480535031193","52"
"16","π‚“∂…Ω∑Ø","1.1826510666045","1.09261096963525","1.03599273785084","0.945413014569316","0.968807970649955","0.981181702957859","0.971417229935746","0.941372093218997","0.286","0.374","0.678","0.39","0.612","0.706","0.512","0.154","1.12533467198682","0.95088587330753","0.502025028737339","-0.8461094214867","-0.567761722074513","-0.415462830289024","-0.696965319921064","-1.4869480550924","10"
"17","π‚“∂…Ωª∆∆§","1.01199828516241","1.02023027672206","1.02746424778207","1.02857151305906","1.02737806021249","1.0243165962642","1.02082269850676","1.01800583913755","0.05","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.94076352614542","5.11104149685533","9.0567012078975","10.9593755315215","11.8253950321067","11.4041063350997","10.6161167508654","9.73057333576422","5969"
"18","π‚“∂∫£Õ©","1.06004648605491","0.950158185372103","0.926436427093042","0.948232190239504","0.945126930128815","0.977266890693223","0.997663014336405","0.997123992714316","0.83","0.836","0.542","0.632","0.53","0.784","1","0.966","0.299959784683129","-0.344418148396913","-0.682964650826564","-0.555967091244999","-0.658808369303491","-0.300052393451037","-0.0180355384260946","-0.0548309421573441","4"
"19","π‚“∂∫Ï∂π","1.05138317297018","1.03884790722777","1.02632074732946","1.02026617684431","1.01775383797116","1.01512716258137","1.01516350166383","1.01361674213045","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.66121028046564","6.7758152286831","5.81013862231945","5.08252605391763","5.00339490783479","4.62910302691374","5.05276037913435","4.74078916336451","2752"
"20","∑ÔªÀ»ÛÈ™","1.15665084195737","1.11982343628783","1.11055922981379","1.07525951679921","1.07679199792447","1.07849371361365","1.07656984437693","1.0756509804053","0.036","0.004","0.004","0.022","0.006","0.002","0.002","0.002","2.24944473413091","2.77209549511079","3.19788350271563","2.46135998841457","2.93185738098984","3.31761709277106","3.59197439438063","3.91530616343265","48"
