"","allsp","","","","","","","","","abund"
"1","»˝≤Êø‡","1.08161670646382","1.08043772058439","1.11417580534804","1.1117006269469","1.10995826174791","1.0937809313619","1.08826583302399","1.08349322235047","62"
"2","»˝ª®∂¨«‡","1.04643546191643","1.03507840856522","1.02362244383669","1.02253477679423","1.01475667695588","1.0078982563182","1.0067368429795","1.00337389090606","183"
"3","¡Ωπ„ÀÛ¬ﬁ","1.05766216380113","1.01758730940844","1.03351035929996","1.03853276889591","1.03200827882684","1.02890461043766","1.02440829976802","1.01344508507893","181"
"4","÷–ª™∂≈”¢",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"5","Œ⁄≤ƒ","0.958243974249139","0.995274825305479","0.98239368831638","0.985600245016107","0.990842163772402","0.997604861275132","0.996639688843407","0.994204512192721","249"
"6","Œ⁄È≠","1.0093940320014","0.982776547398911","1.05400098775381","1.05558957610343","1.03785475145512","1.06168716593659","1.05216966388263","1.02327510944076","7"
"7","Œ⁄Ã¥","0.495806316470361","0.61173235620683","0.634770465220057","0.794105910844815","0.856786915529399","0.88672622029614","0.87668631816536","0.944365026867587","8"
"8","æ≈Ω⁄","0.966465997422566","0.993296116894549","1.00016906606801","0.99247835668956","0.990042636322019","0.986347099235141","0.984536425323429","0.985019800330761","902"
"9","¡À∏ÁÕı","1.00285250250323","0.975154027862117","0.982788853392604","0.997947333423817","1.06091156646983","1.0791726049769","1.06791797234048","1.03452136773525","7"
"10","‘∆ƒœ“¯≤Ò","0.795761471684898","0.850797232376014","0.87926025986768","0.898318923287884","0.909536451372337","0.919811725186909","0.929220245318335","0.937574001498538","3722"
"11","‘∆ø™∫Ï∂π","1.46943580397997","1.47678686572131","1.39589376421668","1.30746372342811","1.24533406066526","1.14879282270309","1.10222723537161","1.05945236003895","3"
"12","ŒÂ¡–ƒæ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ŒÂ‘¬≤Ë","1.13306656420894","0.961049531939038","0.873979194437875","0.914531258060299","0.972097300595232","0.945325950422024","0.947515951663164","0.980630780489513","7"
"14","¡¡“∂∫Ô∂˙ª∑","1.03945918840985","1.04093722964777","1.04421723775327","1.03358172230826","1.02528965549288","1.01612221939962","1.01564242418287","1.00937167585506","319"
"15","ºŸ∆ª∆≈","0.929679147445033","0.847488099481128","0.904302416547237","0.92120995799688","0.920143484422871","0.928851248296017","0.933664426666393","0.95447492090415","52"
"16","π‚“∂…Ω∑Ø","1.1700073522875","1.07651058980071","1.0137444228455","0.936563577443834","0.962852107397685","0.986212268148756","0.98169528911221","0.951011275097054","10"
"17","π‚“∂…Ωª∆∆§","1.01188523541179","1.02020507804585","1.02744637682786","1.0285854587225","1.0273640177984","1.02428745541507","1.02081679689607","1.01800243076144","5969"
"18","π‚“∂∫£Õ©","1.06004648605491","0.950158185372103","0.926436427093042","0.948232190239504","0.945126930128815","0.977266890693223","0.997663014336405","0.997123992714316","4"
"19","π‚“∂∫Ï∂π","1.05364861386349","1.04057676993573","1.0264330800326","1.02088115759672","1.01806673662889","1.0152612045825","1.01550285420552","1.01396269068589","2752"
"20","∑ÔªÀ»ÛÈ™","1.15665084195737","1.11982343628783","1.11055922981379","1.07525951679921","1.07679199792447","1.07849371361365","1.07656984437693","1.0756509804053","48"
"21","Õπ¬ˆÈ≈","1.59424206993941","1.32764859732722","1.36595195674879","1.29386525484974","1.17899554042937","1.17503805175038","1.16270659574002","1.13401822886484","6"
"22","∞º“∂∂¨«‡","1.11835977242112","1.03665714022167","0.989458156694007","1.02773264143154","1.01208473655996","1.01533355893909","1.01387593284338","1.01261082473477","41"
"23","¥Ã“∂¥–ƒæ","1.19160826202841","1.09306055548764","1.0782935082977","1.15030694417117","1.11720528843483","1.13865799515579","1.12920530010047","1.11488345987671","5"
"24","∞Î∑„∫…","0.982174091862275","0.851336004103278","0.926943068246698","0.928494152887918","0.910873511659274","0.923126148707507","0.929168566397149","0.9199769866027","48"
"25","ª™ƒœ«‡∆§ƒæ","0.988574328364217","0.997638547986782","0.981711707335016","0.99799332321259","0.985742647914872","0.988570929659031","1.01157865390886","1.00895669664332","28"
"26","ª™Œ¿√¨",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","ª™»ÛÈ™","1.0941194854046","1.06341841111684","1.04058007002478","1.03375118871678","1.0279324650997","1.02731033004275","1.02270727088429","1.02508495014788","507"
"28","∫Òø«π","0.958146281634676","0.982477695639913","0.989370876281646","0.988576740174483","0.992846333758673","0.992736775077841","0.991750898510952","0.993796878385784","2546"
"29","∫Ò∆§œ„","1.08578311822593","1.04545577057128","1.0928337692092","1.04030168408622","1.08427493022776","1.08648436373144","1.08257598800823","1.06419048358119","10"
"30","±‰“∂È≈","1.1207526071385","1.06913028371769","1.05070921904381","1.02957482643121","1.02554849538831","1.01871518614934","1.02554467555893","1.02879568525905","74"
"31","µı÷”ª®","1.06805345295512","1.06080994454741","1.06837773675044","1.07856684572525","1.07423624101946","1.05986948861523","1.05694489450979","1.06138014966581","46"
"32","ºŒ¥Õ ˜","1.06187254308051","0.928840489553564","1.00670999940363","0.986590747904024","0.99003059968696","0.951873254591134","1.00165179006488","0.989426664274358","5"
"33","Õ¡≥¡œ„","1.17893113802688","1.04801845837838","1.06710637149766","0.993627424409712","0.990408422610699","0.991426288938538","0.979771456741175","0.996921308206403","26"
"34","º·º‘ ˜","1.98903301305188","1.40971269416977","1.15928773395076","1.07918674440872","1.18850267131349","1.14797199033221","1.15462454704553","1.15338725460072","2"
"35","∂‡ª®…Ω÷Ò◊”","1.04928763874742","1.13014701645467","1.02970995151927","1.04916936215684","1.05328284271407","1.04336390951038","1.0409930171945","1.04632022741656","10"
"36","¥Û“∂Õ¡√€ ˜","1.04492548598724","1.00056505660765","0.987664725249212","0.991138207503515","0.991681380153331","0.993443200170141","0.989575973531562","1.00446125629335","80"
"37","¥Û“∂≥ÙΩ∑","1.07585490091262","1.00162455135575","1.03623901249705","1.03970898836967","1.04565995330004","1.04886969886857","1.04149113455638","1.04664086792032","17"
"38","¥Û∞˙—™Õ©","0.493237758414825","0.702395788311678","0.732442105334041","0.822157939649825","0.84063058464908","0.87206059794102","0.90820914783082","0.951412580142833","25"
"39","¥Û«‡",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","◊”¡Ë∆—Ã“","1.04246563533783","1.03995182520635","1.01305506073592","1.01624613070748","1.00644469309936","1.00574977395621","1.00703662057974","1.00067650604595","401"
"41","√‹√´Œ⁄ø⁄ ˜","1.08153133775726","1.05964815417528","1.09587844221234","1.06341372041249","1.06270188727399","1.04985160977072","1.03046324399865","1.02434040068046","41"
"42","√‹ª® ˜","1.13550095544626","1.06394115834749","1.04585446712432","1.03230580906818","1.02634296961608","1.02747986133252","1.02754952344237","1.02522832003712","763"
"43","–°“∂ŒÂ‘¬≤Ë","1.08097863582292","1.06518644908902","1.06121179641257","1.04878488446569","1.04815961740991","1.03343485621655","1.04077972803068","1.03858034823236","42"
"44","–°“∂ÎŸ÷¨","0.972982576594025","0.976867656652254","0.997230656663196","1.01200191169308","1.01021363065022","1.00847690608216","1.0093992944208","1.00741361893803","417"
"45","–°–¬ƒæΩ™","1.01472256430855","1.00946453387539","1.00112403761454","0.99568347394901","0.990589769904615","0.990590156900764","0.991295974729547","0.993883575997855","1327"
"46","–°π˚∂¨«‡",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"47","–°≈Ãƒæ","0.956463104261684","0.931991228805303","0.948226918094652","0.962526235970244","0.979935130736952","0.981182374804853","0.978037484349751","0.979549010240591","119"
"48","…ΩŒ⁄ËÍ","1.18890507186904","1.05352959482291","1.01405433016988","1.02201944674775","1.02876372112167","1.03400931209094","1.03397523267349","1.01407761530924","24"
"49","…Ω–°Ω€","1.13169806997313","1.11269104005533","1.00342815906991","0.981448230328054","0.944758079264598","1.00035727967743","0.994244849611033","0.96722471761881","4"
"50","…Ω∂≈”¢","1.00815097111559","1.02617525372787","1.01487813523031","1.0172505595653","1.00322733487135","0.992121019390358","0.988534869261497","0.990061421634251","176"
"51","…ΩË¡ËÀ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"52","…ΩôÅ“∂≈›ª® ˜","0.78821405060071","0.914869747368388","0.979356711087012","0.982466625574104","1.00757928493517","1.00809554660344","0.97776078842739","0.965702740114488","7"
"53","…Ωƒµæ£","0.733608113165923","0.687058700812543","0.787632304650375","0.855142366293365","0.875349128521587","0.927834976812558","0.963622180976414","0.947233769579241","14"
"54","…Ω Ø¡Ò","0.698150244697605","0.879505850945685","0.924070873186416","1.03919962317702","1.03498951265721","1.04874473633015","1.04088914155698","1.05727655723338","6"
"55","…Ω≤‘◊”","0.901039131135909","1.00133982672945","1.07169404255979","1.09663313427509","1.08903756282391","1.09283822189334","1.09527238858388","1.09776201686725","51"
"56","…Ωµˆ’¡","0.927107951615242","0.962468216830875","0.967663500050461","0.974540869928347","0.978620837406523","0.981849530125151","0.981440396709943","0.982543110410881","2113"
"57","…Ωª∆¬È","0.66565513924665","0.868736681997426","0.901805807634389","0.995647425955262","1.00021843334712","0.965863010697356","0.943047083506543","0.941145157122704","7"
"58","∏⁄Ë⁄",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"59","¡Îƒœ…Ω÷Ò◊”","1.01501988791892","1.02362480058512","1.03079278916656","1.03667853387892","1.03124266571091","1.02804044301819","1.02687176919701","1.02788323983925","612"
"60","¡Îƒœ∂≈æÈ","1.17366449213821","1.11045752123542","1.10246164072342","1.08075605314359","1.05528955087325","1.03094782308873","1.02929254923011","1.01740391298802","54"
"61","≤º‘¸“∂","1.15079547945128","1.06034684270172","1.08110276959464","1.2294403483101","1.17329171617571","1.21442603952046","1.22357677855983","1.20678188988804","3"
"62","π„∂´…Ω∫˙Ω∑","0.322837719380397","0.536888895480007","0.679673121383128","0.653654624317024","0.657696210163572","0.768965283626373","0.780257829749991","0.831792664346236","4"
"63","π„∂´»ÛÈ™","0.814331874330583","1.02990492507431","1.10626747047757","1.08461915205919","1.06221985446329","1.10397362524918","1.08597317504044","1.06580149780964","12"
"64","π„∂´∆—Ã“","1.77893286431988","1.36194075282605","1.15624102629541","1.18474974176469","1.15960606540425","1.09188762853813","1.05716560095385","1.05733912369346","3"
"65","“Ï÷Íƒæœ¨È≠","0.735063073777289","0.714628880250686","0.643223550239488","0.750475559045705","0.753098850276907","0.796777489677382","0.831667985136294","0.86718103780999","5"
"66","Œ¢√´…Ω∑Ø","0.797598416498501","0.968907485926508","1.01109382868007","1.08725767597219","1.02080752916043","1.00989176198737","1.0112988885337","0.99583566894367","92"
"67","π’‘Ê",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"68","–±ª˘¥÷“∂ƒæ","0.280061731838382","0.77773449071967","0.778838766866936","0.973377168424074","1.10762360006001","1.14250616042656","1.10498573451423","1.03836766439986","2"
"69","–¬ƒæΩ™","1.16715718021388","1.05672923467298","1.04580632159166","1.23473081450817","1.20575577281434","1.12947357891624","1.11071339764387","1.06296292496433","4"
"70","»’±æ∂≈”¢","0.890370265391078","0.776779545471673","0.910015368472188","1.05790954024259","1.02392653712897","1.02220660609152","1.02890917530801","1.03853482982511","4"
"71","”≥…Ω∫Ï","1.08204348595482","1.05060759661985","1.02530680348217","1.05036377675635","1.07391352944679","1.0772169749016","1.07939106868378","1.07257551356739","15"
"72","œ‘¬ˆ∂≈”¢","1.02940889489007","1.02445841350354","1.0193685923591","1.00409442814693","0.990217682803544","0.986235254133064","0.982266624928567","0.982835154839697","344"
"73","ƒæ¿Ø ˜","1.29766752431335","1.4424264025996","1.30852014574792","1.18504180644747","1.18490708867133","1.1712569076652","1.16126541023869","1.14424700453149","6"
"74","∂≈”¢",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"75","—ÓÕ©","0.992463892892664","0.982481760105358","0.974392622075635","1.04350176502851","1.07941139588533","1.08208430331938","1.03185948345762","1.13724982500522","3"
"76","∞ÿ¿≠ƒæ","0.90355261167536","0.912016903850657","0.936591578524651","0.948639220168689","0.957151807563455","0.9642707884758","0.965437282256524","0.966247450715905","3995"
"77","∏ÃΩ€","0.659397041765686","0.786216685554439","0.855646565515551","0.859231308439634","0.929952341039337","0.939847518427246","1.00321320213725","1.02451331542081","5"
"78","¡¯“∂ø’–ƒª®","0.652897363897476","0.796546545184489","0.994206117125593","0.912569461480031","0.908874969896087","0.906976694183703","0.917999854188128","0.93368548064822","4"
"79","À®“∂∞≤œ¢œ„",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"80","Ã““∂ ØÈ™","1.14600570634618","1.14188465652273","1.11182859900736","1.09274277046459","1.1062986276045","1.08443570867528","1.07684572213859","1.06254549474134","142"
"81","Ã“ΩƒÔ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"82","ËÂÕ©","0.82871728793619","0.968972667966073","1.04909845126331","1.1291144361393","1.0559778749357","1.04578851849883","1.05110538044226","1.03598546099712","2"
"83","È≈“∂∂¨«‡","1.00885034311878","1.00335693287707","1.00238998574432","1.00057509441482","0.997162439367599","0.997367444854737","0.998126208515936","0.997252355680784","617"
"84","ÈœÈ≠","0.961863652639877","1.00860020867725","1.00773406072471","1.01129676616744","1.01745115156786","1.01338381073284","1.01051747075396","1.00787604688634","375"
"85","√´∂¨«‡","0.516759858411691","0.931313639700617","1.00989183049269","1.02085542500017","0.933613166826902","0.922613960712119","0.945401037233027","1.01352909848281","3"
"86","√´“∂ºŒ¥Õ ˜","0.938502314124798","0.896368183952618","0.948801654789559","0.924205286587657","0.924837264096913","0.956926133681714","0.955919913840597","0.958278077500907","38"
"87","√´π˚∞Õ∂π","1.19860102671816","1.1240677580744","1.12293699532115","1.12130127219032","1.09786588301296","1.09460123539905","1.08608799994008","1.07461606063291","57"
"88","√´π˚À„≈Ã◊”","0.897513101007341","1.00253189952805","0.991738614526246","0.99587886091546","1.01792186767128","0.998112999286709","1.02242226669343","1.02043416875823","9"
"89","√´–„÷˘ª®","0.810723483606125","0.773098217577667","0.835917085855741","0.877069593431293","0.872101320047375","0.808907567880701","0.82254600626937","0.850505881324538","11"
"90","√´Ô˛","1.23917835956117","1.23834983466317","1.20420998159177","1.17770789177669","1.14372271692456","1.12723358919268","1.11169301754215","1.09811575992311","97"
"91","ÀÆÕ¨ƒæ","0.785747646842114","0.752919634731952","0.807822647777365","0.865612556305609","0.938418694949485","0.986213779291739","1.04733023422101","1.05784978881147","13"
"92","ÀÆ ØË˜","0.961151211845991","0.976567482165226","0.981975230500767","0.983729254434901","0.98476072641605","0.98523180528022","0.983852113211736","0.986079755046506","1578"
"93","…≥∞”∂¨«‡","1.02927792182999","1.06439568740891","1.05050897904834","1.07256426202276","1.05136306188573","1.03811662354426","1.02345232494045","1.01980277733785","126"
"94","∫£∫Ï∂π",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"95","…Ó…Ω∫¨–¶",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"96","π∑π«≤Ò","1.06945544036842","1.04854180521802","1.06849142397548","1.0632576497371","1.05060274066619","1.04064638292285","1.03085511689067","1.03000029506777","341"
"97","œ¡“∂…Ωª∆¬È","0.954369200057072","1.30421779906286","1.19105652449994","1.0813156207598","1.06801235403762","1.12501272889028","1.12820527523157","1.17875037623796","3"
"98","÷Ì∂«ƒæ","0.65246165777441","0.801751110439092","0.940038721087371","0.961125116209207","0.99070464229319","1.00322460850506","1.00756212192414","1.01927115847727","25"
"99","∫Ôª∂œ≤","0.716866693050287","0.766162179233632","0.756984665237938","0.805139141736028","0.843418073199093","0.875765389137258","0.948912049118469","1.02701373638995","2"
"100","∫Ô∂˙ª∑","0.773133678486891","0.95808649512365","0.959272937338151","0.965938726777966","0.95061286585786","0.978920238593315","0.978547217306647","0.961566890077539","11"
"101","«Ÿ“∂È≈","0.820732252358096","1.044955590123","0.868574100105495","0.861703939009335","0.925794538975168","0.917990817941122","0.960137488894608","0.944517626856061","5"
"102"," Ëª®Œ¿√¨","1.00557641531013","1.00527684780106","1.01376341660866","1.02589767838859","1.01957924370017","1.02052137048311","1.02357381997146","1.02809147179737","304"
"103","∞◊È±","0.96477178730872","0.982993325884697","0.99617198233118","1.00906738236752","1.00438156019564","1.00739253247132","1.01008853147618","1.01283023475638","155"
"104","∞◊»‚È≈","0.7756304051518","0.760268195008316","0.946401359114757","0.939130782307167","0.978538272467649","0.977570809491627","0.993840571883806","1.00269534567464","7"
"105","∞◊±≥“∂","0.57101963207631","0.831772234218325","1.00417179451355","1.19007149571133","1.17681199033225","1.16926351173125","1.13766423157913","1.11951894807038","4"
"106","∞◊±≥À„≈Ã◊”","1.0513298620225","1.10959491725766","1.06407296914791","1.06037164140753","1.06845868720286","1.05106209013508","1.03123872338554","1.01283759030112","19"
"107","∞◊≥µ","1.04254825799062","1.03086435122889","1.00234953000319","1.00433102408801","0.995338265866248","0.987135647365619","0.985987435122999","0.983259935478491","407"
"108","∞◊—’ ˜","0.832776107376951","0.885479594827301","0.912510606515557","0.931799334143027","0.952002617414166","0.963458151047157","0.968142367012392","0.975011481624263","290"
"109","∂Ã–Ú»ÛÈ™","1.01599504924223","1.03540379659525","1.02586110121771","1.01933279244209","1.01331531492158","1.01240624928657","1.01088737863591","1.00895055833102","844"
"110"," Ø∞ﬂƒæ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"111","∆∆≤ºƒæ",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"112","’≠“∂∞Î∑„∫…","1.10302822276951","0.846327050341855","0.948567380021783","0.970287138996314","0.967800917601299","0.909574892285923","0.943101884784426","0.97305327763155","3"
"113","÷ÒΩ⁄ ˜","0.972886947127104","0.990307613706912","0.998681652486991","1.00636315548222","1.00706483832649","1.0080382468357","1.01094092436948","1.01132268189483","747"
"114","± π‹È≈",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"115","± ¬ﬁ◊”","1.03524946974429","0.99669407445699","0.998264880250263","0.984456378838792","0.991412452952255","0.998789207427223","0.993939501571859","0.996497756963504","168"
"116","∫{µ≥",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"117","¥÷“∂ƒæ","0.860911140056519","0.875415619440202","0.843294189996967","0.864870914836638","0.89949916757548","0.907637633620947","0.915099683993069","0.933989819815679","48"
"118","¥÷“∂È≈","1.17113791300837","1.08935471250319","1.00875627677411","1.09247115874909","1.04043537103326","1.11939368294891","1.12922437701912","1.10544900394013","3"
"119","¥÷◊≥»ÛÈ™","1.24128879734237","1.15024159221582","1.09638414822946","1.08042844231589","1.06134602901461","1.03394093880767","1.03072706553086","1.03100077941061","48"
"120","¥÷√´“∞Õ©","0.830756373947672","0.843554927749578","0.867419965957271","0.93302604648012","0.975111632814046","0.978561692611619","0.962495647002302","0.975793388597481","15"
"121","◊œ¬È",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"122","∫Ï∆§◊œ¿‚","0.995719211043191","1.00166498024593","0.989306452764786","0.978336762651943","0.975944471925905","0.978598694939542","0.980633425477069","0.98275912207145","3287"
"123","∫Ï±≥…Ω¬È∏À","1.10715654424107","0.85179586959128","0.883503300546229","0.926404837466678","1.04672160211085","1.06047671863429","1.05903064757323","1.07794979419135","14"
"124","∫Ï≥µ","1.06770204768215","1.03098015473637","1.02557694202766","1.02187755989032","1.02015800563729","1.01892627320657","1.016259894467","1.01325895547559","5917"
"125","∫Ï¡€∆—Ã“","0.697860853249523","1.00453325160791","0.953729970509159","1.04213462298389","1.0187836828346","0.953372738395055","0.93928867631502","0.923740616026963","3"
"126","œ∏÷·‹Èª®","1.02410557618331","0.972525558259103","0.999241022546107","1.02026624820985","1.0301994913322","1.01121868562984","1.00036282258788","1.00335667448009","19"
"127","œ∏≥›“∂Ë⁄",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"128","»ﬁÈ™","1.0973498649415","1.05132808281699","1.06164475831911","1.04491637641101","1.03915450039399","1.03534854943302","1.03354985241858","1.03327999068762","236"
"129","Õ¯¬ˆ…Ω¡˙—€","1.15270708235508","1.09513004915852","1.09787506764802","1.07220813465633","1.07904604385698","1.07196454385263","1.06877153230526","1.06573711352884","68"
"130","¬ﬁ…° ˜","1.00790254528915","1.00281485565807","1.00143211995132","1.00020915138557","1.00041201652159","1.00264035441258","1.00433170832452","1.00378490348641","3696"
"131","¬ﬁ∏°∂≈æÈ","1.05653482949843","0.982296955855694","0.973141336945028","0.972162277644772","0.98100165804536","0.987373003865733","0.990720225396506","0.994017851346068","1404"
"132","¬ﬁ∏° ¡","1.01660558829276","1.04922693116245","1.03806777852115","1.04154957204699","1.04297459741903","1.0240518955176","1.02022369678555","1.01802685450601","291"
"133","–§∆—Ã“","0.937546236996059","0.963947371200261","0.963366861202662","0.965496143252245","0.969162660697198","0.973047319386889","0.975511309700906","0.976142850262418","1526"
"134","∑ º‘∫Ï∂π","0.852525059942118","0.914101148956786","0.922372383242818","0.963994223617178","0.986670844278846","0.98375467216154","1.00244549465134","1.00328918528049","14"
"135","ÎŸ÷¨",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"136","œŸ“∂“∞”£","0.935812136600895","0.933050100037957","0.960380296149792","0.959065648075197","0.949437386932653","0.956022326822439","0.95712901636632","0.95835483194868","28"
"137","œŸ±˙…Ω∑Ø","1.22234036160632","1.04962506117327","0.935010871002319","0.89452394322209","0.88984288576915","0.874482251256442","0.900015404854174","0.94253073542663","3"
"138","ÕŒπ˚ƒæ","1.03382116137983","1.05504680518097","1.06585670863286","1.06913824512775","1.07994613574938","1.06747430149773","1.06273963018215","1.05817319318735","114"
"139","√¢π˚","0.625331700865662","0.626845808044473","0.761803329219959","0.840931126945435","0.919930786380864","0.958207134273435","1.01795983257193","1.06288964513028","38"
"140","≤Ë∏À÷Ò","1.20809636733205","1.08957301047663","1.06179739728475","1.06491156458052","1.04337810116695","1.07758898243327","1.11578174518036","1.13759279893785","19"
"141","¿Û÷¶",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"142","∫…ƒæ","1.0383602563251","1.03014926745986","1.01526718833424","1.00400041794465","0.998120009276033","0.999434159827424","1.00080974194143","0.999681223461467","2290"
"143","∆—Ã“","0.949418928550947","0.867557066896548","0.874828547976387","0.878449094918644","0.904184233652194","0.893978423081756","0.910195681836455","0.911311237173418","22"
"144","±°“∂∫˙Õ©","0.710224337432708","0.846748417588869","0.87774972327297","0.91594102202395","0.936888729068987","0.980473631576742","0.979027240300402","0.963083006718154","26"
"145","ª¢∆§È™","1.36894278736918","1.12173365290004","0.960683583041723","1.0075046030928","1.02865229725598","1.00938616684561","1.03953602470176","1.01614229158658","3"
"146","∫÷“∂±˙π˚ƒæ","0.94381569736564","0.957012246855861","0.967426420307272","0.980135170794421","0.984107968557749","0.985344151445243","0.987591485511604","0.992764654887165","1255"
"147","π»ƒæ","0.982639759654569","0.996765731580211","0.998284774524979","0.998893258173095","0.998486655045342","0.997234072086906","0.996051691237812","0.995642502015062","1288"
"148","≤Ú∆§’¡","1.21896716427331","1.0748861809675","1.21414210627622","1.18329635872794","1.2427712821379","1.23261701287462","1.18643329064187","1.1722166561454","8"
"149","≥‡È™∆—Ã“","0.62841049111072","1.33035215204025","1.0587384849215","1.00235063663075","1.03602669872725","1.00424983121852","1.04473692109133","1.04379028506878","2"
"150","‘Ωƒœ∂¨«‡","0.985531899507985","1.00344557483838","1.05812368270208","0.968808029304895","0.956513622895861","0.99931923243577","0.975557712911467","0.982280488814537","13"
"151","‘ΩƒœÃÏ¡œƒæ","1.12869617596615","1.11367838536071","1.06702575968379","1.08749943835618","1.07267802830744","1.06138248128127","1.06054525408245","1.04598381847771","45"
"152","‘Ωƒœ…Ω∑Ø",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"153","‘Ωƒœ…Ω¡˙—€","0.924558753418661","0.860469199034502","1.02796681983685","0.995264634817211","0.923929424307883","0.941414247745019","0.949920955751596","0.958858856710325","5"
"154","¬÷“∂ƒæΩ™◊”","1.00774675448892","1.01314677450141","0.999534638605772","1.00395005450805","0.99947211753524","1.00894707781478","1.00847342123894","1.0091252916905","196"
