,x
ACECOR,539
ACEWIL,1
ADIMIL,661
AIDCOC,9
ALAKUR,33
ALBKAL,454
ALNFOR,247
ANTJAP,13
ARACHI,15
ARDCRE,2
CALBOD,3
CALGIR,2
CALRUB,1
CAMCHE,8251
CAMCUS,29
CAMFRA,4108
CARVIM,6
CASCAR,83
CASEYR,12333
CASFAR,1228
CASTIB,259
CELBIO,24
CHISAL,7795
CHOAXI,16
CINSUB,1948
CLECYR,56
CLEJAP,479
CLETRI,3
CORGLA,3341
CUNLAN,9
DALHUP,261
DAPOLD,2711
DENDEN,4
DIOMOR,53
DIPDUB,92
DISMYR,3454
EHRACU,1
ELACHI,22
ELADEC,567
ELAJAP,228
EUOCAR,18
EUOMYR,1
EURLOQ,19
EURMUR,6070
EUSJAP,113
EVOFAR,12
FICERE,24
FRAINS,510
GARJAS,204
GLOPUB,14
HYDCHI,57
IDEPOL,28
ILECHI,302
ILEELM,398
ILEFIC,408
ILELAT,80
ILELIT,156
ILEMIC,26
ILEPUB,105
ILEROT,197
ILESUA,54
ILEWIL,28
ILLLAN,52
LASJAP,14
LESFOR,2
LINAGG,13
LINGLA,34
LINREF,53
LIQFOR,38
LITCUB,17
LITELO,43
LITGLA,1309
LORCHI,4452
MACCOC,7
MACGRI,448
MACLEP,1
MACPAU,2
MACTHU,1377
MAHBEA,3
MALLEI,161
MANYUY,16
MELFLE,12
MELOLD,1142
MICSKI,243
NYSSIN,7
OSMCOO,185
PHOBEA,34
PHOGLA,776
PHOPAR,38
PHOSER,17
PHYGLA,2
PICQUA,6
PIEFOR,1259
PIEJAP,2
PINMAS,2060
PITILL,52
PLASTR,89
PREMIC,21
PRUSCH,46
PRUSPI,43
QUEPHI,10
QUESER,3508
REEPYC,25
RHOLAT,2804
RHOOVA,10767
RHOSIM,4792
RHUHYP,199
RUBCHI,2
SASTZU,4
SCHSUP,8470
SINRAC,10
SLOSIN,43
SORFOL,418
STYDAS,113
STYODO,535
STYSUB,3
SYMANO,252
SYMPAN,9
SYMSTE,626
SYMSUM,54
SYZBUX,3386
TARMOL,146
TERGYM,3158
TILEND,1
TOXSUC,335
VACBRA,2319
VACCAR,1802
VACMAN,2227
VERMON,1
VIBERO,352
VIBSET,1
WEIJAP,1
WIKMON,56
ZANAUS,3
