,sp,gts
1,ACECOR,AM
2,ACEWIL,AM
3,ADIMIL,AM
4,AIDCOC,AM
5,ALAKUR,AM
6,ALBKAL,AM
7,ALNFOR,AM
8,ANTJAP,AM
9,ARACHI,AM
10,ARDCRE,AM
11,CALBOD,AM
12,CALGIR,AM
13,CALRUB,AM
14,CAMCHE,AM
15,CAMCUS,AM
16,CAMFRA,AM
17,CELBIO,AM
18,CHISAL,AM
19,CHOAXI,AM
20,CINSUB,AM
21,CLECYR,AM
22,CLEJAP,AM
23,CORGLA,AM
24,CUNLAN,AM
25,DALHUP,AM
26,DAPOLD,AM
27,DENDEN,AM
28,DIOMOR,AM
29,DIPDUB,AM
30,DISMYR,AM
31,ELACHI,AM
32,ELADEC,AM
33,ELAJAP,AM
34,EUOCAR,AM
35,EUOMYR,AM
36,EURLOQ,AM
37,EURMUR,AM
38,EURRUB,AM
39,EUSJAP,AM
40,FICERE,AM
41,FRAINS,AM
42,GARJAS,AM
43,GLOPUB,AM
44,HOVTRI,AM
45,HYDCHI,AM
46,IDEPOL,AM
47,ILECHI,AM
48,ILEELM,AM
49,ILELAT,AM
50,ILELIT,AM
51,ILEMIC,AM
52,ILEPUB,AM
53,ILEROT,AM
54,ILESUA,AM
55,ILEWIL,AM
56,ILLLAN,AM
57,LASJAP,AM
58,LESFOR,AM
59,LINAGG,AM
60,LINGLA,AM
61,LINREF,AM
62,LIQFOR,AM
63,LITCOR,AM
64,LITCUB,AM
65,LITELO,AM
66,LORCHI,AM
67,MACCOC,AM
68,MACGRI,AM
69,MACLEP,AM
70,MACPAU,AM
71,MACTHU,AM
72,MAHBEA,AM
73,MALLEI,AM
74,MELFLE,AM
75,MELOLD,AM
76,MICSKI,AM
77,NEOAUR,AM
78,NYSSIN,AM
79,OSMCOO,AM
80,PHOBEA,AM
81,PHOGLA,AM
82,PHOPAR,AM
83,PHOSER,AM
84,PHYGLA,AM
85,PICQUA,AM
86,PITILL,AM
87,PREMIC,AM
88,REEPYC,AM
89,RHACRE,AM
90,RHUHYP,AM
91,RUBCHI,AM
92,SCHSUP,AM
93,SINRAC,AM
94,SLOSIN,AM
95,SORFOL,AM
96,STYDAS,AM
97,STYODO,AM
98,STYSUB,AM
99,SYMANO,AM
100,SYMPAN,AM
101,SYMSTE,AM
102,SYMSUM,AM
103,SYZBUX,AM
104,TERGYM,AM
105,TOXSUC,AM
106,VERMON,AM
107,VIBERO,AM
108,VIBSEM,AM
109,VIBSET,AM
110,WEIJAP,AM
111,WIKMON,AM
112,ZANAUS,AM
113,CARVIM,EcM
114,CASCAR,EcM
115,CASEYR,EcM
116,CASFAR,EcM
117,CASTIB,EcM
118,CYCGLA,EcM
119,CYCGRA,EcM
120,CYCMYR,EcM
121,LITGLA,EcM
122,PINMAS,EcM
123,PLASTR,EcM
124,QUEPHI,EcM
125,QUESER,EcM
126,TILEND,EcM
127,LYOOVA,ErM
128,PIEFOR,ErM
129,PIEJAP,ErM
130,RHOLAT,ErM
131,RHOMAR,ErM
132,RHOOVA,ErM
133,RHOSIM,ErM
134,VACBRA,ErM
135,VACCAR,ErM
136,VACMAN,ErM
137,EHRACU,NM-AM
138,MYRRUB,NM-AM
139,SASTZU,NM-AM
140,TARMOL,NM-AM
