"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACECOR","1.08895379791558","1.06352083644034","1.05221175773234","1.04047497751513","1.0265277397633","1.0173490016037","1.00910416632325","1.00292013509759","0.002","0.004","0.004","0.024","0.114","0.274","0.558","0.862","3.35702438059719","3.07270782574301","2.80085890531324","2.3315058908488","1.6246571524872","1.11506471109863","0.605604867791858","0.181523995589859","539"
"2","ACEWIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ADIMIL","0.869764886113962","0.853771676631347","0.858505737553863","0.860688953476918","0.868731424314168","0.877983606800949","0.883540335084213","0.8908853422236","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.6196985827746","-8.65677806839034","-9.61650007881265","-10.2566901337463","-10.3879397409036","-10.2797235795987","-10.4233800262869","-10.3173816361214","661"
"4","AIDCOC","1.19005039673342","0.957833926434695","0.97447453026736","0.930878387785679","0.925683508703942","0.90757321712268","0.904371071402514","0.898470915483217","0.304","0.746","0.794","0.452","0.358","0.222","0.18","0.12","1.0768892371794","-0.355882665333253","-0.258216087007155","-0.781777061159392","-0.923385335562289","-1.22010567436569","-1.36134701878894","-1.52003479411191","9"
"5","ALAKUR","0.767142228126042","0.749823819262609","0.74880061027866","0.758400538710721","0.772072763532228","0.793974930354513","0.810615412511432","0.825029826244751","0.028","0.004","0.002","0.002","0.002","0.002","0.002","0.002","-2.14272371946994","-2.87509167200093","-3.2919136282892","-3.43302177201102","-3.46245798346037","-3.33379143711357","-3.26016854786074","-3.20202055609346","33"
"6","ALBKAL","1.18218794439046","1.16242560840031","1.15640784517073","1.14382275150524","1.13219483685232","1.12049564700574","1.11108037473181","1.10179091318297","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.63650557733674","7.23913822761227","7.53254898010817","7.33228021380365","7.09358514785208","6.81345582734843","6.62652633101618","6.39667812467587","454"
"7","ALNFOR","1.01668249875103","0.979378937620529","0.953276177093235","0.942833989531378","0.938128854441359","0.937032982632805","0.93441832662372","0.931600484454613","0.694","0.58","0.112","0.04","0.016","0.014","0.004","0.002","0.409449792826729","-0.604303542304786","-1.54697867239075","-2.02276535227921","-2.3461574463358","-2.55296911901436","-2.82129483832592","-3.10694898444167","247"
"8","ANTJAP","0.971516659273796","0.891637121932457","0.943180985581992","0.970991533012173","0.961624176058634","0.939549034699712","0.910287591363942","0.911335333844611","0.882","0.278","0.496","0.724","0.58","0.346","0.114","0.082","-0.211203182356528","-1.08291159981475","-0.695032689557516","-0.400252149150698","-0.568138447958486","-0.948479428679005","-1.54070301138898","-1.66032899879706","13"
"9","ARACHI","1.04380055410974","0.974504898937335","0.948496861650344","0.945282588911824","0.919088402213079","0.929080331541392","0.927375727832816","0.928800341644267","0.794","0.864","0.682","0.652","0.476","0.494","0.48","0.47","0.258612372388568","-0.197278800788807","-0.42457189958253","-0.476023468627301","-0.747390944165935","-0.702427780613707","-0.760236926585702","-0.795037667744479","15"
"10","ARDCRE","1.22112970191184","0.983597137022105","0.946771723977214","1.00184956445962","1.01655546220801","0.974105353456189","1.00069830573549","0.993638098773702","0.56","1","0.902","0.928","0.918","0.882","0.994","0.954","0.637502236163329","0.00313417969355854","-0.186103601110446","0.0449405789472977","0.142435289563201","-0.143080054138569","0.0373401330817786","-0.0216068797055258","2"
"11","CALBOD","0.743144302121404","0.843448930570591","0.939141912834423","0.933622225034543","0.903031814612656","0.930517640825678","0.946073325817827","0.966156403832104","0.566","0.704","0.916","0.876","0.77","0.848","0.878","0.95","-0.717943586973679","-0.5318349719208","-0.213521272915921","-0.251728420889926","-0.395408533764629","-0.290328583396183","-0.23290949702959","-0.147732141322979","3"
"12","CALGIR","0.33574236078261","0.424356983773815","0.572588231890067","0.645191341702766","0.72353972485963","0.755990907710073","0.773625738934917","0.781006639734108","0.1","0.04","0.146","0.24","0.472","0.554","0.588","0.602","-1.34523637815244","-1.43134019093936","-1.12728072175159","-0.98370326739457","-0.787975017075142","-0.730041461809824","-0.712255172664583","-0.724964589825604","2"
"13","CALRUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","CAMCHE","0.910357987971302","0.898982148090307","0.897393512719849","0.899995114897304","0.904774507655864","0.909675716256658","0.913980745547079","0.919258647249424","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-13.6302527297318","-18.5063478174217","-20.7526738742498","-21.6530139591553","-21.807737029622","-21.9098514088558","-22.0699058474656","-21.8219997429798","8251"
"15","CAMCUS","0.658447695297967","0.646060377545811","0.603773849764964","0.610450293375267","0.617281296777923","0.626607837909158","0.635731304496982","0.651626675200596","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.03621740936053","-3.82041772281162","-4.68478147605186","-4.91813930945345","-5.13306372383091","-5.33746192144767","-5.53750363652858","-5.62377490476617","29"
"16","CAMFRA","0.732688461157173","0.7488043607708","0.762002832423528","0.773261898719351","0.785586488050857","0.79602120764222","0.807293757115698","0.817758828568019","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-26.9540184810556","-32.3277305736666","-35.2966351960455","-36.5224056478022","-36.8381140549573","-37.3375827898591","-37.1906090603818","-37.0314553692364","4108"
"17","CARVIM","0.770250067601893","0.93311904785097","0.850943874470326","0.841533396509798","0.872128637942781","0.902321830253519","0.908632463099204","0.910583455432636","0.412","0.882","0.538","0.476","0.548","0.648","0.654","0.64","-0.856023891317499","-0.265887980909502","-0.676852261620872","-0.772354782855769","-0.653816002233166","-0.519141330420035","-0.510598880376589","-0.524914380916204","6"
"18","CASCAR","0.87746763570228","0.927663516378055","0.938481519808227","0.935740704755676","0.934874809618647","0.930766485081109","0.93407580929505","0.93961386044777","0.074","0.156","0.166","0.112","0.082","0.046","0.04","0.042","-1.83189136717661","-1.42407823287641","-1.3915503625756","-1.58653738165661","-1.74034367721876","-1.96222508283874","-1.97362609189823","-1.90789822458506","83"
"19","CASEYR","0.958580152252324","0.977570392821829","0.984436127238633","0.987663931747684","0.989764233128329","0.99264799288426","0.994370805029083","0.995414347368172","0.002","0.002","0.002","0.002","0.004","0.044","0.094","0.15","-7.41424156367177","-4.90597927310119","-3.7957278004932","-3.23961703395884","-2.86430017347738","-2.17941589204411","-1.76431875632444","-1.52383857864577","12333"
"20","CASFAR","0.79090348667145","0.790253464317716","0.789311078811209","0.79268335509871","0.800834879273362","0.810560308570206","0.82209691404195","0.83164503627286","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-11.4794117259129","-14.4660960177206","-16.0494261985436","-16.9945371675947","-17.289931790598","-17.4181070848985","-17.3045707484574","-17.2369051813152","1228"
"21","CASTIB","0.676593244698512","0.740734916446251","0.777150061299272","0.79551127440419","0.806731869396881","0.816360003604907","0.829195534425788","0.841748006519137","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.5854018313202","-9.41788152952325","-9.47741956884387","-9.46376943620542","-9.64470998622839","-9.796561519498","-9.71903043342067","-9.62777815605664","259"
"22","CELBIO","0.656169209565014","0.657728429798436","0.686316741933964","0.716713501704039","0.74552821215696","0.760237487430267","0.774281944468973","0.803275368822562","0.008","0.002","0.002","0.002","0.002","0.004","0.004","0.006","-2.58229746283382","-3.25079292374116","-3.33860547666427","-3.26540944192988","-3.14410491242257","-3.16459834473476","-3.13208402175835","-2.8617204281287","24"
"23","CHISAL","0.853616494124368","0.86199001873263","0.874060655927144","0.884908519790761","0.893264134702378","0.90167484626584","0.909277497184725","0.916579392455777","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-21.1379963066057","-24.3548980867725","-24.667522199639","-24.2337570353382","-23.8022839824378","-23.2674340321701","-22.7576343281896","-22.064047550161","7795"
"24","CHOAXI","0.99932442237483","1.04205325890041","1.04208209037657","1.0330069919813","1.00056219783873","0.996331299918313","1.01055897360739","1.00845471692855","0.99","0.746","0.732","0.798","0.994","0.966","0.904","0.916","-0.0283801339797259","0.279385535728522","0.318895182698376","0.275419815266757","-0.0121342317319536","-0.0674323172357552","0.0872104224949475","0.0695748873902696","16"
"25","CINSUB","0.864788081336468","0.864024762524938","0.861110995270214","0.868279577984691","0.874332798254772","0.879188306806395","0.883842858187581","0.889192960137216","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.72545489058597","-13.0010684117923","-14.7296679049443","-15.2149674453666","-15.6907316546601","-16.0724076577004","-16.5179343868005","-16.6595043065781","1948"
"26","CLECYR","0.660323036063123","0.740228874602217","0.770477267858563","0.793629134605287","0.813157926611859","0.834481650093604","0.859141919994502","0.877297446341222","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.1990449830912","-4.1735784827672","-4.29292035988003","-4.28609011229489","-4.16013508128718","-3.92691308163528","-3.58844984739477","-3.31596258602427","56"
"27","CLEJAP","1.16593254951717","1.11478814057245","1.07353251784445","1.05024862433702","1.03869776167659","1.02924605756869","1.0219089404628","1.0165585083876","0.002","0.002","0.002","0.012","0.04","0.084","0.156","0.258","6.27581326941578","5.1887225972903","3.6595927557486","2.66803797644343","2.18435467558971","1.74973705119459","1.39686207523889","1.11513300907836","479"
"28","CLETRI","0.704766086898679","0.771289126043883","0.891787344414766","0.920521417108882","0.889560593975671","0.898652374185293","0.897495874313545","0.886458270863834","0.43","0.306","0.598","0.69","0.508","0.514","0.482","0.386","-0.89758892310265","-1.03767082546141","-0.564999893872912","-0.451978697932597","-0.695757541953511","-0.668849266885779","-0.724680344784643","-0.860290667030405","3"
"29","CORGLA","1.03984493360043","1.06371986250601","1.072923502787","1.07698821084634","1.07691414878834","1.07477588946792","1.07105373752711","1.0665121436724","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.92240715212895","7.65518687169198","9.70514029415832","11.0407298188801","11.830027125443","12.2995966303895","12.4019441254173","12.273451468229","3341"
"30","CUNLAN","1.31824813651628","1.07162654102241","1.01308951050145","0.946075279369489","0.950713580611678","0.961326795853675","0.943627851750347","0.935778639018533","0.144","0.612","0.886","0.71","0.68","0.71","0.62","0.53","1.50114791602292","0.45068947199147","0.113277996704661","-0.372198146456028","-0.392302647962829","-0.334796759748702","-0.537682178929951","-0.650325085904839","9"
"31","DALHUP","0.898907807808088","0.900647715632266","0.87545433057572","0.863235116243519","0.860766091823271","0.863052949373779","0.867264494736991","0.871236982829997","0.012","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.50782244004876","-3.07977603027241","-4.2553805598171","-5.02438845682268","-5.43347878062997","-5.66273731802078","-5.84020478534786","-5.99436993738127","261"
"32","DAPOLD","0.957937882800109","0.937419999075665","0.926221202049007","0.920084789922672","0.915997461225654","0.914445093917229","0.914402841435661","0.915351701486781","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.51404786749842","-6.76801954251728","-9.02967258917616","-10.6043862109149","-11.8996006550222","-12.8260065373537","-13.5214383410142","-14.0839202781252","2711"
"33","DENDEN","0.428758995431613","0.480526599361624","0.590530953635536","0.611940542281179","0.617093571657084","0.643631879570527","0.656609120047515","0.68311614886154","0.04","0.022","0.056","0.062","0.056","0.076","0.064","0.078","-1.8076590155561","-1.99639490629209","-1.74433379536084","-1.7796080321389","-1.86587482912064","-1.83639334971085","-1.8676822061405","-1.78726786423533","4"
"34","DIOMOR","0.953292903772489","1.03082767724743","1.01079939177275","0.997095323811428","0.96218138755829","0.947425135488095","0.932607296201464","0.925323504453491","0.576","0.584","0.864","0.904","0.31","0.13","0.05","0.018","-0.581013298520112","0.508032432283158","0.168261943554198","-0.118731802938765","-0.994401138836095","-1.45765592990403","-1.94422387855573","-2.26763287136104","53"
"35","DIPDUB","1.05333804465067","1.08356476514712","1.04334618339368","1.00644034306112","0.99608623721622","1.00234153005061","0.992250026489592","0.986905518310481","0.402","0.046","0.212","0.802","0.932","0.882","0.78","0.606","0.883344260666319","1.95318243151373","1.30725985674798","0.27362256677575","-0.0678707517690481","0.149725311740785","-0.248669026263422","-0.509196371803633","92"
"36","DISMYR","0.950875562723408","0.908402891847873","0.896643764523727","0.890299944699338","0.889105537631362","0.890660873325743","0.89406526068848","0.898756335679903","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.82240340562712","-11.7520316233124","-14.680444240392","-16.8787511203598","-18.6568722678734","-19.6742642321643","-20.1328609718252","-20.2276875842483","3454"
"37","EHRACU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ELACHI","0.999203856646862","0.96991288468741","0.92822690610294","0.962469671002868","0.957333874815928","0.947655841939026","0.953497159778438","0.955455418640007","0.978","0.798","0.3","0.574","0.482","0.328","0.372","0.38","0.0333506335131867","-0.333812180103927","-1.00987052207877","-0.571444313085179","-0.712470615518784","-0.947214204283114","-0.888288459241822","-0.887260318561709","22"
"39","ELADEC","0.90526615174755","0.923059518465211","0.922816672424105","0.924507662514086","0.926651180487885","0.932733941871174","0.936554198378824","0.94004671112181","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.79841206947403","-4.14732152753316","-4.92270079299274","-5.43081091813365","-5.71334750540512","-5.64381280252747","-5.63679838111255","-5.62350452842956","567"
"40","ELAJAP","1.07344405722692","0.999296377295089","0.993360617223954","0.977335834407903","0.957690675137692","0.956316891338669","0.953205608084891","0.954092667832043","0.072","0.93","0.734","0.254","0.034","0.018","0.006","0.004","1.82419817778523","-0.067499296267511","-0.323507301865552","-1.12319433389526","-2.26698306552992","-2.47895640374983","-2.82318110819699","-2.94647799311376","228"
"41","EUOCAR","0.708084535017758","0.766438199658576","0.754439504765831","0.764457224511267","0.769507994656108","0.764688627561796","0.776269540558374","0.786462614633629","0.04","0.062","0.028","0.02","0.018","0.01","0.012","0.012","-1.74004476828867","-1.62154350848406","-1.89304960051213","-1.93783030063407","-1.97388459137506","-2.12033981336875","-2.12682684202761","-2.14717624737058","18"
"42","EUOMYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","EURLOQ","0.972153001691149","0.875621024734714","0.910835676377483","0.921700923798009","0.919855100266806","0.934615029334685","0.939213131658207","0.949198302935727","0.84","0.16","0.226","0.238","0.158","0.208","0.208","0.264","-0.248563113549492","-1.38477904627815","-1.21944960064309","-1.22418028806585","-1.39833728868147","-1.25225638472107","-1.24901661564584","-1.09385708767278","19"
"44","EURMUR","0.918840535698022","0.905188614994635","0.90457509615503","0.908210166063536","0.912461247778635","0.916585815297392","0.920959845297945","0.924988657792533","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-10.3155170562761","-15.2303152442478","-16.791200182951","-17.3071921005571","-17.3461840077687","-17.4739217033344","-17.4708684742387","-17.4515465331512","6070"
"45","EUSJAP","1.1075645076983","1.10168403951081","1.11758170958548","1.11900159991131","1.10676177173575","1.09731232018582","1.08605645285418","1.07131812803629","0.08","0.034","0.008","0.006","0.008","0.008","0.01","0.016","1.88348628075466","2.14017006184725","2.73494833319798","2.9932209439714","2.86147024254954","2.78009848318685","2.59702162303634","2.27749668605337","113"
"46","EVOFAR","0.953387953129244","1.04796223857799","1.04813360679798","1.00310928189516","0.98256701060044","0.978319384419181","0.969225007522595","0.963141946204034","0.912","0.73","0.69","0.956","0.938","0.894","0.832","0.756","-0.20316992290053","0.303144902972823","0.335667546101578","0.0292409445279205","-0.132701717220936","-0.180171214665442","-0.270092448883861","-0.340011493569297","12"
"47","FICERE","0.614083119365647","0.609476772012027","0.654202248059365","0.731582570057506","0.800760189856465","0.86782892262069","0.903725418895978","0.928809477928819","0.002","0.002","0.002","0.002","0.002","0.002","0.01","0.026","-3.42414443013757","-5.26114653419636","-5.73563253722308","-5.04784681878554","-4.16049719029722","-3.04792942811248","-2.45718063738118","-1.99700195920371","24"
