"","allsp","","","","","","","","","abund"
"1","ACECOR","1.0909016596386","1.06666707990568","1.0549078009343","1.04272845018717","1.02822845650134","1.0189127173374","1.01025375513478","1.00414200361489","539"
"2","ACEWIL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ADIMIL","0.865982689208676","0.858362149377759","0.860765854266169","0.862070566810033","0.869848893724108","0.880685997602886","0.886296538903519","0.893461846601916","661"
"4","AIDCOC","1.19005039673342","0.957833926434695","0.97447453026736","0.930878387785679","0.925683508703942","0.90757321712268","0.904371071402514","0.898470915483217","9"
"5","ALAKUR","0.753221423280571","0.745170333797177","0.743327885695699","0.750403531851251","0.764824920908726","0.788584576642756","0.807524861771744","0.824166995785292","33"
"6","ALBKAL","1.2005594715586","1.18692851775527","1.1803063680874","1.16786782007107","1.15514467763833","1.14243740396771","1.13259956301682","1.12292597240448","454"
"7","ALNFOR","0.994895665878016","0.97448414880342","0.949342597249022","0.949011295204569","0.946926747353598","0.942961940209803","0.939153617970945","0.935243242124432","247"
"8","ANTJAP","0.971516659273796","0.891637121932457","0.943180985581992","0.970991533012173","0.961624176058634","0.939549034699712","0.910287591363942","0.911335333844611","13"
"9","ARACHI","1.04380055410974","0.974504898937335","0.948496861650344","0.945282588911824","0.919088402213079","0.929080331541392","0.927375727832816","0.928800341644267","15"
"10","ARDCRE","1.22112970191184","0.983597137022105","0.946771723977214","1.00184956445962","1.01655546220801","0.974105353456189","1.00069830573549","0.993638098773702","2"
"11","CALBOD","0.743144302121404","0.843448930570591","0.939141912834423","0.933622225034543","0.903031814612656","0.930517640825678","0.946073325817827","0.966156403832104","3"
"12","CALGIR","0.33574236078261","0.424356983773815","0.572588231890067","0.645191341702766","0.72353972485963","0.755990907710073","0.773625738934917","0.781006639734108","2"
"13","CALRUB",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","CAMCHE","0.910331369319458","0.898955716541419","0.897378887762916","0.899949436517845","0.904722042557371","0.909639341051225","0.913952260013442","0.91923356941882","8251"
"15","CAMCUS","0.658447695297967","0.646060377545811","0.603773849764964","0.610450293375267","0.617281296777923","0.626607837909158","0.635731304496982","0.651626675200596","29"
"16","CAMFRA","0.732574168658824","0.748780964173421","0.761950158889789","0.773207364167263","0.785545645328969","0.795992467125928","0.80726515078032","0.81774706821214","4108"
"17","CARVIM","0.971553834509409","1.12776504400298","1.01889546939243","0.997259095508817","1.05519522939726","1.12925052294651","1.12861309798443","1.13299710516277","6"
"18","CASCAR","0.870252264857335","0.907114562789862","0.923751168315835","0.927291855919651","0.927440406503849","0.925933877020881","0.929622357927357","0.935949638189972","83"
"19","CASEYR","0.997039429378561","1.00435091488738","1.00466810706748","1.00357493392373","1.00384608370148","1.00551990097587","1.0061503702381","1.0060575292367","12333"
"20","CASFAR","0.776683008742512","0.780047234689545","0.779187229034591","0.783082546541077","0.791811561506542","0.80204892227295","0.813565184813523","0.823619353350061","1228"
"21","CASTIB","0.699449590859191","0.753954701755714","0.784885721515846","0.800159231740539","0.808679198891111","0.821941240887834","0.834840364542619","0.847158454397579","259"
"22","CELBIO","0.59795999492174","0.592562045383823","0.626524241467384","0.682635254066453","0.709473976690055","0.720390567270423","0.733153624927074","0.76455752712676","24"
"23","CHISAL","0.853581538110037","0.861963308088917","0.874067975726543","0.884928648193396","0.89328549017835","0.90170531090603","0.909310485435272","0.916620584818356","7795"
"24","CHOAXI","1.1047190777339","1.18705711936331","1.19405423953688","1.20582522814633","1.18915943909212","1.16502296264338","1.15909620063408","1.13546625075081","16"
"25","CINSUB","0.865102211102546","0.864530815276939","0.861686120205393","0.868978202738243","0.874974690260461","0.879729914296663","0.884335567378148","0.889697917853579","1948"
"26","CLECYR","0.660323036063123","0.740228874602217","0.770477267858563","0.793629134605287","0.813157926611859","0.834481650093604","0.859141919994502","0.877297446341222","56"
"27","CLEJAP","1.20350042504555","1.14475333401794","1.10071407790171","1.07488253586914","1.06199094648404","1.05043550134176","1.04123409447113","1.03407353252597","479"
"28","CLETRI","0.704766086898679","0.771289126043883","0.891787344414766","0.920521417108882","0.889560593975671","0.898652374185293","0.897495874313545","0.886458270863834","3"
"29","CORGLA","1.03971432609414","1.06350880523328","1.07271987810832","1.07685038785261","1.07679724955188","1.07469096354832","1.07098258145846","1.06645190133845","3341"
"30","CUNLAN","1.94774508555202","1.48787327115777","1.42257537471622","1.21560632482932","1.25101919789154","1.20747380865224","1.17529365393602","1.13614742262727","9"
"31","DALHUP","0.887141270678685","0.903674857701242","0.884510900218479","0.872683443035947","0.874805416396077","0.877859535159848","0.882380019524561","0.886522597305444","261"
"32","DAPOLD","0.945222841462876","0.928641837836717","0.918652404111754","0.912555091524533","0.90867884319946","0.906971995928843","0.907125094042957","0.908535888399476","2711"
"33","DENDEN","0.428758995431613","0.480526599361624","0.590530953635536","0.611940542281179","0.617093571657084","0.643631879570527","0.656609120047515","0.68311614886154","4"
"34","DIOMOR","0.951302339355296","1.03968911344253","1.01810975410236","1.00350624383356","0.966393975227938","0.950211656082811","0.934943840919525","0.927530483175246","53"
"35","DIPDUB","1.05333804465067","1.08356476514712","1.04334618339368","1.00644034306112","0.99608623721622","1.00234153005061","0.992250026489592","0.986905518310481","92"
"36","DISMYR","0.962417070965003","0.917518328366527","0.903792058587904","0.896707708892149","0.89507479552938","0.896460364525375","0.899784722218782","0.904038808980273","3454"
"37","EHRACU",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ELACHI","0.990186435981001","0.947813971886073","0.909697487258403","0.956012869848762","0.952936518747903","0.946068077710594","0.954566466751304","0.956375211824574","22"
"39","ELADEC","0.891109197113809","0.912135765486189","0.907813518266829","0.910451381803967","0.910624725167966","0.918599596693732","0.923782204462591","0.92859895809273","567"
"40","ELAJAP","1.0648581107925","0.979081649585364","0.983909218512757","0.969381828534098","0.953479632786938","0.950969798368418","0.950786814470513","0.952237707581691","228"
"41","EUOCAR","0.708084535017758","0.766438199658576","0.754439504765831","0.764457224511267","0.769507994656108","0.764688627561796","0.776269540558374","0.786462614633629","18"
"42","EUOMYR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","EURLOQ","0.972153001691149","0.875621024734714","0.910835676377483","0.921700923798009","0.919855100266806","0.934615029334685","0.939213131658207","0.949198302935727","19"
