"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACECOR","1.11707578367302","1.07069040262535","1.05422332138696","1.03899892821106","1.02373672264894","1.01940455151072","1.01477656657433","1.01279271827363","0.002","0.002","0.002","0.002","0.002","0.002","0.016","0.018","6.09221744783879","6.02319860290318","5.89351860652249","5.06564109753899","3.48798814678157","3.17137575755554","2.59042744201065","2.41901922376816","539"
"2","ACEWIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ADIMIL","0.937087790464037","0.975871781789101","1.00424340168334","1.00772082888977","1.01219424941451","1.01829425035169","1.01915630268786","1.01842673630984","0.002","0.038","0.652","0.302","0.074","0.002","0.002","0.002","-3.3185834480079","-2.22075095870381","0.46245473258073","1.037214492791","1.84048711408251","3.07833662534018","3.35157672804898","3.39890959996115","661"
"4","AIDCOC","1.20739133761417","1.10621539768096","1.13092929779573","1.10536778212376","1.10836957620179","1.04723097070089","1.08504298878493","1.09480864557928","0.206","0.274","0.078","0.096","0.048","0.386","0.07","0.03","1.38328795447025","1.14667598557018","1.88798832026794","1.72535139413715","1.93589300774301","0.915118649692145","1.76900414075716","2.16297345693311","9"
"5","ALAKUR","0.806900321763962","0.907175248432287","0.943136652776191","0.992791960709919","1.03708173463215","1.03683424341651","1.02424782310069","1.01970682004085","0.014","0.06","0.14","0.898","0.21","0.166","0.366","0.448","-2.49026503187087","-1.96058942423521","-1.52432097859393","-0.203020919815895","1.28941033712618","1.34937556511168","0.935918976147192","0.820343470357668","33"
"6","ALBKAL","1.11303106217321","1.06268692802384","1.03511687969819","1.01804218380149","1.00167311719778","0.992463204019785","0.988235351236801","0.98798817463847","0.002","0.002","0.002","0.036","0.832","0.25","0.076","0.044","5.77790928902018","5.09616423003072","3.72738296801652","2.19332684553607","0.208356312678358","-1.13058916191245","-1.83043578936097","-1.9860370627103","454"
"7","ALNFOR","0.997644757939019","1.02670116126178","1.02916638803066","1.02091458958748","1.02715424384653","1.02241946918029","1.01802181402729","1.01797092656021","0.992","0.148","0.034","0.072","0.006","0.012","0.034","0.04","-0.0766698078869366","1.5008450215449","2.22622262564613","1.88877894270151","2.7260416767125","2.44191830757208","2.07783358455061","2.14885151404865","247"
"8","ANTJAP","1.11273684541054","0.947758103983399","1.05751119605669","1.09045331460056","1.09411709158499","1.0556776512796","1.03920163736513","1.03737176593508","0.442","0.47","0.362","0.082","0.034","0.176","0.334","0.324","0.827131158269568","-0.773199225644455","0.927350394204123","1.79261110350251","2.1440484518344","1.37970930523029","1.00621006849664","1.03866125385673","13"
"9","ARACHI","0.85499864019881","0.904236759375079","1.06035347538733","1.10212251017792","1.06177427210371","1.05164485913604","1.05080585260357","1.06261119762236","0.218","0.14","0.212","0.02","0.098","0.114","0.118","0.032","-1.38312798767992","-1.53772288541732","1.2703529827584","2.50339466137354","1.70425507487106","1.55082732687382","1.62676745449017","2.16418684550919","15"
"10","ARDCRE","0.978042537657069","0.836119493974711","0.826977584758967","0.921013326652341","0.81718287085378","0.829440746882055","0.872903594856763","0.90627138692688","1","0.51","0.344","0.612","0.18","0.138","0.266","0.392","-0.0732458497626691","-0.812705510414196","-1.05843408235598","-0.56943629016843","-1.49992046740255","-1.55752549627559","-1.28605393554245","-1.02368300233103","2"
"11","CALBOD","0.854380102511557","1.07885905447581","1.14309667972713","1.10207670734997","1.08717576414209","1.0707366090937","1.04803936759742","1.06331190499734","0.69","0.66","0.24","0.32","0.348","0.452","0.6","0.472","-0.550736840600477","0.534509319119425","1.28139652307418","1.0614311077316","0.988623424907416","0.857677961155697","0.602397420057703","0.812957368599132","3"
"12","CALGIR","0.360123216996356","0.820553586203389","0.891758411012422","1.06794786112237","1.22236369480546","1.15599025362057","1.13021285175043","1.08181908603537","0.07","0.426","0.57","0.65","0.088","0.186","0.254","0.43","-1.85576591429387","-0.90312927656268","-0.689607403332603","0.546175948258283","1.90929843153467","1.45648816799603","1.29010972953823","0.861454475179513","2"
