"","allsp","","","","","","","","","abund"
"1","ACECOR","1.11707578367302","1.07069040262535","1.05422332138696","1.03899892821106","1.02373672264894","1.01940455151072","1.01477656657433","1.01279271827363","539"
"2","ACEWIL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ADIMIL","0.936071155516488","0.97353174025272","1.00345754346498","1.00684946395274","1.01131948506385","1.01795137995143","1.01895999978755","1.01831228730966","661"
"4","AIDCOC","1.20739133761417","1.10621539768096","1.13092929779573","1.10536778212376","1.10836957620179","1.04723097070089","1.08504298878493","1.09480864557928","9"
"5","ALAKUR","0.806900321763962","0.907175248432287","0.943136652776191","0.992791960709919","1.03708173463215","1.03683424341651","1.02424782310069","1.01970682004085","33"
"6","ALBKAL","1.11939208493653","1.0667202828108","1.03795937865416","1.0203016417944","1.00279663861011","0.992897012062334","0.987567991388293","0.987321661725382","454"
"7","ALNFOR","0.996191483038418","1.02645399455257","1.02686511410262","1.02264195990706","1.0292991792576","1.02259835096312","1.01625514350211","1.01668210103242","247"
"8","ANTJAP","1.11273684541054","0.947758103983399","1.05751119605669","1.09045331460056","1.09411709158499","1.0556776512796","1.03920163736513","1.03737176593508","13"
"9","ARACHI","0.85499864019881","0.904236759375079","1.06035347538733","1.10212251017792","1.06177427210371","1.05164485913604","1.05080585260357","1.06261119762236","15"
"10","ARDCRE","0.978042537657069","0.836119493974711","0.826977584758967","0.921013326652341","0.81718287085378","0.829440746882055","0.872903594856763","0.90627138692688","2"
"11","CALBOD","0.854380102511557","1.07885905447581","1.14309667972713","1.10207670734997","1.08717576414209","1.0707366090937","1.04803936759742","1.06331190499734","3"
"12","CALGIR","0.360123216996356","0.820553586203389","0.891758411012422","1.06794786112237","1.22236369480546","1.15599025362057","1.13021285175043","1.08181908603537","2"
"13","CALRUB",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","CAMCHE","0.950783578678053","0.970517676243884","0.985066913810323","0.993974165904407","1.0016193162787","1.00644840331178","1.00877757046221","1.00881954676673","8251"
"15","CAMCUS","0.779888391824884","0.892317090484015","0.904027443889038","0.93366425260715","0.968555197461614","0.966940858169642","0.982452374462719","0.992131393866828","29"
"16","CAMFRA","0.847201045034234","0.918935733165772","0.960844691029274","0.980328993057842","0.993257399183179","1.00398372807447","1.00997962011693","1.01433065823847","4108"
"17","CARVIM","0.920520230987364","1.04123386018225","0.99152405169799","1.0121771452542","0.97853054948075","1.01044076590047","1.01040708699851","1.00384867950353","6"
"18","CASCAR","0.969467770313105","0.993482371848289","1.01501046596276","1.00306789063363","0.996670669982065","0.99088264436062","0.98970674225125","0.995387932644919","83"
"19","CASEYR","0.9927586439781","0.993782833016175","0.990383510165257","0.987390044767353","0.986655052636339","0.984483409592726","0.983528635783191","0.983387027510729","12333"
"20","CASFAR","0.885359658842714","0.950758666993351","0.973808523583086","0.994777650297924","1.00672293649467","1.01442798376613","1.01557060892588","1.01785332403255","1228"
"21","CASTIB","0.763957327263482","0.889003206731036","0.959074701301448","0.998393405073427","1.00619368934686","1.01150400389552","1.01363139918753","1.01549062489986","259"
"22","CELBIO","0.711840977843951","0.822035117499271","0.875682851428635","0.973785073244104","0.98700327160597","0.990730499663318","1.00418786132643","1.01418761810272","24"
"23","CHISAL","0.890489365553843","0.945954859835389","0.967169598739157","0.97979251602765","0.987414711694186","0.990980163803718","0.994561388654656","0.998189870657182","7795"
"24","CHOAXI","1.12548389696617","1.09630485006449","1.11107722375088","1.12209987241516","1.10212922855259","1.08438036107092","1.07652261609805","1.09225781734791","16"
"25","CINSUB","0.966058297380137","1.00557019631709","1.01664422265384","1.02851988152968","1.03305872661912","1.03366182728203","1.032509251768","1.03005370230586","1948"
"26","CLECYR","0.794442992713013","0.88247244905925","0.950618026437402","1.00241447155706","1.03610791231247","1.05241399626077","1.05457407096638","1.05675184778343","56"
"27","CLEJAP","1.1390626680689","1.092714872824","1.07713727613618","1.05521673258997","1.03891418322674","1.02444892185359","1.0203510276675","1.01338407713297","479"
"28","CLETRI","0.792397424851053","0.932844583216255","1.08837213271398","1.16985985330131","1.14020857308038","1.11855027402104","1.15121989824113","1.15461014047285","3"
"29","CORGLA","1.05081958615258","1.04154691201051","1.0187903472836","1.00664204798384","1.00032613073092","0.99548615326018","0.992086494735076","0.992970005972873","3341"
"30","CUNLAN","1.37835383474274","1.14131465633988","1.05217356891573","1.02543772013211","1.10696868599169","1.06641042004546","1.04254973806921","1.01164610489247","9"
"31","DALHUP","0.96495060073242","1.00596005003725","1.0145307889176","1.03005022007471","1.0301571160768","1.02548037214983","1.03179832424434","1.0343663814661","261"
"32","DAPOLD","1.0229618654662","1.02640726896443","1.02104126238236","1.0211156488266","1.02056782937419","1.02114149930639","1.02196871539695","1.02207717586616","2711"
"33","DENDEN","0.667988641887429","0.839461728014785","1.01222314975127","1.05832714346241","1.09477222978578","1.15527768707126","1.15184040560378","1.12747611786578","4"
"34","DIOMOR","0.989287341295463","1.02740142722603","1.03892746072248","1.03367726543938","1.01590272212148","1.00709142161668","0.999702357087145","0.998114439831949","53"
"35","DIPDUB","1.09785711834227","1.17416711673633","1.14925560882236","1.13285386852036","1.13384651165686","1.12867967800162","1.12385014143928","1.11716128497094","92"
"36","DISMYR","0.948907995910327","0.987645357353282","1.02399854654028","1.04177798883254","1.05644734417334","1.06045527445578","1.0608822433452","1.05927901608721","3454"
"37","EHRACU",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ELACHI","1.05935196083787","1.08276655746018","1.04118919833956","1.06344670971555","1.03469435962754","1.03846208871532","1.042507960379","1.050390694843","22"
"39","ELADEC","0.969426939198257","1.00904332602593","1.03191979372522","1.03417854128423","1.03283894759627","1.03325959279151","1.03286152053329","1.03142611305379","567"
"40","ELAJAP","1.09326560661464","1.08705848705445","1.10488348203183","1.08028772327925","1.07353032465095","1.08081522628933","1.08027330110517","1.07519370851475","228"
"41","EUOCAR","0.824268039280757","0.955189438274387","0.96586126318502","1.03134790740773","1.03160312327909","1.00723243197372","1.0051928363771","1.0071660613732","18"
"42","EUOMYR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","EURLOQ","1.13473626388897","1.08578132925501","1.0916304766737","1.08479945439453","1.08606134790371","1.08678685464044","1.08157786935226","1.08824337106406","19"
"44","EURMUR","0.993180511048871","0.994250210254872","0.996521143805685","0.998045917486571","0.997111509322356","0.995687241295933","0.996019064437204","0.995240721638774","6070"
"45","EUSJAP","1.08096573490299","1.04558508170903","1.04249593924403","1.02715639175293","1.01816633242909","1.01237761321255","1.0113532316605","1.01906008769193","113"
"46","EVOFAR","1.12099107108912","1.11285676508388","1.12754857274823","1.12828594287689","1.097330078775","1.06668448995212","1.05047169240103","1.02803726893453","12"
"47","FICERE","0.549092149858603","0.815321634780582","0.949570936758538","1.11683196855841","1.17558879039615","1.17997082296066","1.18118530811795","1.1710501223735","24"
"48","FRAINS","1.07101715634963","1.03158548895979","1.02271986561477","1.01846654104259","1.01806572133598","1.01927765752073","1.01336396906387","1.01744911559179","510"
"49","GARJAS","1.01347141071771","1.02891723006212","1.04124412368587","1.06153004103661","1.06337193181195","1.0647156348202","1.062736411516","1.05609654488645","204"
"50","GLOPUB","0.98986466889753","0.973103244213831","1.00091064352051","0.946004171988889","0.947075145493099","0.942817944415323","0.92684352047785","0.949242551529983","14"
"51","HYDCHI","0.749814689569914","0.871697398818811","0.964673902227372","0.982996259447779","0.991644504229129","1.00962430190218","1.02172285587808","1.02630529108422","57"
"52","IDEPOL","0.813442721106429","0.958286150359746","1.01113803127746","1.0376340960603","1.08503660732098","1.06008261429657","1.06998110670876","1.07481295298124","28"
"53","ILECHI","0.980785085993263","0.990631636944512","0.985568869304189","0.985369682864269","0.999966389341085","0.999402567743298","0.997227368190702","0.994248464393727","302"
"54","ILEELM","0.973610646486866","1.0040510021794","1.02289814806102","1.036849280426","1.03818074374647","1.03760468430604","1.03920876696359","1.04176331076009","398"
"55","ILEFIC","0.935087064200642","0.965018009374847","0.993414994099461","1.01769099655159","1.02887147955713","1.0371708805404","1.03751030121522","1.03779387450004","408"
"56","ILELAT","0.640707844648958","0.816562036443057","0.955285454842921","1.04365145715646","1.06813485631135","1.08307906101514","1.08309729626209","1.08683700141324","80"
"57","ILELIT","0.966599767848636","0.952452714683853","0.974150827631297","0.979189892060662","0.991173096808085","1.01104228088269","1.03205654848335","1.04402618335394","156"
"58","ILEMIC","1.09395599496029","0.985662740335847","0.995949716416314","1.00405791494349","1.03139794312564","1.01974499774869","1.01549880725034","1.01708342071353","26"
"59","ILEPUB","0.904421018530329","0.98818182900037","1.00675415549432","1.03524181464376","1.0572789462838","1.06414248306923","1.07106131873827","1.06378208123736","105"
"60","ILEROT","0.89097144509381","0.952092880170281","0.980647763142972","1.00358089861765","1.01801429175181","1.02321857323433","1.02192008240369","1.02134513840988","197"
"61","ILESUA","0.916802144833771","0.936984007351645","0.953676026239394","0.981710660536209","0.979489794273793","0.990775464271812","0.998485347666418","1.00011913572707","54"
"62","ILEWIL","0.860413351739927","0.896664363229252","0.911661719650229","0.952459681565991","0.974370653844767","0.984101982046896","1.00261286460705","1.01729042307504","28"
"63","ILLLAN","0.733051152023185","0.831757313173062","0.881335389917736","0.922145744702193","0.979976769168059","0.99792460425982","1.00003229687585","1.00198246820894","52"
"64","LASJAP","1.09368231131393","1.11189289635695","1.10269238723045","1.13358238945038","1.16438746459653","1.13295066980175","1.1202636572838","1.08951314547363","14"
"65","LESFOR","0.733862806516783","0.893236122346874","0.835698701423422","0.965548193587323","1.04231954563517","0.996181714888515","0.93058972812972","0.932837065053862","2"
"66","LINAGG","0.95501235292396","1.00757740833663","1.02686272720493","0.997226184520464","0.996723146096955","1.00228844954001","0.955027331919647","0.951070344021738","13"
"67","LINGLA","0.908283138677681","1.0521426611485","1.07919954714935","1.07539754106737","1.09315449049829","1.08772456164352","1.07561121564161","1.07072158556328","34"
"68","LINREF","1.16833939386759","1.15257185404459","1.13793733440591","1.0829866228088","1.0654725003567","1.05030537444151","1.02460798383611","1.01000011249298","53"
