"","x"
"ACETUT",97249.5432709446
"ADIMIL",285.117361851583
"ADIPIL",10364.3592869595
"ALNCHI",371.531737257183
"ALNFOR",58013.9231501518
"ALTCHI",1370027.37961837
"ANTMON",24858.7312818528
"ARDELE",865.242369006964
"ARDPUN",67.4591048912683
"ARDQUI",16677.1244168486
"ARTHYP",21264.7375837134
"ARTSTY",578388.256903518
"BAEFRU",148.861854616229
"BAUPUR",4.37435361085843
"BEIFOR",17516.9181574855
"BEITSA",21477.0984871413
"BETLUM",1258.8643720875
"BLACOC",714.664890642609
"BREFRU",12.7463053335935
"BRESIN",298.623147209182
"BRIMON",4116.59229535651
"CALKOC",53.9792376730615
"CALMAC",55.2244864611282
"CALSPE",27.9468228481714
"CAMCAU",8245.00404767399
"CAMCOR",1639.80015279394
"CAMOLE",36.2209924995635
"CAMSEM",8025.07614710109
"CAMSIN",2375.00980275396
"CANALB",48976.2230193461
"CAPVER",1.34782178820636
"CARBRA",190.825521406922
"CARDIP",1178.15292982596
"CASCAR",989691.489956124
"CASEYR",222024.558590662
"CASFAB",26364.5170610706
"CASFIS",7543.59565701191
"CASFOR",58285.5724257576
"CASHEN",20403.5111125956
"CASNIG",1373212.0276422
"CASVIL",4056.9424044039
"CINAPP",1128.04099270946
"CINBUR",155505.453721345
"CINCUS",20150.8438895814
"CINPAR",269130.755023224
"CLEFOR",66.4384014381169
"CLEOBS",113.932842095455
"CORSIN",16819.6908339463
"CRAPIN",220.57656091605
"CRASCL",69169.4279871889
"CROLAC",382.60600844072
"CRYCON",239541.506593278
"CUNLAN",1.539380400259
"CYCCHU",516825.027168689
"CYCHUI",206066.533343947
"CYCMYR",5.7680426518072
"DAPCAL",916.134363579342
"DAPOLD",155301.404035393
"DENDEN",177.877604364785
"DENJAP",21718.1664788394
"DICFEB",39.1850851682255
"DIOMOR",76936.1652369787
"DIOSTR",5074.20691315697
"DIPDUB",1025.44662973971
"DIPFRU",3.21400636425504
"DISRAC",100974.892612797
"ELACHI",18849.973203583
"ELADEC",587459.630116642
"ELASYL",446.469953239036
"ENGFEN",232871.585889734
"ENGROX",4593.52265972585
"ENKSER",771.829938885859
"ERIFRA",6313.14282786587
"EUNJAP",17.2665073833949
"EUOKWA",24.0744172035403
"EUOLAX",631.652938620662
"EURACM",32910.5232187207
"EURAUR",116.521043203115
"EURHEB",38970.5511466194
"EURJAP",22.417069999139
"EURNIT",12473.3782937157
"EUSJAP",29.0724554959526
"EVOLEP",4951.63390586598
"EXBTON",36102.8499233123
"FICERE",8.09282121546365
"FICHIR",420.312817185799
"FICHIS",112.848364311436
"FICVAR",12085.3101552078
"FICVIR",77.0281604946538
"FORHIN",1617.9757442489
"GARJAS",2808.47976705262
"GARMUL",109552.289336893
"GLOERI",69.5711190924603
"GLOWRI",1933.84474286977
"HARVIL",30145.5156327112
"HELCOC",4834.91431400716
"HELKWA",41.7302464565313
"HELRET",2288.86717511289
"HETBRE",16135.4018455916
"HOMCOC",8341.96467107787
"HUOBIA",499.29151401925
"ILECHA",9752.33941746821
"ILEDAS",2953.74544055829
"ILEFRA",1.60606070433144
"ILEMEM",84322.4736805765
"ILEPUB",757.363454494793
"ILEROT",1942.73293680531
"ILESUB",1208.27294939225
"ILETRI",840.932646513669
"ILLDUN",3524.12436336426
"ITECHI",235392.697893577
"IXORET",625343.84844732
"LASCHI",286.468875011157
"LAUPHA",5903.2293892218
"LINCHU",53368.480252578
"LINMET",89084.6764609349
"LITACU",56578.0414988477
"LITCOR",91.6869888959364
"LITELO",699852.351731148
"LITGRE",23938.6283798936
"LITHAI",18721.9445064898
"LITLAN",273.428752224637
"LITLIT",49487.8452845307
"LITLOH",93370.0311866514
"LITROT",27169.6871519927
"LITUVA",14881.379217562
"LORCHI",959.996966049498
"MACBRE",168519.551632863
"MACCHI",201612.467945609
"MACLIT",29578.9242925483
"MACSAM",16610.5316846714
"MACVEL",17366.1697764808
"MAEINS",96.6353114846057
"MANFOR",38407.1944687923
"MANKWA",107339.832370999
"MELFOR",56323.3705680391
"MELMAL",344.966665397877
"MELRIG",26858.9687945274
"MELSQU",34024.2669803434
"MICFOV",119705.324053301
"MICGRA",1636.68070836855
"MICSKI",5179.60035664126
"MYRRUB",37304.6902335854
"MYTLAO",92201.1978699722
"NEOAUR",1019.70654726252
"NEOCHU",2987.84059584899
"NEOPHA",235398.205419658
"OLEDIO",27342.7969968066
"ORMFOR",22164.1066810173
"ORMGLA",47523.4770630581
"ORMPAC",265483.311838473
"PENEUR",28929.9695821667
"PHOPRU",11649.6684864475
"PINMAS",2995438.69342615
"PITCLY",2448.71376552203
"PITGLA",666.359919080645
"PITLUC",19928.2453996335
"POLPLA",24252.7611773345
