"","x"
"ACETUT",80
"ADIPIL",1
"ALNFOR",38
"ALTCHI",1417
"ANTMON",2
"ARTHYP",19
"ARTSTY",675
"BEIFOR",3
"BEITSA",21
"BETLUM",1
"CAMSEM",3
"CANALB",43
"CASCAR",455
"CASEYR",160
"CASFAB",26
"CASFIS",4
"CASFOR",59
"CASHEN",17
"CASNIG",618
"CINBUR",125
"CINCUS",21
"CINPAR",315
"CORSIN",1
"CRASCL",35
"CRYCON",39
"CYCCHU",434
"CYCHUI",170
"DAPCAL",1
"DAPOLD",161
"DENJAP",8
"DIOMOR",7
"DISRAC",36
"ELACHI",11
"ELADEC",608
"ELASYL",1
"ENGFEN",156
"ENGROX",1
"ERIFRA",3
"EURHEB",1
"EXBTON",20
"FORHIN",1
"GARMUL",51
"HARVIL",5
"HELCOC",4
"ILECHA",18
"ILEDAS",3
"ILEMEM",38
"ILEROT",2
"ITECHI",14
"IXORET",767
"LINCHU",1
"LINMET",90
"LITACU",1
"LITELO",713
"LITGRE",4
"LITHAI",17
"LITLIT",27
"LITLOH",91
"LITROT",2
"LORCHI",1
"MACBRE",65
"MACCHI",195
"MACLIT",17
"MACSAM",2
"MANFOR",28
"MANKWA",84
"MELFOR",34
"MELRIG",32
"MELSQU",4
"MICFOV",103
"MICSKI",2
"MYRRUB",43
"MYTLAO",64
"NEOCHU",1
"NEOPHA",77
"OLEDIO",17
"ORMFOR",23
"ORMGLA",18
"ORMPAC",296
"PENEUR",29
"PHOPRU",7
"PINMAS",1967
"PITCLY",2
"PITLUC",4
"POLPLA",4
"PYRSPE",2
"QUEBAM",38
"QUEFLE",85
"QUELIT",222
"RANCAN",3
"RAPNER",11
"REEPUB",100
"REHMAC",5
"SAPDIS",5
"SCHCHI",2
"SCHOCT",4
"SCHSUP",436
"SLOSIN",9
"STYFAB",17
"SYMADE",7
"SYMANO",6
"SYMCON",16
"SYMHAI",3
"SYMLAN",4
"SYMLAU",154
"SYMPSU",1
"SYMWIK",48
"SYZACU",26
"SYZHAN",4
"TERGYM",11
"TERKWA",2
"TETGLA",5
"TOXVER",2
"TSOODO",2
"VITQUI",20
"XANHAI",140
"ZANMYR",5
"ZIZJUJ",101
