"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACETUT","0.967989656958975","0.971852116916072","0.966642929260456","0.971604396496152","0.974991749478571","0.979700880477524","0.982362841384744","0.983960993478159","0.08","0.024","0.002","0.008","0.006","0.012","0.018","0.016","-1.75057407216805","-2.19348785838588","-3.10221516826539","-2.94007218450583","-2.92887080484198","-2.60899805779536","-2.49152904893836","-2.48166539066205","1089"
"2","ADIMIL","1.22137350873575","1.03305906880709","1.07090843910002","0.971503629042187","1.00434530549467","1.00491257043166","1.03608947320411","1.03996095833521","0.442","0.85","0.648","0.93","0.91","0.92","0.71","0.65","0.791723766077002","0.161113091689845","0.423443757492739","-0.166417730187192","0.055260075861889","0.0554485697179242","0.351518465798279","0.430377889424128","4"
"3","ADIPIL","0.946610034589804","0.949276450528569","0.955295936780998","0.962906617952836","0.972041228688025","0.982654330076235","0.985742109186732","0.987918130144126","0.118","0.042","0.044","0.042","0.108","0.268","0.32","0.362","-1.51939393633873","-2.03336235770667","-2.05568149204231","-1.90178023196311","-1.57995486732009","-1.08867882306177","-0.992355150905059","-0.925822618874971","314"
"4","ALNCHI","0.95112718318696","1.04067974447805","1.07565411503656","1.05550533596006","1.03717717848599","1.01176237721422","0.985371685385889","0.969765844605113","0.798","0.714","0.448","0.486","0.602","0.854","0.85","0.602","-0.33544800051003","0.33238760194225","0.794475707747869","0.676446657821156","0.51660434611109","0.185245365311413","-0.239099828486504","-0.550765079419396","17"
"5","ALNFOR","1.10898209963962","1.08900589330183","1.06223035304747","1.04117886073216","1.02496097464518","1.01259601391908","1.00437057801572","0.99786478365849","0.002","0.002","0.002","0.016","0.092","0.336","0.67","0.878","3.46991726316133","4.08374996447469","3.5391779696035","2.64360243993237","1.75967967469364","0.985038894538761","0.404443286087678","-0.151869062932308","427"
"6","ALTCHI","0.960156885586012","0.963026352414804","0.96664227633335","0.967277367140603","0.96861720196121","0.967801428575065","0.96739361073024","0.967257976452106","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.70460601463964","-4.89977971233498","-5.293325302275","-5.85755763868358","-6.21731343600344","-7.05291757527501","-7.69880928417599","-8.45153995614913","3394"
"7","ANTMON","0.922948598777084","0.938588930641022","0.949123398219642","0.957180190796131","0.963162430824849","0.967461899596156","0.970830311341204","0.974134335074941","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.91453488762988","-11.2472286356844","-11.1384077434307","-10.461166247135","-10.0440435561774","-9.81291249356407","-9.57345694263322","-9.06862836821015","6090"
"8","ARDELE","0.770369246984344","0.815548661788433","0.837049034263033","0.855843009866662","0.882466425642799","0.895792579089279","0.90862086445047","0.920740025685364","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.60401832663234","-7.43050330104533","-7.64912478138859","-7.52398271483627","-6.81790223636998","-6.58489901365179","-6.21760316313595","-5.84053116836123","298"
"9","ARDPUN","1.01179733588047","1.05145904104923","1.02517580571535","1.01360868859953","1.00783618056009","1.00915964385926","1.01287979809036","1.01606382525219","0.87","0.31","0.526","0.666","0.776","0.748","0.612","0.528","0.152783030469142","1.03759906187576","0.640842628925192","0.398377762360555","0.261920244840985","0.333841607651429","0.51703033913137","0.688812339489171","57"
"10","ARDQUI","1.46145828664322","1.29291905373784","1.20452872972302","1.15559163931991","1.12404444193704","1.10133020526645","1.08442292110927","1.07157750722032","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","68.2933242658818","61.2316071278986","47.5645881686997","39.2952053801909","35.0255732576254","31.5293067721207","28.543512655593","26.3380999404396","7312"
