"","allsp","","","","","","","","","abund"
"1","ACETUT","0.957597758510812","0.958425904515215","0.954177161227093","0.959972422734023","0.965163477320025","0.971395713364134","0.97376582170404","0.975175686470577","1089"
"2","ADIMIL","1.41193338552819","1.17990075446018","1.11699649470696","0.947589450737139","1.00777891286958","1.02988435010175","1.05516942281258","1.05684468689304","4"
"3","ADIPIL","0.952675583299685","0.95194625156033","0.960609241515745","0.967460816574366","0.974544184028584","0.984528176645406","0.987578634747156","0.9892035395491","314"
"4","ALNCHI","0.87572143262648","0.994338563309225","1.03705797441066","1.01584139770554","1.00794007278638","0.983422715018537","0.964244702842986","0.953692523500197","17"
"5","ALNFOR","1.09768565981341","1.1047589380862","1.08589127343322","1.0614196639436","1.0414121225575","1.0211899003418","1.0099752104772","0.999772539272067","427"
"6","ALTCHI","0.949022742063312","0.94513107539017","0.951795861106126","0.955460986335376","0.958024055193571","0.95766556884375","0.957854263340646","0.958119183015467","3394"
"7","ANTMON","0.922369008646397","0.938231123648496","0.948796561323422","0.956866701098997","0.962861304975482","0.967188243363091","0.970613478269934","0.973972748694812","6090"
"8","ARDELE","0.770369246984344","0.815548661788433","0.837049034263033","0.855843009866662","0.882466425642799","0.895792579089279","0.90862086445047","0.920740025685364","298"
"9","ARDPUN","1.01179733588047","1.05145904104923","1.02517580571535","1.01360868859953","1.00783618056009","1.00915964385926","1.01287979809036","1.01606382525219","57"
"10","ARDQUI","1.46145828664322","1.29291905373784","1.20452872972302","1.15559163931991","1.12404444193704","1.10133020526645","1.08442292110927","1.07157750722032","7312"
"11","ARTHYP","0.829616688834274","0.849174217590579","0.85554745291033","0.858292823861911","0.866044398609085","0.883965406811317","0.905018762486816","0.917355123844568","129"
"12","ARTSTY","0.92955224326213","0.957053780163663","0.965897417570998","0.973221014845276","0.976999374487361","0.980128136899038","0.98251220847072","0.98484575483129","3302"
"13","BAEFRU","0.742509912675167","0.827719331728395","0.810024934202572","0.831073493246011","0.851456992682126","0.856644349707728","0.871986042555418","0.88929093037046","21"
"14","BAUPUR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BEIFOR","0.887607718295341","0.905809523110795","0.928610085875304","0.945129830446238","0.958120613739558","0.960159224908684","0.96359837705101","0.966935730819328","489"
"16","BEITSA","0.943745280319551","0.887298929359986","0.900356917810152","0.896651483723414","0.905115461199959","0.906331394165975","0.908278845939578","0.910579183585733","222"
