"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACETUT","0.982450868372182","0.990227700571123","0.988428052154728","0.994175478514916","0.995323751299963","0.995547316991956","0.999738935267477","1.00101242009472","0.242","0.336","0.144","0.376","0.386","0.356","0.95","0.842","-1.11964228184817","-0.950480531943052","-1.48938927761894","-0.909574286250262","-0.856005155424158","-0.916245276815262","-0.0791116542867314","0.257061418356908","1089"
"2","ADIMIL","1.35632194994912","1.12477500248029","1.19624090846573","1.12646387539228","1.12959061386916","1.06909214590014","1.07263827295945","1.05895130074064","0.216","0.51","0.112","0.204","0.152","0.388","0.346","0.368","1.39961222025346","0.765457908371521","1.64413629500613","1.30570908921589","1.52501331269885","0.903465647868501","1.02769218108916","0.940828787224671","4"
"3","ADIPIL","1.00521043001673","1.02506562451653","1.02489007307605","1.02511129304716","1.03604065252759","1.04010492202453","1.0405518956094","1.04464580209781","0.84","0.204","0.1","0.046","0.002","0.002","0.002","0.002","0.189028121708796","1.27903178299817","1.66695673975701","2.03062152566274","3.4778401008893","4.42798394311855","5.03468421640661","6.23594679795581","314"
"4","ALNCHI","1.00599738133944","1.06202738414651","1.11909317296888","1.08707983368321","1.06810137319024","1.05383015409674","1.04636667490026","1.04246640737893","0.964","0.512","0.074","0.096","0.122","0.172","0.17","0.136","0.0464658960922132","0.697640298069409","1.88463314603059","1.69276059357522","1.56012168650339","1.39362849372001","1.35519143363147","1.43780356799806","17"
"5","ALNFOR","1.12378655202492","1.08874767852421","1.06894971658578","1.0553919996738","1.04270886769898","1.02680175127711","1.01652166688778","1.01254477692698","0.002","0.002","0.002","0.002","0.002","0.002","0.014","0.038","4.45941931649827","5.06904494062458","5.27885668963702","5.04648233717145","4.59828314550317","3.40439676377041","2.37925299943349","2.03535011832867","427"
"6","ALTCHI","0.961680567000436","0.966097737292559","0.969262654147123","0.97453815448144","0.980899298675496","0.985647543486382","0.987864875784464","0.990880974186487","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.13405879867694","-5.89914809212171","-7.02236390448334","-7.21094208899725","-6.14971339757511","-5.27894219465574","-4.98133424756616","-4.12491433326876","3394"
"7","ANTMON","0.974866304270713","0.992453948748234","0.999168216292645","1.00205276665975","1.00270131442782","1.00392478187602","1.00394671010197","1.00390806495105","0.002","0.072","0.768","0.458","0.23","0.042","0.02","0.01","-3.91922691262271","-1.91138658101343","-0.297940283040308","0.782924671119963","1.21855123237172","2.0069013361467","2.25684242406187","2.48120778694237","6090"
"8","ARDELE","0.866574716928731","0.907473805924209","0.922517598160013","0.944442545069017","0.97197708629363","0.988182925469661","1.00102887066785","1.00399382136982","0.002","0.002","0.002","0.002","0.006","0.152","0.874","0.54","-4.67492571283641","-5.15743180739168","-5.63267896065317","-4.89973212255614","-2.90598676634661","-1.42841713949911","0.159683179599011","0.632286492668952","298"
"9","ARDPUN","1.0020686663825","1.04632205505673","0.993109667029027","0.99316386379542","0.995431407986237","0.991756473430061","0.98564472457277","0.98085251557065","0.982","0.23","0.806","0.756","0.832","0.664","0.406","0.202","0.0420848899899244","1.20337656154376","-0.272027632024749","-0.315341900338444","-0.236831253068487","-0.451110113707293","-0.847549357106231","-1.23404267130912","57"
"10","ARDQUI","1.07821673469795","1.04132065959883","1.02533120481969","1.02176517323512","1.01823304579915","1.01368901277415","1.00952502725249","1.00845443192049","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","13.7657189809182","11.0802166235909","8.7778761771565","9.14581535737679","9.19823773025941","8.10509651608446","6.17134755963805","6.12236705125804","7312"
