"","allsp","","","","","","","","","abund"
"1","ACETUT","0.967137286429637","0.976941048801689","0.978753444438948","0.982779682998028","0.986699230353414","0.988473881043001","0.993703167195851","0.994442096903203","1089"
"2","ADIMIL","1.58096647504127","1.23610953127757","1.23781901528952","1.10939451939671","1.14587749382203","1.09146986058206","1.08467322997468","1.05155379794055","4"
"3","ADIPIL","1.01046150246875","1.02810009558357","1.02970220004814","1.02854154824996","1.03659178215928","1.03975637623723","1.04078076714291","1.04438440566767","314"
"4","ALNCHI","0.963641807036602","1.06267129363869","1.12597313162064","1.0848470932966","1.06637449764265","1.04871028443547","1.04508110243571","1.03987004209325","17"
"5","ALNFOR","1.11045668500247","1.09674084614705","1.07151889033127","1.04943415786217","1.040274750991","1.02322113295397","1.00790557877776","1.00275652819987","427"
"6","ALTCHI","0.958219006039602","0.951977390958409","0.957538098413876","0.9673881449086","0.975699539587609","0.980690829816295","0.982734603061766","0.986860320557398","3394"
"7","ANTMON","0.974538327974986","0.992259160792814","0.999031056441685","1.00191530799045","1.00257711114796","1.00380337874806","1.00385626025656","1.00384834624895","6090"
"8","ARDELE","0.866574716928731","0.907473805924209","0.922517598160013","0.944442545069017","0.97197708629363","0.988182925469661","1.00102887066785","1.00399382136982","298"
"9","ARDPUN","1.0020686663825","1.04632205505673","0.993109667029027","0.99316386379542","0.995431407986237","0.991756473430061","0.98564472457277","0.98085251557065","57"
"10","ARDQUI","1.07821673469795","1.04132065959883","1.02533120481969","1.02176517323512","1.01823304579915","1.01368901277415","1.00952502725249","1.00845443192049","7312"
"11","ARTHYP","0.900448139285331","0.915341045801382","0.92312180691333","0.952224426475524","0.953494167400124","0.97345176309017","0.983834234907955","0.983213399502425","129"
"12","ARTSTY","0.972594096914141","0.999516318964236","1.00070034308396","0.999297981629739","0.998506780103552","0.99998690286413","0.998756767824179","0.997129540063989","3302"
"13","BAEFRU","0.690448087333581","0.698873867168836","0.709017774655402","0.781829833298724","0.844750684966669","0.896657272139832","0.95562507195304","0.985779823104497","21"
"14","BAUPUR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BEIFOR","0.977556810891278","0.990162274206299","0.996320242916586","1.0090637019216","1.00603004513092","1.00653779427583","1.00298761611831","0.997025271095964","489"
"16","BEITSA","0.968968621502572","0.930214607282417","0.953970874071074","0.967495872672227","0.981905192791928","0.990005618545758","1.00084455292146","1.00060228425144","222"
"17","BETLUM","1.03160644314341","0.900917385626309","0.840390936332414","0.936526026013358","0.911441416876721","0.902849949053844","0.905942005229462","0.926566943033792","11"
"18","BLACOC","0.745980066032063","0.80050585208984","0.838318748411325","0.872428118083733","0.929050355450478","0.971286935976553","0.990805550014296","0.998885220324791","240"
