"","x"
"Acerfabr",4588.73589353939
"Acerlaur",61211.8122801559
"Acropedu",132298.804805845
"Adinhain",189227.691675343
"Aidicant",1857.88291746157
"Alnifort",52426.04997309
"Alsehain",1410666.0662771
"Alsopodo",58831.9380353372
"Alstrost",781737.768133045
"Altiobov",859183.328481636
"Antimacl",108154.204422423
"Antimont",257.304292310638
"Apoddimi",36409.5980145218
"Aquisine",2862.06159325501
"Archclyp",2722.11149451922
"Archluci",7402.45622983729
"Archutil",572.217539906479
"Ardidens",13658.3332428755
"Ardiobtu",2623.77964446186
"Ardivire",370.118884501047
"Artostyr",261056.563452196
"Beilglau",96604.0447837208
"Beilinte",36203.1953771809
"Beillaev",221616.600871985
"Beiltsan",79025.5144179714
"Beiltung",582715.540895586
"Blascoch",179.903303307819
"Breyrost",12382.398948565
"Bridbala",13673.0201885311
"Canaalbu",472468.682336698
"Canapime",20650.5367420622
"Cantsimi",70026.948478533
"Carabrac",93262.0892046667
"Casevelu",525.439225294527
"Castcarl",482025.697786239
"Castfabr",21543.3930821757
"Castfiss",293695.197848871
"Casthyst",24214.7678553394
"Castjian",213638.950443202
"Castledo",53194.3107485621
"Casttonk",189531.012446048
"Chiorami",124211.905492533
"Chrylanc",257.304292310638
"Cinnburm",137956.224126337
"Cinnpart",27406.20973036
"Cinnrigi",406639.176532719
"Cinnsuba",5249.38926664443
"Cleyobsc",106609.703226139
"Craiscle",620.189659726795
"Crypchine",704262.621835638
"Crypching",139506.490145141
"Cyclblak",54236.9896423253
"Cycledit",203166.812615615
"Cyclfleu",187289.04626474
"Cyclhui",21612.9793594527
"Cyclnegl",88326.4979202261
"Cyclpate",836974.553929412
"Cyclphan",170347.874362569
"Dacrimbr",204542.005529816
"Dacrpect",346132.502577642
"Daphpaxi",338327.184213872
"Dasyrost",2867.7243140131
"Decamont",9429.0583807599
"Dendhain",20789.929208102
"Dillturb",130060.522141923
"Dioseria",4173.33095093685
"Diosmorr",42974.914049957
"Diospoti",1828.4619022607
"Diossusa",38928.2521148129
"Dipldubi",1251.23352207174
"Diseplag",742.075600704445
"Distrace",22848.2300288993
"Dysogota",1577.73924655933
"Dysohong",10100.6052263912
"Ehrelong",48764.4687574597
"Elaedubi",33620.8376318567
"Elaehowi",65205.4362773258
"Elaenite",6429.40288325929
"Elaepoil",54934.5331671651
"Elaesylv",70762.552398371
"Endochin",202971.649025993
"Engeroxb",153053.909459382
"Engespic",20001.8999608571
"Engeunij",27372.3590695176
"Eriodefl",28309.5982598447
"Eurycili",3455.26497208747
"Ficualti",45508.804874618
"Ficufist",241.918342289682
"Ficuform",7186.9822437092
"Ficutuph",3933.0148209005
"Ficuvari",91.6088417786784
"Ficuvasc",60166.8478777373
"Garcmult",52819.6836786032
"Garcoblo",52425.8457695675
"Gardhain",3430.43068216084
"Girosuba",1739567.83635769
"Gloccocc",102564.447153707
"Glyccoch",31235.2771043349
"Gomptetr",246.842788774184
"Hanchook",43618.5871147694
"Helicoch",5456.37309862619
"Helihain",3642.44891636998
"Heliloba",1240.00232833516
"Helilong",18909.3011598284
"Heyntrij",3272.54208937305
"Homapani",11719.1773234656
"Homaphan",1036.80411550097
"Hopehain",8055.34986908796
"Ilexcoch",9390.754512331
"Ilexfico",18627.680940379
"Ilexgosh",443199.979401658
"Ilexhain",1172.45808628298
"Ilexkobu",3839.84303677666
"Ilexkwan",2661.83218547846
"Ilexnucu",973.618833255647
"Ilexpube",55439.6305800276
"Ilexsubf",13297.623428372
"Illitern",7286.68068657087
"Iteamacr",3125.2956416993
"Ixonreti",1772.05460616549
"Ixornien",180.610161654877
"Lasihirs",829.576810088555
"Lasitric",741.282348559414
"Lindkwan",36533.5652606324
"Lindnacu",917.195829197174
"Lindrobu",39426.0060548477
"Liricham",160.606070433144
"Lithamyg",964553.453494448
"Lithfene",28151.7489369651
"Lithfenz",1635337.3947658
"Lithhanc",8362.51123681106
"Lithhand",28393.3766819343
"Lithhowi",14980.833794294
"Lithlong",119013.417880859
"Lithpseu",295510.598579674
"Litsbavi",69338.2956609028
"Litselon",3758.16162778333
"Litsvert",20761.4349627339
"Livisari",3010857.78858478
"Machchin",14166.8392837672
"Machcica",221056.549149629
"Machmont",79943.6762869096
"Machrobu",4694.60756596537
"Maclolig",77376.9715269818
"Madhhain",727347.123194032
"Mangford",276214.418138538
"Meliangu",47198.7539567819
"Melichun",660.417753656012
"Melidumi",171.633060647244
"Melirigi",3011.7663371802
"Melisqua",11889.5930169596
"Memeligu",5080.49724558744
"Michbala",50907.6946816651
"Michmedi",469737.216750053
"Micrchun",37417.4837696465
"Myrssegu",3007.39952339171
"Naucoffi",504.209912937894
"Neolcamb",186.767683255913
"Neolelli",261914.548113855
"Neoloblo",2396.0377390215
"Neolovat",3910.84303074779
"Neolpulc",55143.9124635452
"Nephtope",680110.772227169
"Oleabrac",4493.02727334778
"Oleahain",3352.7705117641
"Oleatsoo",29000.2774047364
"Ormobala",72860.5001184566
"Ormoford",11880.0425752927
"Ormosemi",177370.19002734
"Ormoxylo",4593.32261881364
"Osmadidy",129831.939860448
"Osmamarg",9331.9203359109
"Paralotu",613863.348206463
"Penteury",74107.9401673992
"Pertmetc",67132.0572420479
"Phoehung",58868.333386229
"Photprun",61563.0737547538
"Platlati",13423.106492938
"Platparv",343678.580993979
"Podoneri",46618.5175016272
"Polycamb",259569.569109435
"Polyhain",74807.4000637577
"Polylaui",10230.3922728927
"Poutanna",218636.501788753
"Pristetr",2242.31961048135
"Psycasia",27773.5090354545
"Psyddico",29126.2238542188
"Pygetope",43288.3821649322
"Pyrejonq",56560.0403300223
"Rauvvert",1422.52100752709
"Reevlanc",457.675071756595
"Reevthyr",231968.667028351
"Rhamlong",2312.64416203196
"Rhapferr",6476.5424810264
"Rhoddumehain",12790.1462590744
"Sarclaur",172995.01174841
"Schehain",833.158225713647
"Schehept",230346.639179358
"Schisupe",773120.992094815
"Schiwall",732.572282927336
"Sclewall",15124.1296892058
"Sloasine",156561.76469249
"Streindi",35618.9298294479
"Sympaden",101864.7516379
"Sympanom",51948.9362967893
"Sympcong",17988.5553309327
"Sympglau",9328.87299103692
"Symphain",309.266234801013
"Symplanc",29006.5056121721
"Symppoil",16405.5460626969
"Symppseu",54893.1348299724
"Sympsumu",501.476727329271
"Sympviri",57704.0748567719
"Sympwiks",3582.00467371491
"Syzyacum",65523.4911175753
"Syzyarai",18366.0648121513
"Syzybuxi",42262.9898847454
"Syzycham",232183.693337526
"Syzyglob",61498.1134726592
"Syzyhanc",120980.455435069
"Syzyjien",1480.67188754504
"Syzyteph",2501.33607078819
"Tabebufa",185.016245351537
"Tarelanc",4613.22460827413
"Tarewall",3604.2628576656
"Terngymn",38265.9179896382
"Tetrglab",3283.11354865238
"Toxivern",62336.7380695901
"Triacoch",4054.16248760456
"Turpmont",6075.1333336956
"Unidentified",1610.91446498124
"Vibupunc",26016.5969058793
"Vitequin",576.058136925492
"Wenduvar",2274.47381129084
"Xanthain",775904.034778851
"Zantavic",2873.0178976344
