,sp,jfl
1,Unidentified,uncertain
2,Acerfabr,AM
3,Acerlaur,AM
4,Acropedu,AM
5,Adinhain,AM
6,Aidicant,AM
7,Allobala,AM
8,Alnifort,AM
9,Alsehain,AM
10,Alsopodo,AM
11,Alstrost,AM
12,Altiobov,AM
13,Antimacl,AM
14,Antimont,AM
15,Apoddimi,AM
16,Aquisine,AM
17,Archclyp,AM
18,Archluci,AM
19,Archutil,AM
20,Ardidens,AM
21,Ardiobtu,AM
22,Ardiquin,AM
23,Ardivire,AM
24,Artostyr,AM
25,Beilglau,AM
26,Beilinte,AM
27,Beillaev,AM
28,Beiltsan,AM
29,Beiltung,AM
30,Blasborn,AM
31,Blascoch,AM
32,Breyrost,AM
33,Bridbala,AM
34,Bridharm,AM
35,Callbrev,AM
36,Calomemb,AM
37,Camecaud,AM
38,Canaalbu,AM
39,Canapime,AM
40,Cantsimi,AM
41,Carabrac,AM
42,Casevelu,AM
43,Chascurv,AM
44,Chascurvlong,AM
45,Chiorami,AM
46,Chrylanc,AM
47,Cinnburm,AM
48,Cinnpart,AM
49,Cinnrigi,AM
50,Cinnsuba,AM
51,Clauexca,AM
52,Clerkwan,AM
53,Cleyobsc,AM
54,Crypchine,AM
55,Crypching,AM
56,Dacrimbr,AM
57,Dacrpect,AM
58,Daphcaly,AM
59,Daphpaxi,AM
60,Dasyrost,AM
61,Decamont,AM
62,Dendhain,AM
63,Dillturb,AM
64,Dioseria,AM
65,Diosmorr,AM
66,Diospoti,AM
67,Diossusa,AM
68,Dipldubi,AM
69,Diseplag,AM
70,Distrace,AM
71,Dysogota,AM
72,Dysohong,AM
73,Elaedubi,AM
74,Elaehowi,AM
75,Elaelimi,AM
76,Elaenite,AM
77,Elaepoil,AM
78,Elaesylv,AM
79,Endochin,AM
80,Eriodefl,AM
81,Euonlaxi,AM
82,Eurycili,AM
83,Euryhebe,AM
84,Euryniti,AM
85,Ficualti,AM
86,Ficufist,AM
87,Ficuform,AM
88,Ficuhetel,AM
89,Ficuhirt,AM
90,Ficusubp,AM
91,Ficutuph,AM
92,Ficuvari,AM
93,Ficuvasc,AM
94,Garcmult,AM
95,Garcoblo,AM
96,Gardhain,AM
97,Girosuba,AM
98,Gloccocc,AM
99,Glyccoch,AM
100,Glyccraiglab,AM
101,Gompsp1.,AM
102,Gomptetr,AM
103,Hanchook,AM
104,Hedycath,AM
105,Heyntrij,AM
106,Homapani,AM
107,Homaphan,AM
108,Ilexcoch,AM
109,Ilexcren,AM
110,Ilexfico,AM
111,Ilexgosh,AM
112,Ilexhain,AM
113,Ilexkobu,AM
114,Ilexkwan,AM
115,Ilexnucu,AM
116,Ilexpube,AM
117,Ilexsubf,AM
118,Illitern,AM
119,Iteamacr,AM
120,Ixonreti,AM
121,Ixornien,AM
122,Lasicaly,AM
123,Lasichev,AM
124,Lasicurt,AM
125,Lasihirs,AM
126,Lasilanc,AM
127,Lasirhin,AM
128,Lasitric,AM
129,Lepthain,AM
130,Licuhain,AM
131,Lindkwan,AM
132,Lindnacu,AM
133,Lindrobu,AM
134,Liricham,AM
135,Litsbavi,AM
136,Litselon,AM
137,Litsvarichin,AM
138,Litsvert,AM
139,Livisari,AM
140,Machchin,AM
141,Machcica,AM
142,Machmont,AM
143,Machrobu,AM
144,Maclolig,AM
145,Madhhain,AM
146,Maescons,AM
147,Maesperl,AM
148,Mangford,AM
