"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","Acerfabr","0.89805246045496","0.934791616400899","0.912518778607998","0.910234005947226","0.917437173394084","0.916770110648696","0.924235657559265","0.937079524359359","0.136","0.198","0.048","0.024","0.02","0.014","0.018","0.024","-1.48184580111731","-1.28721389877744","-2.000090585292","-2.29004530449909","-2.31686461198202","-2.53166580915924","-2.46165048455099","-2.15543805582092","61"
"2","Acerlaur","1.11442281988937","1.0978441680806","1.08401356418331","1.07586958155621","1.06817138709012","1.06176914604096","1.05569141534841","1.05077574035254","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","9.69670574514777","10.5124290040013","10.301228847498","10.3304817457787","9.90985804593062","9.48089640696507","8.96988595722679","8.63757474902809","1666"
"3","Acropedu","1.10009831077091","1.07100086994047","1.0563886859466","1.05014197188303","1.04422984350892","1.04022422140739","1.03786977411429","1.03545319985524","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.6449123229806","7.42422118686272","6.72190221576749","6.40859599450862","6.10625047784326","5.91676631300321","5.93831679668607","5.83217719921783","1647"
"4","Adinhain","1.0733456574102","1.07575637661081","1.06767072562709","1.05924303690196","1.05494545857983","1.04920114261358","1.04389862044517","1.03898230940321","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","6.48182752085649","8.77814585897663","8.93630367842653","8.41433444901112","8.29102814920812","7.82710437984505","7.34058107533305","6.85593906725769","1931"
"5","Aidicant","1.00433641882206","1.00366918647283","1.00383249502153","1.00404252134933","1.00533837561109","1.00534859733635","1.00558969823009","1.00530747613092","0.54","0.488","0.464","0.422","0.248","0.216","0.168","0.172","0.567843903483881","0.645090816400631","0.710743162619814","0.807195874688984","1.14504935044864","1.21654978645108","1.34609376862748","1.34495271839187","3882"
"6","Allobala","0.85707600785863","0.883397973893538","0.872214315899306","0.866053681172606","0.866511030151316","0.871776582600168","0.878000977530266","0.887238275320202","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.19772177016708","-5.5065016175172","-6.54112991372377","-7.30787058413561","-7.72039816883232","-7.77277751497681","-7.66393017947607","-7.35049572858417","305"
"7","Alnifort","1.02688597124999","1.0217252193359","1.01978623688719","1.02029702873256","1.02028580124519","1.01935085929004","1.01551612655692","1.01170562824188","0.55","0.516","0.518","0.448","0.432","0.44","0.482","0.578","0.580097641257085","0.657488138918845","0.684836191132253","0.753853554578407","0.799561377390009","0.817589080775874","0.703907764095547","0.566754456738253","128"
"8","Alsehain","1.02109632331553","1.01150887864003","1.00430387549151","1.00517592004591","1.00468017949573","1.00317649437435","1.00183674060383","1.00077188340675","0.01","0.042","0.386","0.246","0.268","0.446","0.65","0.852","2.70227583893132","2.08455051670541","0.860875272901393","1.16485289615069","1.12639582788768","0.800873758330618","0.477724211794678","0.196360080263098","5100"
"9","Alsopodo","0.706561769551083","0.822785327420044","0.824925108229404","0.834353589562854","0.841413677500531","0.84732988224538","0.857455054214568","0.86842804791476","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-11.3494593928592","-9.36154593318266","-10.900789876239","-11.3589733177047","-11.847760485318","-12.2190270796602","-12.1452526850967","-11.7629603204866","453"
"10","Alstrost","0.97566058078111","0.977957794147588","0.975959361044612","0.977880708833147","0.979216592313212","0.980699677815843","0.982400405033468","0.982696537262948","0.03","0.016","0.004","0.004","0.004","0.004","0.004","0.004","-2.0976579020038","-2.48062899763157","-3.05098504724279","-3.05973865241836","-3.08248462993309","-3.04675059999482","-2.94558347621063","-3.06172524831943","1910"
