"","allsp","","","","","","","","","abund"
"1","Acerfabr","0.952262648818681","0.934872800894082","0.895354588486723","0.89390714240696","0.894540849041368","0.899014749921025","0.909103386836496","0.92103701543025","61"
"2","Acerlaur","1.1099024501125","1.09570138727188","1.08397577442957","1.07672055633603","1.06904736742456","1.06240625572669","1.05613843827147","1.05115094229944","1666"
"3","Acropedu","1.08492810956086","1.06223408106175","1.04973792479249","1.04399291711551","1.04034215670383","1.03603713360292","1.03305616025852","1.03088257836949","1647"
"4","Adinhain","1.07922994578375","1.07985341128332","1.07270402549699","1.06462973600495","1.06130219877832","1.05544868338439","1.04982690599843","1.04376820642486","1931"
"5","Aidicant","1.0043176581527","1.00369136308629","1.00382602774459","1.00401383877388","1.00532140384989","1.00534244690677","1.00556818344878","1.00528343105779","3882"
"6","Allobala","0.85707600785863","0.883397973893538","0.872214315899306","0.866053681172606","0.866511030151316","0.871776582600168","0.878000977530266","0.887238275320202","305"
"7","Alnifort","1.06570669579086","1.07561062847407","1.05759303147808","1.06181104842587","1.05546718745015","1.04982978519149","1.04536247078671","1.04380591240932","128"
"8","Alsehain","1.00085029540915","1.00130189589223","0.996308462564365","1.00048916454523","1.00210854450837","1.00169252438407","1.00080082534521","0.999840280339249","5100"
"9","Alsopodo","0.730976880422139","0.8292683797264","0.827404713812934","0.835970791861627","0.841114911124581","0.846592304351174","0.856011722210036","0.866325765774486","453"
"10","Alstrost","0.943780192611382","0.953364579280611","0.960919803459065","0.966023949770857","0.968663974931707","0.971500572948069","0.973516527973724","0.974496215569572","1910"
"11","Altiobov","0.936651074779518","0.943590560664455","0.944439825106326","0.949272464044756","0.948470748585038","0.948989210644913","0.952029546153465","0.954909576824991","1720"
"12","Antimacl","0.953053465854442","0.938790366422923","0.941386166300529","0.9447725114699","0.946606627585128","0.950866642600974","0.953273328700427","0.955590008538603","2792"
"13","Antimont","0.800749198267903","0.81071476566323","0.824318742913513","0.845323370115517","0.850577362299224","0.858936972986896","0.870037999457117","0.877974988700735","381"
"14","Apoddimi","0.88535010025235","0.934580004820518","0.946007765635874","0.965886477237927","0.973581152139343","0.97252960326108","0.973785142832139","0.970414329538238","100"
"15","Aquisine","0.898281771090373","0.913295160794285","0.894859002525945","0.897291023861653","0.900136715092493","0.904656890662306","0.90390161545802","0.906620343397055","220"
"16","Archclyp","0.962323340932185","0.981174608714887","0.988520558531916","0.994476346881486","0.998342855892905","1.0004251629045","1.00345897035737","1.00333307300894","492"
"17","Archluci","1.01540435836984","1.00595575033289","0.997223976007845","0.99675404944121","0.999258168696975","0.994354283591352","0.99437801908279","0.994300031379639","330"
"18","Archutil","0.859037154475834","0.915768479700029","0.940820355097609","0.931044540071266","0.946533292221423","0.940761033919809","0.940294518676747","0.94238167687306","43"
"19","Ardidens","0.839441181147116","0.857165187671485","0.866848602152704","0.87832429035672","0.879455134159428","0.889949160024324","0.894912544051089","0.90400615870484","145"
"20","Ardiobtu","0.553109718903477","0.749534607273995","0.832039822128562","0.803734693464082","0.80534524712622","0.803254734842649","0.826102488551019","0.839515186456005","21"
"21","Ardiquin","0.999121258400791","0.997379052081593","1.00195100889453","1.0043458058021","1.00675093693112","1.0076551516378","1.00842607475659","1.00882085853679","6602"
"22","Ardivire","1.05551677352421","1.04690991905249","1.04571679343077","1.04303854819059","1.04220071442574","1.04017082445547","1.03834721301947","1.03743438895473","9085"
"23","Artostyr","0.978010073100554","0.966714141087764","0.96715135680805","0.969200222211637","0.968035245010236","0.971921410684773","0.973805618448862","0.975897594591228","1236"
"24","Beilglau","1.05411723373547","1.04426294987863","1.02037879808577","1.01572790310969","1.01339234126934","1.01139353688396","1.00674786338085","1.00301180489871","374"
"25","Beilinte","0.920588523869476","0.897516879236573","0.923776855356469","0.924270609980034","0.928383809018284","0.928165392999688","0.928887847355438","0.930975124004881","161"
"26","Beillaev","0.878156588059261","0.878842438374707","0.882348814878691","0.88873958585997","0.893954594561837","0.899570543404793","0.905779057394231","0.910693965421242","2425"
"27","Beiltsan","1.00696976161487","1.00847581485976","1.00352942770462","0.998187063242257","0.995492988659329","0.996538325494037","0.995449858433888","0.995324826397347","1596"
"28","Beiltung","1.04164096772528","1.05176031509073","1.05581411029554","1.05597770882783","1.05550028425604","1.05387508638213","1.05212375859917","1.04911208904074","9663"
"29","Blasborn","1.05745177605642","1.05433437607884","1.0562641383918","1.01533234717577","0.99819241705439","0.998750041030469","1.00075780063324","0.982458150387002","14"
"30","Blascoch","0.956219890158433","0.933539356954979","0.924358970603841","0.920247667557603","0.917350294196991","0.913974594569755","0.912060050877863","0.910914261295204","10159"
"31","Breyrost","1.11459721130097","1.12606445658734","1.10942785439817","1.09755159207774","1.09332268443869","1.09269343408587","1.0877444896079","1.08283224792337","146"
"32","Bridbala","0.854598310396504","0.840985505721528","0.851859853687084","0.862228821587922","0.870994393380291","0.878101081035245","0.888677387854708","0.900739579296799","162"
"33","Bridharm","1.15855651116961","1.07238146943249","1.00349982711767","0.955003478228345","0.957378403533907","0.939886603927504","0.928289346848036","0.901082157191658","4"
"34","Callbrev","0.898110212054137","1.02393112025878","1.00493178824546","0.964263234812634","0.990651726659043","1.0168976244355","1.00832363392276","1.02125920166549","11"
"35","Calomemb","1.11011782999716","1.1018730035882","1.09657890383923","1.08844537764165","1.08374523497907","1.07674185885528","1.07094457111303","1.06507215194512","638"
"36","Camecaud","1.07538722063212","1.10634574751676","1.10069490055438","1.1134106023719","1.11145329053751","1.1055493097508","1.09612251082786","1.08892219942893","396"
"37","Canaalbu","0.988595560038988","0.973893105919856","0.968760275288406","0.968969786316123","0.96804949292858","0.968589389473966","0.970144010753412","0.972413340962154","2510"
"38","Canapime","0.858200539791248","0.848144966545181","0.832709230078507","0.873060816353994","0.889424856739613","0.906131101135245","0.914975429836098","0.921209090926586","35"
"39","Cantsimi","1.04352433466781","1.01496116324675","1.01050258331916","1.01005305355502","1.00856132957954","1.0077330831616","1.00752430109846","1.00704105328749","1960"
"40","Carabrac","0.966936029769313","0.964794681881228","0.973438581164063","0.973252057561259","0.974910665535875","0.977072803679506","0.977740066169296","0.978277093112255","964"
"41","Carplond",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","Casevelu",NA,NA,NA,NA,NA,NA,NA,NA,"3"
"43","Castcarl","1.03706172576163","1.06092024456948","1.06865884394402","1.06446263353769","1.06219545778438","1.05919355259373","1.05656647723385","1.05384737930296","2228"
"44","Castfabr","0.830758392072724","0.892105051081322","0.896088106416037","0.885968161642476","0.877403130056136","0.883144272291972","0.888327973108065","0.886476423287852","73"
"45","Castfiss","1.07755389219018","1.08133347344312","1.07637510714456","1.07242394750279","1.06735213840733","1.06343628561749","1.05758997176729","1.05329486605603","2428"
"46","Casthyst","0.931497698382306","0.968281640404395","0.945808240717932","0.916714624116489","0.914323294122389","0.940275843548921","0.925663241287406","0.935405755205417","23"
"47","Castjian","0.930999240173096","0.978494315278255","0.975646326237402","0.975297166893969","0.976872074134372","0.978570063839835","0.982634003511428","0.986763691221071","772"
"48","Castledo","0.954672272094693","0.952766684322041","0.974386796316944","0.974012030528874","0.970278488565294","0.976781773620996","0.981183838711124","0.98176443232746","211"
"49","Casttonk","1.01338872987549","1.01687319195981","1.01692608140711","1.01567684063988","1.00989168465066","1.00611373180484","1.00036856290023","0.995087917560603","657"
"50","Chascurv","1.02830072859326","0.983022912978657","0.955866081969725","0.959290450011108","0.958186890895158","0.96449048275947","0.968048492949838","0.968518241442668","124"
"51","Chascurvlong","1.00692238188612","0.965179938183577","0.939373333828712","0.932640582379381","0.933318683713094","0.931186211997413","0.925355378690663","0.926846443540284","109"
"52","Chiorami","0.906691720882906","0.911954835484199","0.916846652268756","0.92137875357343","0.92409808703894","0.925504124549227","0.930339002950531","0.933334537926133","2325"
