"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","Acerfabr","0.914560106602457","0.976846853860405","0.961642319427635","0.942399858208039","0.95353789101821","0.965776986432048","0.973063401741281","0.983344698273666","0.206","0.64","0.292","0.042","0.05","0.078","0.092","0.256","-1.28552502617628","-0.492964813745893","-1.09024082276785","-2.0744531772819","-2.04111324914397","-1.7810599782344","-1.65438557750901","-1.14738921758678","61"
"2","Acerlaur","1.11449404958161","1.08432067749775","1.05926281408859","1.04655071734915","1.03587838160285","1.02920031922327","1.02257641694229","1.01777121710264","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","10.4951402778203","11.3925463525003","10.8143121493096","10.7806612693088","10.1523910455877","9.90716375493406","8.95705885858627","8.14074636413563","1666"
"3","Acropedu","1.10112358998251","1.06735950126261","1.05000073498914","1.0371153153312","1.02798177161709","1.01974668804997","1.01575538371839","1.01109764822165","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","8.21512306056862","8.97878606693786","8.83559064164153","8.2082782649882","7.49313112679522","6.27177767317204","5.82819146760643","4.69695430675783","1647"
"4","Adinhain","1.07726379046602","1.07053592376517","1.05761103198971","1.04896808358352","1.04176736652696","1.03510237499668","1.02962781431979","1.02621695692751","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.30296162295654","10.3280173913655","11.0470651058832","11.6878485752551","12.1334373103836","12.0650648988481","11.9216073869076","12.1192270670372","1931"
"5","Aidicant","1.0282046256555","1.02502143326947","1.0219560669259","1.01794484685168","1.01522835755131","1.0133231423842","1.01117965048592","1.00983739843954","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.70787788731087","5.33864349629137","6.12054112642132","6.30534416500987","6.60061029465653","6.92230987783917","6.78741372840117","6.88861093692016","3882"
"6","Allobala","0.847792805095462","0.903164495455848","0.938855471153804","0.965391659548322","0.987472270296834","1.00503028920174","1.01318881717648","1.02206730941243","0.002","0.002","0.002","0.002","0.152","0.504","0.03","0.002","-5.77945914814649","-5.6574350240183","-4.59061755593853","-3.286631095404","-1.45238841447931","0.678700264642822","2.12807387446022","4.16275853684307","305"
"7","Alnifort","0.984981824167636","0.986961620684749","1.00267362804079","1.00922986843129","1.01422105393538","1.02313335768321","1.02882602039457","1.02580855306278","0.784","0.698","0.898","0.602","0.346","0.068","0.006","0.008","-0.302647897745227","-0.389303139969674","0.174362148499555","0.557554894219447","0.980402448923859","1.84275756023998","2.67859088615086","2.73697562777474","128"
"8","Alsehain","1.03518183885716","1.0255541030964","1.01864913930655","1.01706160342854","1.01562762292445","1.01346086590638","1.01232078231794","1.01108678090168","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.06743988647294","5.89590522143652","5.73332609862205","6.71333437287815","7.69476697755849","8.03076399149523","8.59343155469861","8.97880054076527","5100"
"9","Alsopodo","0.730154269014975","0.866586392622126","0.906246651587143","0.931445517367495","0.951424292161605","0.963943909321641","0.979562500733029","0.99039427974266","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.03","-11.3895125918446","-8.67119387730226","-8.31340686486122","-7.7174046814666","-6.9020907018646","-6.26167963330056","-4.19462858131399","-2.24847835204773","453"
"10","Alstrost","0.989214537777989","0.991479192467958","0.991076012070416","0.993946690309514","0.997290821771782","0.999639241609349","1.0031509571011","1.00435293952428","0.318","0.248","0.114","0.152","0.416","0.926","0.21","0.046","-1.00591837943145","-1.17327535109886","-1.65332834819385","-1.4200237296528","-0.753681903360576","-0.104062098876255","1.27235331780494","1.99671281756829","1910"
