"","allsp","","","","","","","","","abund"
"1","Acerfabr","0.96997856470427","0.986439959676963","0.962947063233185","0.941821526635079","0.948325016373063","0.96426370545211","0.971323496487732","0.980971818951781","61"
"2","Acerlaur","1.11297379406767","1.0837358421514","1.06101713696393","1.0484329437187","1.03805430383355","1.03102823347434","1.02383467515506","1.018882340954","1666"
"3","Acropedu","1.09047147474884","1.06533682093595","1.04954210999623","1.03694034048235","1.02897834810928","1.01959169312881","1.01523476124778","1.01047156904031","1647"
"4","Adinhain","1.08904531636167","1.0793330440929","1.06697701612541","1.05701396376504","1.04813964318603","1.04027364285602","1.03429159415582","1.02956678970793","1931"
"5","Aidicant","1.0281849803184","1.02504322201179","1.02193703955047","1.01790187587671","1.01520944704492","1.01331621820378","1.0111877040797","1.00984914144809","3882"
"6","Allobala","0.847792805095462","0.903164495455848","0.938855471153804","0.965391659548322","0.987472270296834","1.00503028920174","1.01318881717648","1.02206730941243","305"
"7","Alnifort","1.00687067024334","1.01637791793752","1.03341323127541","1.04417384460385","1.03583695894746","1.04168895973989","1.04014636429176","1.03510434183884","128"
"8","Alsehain","1.01707849725487","1.02043742510737","1.01530768721575","1.01583360798412","1.0153847113542","1.01356120661945","1.01209942198595","1.01137268719595","5100"
"9","Alsopodo","0.750260298695284","0.875313014925745","0.911426762994965","0.932272125746367","0.953590906427801","0.965964649275557","0.981299420296241","0.990181351413835","453"
"10","Alstrost","0.959978352550164","0.97081604427001","0.977583776573784","0.98658937549954","0.993752085252105","0.998121813983059","1.00241426601114","1.00373946552731","1910"
"11","Altiobov","0.958283907968091","0.958375766773318","0.963385594175861","0.971625215103797","0.975955557392821","0.979914364423436","0.984606352747725","0.988776265146058","1720"
"12","Antimacl","0.969049090290226","0.972399915588274","0.981368270636827","0.989184174938105","0.994746103003654","0.999204462736473","1.00102074603448","1.00340647548297","2792"
"13","Antimont","0.846547078172246","0.855306559018812","0.889607120105301","0.923502526984729","0.935438017304489","0.950205946384336","0.962400592288357","0.972791705720886","381"
"14","Apoddimi","0.921204753348522","0.987472885782851","0.999230700847185","1.00571113402249","1.01655137697021","1.01978558766671","1.02062173080533","1.01821555866062","100"
"15","Aquisine","0.902147834993776","0.931973976212922","0.943386454710067","0.950071482774587","0.960238004755758","0.9750375323834","0.976324669323184","0.98433635368407","220"
"16","Archclyp","1.00189945417478","1.01259781046215","1.01087809228962","1.01142428837507","1.01195889638901","1.0080658709098","1.00701003032594","1.00401766007857","492"
"17","Archluci","1.03707929131923","1.02153782793564","1.01062594821822","1.01224012152622","1.01514596226609","1.01134050943897","1.00742660099442","1.00574167549657","330"
"18","Archutil","0.901660321807035","0.954387731743456","0.972607753878174","0.992416867130035","1.00967139848647","1.00527407002754","1.01485584158624","1.01635991044742","43"
"19","Ardidens","0.857676404287172","0.898142615069862","0.910234858084408","0.938836478083809","0.952085250948229","0.96368442427606","0.973154868775001","0.980504413451172","145"
"20","Ardiobtu","0.615359036613806","0.726617342361513","0.807821213320462","0.857559145668803","0.875160568714696","0.905156585681618","0.925507487292913","0.932627493467975","21"
"21","Ardiquin","1.02016671687844","1.01479258662626","1.01330402659938","1.01070192239466","1.00887705539067","1.00749310130397","1.00639767514063","1.00503245621386","6602"
"22","Ardivire","1.06880898530834","1.04751223860338","1.03445287514456","1.02438804885179","1.01853559442718","1.0128786528353","1.00822459180275","1.0048080413261","9085"
"23","Artostyr","1.00110162722457","0.995511690237447","1.00528639770546","1.0096311980748","1.0106521554175","1.01147596454827","1.01240009675252","1.01091571521974","1236"
"24","Beilglau","1.06830925520811","1.05974220748625","1.03565901586758","1.02657071491362","1.02157483453541","1.01722604689906","1.01521123165343","1.01110139862289","374"
"25","Beilinte","0.9352800248886","0.928536914631226","0.95728164005118","0.966102675009738","0.980197373484621","0.985023585576792","0.988540445036136","0.991049720899689","161"
"26","Beillaev","0.90272031322459","0.913577815208163","0.934808783736337","0.95367550751327","0.966919867601666","0.976862749629108","0.98475993117801","0.98924639554189","2425"
"27","Beiltsan","1.02486816033663","1.02214689103296","1.02146066090474","1.02029228738072","1.017225939496","1.01630446110943","1.01476195904238","1.01381841866356","1596"
"28","Beiltung","1.04868582986072","1.04440363870623","1.0359659939846","1.02931852103659","1.02472417648485","1.02009498917542","1.01625954125768","1.01298108441083","9663"
"29","Blasborn","1.05410902891232","1.00392031145546","1.02347149067735","1.01790728199345","1.01942579485126","1.01580423977185","1.02674987427836","1.02350948971829","14"
