"","x"
"ALCFLO",5241827.72016261
"ALCLAT",10801125.5752039
"ANDINE",2572583.16672949
"ANTOBT",59804.7007845947
"ARDGLA",152764.144660978
"ARTALT",182652.982277874
"BEIPEN",29926.2539854004
"BUCTET",44409362.3574669
"BYRSPI",14838757.0650972
"BYRWAD",405466.168667721
"CALCAL",2656599.78437409
"CALSQU",179202.366862914
"CASARB",26936980.972527
"CASDEC",314.159265358979
"CASGUI",5714.62772271454
"CASSYL",4878628.77467574
"CECSCH",14869478.3776434
"CEIPEN",2107.41176795457
"CESMAC",4458.5875638828
"CHIDOM",6950001.07135427
"CHOVEN",360102.70172324
"CHRARG",4229.56545943611
"CINELO",2293.5589866614
"CINMON",37587.7816534159
"CITAUR",4512.61510354291
"CITCAU",660.519855417254
"CITFRU",2563.93230441097
"CLUCLU",79922.9025054877
"COCPYR",66072.3116461941
"COCSPP",128100.011246451
"COCSWA",1619749.33038148
"COFARA",3270.04452321345
"COMGLA",644.222843526757
"CORBOR",1175579.16433654
"CORSUL",3678237.09164966
"CROPOE",3357890.0040285
"CSSGUI",137611.245837047
"CUPAME",13273.2289614169
"CYRRAC",1282437.39110352
"DACEXC",72303498.4741608
"DAPPHI",1918.17008048395
"DENARB",1327109.15003152
"DRYALB",13177.5753190967
"DRYGLA",3781468.16120251
"EUGDOM",224924.682228251
"EUGSTA",1464270.70829613
"FAROCC",272382.444791359
"FICAME",1909353.98609982
"FICCIT",2434283.8728314
"FICCRA",1271547.84556802
"FICSPP",4783268.02303866
"FICTRI",3584487.04242005
"GENAME",264810.570323695
"GUAGLA",444115.745806197
"GUAGUI",32827817.2421153
"GUAULM",235952.457840515
"GUEVAL",3205983.93042298
"GUTCAR",1258463.23782952
"HENFAS",42946.0271055072
"HIBTIL",58461.8584207443
"HIRRUG",916144.008268789
"HOMRAC",16283346.6300424
"INGLAU",31189904.8644929
"INGVER",3428251.24152732
"IXOFER",558098.531370863
"LAEPRO",2702298.12938748
"LONLAT",331954.031547075
"MAGSPL",67244.2199537627
"MALFUR",3050.77706395615
"MANBID",36509125.7903626
"MANIND",1059801.35912341
"MARNOB",1758373.16650865
"MATDOM",13448948.4015844
"MAYELO",33158.2616755605
"MELHER",235114.406584243
"MICAFF",13941.861979862
"MICIMP",19382.6527789264
"MICMIR",3189.82395480403
"MICPRA",124850.229995853
"MICTET",2001149.02222109
"MIRCHR",59022.6719793182
"MIRGAR",444936.369077223
"MYRDEF",482401.070984453
"MYRFAL",657.229037112619
"MYRLEP",227929.552769557
"MYRSPL",1272265.36962213
"OCHPYR",32912.1100371701
"OCOFLO",348608.399601918
"OCOGLO",36305.030103047
"OCOLEU",5296338.93157369
"OCOMOS",1069997.81434166
"OCOPOR",22957.8244886198
"OCOSIN",3822071.01571938
"ORMKRU",5670655.25089531
"OXALAU",344674.34020146
"PALRIP",120352.129050369
"PIPAMA",343.069771753639
"PIPBLA",1237.98385505523
"PIPGLA",380.132711084365
"PISBOR",521681.09508267
"PLEMAC",66051.9855417254
"PREMON",80577319.7857595
"PSESPU",725474.050676091
"PSYBER",651377.514490024
"PSYBRA",109296.189059966
"PSYGRA",15456.2353025984
"PTEOFF",439889.73034646
"QUATUR",3696.05234102186
"RHEPOR",21236.7186613139
"RONPOR",91304.9241053701
"ROYBOR",5101962.96279126
"SAMSPI",30666.2718429167
"SAPLAU",6980892.4854347
"SCHMOR",10745398.2218607
"SIMAMA",346.360590058275
"SLOBER",22111135.3526613
"SPACAM",452.38934211693
"SWIMAC",66726.0613694429
"SYMMAR",35581.0500760273
"SYZJAM",484629.638273093
"TABHET",15874760.0509095
"TERLUQ",11882.28881404
"TETBAL",5104859.024271
"TREMIC",39236.5208939464
"TRIPAL",1521482.67622566
"TUROCC",422.732707467043
"UREBAC",82214.8278639693
"VITDIV",804.247719318987
"XYLSCH",346.360590058275
"ZANMAR",2155812.8879597
