"","x"
"ALCFLO",110
"ALCLAT",255
"ANDINE",137
"ANTOBT",14
"ARDGLA",81
"ARTALT",12
"BEIPEN",2
"BUCTET",178
"BYRSPI",232
"BYRWAD",25
"CALCAL",62
"CALSQU",23
"CASARB",2480
"CASDEC",1
"CASGUI",1
"CASSYL",1069
"CECSCH",2441
"CEIPEN",1
"CESMAC",5
"CHIDOM",144
"CHOVEN",10
"CHRARG",2
"CINELO",3
"CINMON",3
"CITAUR",1
"CITCAU",2
"CITFRU",3
"CLUCLU",2
"COCPYR",47
"COCSPP",7
"COCSWA",50
"COFARA",6
"COMGLA",2
"CORBOR",563
"CORSUL",173
"CROPOE",131
"CSSGUI",64
"CUPAME",1
"CYRRAC",17
"DACEXC",1532
"DAPPHI",3
"DENARB",80
"DRYALB",5
"DRYGLA",292
"EUGDOM",16
"EUGSTA",412
"FAROCC",104
"FICAME",9
"FICCIT",22
"FICCRA",3
"FICSPP",17
"FICTRI",19
"GENAME",2
"GUAGLA",214
"GUAGUI",377
"GUAULM",2
"GUEVAL",182
"GUTCAR",139
"HENFAS",10
"HIBTIL",14
"HIRRUG",473
"HOMRAC",219
"INGLAU",1075
"INGVER",105
"IXOFER",201
"LAEPRO",76
"LONLAT",3
"MAGSPL",2
"MALFUR",5
"MANBID",1288
"MANIND",3
"MARNOB",17
"MATDOM",298
"MAYELO",8
"MELHER",71
"MICAFF",15
"MICIMP",36
"MICMIR",4
"MICPRA",204
"MICTET",91
"MIRCHR",4
"MIRGAR",40
"MYRDEF",205
"MYRFAL",2
"MYRLEP",95
"MYRSPL",174
"OCHPYR",2
"OCOFLO",5
"OCOGLO",1
"OCOLEU",337
"OCOMOS",22
"OCOPOR",4
"OCOSIN",76
"ORMKRU",148
"OXALAU",9
"PALRIP",237
"PIPAMA",1
"PIPBLA",2
"PIPGLA",1
"PISBOR",1
"PLEMAC",1
"PREMON",4724
"PSESPU",51
"PSYBER",893
"PSYBRA",236
"PSYGRA",6
"PTEOFF",4
"QUATUR",1
"RHEPOR",22
"RONPOR",4
"ROYBOR",44
"SAMSPI",41
"SAPLAU",145
"SCHMOR",1035
"SIMAMA",1
"SLOBER",2158
"SPACAM",1
"SWIMAC",4
"SYMMAR",12
"SYZJAM",43
"TABHET",492
"TERLUQ",1
"TETBAL",369
"TREMIC",5
"TRIPAL",520
"TUROCC",1
"UREBAC",102
"VITDIV",1
"XYLSCH",1
"ZANMAR",25
