"","x"
"1","ALCFLO"
"2","ALCLAT"
"3","ANDINE"
"4","ANTOBT"
"5","ARDGLA"
"6","ARTALT"
"7","BEIPEN"
"8","BRUPOR"
"9","BUCTET"
"10","BYRSPI"
"11","BYRWAD"
"12","CALCAL"
"13","CALSQU"
"14","CASARB"
"15","CASDEC"
"16","CASGUI"
"17","CASSYL"
"18","CECSCH"
"19","CEIPEN"
"20","CESMAC"
"21","CHIDOM"
"22","CHOVEN"
"23","CHRARG"
"24","CINELO"
"25","CINMON"
"26","CITAUR"
"27","CITCAU"
"28","CITFRU"
"29","CLUCLU"
"30","COCPYR"
"31","COCSPP"
"32","COCSWA"
"33","COFARA"
"34","COMGLA"
"35","CORBOR"
"36","CORSUL"
"37","CROPOE"
"38","CSSGUI"
"39","CUPAME"
"40","CYRRAC"
"41","DACEXC"
"42","DAPPHI"
"43","DENARB"
"44","DITMYR"
"45","DRYALB"
"46","DRYGLA"
"47","EUGDOM"
"48","EUGSTA"
"49","FAROCC"
"50","FICAME"
"51","FICCIT"
"52","FICCRA"
"53","FICSPP"
"54","FICTRI"
"55","GENAME"
"56","GONSPI"
"57","GUAGLA"
"58","GUAGUI"
"59","GUAULM"
"60","GUEVAL"
"61","GUTCAR"
"62","HENFAS"
"63","HIBTIL"
"64","HIRRUG"
"65","HOMRAC"
"66","INGLAU"
"67","INGVER"
"68","IXOFER"
"69","LAEPRO"
"70","LONLAT"
"71","MAGSPL"
"72","MALFUR"
"73","MANBID"
"74","MANIND"
"75","MARNOB"
"76","MATDOM"
"77","MAYELO"
"78","MELHER"
"79","MICAFF"
"80","MICIMP"
"81","MICMIR"
"82","MICPRA"
"83","MICTET"
"84","MIRCHR"
"85","MIRGAR"
"86","MYRDEF"
"87","MYRFAL"
"88","MYRLEP"
"89","MYRSPL"
"90","OCHPYR"
"91","OCOFLO"
"92","OCOGLO"
"93","OCOLEU"
"94","OCOMOS"
"95","OCOPOR"
"96","OCOSIN"
"97","ORMKRU"
"98","OXALAU"
"99","PALRIP"
"100","PIPAMA"
"101","PIPBLA"
"102","PIPGLA"
"103","PIPHIS"
"104","PISBOR"
"105","PLEMAC"
"106","PREMON"
"107","PSESPU"
"108","PSYBER"
"109","PSYBRA"
"110","PSYGRA"
"111","PTEOFF"
"112","QUATUR"
"113","RHEPOR"
"114","RONPOR"
"115","ROYBOR"
"116","SAMSPI"
"117","SAPLAU"
"118","SCHMOR"
"119","SIMAMA"
"120","SLOBER"
"121","SPACAM"
"122","SWIMAC"
"123","SYMMAR"
"124","SYZJAM"
"125","TABHET"
"126","TERLUQ"
"127","TETBAL"
"128","TETURB"
"129","TREMIC"
"130","TRIPAL"
"131","TUROCC"
"132","UREBAC"
"133","VITDIV"
"134","XYLSCH"
"135","ZANMAR"
