"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ALCFLO","1.01221052660295","1.01188689462512","1.03052027255131","1.02011967550205","1.01615718144499","1.00789851896511","1.01031202615855","1.01312231948612","0.78","0.72","0.282","0.396","0.432","0.67","0.576","0.448","0.225271629226192","0.345507465157858","1.10513120828186","0.84740207733759","0.751503213729735","0.413415400937827","0.560776251876745","0.755511392132092","152"
"2","ALCLAT","0.982750888316102","0.995537629306773","0.997113354585165","1.00181330304676","0.998843838637776","1.00917983743111","1.00885509239346","1.01116362451521","0.616","0.848","0.906","0.9","0.92","0.456","0.438","0.298","-0.514198987521814","-0.196283153132754","-0.145381591365434","0.158052717730714","-0.0566190609279477","0.769097863645946","0.787757769084392","1.04856096347907","392"
"3","ANDINE","0.944867327995203","0.937830342178448","0.931232564430464","0.916826516790265","0.939242904310635","0.947435914714463","0.952813964898567","0.961548671516903","0.39","0.1","0.01","0.002","0.002","0.004","0.01","0.016","-0.93575752167924","-1.66650914601977","-2.46201508211679","-3.49708789711666","-2.81069693987236","-2.71457479849086","-2.67345398545632","-2.35231364822083","147"
"4","ANTOBT","1.20832742756793","1.11548555820964","1.05354446416309","1.03348980405122","1.04089553295374","1.00539115264551","0.987700457895131","0.985297817765156","0.244","0.312","0.566","0.66","0.574","0.92","0.852","0.78","1.24946410307081","1.03552432252549","0.565365044585141","0.422870308170693","0.5802011521508","0.0673424926273678","-0.223064578843011","-0.292958621040035","15"
"5","ARDGLA","1.04698427773283","0.962948119669416","0.908099897463163","0.895195904890407","0.90089126875831","0.892635466177627","0.893250699263957","0.907616857484823","0.402","0.374","0.006","0.002","0.002","0.002","0.002","0.002","0.819579964395846","-0.901216654188517","-2.74350478208915","-3.54236922638414","-3.71464123833891","-4.29740662225182","-4.59339023054704","-4.17679339711794","106"
"6","ARTALT","0.352173117627714","0.570104956885191","0.626009008638441","0.719641260236035","0.742671290546919","0.76468932582568","0.81094529010057","0.817853687692648","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.54298563047462","-3.66056917404699","-4.11003209376188","-3.62252641049844","-3.90311229365668","-4.10728918358177","-3.72302511028011","-4.02612840763773","14"
"7","BEIPEN","1.25561723499868","1.35851203253515","1.27013523350186","1.42113361426215","1.32830011427414","1.20475786107613","1.11907221739932","1.08728538407724","0.696","0.344","0.298","0.072","0.088","0.214","0.402","0.474","0.477187226670758","0.995653107092125","1.012614000344","1.99610095774922","1.80845752411124","1.28285749996009","0.855701504910089","0.708365220712872","2"
"8","BRUPOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","BUCTET","1.10800928625078","1.11772786298819","1.09539820678637","1.09627589488088","1.09761414166148","1.09692728652627","1.08162722391286","1.07146115674893","0.03","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.27405144752817","3.7507575944581","3.72850239976993","4.33537886559214","4.94924249794834","5.28973508049361","4.90239487072922","4.68189851901532","188"
"10","BYRSPI","1.12873279795334","1.11454331503476","1.08614173589628","1.07395910205359","1.07076142461112","1.06142771684516","1.05551307524738","1.05301704016701","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.40991918085037","4.79272726467132","4.64562501412787","4.65052018424067","4.88831524941045","4.68979636603377","4.56273297056129","4.60888538755858","308"
