"","allsp","","","","","","","","","abund"
"1","ALCFLO","1.04097069601893","1.01297592761277","1.02882361834101","1.01903832084747","1.01012952557793","0.996680550557415","0.996495082565306","0.998840706253993","152"
"2","ALCLAT","0.986763780582658","1.00259541462653","1.00362171166607","1.00814742834156","1.00361986893783","1.01382304005655","1.01368815168678","1.01422724023564","392"
"3","ANDINE","0.936183836583913","0.93744859034258","0.931189976107283","0.912566608239367","0.93574025746655","0.945459835104762","0.950972209651371","0.961314555347511","147"
"4","ANTOBT","1.20832742756793","1.11548555820964","1.05354446416309","1.03348980405122","1.04089553295374","1.00539115264551","0.987700457895131","0.985297817765156","15"
"5","ARDGLA","1.04698427773283","0.962948119669416","0.908099897463163","0.895195904890407","0.90089126875831","0.892635466177627","0.893250699263957","0.907616857484823","106"
"6","ARTALT","0.375482297668257","0.56106281501017","0.629242733498983","0.70689721771757","0.73946187521207","0.765546471470015","0.806537292240926","0.813203569744077","14"
"7","BEIPEN","1.25561723499868","1.35851203253515","1.27013523350186","1.42113361426215","1.32830011427414","1.20475786107613","1.11907221739932","1.08728538407724","2"
"8","BRUPOR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","BUCTET","1.2606049782623","1.14461036926058","1.1108649408236","1.09208653931812","1.07045048274441","1.06549300486744","1.06671329092814","1.06191743081613","188"
"10","BYRSPI","1.16130709117316","1.13284276257193","1.09634119832294","1.08775774073471","1.08140309624264","1.07226540847106","1.06674782793119","1.06310518502408","308"
"11","BYRWAD","1.15434131055034","1.09325948130197","1.10922173383723","1.08110939383922","1.06148148751643","1.05921954162229","1.05800707039745","1.04359246128501","30"
"12","CALCAL","1.015487626788","0.971249101547419","0.994546982965991","1.00069250007368","1.00469983172653","1.00570754566562","1.01114734275917","1.01278669053972","66"
"13","CALSQU","0.801996388033564","0.773582532086217","0.844541138931476","0.861070211683684","0.885297775936524","0.89008433492381","0.878179410041315","0.87783798786368","26"
"14","CASARB","1.00661196616448","1.03959259579453","1.05129848639472","1.04781385466142","1.04828024402513","1.04449810473055","1.04013664947823","1.03632571235323","3093"
"15","CASDEC",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","CASGUI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","CASSYL","0.909664220085415","0.882702536603907","0.896431834133739","0.909623010538064","0.919907687515239","0.927278125011497","0.931711477141869","0.939681024953504","1341"
"18","CECSCH","1.12786287302944","1.06086699415012","1.03626179619245","1.02389145415158","1.01852754166489","1.01222176648186","1.0126024826795","1.01259348154511","2476"
"19","CEIPEN",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","CESMAC","1.11561134025751","0.86532170495076","0.973708361216857","0.88093237596965","0.893726380069066","0.927598005876192","0.942226282230549","1.00159259860825","8"
"21","CHIDOM","1.12967745132281","1.11755987454965","1.10433663227694","1.08449863844419","1.07532185613218","1.06780319788593","1.05730167975806","1.05472558238542","191"
"22","CHOVEN","0.803155077915586","0.876532892918556","0.932014147983661","0.929260181662075","0.922818558934091","0.95637690242011","0.976133649835348","0.988695738118478","12"
"23","CHRARG","0.417464022448962","0.852330120183791","0.876094227936623","0.983191683985914","0.890104986113437","0.869495199046535","0.853556450178517","0.839969459465987","3"
"24","CINELO","0.898522302177683","0.895500632799428","1.02603540455774","0.991073943103822","0.979237027932279","0.989875552041136","1.00637410552168","1.01131656696437","4"
"25","CINMON","0.876260257114715","1.09327898166529","1.1667568263468","1.1596687092245","1.10755455764081","1.086036785472","1.07599086823082","1.05201598247195","6"
"26","CITAUR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","CITCAU","1.18402319976135","1.06320391388711","1.03503900143903","1.04874321105552","1.06175682116012","1.02943872447671","1.03757552586263","1.0207380015498","7"
"28","CITFRU","0.887735862967722","1.02323268141629","1.07131719104229","1.03204280506958","1.03764412051166","1.09737652183323","1.09214114659167","1.08626336145162","6"
"29","CLUCLU","0.96522866474416","1.09746115550201","1.31982613681266","1.29852801860074","1.34946515440302","1.33177861714244","1.24914524807669","1.22331952874856","2"
"30","COCPYR","0.762996692670457","0.827397938318654","0.850416476821785","0.8459966616013","0.842758628170207","0.852099725139948","0.858097566915768","0.859647200323727","66"
"31","COCSPP","0.946008098474342","0.975135623618651","0.864812325315273","0.828972679918187","0.84471325991071","0.815260253544166","0.828141053224579","0.841731686590658","14"
"32","COCSWA","0.933609050955261","0.887458700046052","0.900650001637893","0.893539514265923","0.892697222113411","0.906792617461335","0.909702167933945","0.916066796797951","52"
"33","COFARA","0.98540433061128","1.12472566588833","1.05316057805965","1.03064494143816","1.07341433904294","1.05609744589852","1.03038445736186","1.01596828668285","18"
"34","COMGLA","1.11809723882804","0.97741846360001","0.977620680129917","0.983349149047637","0.987508075970874","0.989047458257231","0.986775644687187","0.985611850445478","30"
