"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ALCFLO","1.00844419804153","1.06322489256754","1.06333626051013","1.04947406341052","1.04190913033702","1.02482185823587","1.0199735204724","1.0199600921061","0.888","0.036","0.014","0.02","0.014","0.09","0.112","0.078","0.159572711302799","2.15905758129769","2.77297174210738","2.68035943640008","2.67923560130513","1.82520266001829","1.63423665036609","1.82304615476636","152"
"2","ALCLAT","1.00355161002021","1.00809859456777","1.0195682935483","1.01680766900684","1.01501468219195","1.01349353502916","1.01031867263115","1.00926170472862","0.894","0.638","0.164","0.136","0.118","0.102","0.148","0.18","0.155458905987029","0.481582556778195","1.43653212961528","1.49300883876933","1.5772447848588","1.63049511982086","1.41666433523829","1.41026001895346","392"
"3","ANDINE","0.982685553836045","1.00522747601514","1.01811374262475","1.00621697754965","1.03478710144515","1.03505761082965","1.02901657981887","1.0314407593416","0.796","0.918","0.454","0.762","0.05","0.024","0.04","0.018","-0.298740819799291","0.181239755365133","0.74373126624404","0.298564395396288","1.96937753917545","2.22256440318765","2.11462928500927","2.57687075877523","147"
"4","ANTOBT","1.09098526983406","1.14324389288991","1.09428712845817","1.09653733131983","1.09372259848501","1.03734165528555","1.02754758136359","1.04522483869752","0.614","0.14","0.226","0.148","0.09","0.444","0.552","0.242","0.574089884425071","1.50854754753062","1.21367720475141","1.49626662903853","1.68878943092861","0.758666879887435","0.617659651914775","1.20233943176477","15"
"5","ARDGLA","1.07966634218472","1.02849468175329","0.996641706419343","0.982883694585402","0.98793826436378","1.00445802386177","1.01318583235072","1.02253467635235","0.152","0.422","0.87","0.402","0.472","0.784","0.328","0.068","1.50038778249709","0.827282715857068","-0.154054175848292","-0.866927961028556","-0.708107838692771","0.278286556255007","0.979197581015579","1.8267070688621","106"
"6","ARTALT","0.439702539041559","0.639844355826155","0.701764282831038","0.787777553583195","0.795755428488711","0.799083588178571","0.828374576764142","0.855190207309626","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.45437076927774","-3.56565700770625","-4.10942732619845","-3.5687048266485","-3.90675294496946","-4.2300678099502","-4.08536515825429","-3.93532869854172","14"
"7","BEIPEN","1.06449392518128","0.709463874686276","0.905975350204507","1.20780817805261","1.05771230714644","0.992875846225512","0.953424851623872","0.877330140968948","0.998","0.486","0.84","0.374","0.77","1","0.886","0.47","0.193259295033098","-0.913717764759139","-0.375195467504016","0.932113126722969","0.302992344773129","-0.0181991098724237","-0.266539247759463","-0.838746396299564","2"
"8","BRUPOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","BUCTET","1.07384224721193","1.07945829310132","1.07229925561108","1.06643326820654","1.06127241523878","1.04545960159245","1.03322734697988","1.02288884705741","0.072","0.006","0.004","0.002","0.002","0.002","0.004","0.01","1.76384136759281","3.02766562958351","3.51602169266833","4.03702772006628","4.18870731391861","3.50146159485801","2.94652299649587","2.35921759887511","188"
"10","BYRSPI","1.08549377364611","1.08841689684692","1.04470239913851","1.03228661354872","1.01544717903172","0.993242512904084","0.995814712474793","1.00188600512883","0.012","0.002","0.002","0.012","0.132","0.442","0.602","0.734","2.60194146780646","4.6889515130145","3.08959309531931","2.68808345153081","1.51582222044052","-0.773458585016443","-0.523022330393913","0.306779576807821","308"
