"","allsp","","","","","","","","","abund"
"1","ALCFLO","1.04332345930546","1.06991635382776","1.06751580600663","1.05778540337487","1.05076254672738","1.02857460268902","1.02374586282866","1.02173118683222","152"
"2","ALCLAT","1.00589549343272","1.01827304724918","1.03129446692991","1.02839208209317","1.0253418177078","1.02313196400316","1.0189881797232","1.01507139457779","392"
"3","ANDINE","0.966946454070419","1.00192283453166","1.01788892071989","1.00230067520865","1.0323317098257","1.03499071191155","1.0283538582918","1.03082317545935","147"
"4","ANTOBT","1.09098526983406","1.14324389288991","1.09428712845817","1.09653733131983","1.09372259848501","1.03734165528555","1.02754758136359","1.04522483869752","15"
"5","ARDGLA","1.07966634218472","1.02849468175329","0.996641706419343","0.982883694585402","0.98793826436378","1.00445802386177","1.01318583235072","1.02253467635235","106"
"6","ARTALT","0.469974353701929","0.646374090137049","0.720790504088943","0.776059766062325","0.795973008356695","0.79539397882489","0.830983710992761","0.859387134868191","14"
"7","BEIPEN","1.06449392518128","0.709463874686276","0.905975350204507","1.20780817805261","1.05771230714644","0.992875846225512","0.953424851623872","0.877330140968948","2"
"8","BRUPOR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","BUCTET","1.24350596100545","1.12632232401748","1.10215467156264","1.06862370933953","1.0655878446803","1.0494759513794","1.04679996200222","1.03391661104729","188"
"10","BYRSPI","1.10453774621309","1.10851015087991","1.05647279509547","1.04730489459266","1.02685389183623","1.00518409635197","1.00574503596967","1.01073674268202","308"
"11","BYRWAD","1.11093153781016","1.04290048108255","1.06257442496817","1.02357970482053","0.992391024554669","1.01351206660741","1.01184928280338","1.0076195717443","30"
"12","CALCAL","1.08393750105823","0.997632801366108","1.05324318846095","1.05354895122873","1.04407034783064","1.01562022674948","0.999191280957782","0.986660390880453","66"
"13","CALSQU","0.878814933024082","0.924968238042567","0.990042539273666","1.00657107978081","1.0215782611104","1.03032556458384","1.03723532314544","1.0487327686578","26"
"14","CASARB","1.00380687075045","1.02955252849966","1.04469730915917","1.03865640420924","1.03425311251711","1.02889659651764","1.0266392288192","1.02206091885671","3093"
"15","CASDEC",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","CASGUI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","CASSYL","0.948799590778304","0.943762159222068","0.962197749899633","0.976357659615319","0.985824833321736","0.990228389114546","0.991744692145798","0.99316562643681","1341"
"18","CECSCH","1.08289834606643","1.00412801667727","0.975751844127959","0.966496312077138","0.973458367401944","0.976402093628155","0.981964602612068","0.987106863047619","2476"
"19","CEIPEN",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","CESMAC","1.08713350261254","0.901162288691593","1.02476636047611","0.948559830174179","1.04012873322715","0.979647600116154","1.01082777133816","1.05457743552781","8"
"21","CHIDOM","1.11421077236647","1.11527630802525","1.08362559092554","1.05807990820475","1.04665588224251","1.04070898360425","1.03944001567285","1.03589611166155","191"
"22","CHOVEN","0.886196962641312","0.977415425884495","0.992386932326292","0.931622249915523","0.973003919183087","0.980057358172678","0.960537752807429","0.996481058597925","12"
"23","CHRARG","0.539102089855197","1.04817677355758","0.928551318696526","0.973550952472295","0.881565292107327","0.91940516283326","0.87013128544249","0.897349851846692","3"
