"","x"
"矮冬青",2.86670329640069
"矮小天仙果",87.2263200269206
"凹脉柃",2123.54384623075
"八角枫",62250.7212627348
"白毛椴",52505.2809398135
"百日青",8150.02961768552
"半枫荷",3144.86776393116
"薄叶润楠",60255.3622507522
"薄叶山矾",2363.16882588331
"北江荛花",17.8992241438278
"变叶树参",283.128183923146
"伯乐树",1699.87651494927
"茶",15.4880517821977
"茶梨",876.488642388284
"檫木",1908.36831140475
"常绿荚蒾",15.9278747537003
"赤楠",8424.87185098482
"赤杨叶",331343.517992722
"翅柃",7979.95949938343
"川桂",82916.6282468547
"刺毛杜鹃",2742.75961223494
"刺楸",1522.08593270099
"刺叶桂樱",1187.38850536916
"楤木",669.85823958005
"大果冬青",302.1662354039
"大果马蹄荷",185860.815412565
"大果卫矛",785.091858113723
"大青",1036.66274383156
"大叶新木姜子",3986.76747120342
"单耳柃",30.6148204092325
"倒卵叶紫麻",4.1547562843725
"灯台树",6554.70530624772
"东方古柯",6225.07369706981
"冬青",47.9014339856104
"杜英",88002.7175273655
"短柄紫珠",58.9676941078804
"短尾越桔",6680.80098138118
"钝齿尖叶桂樱",83.4328468977109
"多花山矾",2337.08575287688
"多脉青冈",14868.5532728547
"芬芳安息香",19265.4163950761
"枫香树",101457.14569906
"凤凰润楠",30115.2521994403
"福建柏",24722.4963520493
"福建假卫矛",176.950206213445
"钩锥",21526.0671986911
"狗骨柴",1.539380400259
"构棘",40.4637133782365
"谷木叶冬青",581.24961878555
"冠盖藤",39.3484479862122
"光亮山矾",14707.6408971378
"光叶山矾",1557.12254477015
"光叶石楠",4021.63129567663
"广东冬青",1355.36946455661
"广东杜鹃",1876.37119022794
"广东木瓜红",13960.5230402243
"海通",23386.753987596
"海桐山矾",1611.22077026496
"黑柃",7946.17167039408
"黑叶冬青",1674.62596399604
"红淡比",23331.2263374438
"红楠",346391.479768041
"红紫珠",3.67566340470006
"猴欢喜",10797.5754105718
"猴头杜鹃",179.919011271087
"厚边木樨",324.557937042362
"厚皮香",1960.70724501356
"厚叶冬青",46520.2092135147
"厚叶红淡比",3646.61938061762
"厚叶厚皮香",11.702432634622
"厚叶紫茎",302.346876981482
"虎皮楠",65233.7812970428
"华南青皮木",438.91190963303
"华南吴萸",4064.27056196748
"华南五针松",132077.997966187
"黄丹木姜子",106167.83036543
"黄棉木",506.346195942335
"黄牛奶树",202.687704027979
"黄樟",64772.9881945776
"尖脉木姜子",5082.57069673881
"尖叶川杨桐",20422.9047923647
"尖叶毛柃",24223.1323457796
"江南越桔",3135.5843576398
"交让木",12910.5163815967
"金毛柯",9514.63536464368
"金叶含笑",33844.0399359126
"金叶细枝柃",525.934026137467
"栲",92845.4904568558
"苦树",3481.33233713063
"蜡瓣花",18.0955736846772
"蜡莲绣球",321.754065599033
"蓝果树",32478.9393881115
"老鼠矢",4471.06754069919
"乐东拟单性木兰",27173.3941527841
"雷公鹅耳枥",138788.793303429
"棱果花",66.6017642561036
"里白算盘子",715.88257195514
"楝叶吴萸",3442.95778286703
"两广杨桐",2.26980069221863
"亮叶桦",56285.1666807964
"岭南枫",11916.0530810845
"鹿角杜鹃",9602.31721560537
"鹿角锥",72164.7865713376
"罗浮枫",20294.452922741
"罗浮栲",213444.75289332
"绿冬青",65.5022068273472
"马比木",71.6675824100172
"马尾松",42188.196417645
"马银花",111982.101553135
"满山红",62.7061893656523
"蔓胡颓子",3.80132711084365
"毛冬青",99.2978897983394
"毛桂",1362.1867206149
"毛棉杜鹃花",86562.1794859701
"毛山矾",2378.63331572061
"毛桃木莲",5343.55850643578
"毛叶石楠",1360.87510568203
"美叶柯",217715.567464298
"密花山矾",5.7255526111674
"木荷",647881.283149734
"木姜润楠",1103.98707439799
"木姜子",2388.7335361019
"木莲",244563.594719931
"木莓",5.19933584169111
"南方红豆杉",3669.16816188876
"南国山矾",2164.18034720494
"南岭黄檀",5366.99478763156
"南岭山矾",123.126870075818
"南酸枣",40602.7445611212
"南烛",568.502606593609
"拟榕叶冬青",4021.05010103572
"刨花润楠",21001.9788582376
"朴树",4277.38835360538
"茜树",52.1033141597867
"青冈",265.495995154873
"青榨枫",42039.5048373506
"清风藤",2.54469004940773
"日本粗叶木",48.6004383510341
"日本杜英",89862.1555331906
"日本女贞",1.76714586764426
"绒毛石楠",1498.47686390926
"榕叶冬青",18984.5030339737
"锐尖山香圆",75.7752148045858
"山槐",64759.6914036712
"山鸡椒",4169.29400437699
"山绿柴",1.13097335529233
"山桐子",7679.8902770758
"山乌桕",98.5203456165759
"杉木",99739.1264865361
"少花柏拉木",2.11272105953914
"少叶黄杞",9768.27184753125
"深山含笑",60216.6107053701
"石斑木",1852.56577189537
"石灰花楸",743.60712712307
"鼠刺",8245.17275119948
"水青冈",146265.406827854
"水团花",21.4099539342144
"水榆花楸",2.01061929829747
"酸味子",246.811372847648
"穗花杉",343.611696486384
"穗序鹅掌柴",1498.40617807455
"台湾林檎",261.993119346121
"台湾泡桐",36.316811075498
"甜槠",944515.330970295
"铁冬青",6403.98739869175
"微毛柃",23.8839581489164
"微毛山矾",832.13720810123
"五列木",367511.896669319
"西川朴",9112.82566424955
"细脉木樨",3702.29625642087
"细叶青冈",19282.3731414238
"细枝柃",25846.0241327526
"狭叶海桐",0.785398163397448
"狭叶山矾",59.6352825467682
"狭叶山黄麻",2.54469004940773
"显脉冬青",8024.19312394598
"显脉新木姜子",4934.2718155261
"腺柄山矾",34.4161475200762
"腺毛泡花树",71816.4075079993
"腺叶桂樱",2942.98902001148
"香椿",7754.9979034415
"香港四照花",10350.0476830863
"香桂",19726.92420987
"香花枇杷",10046.1221557964
"香皮树",3494.44063247773
"香叶树",1949.00481237894
"小果冬青",11391.9568866493
"小蜡",275.274202289172
"小叶青冈",48252.8839557675
"新木姜子",2122.60136843468
"星毛鸭脚木",34.0470103832794
"锈叶新木姜子",3068.91190754899
"蕈树",85737.9669453375
"延平柿",3107.76555469227
"盐肤木",311.104066503363
"杨梅",57065.970264938
"野漆",36833.5166732156
"野柿",34640.3080098915
"野桐",15857.3617065904
"野鸦椿",2281.62093457776
"异叶榕",252.26989008326
"银钟花",100883.695084037
"瘿椒树",80.5268736931404
"硬壳柯",150064.48769995
"羽脉新木姜子",40.6679169007199
"圆锥柯",84004.0748359315
"圆锥绣球",20.7737814218625
"越南安息香",4024.41160517506
"云和新木姜子",4196.21745341825
"云南桤叶树",1389.12587761943
"云山青冈",124186.427176113
"窄基红褐柃",1957.80912579062
"樟叶泡花树",19608.588268591
"长苞铁杉",1448.61193451516
