"","x"
"凹脉柃",26
"八角枫",266
"白毛椴",234
"百日青",120
"半枫荷",17
"薄叶润楠",406
"薄叶山矾",32
"变叶树参",4
"伯乐树",12
"茶梨",8
"檫木",20
"赤楠",72
"赤杨叶",1250
"翅柃",98
"川桂",334
"刺毛杜鹃",36
"刺楸",6
"刺叶桂樱",12
"楤木",11
"大果冬青",3
"大果马蹄荷",1105
"大果卫矛",10
"大青",2
"大叶新木姜子",45
"灯台树",22
"东方古柯",54
"冬青",1
"杜英",527
"短柄紫珠",1
"短尾越桔",79
"钝齿尖叶桂樱",1
"多花山矾",20
"多脉青冈",89
"芬芳安息香",220
"枫香树",333
"凤凰润楠",378
"福建柏",211
"福建假卫矛",1
"钩锥",83
"谷木叶冬青",3
"光亮山矾",140
"光叶山矾",9
"光叶石楠",53
"广东冬青",20
"广东杜鹃",5
"广东木瓜红",83
"海通",81
"海桐山矾",17
"黑柃",88
"黑叶冬青",17
"红淡比",253
"红楠",2971
"猴欢喜",56
"猴头杜鹃",3
"厚边木樨",4
"厚皮香",29
"厚叶冬青",525
"厚叶红淡比",37
"厚叶紫茎",3
"虎皮楠",462
"华南青皮木",6
"华南吴萸",17
"华南五针松",351
"黄丹木姜子",1080
"黄棉木",7
"黄牛奶树",4
"黄樟",308
"尖脉木姜子",42
"尖叶川杨桐",265
"尖叶毛柃",334
"江南越桔",36
"交让木",95
"金毛柯",90
"金叶含笑",338
"金叶细枝柃",5
"栲",298
"苦树",15
"蓝果树",135
"老鼠矢",36
"乐东拟单性木兰",187
"雷公鹅耳枥",788
"里白算盘子",11
"楝叶吴萸",9
"亮叶桦",288
"岭南枫",131
"鹿角杜鹃",127
"鹿角锥",194
"罗浮枫",220
"罗浮栲",982
"绿冬青",1
"马比木",1
"马尾松",164
"马银花",1528
"满山红",1
"毛冬青",1
"毛桂",16
"毛棉杜鹃花",948
"毛山矾",34
"毛桃木莲",48
"毛叶石楠",18
"美叶柯",794
"木荷",3348
"木姜润楠",15
"木姜子",41
"木莲",1011
"南方红豆杉",56
"南国山矾",9
"南岭黄檀",34
"南岭山矾",2
"南酸枣",123
"南烛",7
"拟榕叶冬青",42
"刨花润楠",139
"朴树",15
"青冈",2
"青榨枫",127
"日本杜英",556
"绒毛石楠",22
"榕叶冬青",195
"山槐",247
"山鸡椒",51
"山桐子",72
"山乌桕",1
"杉木",390
"少叶黄杞",152
"深山含笑",463
"石斑木",15
"石灰花楸",7
"鼠刺",79
"水青冈",603
"酸味子",1
"穗花杉",4
"穗序鹅掌柴",11
"台湾林檎",4
"台湾泡桐",1
"甜槠",3691
"铁冬青",59
"微毛山矾",11
"五列木",4147
"西川朴",77
"细脉木樨",30
"细叶青冈",124
"细枝柃",106
"狭叶山矾",1
"显脉冬青",99
"显脉新木姜子",69
"腺毛泡花树",589
"腺叶桂樱",28
"香椿",21
"香港四照花",119
"香桂",145
"香花枇杷",100
"香皮树",18
"香叶树",25
"小果冬青",29
"小蜡",3
"小叶青冈",323
"新木姜子",32
"锈叶新木姜子",8
"蕈树",566
"延平柿",31
"盐肤木",5
"杨梅",327
"野漆",295
"野柿",257
"野桐",95
"野鸦椿",9
"异叶榕",1
"银钟花",736
"瘿椒树",2
"硬壳柯",1193
"羽脉新木姜子",1
"圆锥柯",656
"越南安息香",40
"云和新木姜子",35
"云南桤叶树",26
"云山青冈",743
"窄基红褐柃",24
"樟叶泡花树",215
"长苞铁杉",11
"长花厚壳树",72
"长毛山矾",192
"长尾毛蕊茶",41
"长尾乌饭",2
"针齿铁仔",1
"珍珠花",156
"枝花流苏树",1
"枳椇",68
"中华枫",68
"钟花樱桃",72
"紫楠",91
