"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","¶«·½¹Å¿Â","1.08955305142845","1.08375468797695","1.08119703706272","1.08075573111631","1.07568800485639","1.07116024744715","1.06431377457713","1.05729896800729","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.5994022068964","4.65732305305532","5.38419916494229","6.0803474354102","6.2788318312675","6.38860206420407","6.34506689654542","6.16244425278391","584"
"2","Á½¹ãÑîÍ©",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ÖÐ»ª·ã","0.751443225285559","0.753313603161718","0.742027159408585","0.749754677674208","0.75134239797388","0.755077374717596","0.767296387884467","0.777926919096545","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.9555363506515","-6.8453112223255","-8.26905492498618","-8.8393882309642","-9.4281076936926","-9.80028869603996","-9.77696614862688","-9.80779300213516","154"
"4","ÖÐ¹úìº½Ú»¨","0.653978497355696","0.776067500780391","0.868477815648525","0.905711455102244","0.954639812429528","0.963094560407986","0.961845253640753","0.956882755665874","0.002","0.008","0.054","0.134","0.46","0.498","0.44","0.344","-2.93110247214635","-2.61961609363983","-1.75413322708674","-1.41698961814773","-0.75484320129243","-0.679945950216315","-0.761145529626542","-0.933957365455012","28"
"5","ÖÐ¹úÐåÇò","1.02523436053762","1.0117438494113","0.939416905868284","0.903093279509695","0.852273871598796","0.819051273210985","0.819878928429841","0.83113239094746","0.848","0.88","0.676","0.458","0.232","0.114","0.104","0.112","0.118220611214068","0.105611199209939","-0.41295970056445","-0.730743849929684","-1.20079302311086","-1.57109192351677","-1.62700143665034","-1.60240128877511","8"
"6","ÀÖ¶«Äâµ¥ÐÔÄ¾À¼","0.983426052662344","0.999065501433853","1.01029544910174","1.01463371222219","1.01733088871432","1.02003988481332","1.02318251308174","1.02337061249703","0.628","0.954","0.638","0.414","0.282","0.15","0.074","0.04","-0.539159709751937","-0.0572244536637573","0.502183962862832","0.837656184007475","1.11849049383637","1.43123336710007","1.81915656900958","1.99299213155601","352"
"7","ÔÆÄÏèçÒ¶Ê÷","1.02907785065758","1.01746892636787","1.02295227187992","1.03209977373377","1.03355801593949","1.04682266281764","1.05478646831422","1.05879680902162","0.666","0.738","0.6","0.398","0.324","0.12","0.066","0.032","0.385948647901421","0.320916328824412","0.519283481993917","0.84438082339269","1.00061719536286","1.53065701443825","1.93469133870643","2.23158762063757","68"
"8","ÔÆºÍÐÂÄ¾½ª×Ó","0.892591936680612","0.918910216559146","0.923050189697771","0.933181717500885","0.946309803444275","0.955842636613322","0.96301180250509","0.965266852188043","0.008","0.006","0.002","0.004","0.006","0.016","0.038","0.034","-2.67795926709449","-2.81112065231752","-3.16364788737338","-3.13991096736788","-2.75456676010684","-2.43718145499176","-2.21740808655227","-2.26209486637223","210"
"9","ÔÆÉ½Çà¸Ô","0.921165729719122","0.931346958027673","0.939965787803612","0.937729661991828","0.93585773352753","0.936970080614216","0.938543355053586","0.939682209144624","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.52843029418603","-6.80716053635931","-6.73498967509721","-7.76915747769863","-8.7172881180529","-9.21981051709842","-9.64981518668097","-10.0854757182102","1717"
"10","ÎåÁÐÄ¾","1.3309524537595","1.26337576612887","1.21800016177667","1.18739669024686","1.16615678940705","1.14963860674989","1.13468644108495","1.1214416447544","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","65.7315130072185","73.9498698433053","73.4473178170914","72.3847954048393","71.8775682633855","71.3169178740736","69.9899699902418","68.1917567718129","13463"
"11","½»ÈÃÄ¾","0.915634609729228","0.850961096632929","0.826495203976257","0.825938322467427","0.833696123389212","0.836898489978981","0.844965075996691","0.859246111305767","0.106","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-1.58925729290179","-3.98414109741676","-5.54083829538832","-6.14251779268842","-6.48172147339297","-6.84264982809233","-6.97198060602653","-6.80737147592345","133"
"12","ÁÁÒ¶èë","1.11731785636535","1.06141470454663","1.05211410294446","1.04027872666303","1.02972307852877","1.01750540478097","1.01292880488551","1.01036575836395","0.004","0.026","0.018","0.038","0.076","0.236","0.336","0.412","3.4246572003094","2.50736112668393","2.52349474845065","2.21195588206199","1.80778108458005","1.12594371732798","0.887431468916726","0.759911173341163","311"
"13","²®ÀÖÊ÷","0.891131206698688","0.961354362292094","0.977221746697701","0.971939779587324","0.991759214085935","1.01713153587047","1.01392228932852","1.01661614441325","0.38","0.65","0.756","0.674","0.906","0.744","0.802","0.772","-0.909516990720661","-0.458606807629544","-0.336469987396451","-0.447174604921306","-0.167149964707153","0.268007000130207","0.224109632360332","0.293158186216376","22"
"14","µ¹ÂÑÒ¶×ÏÂé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
