"","allsp","","","","","","","","","abund"
"1","¶«·½¹Å¿Â","1.08818193875521","1.08211419691104","1.0796410141344","1.07969311438912","1.07460081336611","1.07001208903354","1.06307411158518","1.0561282097247","584"
"2","Á½¹ãÑîÍ©",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ÖÐ»ª·ã","0.737369368021802","0.755550890492137","0.747828420017023","0.754127597201431","0.754836654015284","0.759275944380353","0.77177941614192","0.781834451323818","154"
"4","ÖÐ¹úìº½Ú»¨","0.626489029843384","0.745107887530929","0.835515212352973","0.872107653056228","0.920259876464861","0.92880477289968","0.927864649152026","0.923064710680055","28"
"5","ÖÐ¹úÐåÇò","0.913826866566238","0.899893043822263","0.834849863956317","0.803312984098463","0.757796890921097","0.727380329000802","0.728461942039031","0.738136218101932","8"
"6","ÀÖ¶«Äâµ¥ÐÔÄ¾À¼","0.968405613079092","0.990243341143845","1.00711369786494","1.0123241085739","1.01551738491292","1.01902737416269","1.02255583281904","1.02280799829046","352"
"7","ÔÆÄÏèçÒ¶Ê÷","1.01401728563658","1.00132405484299","1.0073795569575","1.01635666793133","1.01754082799909","1.03096073579013","1.03897941772277","1.04298991208184","68"
"8","ÔÆºÍÐÂÄ¾½ª×Ó","0.891490396524978","0.918950797336321","0.92332497740491","0.932576759528599","0.945512714414619","0.954382970864685","0.960900433254642","0.96297970042976","210"
"9","ÔÆÉ½Çà¸Ô","0.92102968061656","0.930442592400469","0.938565073498513","0.936876754770458","0.934986556752477","0.9361876646737","0.937812675210496","0.938946859479893","1717"
"10","ÎåÁÐÄ¾","1.33252185875788","1.26437281065149","1.2187281643423","1.18794377092535","1.16648326988247","1.14983401712919","1.13483313088498","1.12154731603447","13463"
"11","½»ÈÃÄ¾","0.914456714832731","0.848832653999712","0.82035826576998","0.821225719969947","0.829228492164257","0.832964106844617","0.840456868085429","0.853558913700208","133"
"12","ÁÁÒ¶èë","1.07943300486207","1.04126151970285","1.0305812451663","1.02352126712924","1.01386147491581","1.0008497062447","0.999810084297489","0.997286690493652","311"
"13","²®ÀÖÊ÷","0.841564696386003","0.926441497325523","0.937449124283491","0.932819630431944","0.948814565870176","0.96331794281641","0.964014311444615","0.968854455007669","22"
"14","µ¹ÂÑÒ¶×ÏÂé",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","¹âÁÁÉ½·¯","0.942951690414386","0.933330317523031","0.941677803681436","0.946183732580845","0.946515786812801","0.951590359710688","0.953677036674486","0.955175093697249","392"
"16","¹âÒ¶É½·¯","0.893562082072718","0.92237629957401","0.90952290138302","0.914193721802654","0.924074498295599","0.926855132462448","0.929168247410098","0.93305846304042","160"
"17","¹âÒ¶Ê¯éª","1.03780810390628","1.01352382509487","1.00147147863899","0.999870787158026","1.00597525817299","1.00645191971826","1.00593877591942","1.00748284153018","444"
"18","°Ë½Ç·ã","0.797374865480428","0.823495791242562","0.835418211888301","0.847403483417472","0.858808595627153","0.874673661067604","0.884681135382553","0.894332404604182","316"
"19","¹Ú¸ÇÌÙ","0.918860210586866","1.1079387573601","1.09783707298066","1.12193499505838","1.08120038277986","1.02586645128263","1.00552976651518","0.997413183568146","5"
"20","¶¬Çà","0.744732464309425","0.741559153510983","0.793009576435314","0.813859123313065","0.807973656492469","0.813023813019551","0.803244006161876","0.818100346108595","9"
"21","·ï»ËÈóéª","1.14538706474922","1.13046130854408","1.13070001193467","1.12645147694771","1.12112131709583","1.11671666707506","1.11184702799108","1.10317772313212","2804"
"22","°¼ÂöèÚ","0.861060838088574","0.849545473324782","0.840389316838657","0.833216084698693","0.830630777046349","0.836625941043405","0.841576030865487","0.849408760523003","187"
"23","ÅÙ»¨Èóéª","0.863689468935092","0.858391448387953","0.881838086952395","0.896417442596519","0.91077455809901","0.917319420817839","0.926197031273044","0.932796901452778","263"
"24","´ÌÒ¶¹ðÓ£","0.916602189320007","0.946923318917686","0.950796565655951","0.948425686850376","0.943767097300714","0.94005162467976","0.939820495466641","0.94803115728675","80"
"25","´Ìé±","0.815672650500214","0.555230491058864","0.727289223569061","0.843723910042255","0.934994568569873","0.973081176161435","0.985807937249603","0.969685224494847","6"
"26","´ÌÃ«¶Å¾é","0.90831353128336","0.871133349541476","0.907554926632887","0.922670761769254","0.935233939249983","0.946001517539001","0.953184538689475","0.964534478173717","183"
"27","±±½­Üé»¨","0.871230585662403","0.914951173382543","0.936135302855296","0.936027751882566","0.927889202931727","0.929481083740137","0.934556690775947","0.973578622230097","7"
"28","°ë·ãºÉ","1.34550318024394","1.21423629398372","1.08834907400202","1.03267244060065","0.996968410135999","0.980821183700502","0.967598923077834","0.960469848849087","19"
