"","allsp","","","","","","","","","abund"
"1","¶«·½¹Å¿Â","1.07378893979427","1.03112315227292","1.01688291869646","1.00943105343122","1.00612903342221","1.00065732784486","0.997421261010344","0.992952598220894","584"
"2","Á½¹ãÑîÍ©",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"3","ÖÐ»ª·ã","0.774256583553386","0.80504560523621","0.837913118512557","0.862940342407112","0.888741992777049","0.915480654276811","0.940548898083393","0.952112142151333","154"
"4","ÖÐ¹úìº½Ú»¨","0.597134006070227","0.895879041165333","1.03740185673457","1.08139561497522","1.09263898974669","1.0900574861683","1.07081757900957","1.05430973484656","28"
"5","ÖÐ¹úÐåÇò","0.979728743129513","0.950324323481889","0.832547494525978","0.881639083548581","0.894750557874189","0.887102456932157","0.89135331251837","0.91665049949391","8"
"6","ÀÖ¶«Äâµ¥ÐÔÄ¾À¼","1.04961605074569","1.0715181559609","1.08126318448686","1.07659870948553","1.07449836231927","1.07315906080105","1.06580201033319","1.05547427561113","352"
"7","ÔÆÄÏèçÒ¶Ê÷","1.09313006851562","1.10568960485651","1.03854855539317","1.00612759427151","0.990694922424957","0.978866553677218","0.969522207786587","0.955148370514885","68"
"8","ÔÆºÍÐÂÄ¾½ª×Ó","0.954550904048505","0.998430729462169","0.993698992783184","0.997749277022556","1.00734281820933","1.00828767871953","1.00913610020388","1.01126675096857","210"
"9","ÔÆÉ½Çà¸Ô","0.989544776895439","1.01571297899639","1.02411552962738","1.02589300123948","1.02562415531623","1.02679893017975","1.02602997058245","1.02477727706259","1717"
"10","ÎåÁÐÄ¾","1.0428957667425","0.966894276297672","0.942966091229149","0.935987118584075","0.934904958331631","0.937139401778919","0.939354112156418","0.942531739070654","13463"
"11","½»ÈÃÄ¾","1.01201378185036","0.986946612587788","0.997950942453824","1.01331620876405","1.02020645247304","1.02341220185904","1.0156636529131","1.01539838176802","133"
"12","ÁÁÒ¶èë","1.11893401268714","1.06891953629648","1.06882380008728","1.0568752704263","1.0500424886628","1.03448771872639","1.03664439785238","1.03669103381327","311"
"13","²®ÀÖÊ÷","0.83510839500221","0.960167160082542","1.0295304064504","1.05072523698858","1.04856986160521","1.05376962718641","1.05514163151564","1.07091192718798","22"
"14","µ¹ÂÑÒ¶×ÏÂé",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","¹âÁÁÉ½·¯","0.991625909105153","1.00583952339956","1.03280664255471","1.03104517834238","1.03210495644065","1.03290274049763","1.03167686513552","1.02972769654816","392"
"16","¹âÒ¶É½·¯","0.965050980706252","1.01963330817474","0.988471108791219","0.997943036188458","1.01270614819831","1.01222316708652","1.01198892301384","1.01391399345589","160"
"17","¹âÒ¶Ê¯éª","1.04346517897123","1.03726845163187","1.02666039709816","1.0211964798668","1.01721824522953","1.01411363912818","1.0109019761573","1.0069997235229","444"
"18","°Ë½Ç·ã","0.91296235393459","0.960080486295636","0.997578073176934","1.01237402287796","1.02635923170879","1.02822538156248","1.02421758814378","1.02364089170507","316"
"19","¹Ú¸ÇÌÙ","0.925844300324214","0.880481352154002","0.819160409964149","0.939690155152188","0.956480459648327","1.0583381148626","1.08196009349628","1.03595368034422","5"
"20","¶¬Çà","0.995376740145679","0.986191211540377","0.976405534901849","1.03487071809586","1.02705251678817","1.0448358420186","1.0294237527207","1.03225609179049","9"
"21","·ï»ËÈóéª","1.07760649777789","1.03411197951644","1.01457812324086","0.999711805463022","0.993737198517236","0.991826003219208","0.990660132768267","0.988684295876701","2804"
"22","°¼ÂöèÚ","0.847544054322459","0.886123394145297","0.889465255905165","0.890145055354461","0.892473994953173","0.904778202336565","0.912532349273441","0.921748952110973","187"
"23","ÅÙ»¨Èóéª","0.958805032019943","0.974698047574815","0.999736081128229","1.0165989562449","1.02208133940768","1.02097056260316","1.02530127687454","1.02678549364625","263"
"24","´ÌÒ¶¹ðÓ£","1.04366856272654","1.07729040013956","1.06563366751303","1.04729875899636","1.03904483635672","1.03419708954284","1.03413694703682","1.04456242877905","80"
"25","´Ìé±","0.646872975415299","0.564645664671207","0.698411899093201","0.897326319817412","0.965278455251081","0.990321290530263","0.995059933441261","0.991435639192176","6"
"26","´ÌÃ«¶Å¾é","1.01229425683749","1.02865248090348","1.0539530512011","1.05389206815284","1.0532410814367","1.03978954511451","1.03727414294422","1.03816102999317","183"
"27","±±½­Üé»¨","0.986711822086593","0.969919278011451","1.05302056055814","1.05355624779339","1.04615906267201","1.00028880432587","1.0055473787447","1.01671880914905","7"
"28","°ë·ãºÉ","1.27052258190353","1.20250817752624","1.12345665844757","1.10271474664827","1.06295562183025","1.03113340629701","1.04804683381991","1.0438751155437","19"
"29","»ªÄÏÎåÕëËÉ","1.05412530909415","0.912012923750023","0.87919722577229","0.874337631531609","0.874739775798489","0.885871575687556","0.893912760793151","0.906865262616293","402"
"30","»ªÄÏÎâÝÇ","1.06178053645726","0.92489006273949","0.973627576615826","0.979888419775051","0.983490947110576","1.0026990483658","1.01311265520897","1.01225536114394","29"
"31","»ªÄÏÇàÆ¤Ä¾","0.88200385473016","0.883413926979833","0.926052200923431","0.965093276313269","0.980535621434484","0.993623684258892","1.00716454898706","1.02183105778266","38"
"32","µ¥¶úèÚ","0.945681110428454","0.963879596146645","0.992289289972969","1.00403854209888","1.02690707345729","1.02976932516311","1.03085766513331","1.01933451805371","23"
