"","x"
"AGLAAM",967.618306930817
"AGLAED",1184.26257710495
"AGLAEL",35465.7302783607
"ALANME",10836.790363697
"ALBZBU",71218.1454671558
"ALLOLE",4680.84702028295
"ALSEMA",23740.7326040847
"ANTICM",397.607820219958
"APHAPO",820.096999818831
"ARCHSC",3586.3243636136
"ASTRWM",855.298599939821
"BARRAC",6848.77442373801
"BARRPT",1604.576288432
"BERRCO",415.47562843725
"BHESPA",459.960609302168
"CALOBL",22125.6160706568
"CALOCU",754.767635024948
"CANAAS",2291.05353919145
"CANAEU",568.321948959348
"CANAGR",798.749932175205
"CANAHI",3743.92236122978
"CARYCM",98884.2050471659
"CASEGE",422.732735163324
"CASEGR",352.98937586602
"CCRPPL",2344.57063617273
"CELTLU",13755.9585834707
"CHISCE",1428.70997155714
"CHISCU",7578.92739563881
"CHISPA",15639.8772349299
"CHISPE",22331.0533037851
"CLAOAR",7433.10250001744
"CLAOEU",3087.62802063434
"CLAOPB",6856.1725337739
"CLERMI",1175.77249064738
"CRATSU",1214.22556061245
"CRPTCU",789.238798260087
"CRYPCG",5026.45395934447
"CRYPTJ",1442.65857286271
"CYNOIN",32246.6265861355
"DACRRO",33574.4126143897
"DEHAIN",8306.09610468686
"DENDSC",490.873852123405
"DILLLU",1145.11052223348
"DILLMG",8741.04958522393
"DILLPH",30751.7782536029
"DIMOMA",5658.66819936906
"DIMOPH",1369.294503201
"DIOS02",12706.2423197585
"DIOS03",5772.58235981258
"DIOSBU",346.360590058275
"DIOSPE",2059.51038261652
"DIOSPO",3068.5426817109
"DIOSTO",26017.8852705494
"DIPTHA",15969.5326035364
"DIPTVA",51969.1058361523
"DPLDPA",283473.609994286
"DRACED",9106.85646910679
"DRYPLO",4446.99510483845
"DRYPME",152038.036152571
"DRYPMI",1924.17052173603
"DYSOAR",2529.96383384403
"DYSOCB",11551.2202542666
"DYSOEX",9697.73502454193
"DYSOOP",95379.4136056056
"DYSOPA",24318.0238244535
"ELAELA",834.3598606694
"ELLITO",665.083036116459
"ENDICO",2411.41586377184
"ENDOPE",28646.8799836693
"ENICGR",5537.70891857949
"ERYTVA",3466.9124394453
"FICUBO",4300.35341369082
"FICUCO",20192.5474704084
"FICUFI",6196.49308727139
