"","x"
"AGLAAM",1
"AGLAED",3
"AGLAEL",29
"ALANME",12
"ALBZBU",22
"ALLOLE",1
"ALSEMA",18
"ANTICM",1
"APHAPO",2
"ARCHSC",5
"ASTRWM",1
"BARRAC",4
"BARRPT",3
"BERRCO",1
"BHESPA",1
"CALOBL",21
"CALOCU",1
"CANAAS",3
"CANAEU",1
"CANAGR",2
"CANAHI",7
"CARYCM",201
"CASEGE",1
"CASEGR",1
"CCRPPL",3
"CELTLU",6
"CHISCE",3
"CHISCU",14
"CHISPA",15
"CHISPE",45
"CLAOAR",10
"CLAOEU",1
"CLAOPB",8
"CLERMI",2
"CRATSU",3
"CRPTCU",1
"CRYPCG",10
"CRYPTJ",3
"CYNOIN",42
"DACRRO",14
"DEHAIN",11
"DENDSC",1
"DILLLU",2
"DILLMG",12
"DILLPH",31
"DIMOMA",9
"DIMOPH",3
"DIOS02",11
"DIOS03",7
"DIOSBU",1
"DIOSPE",3
"DIOSPO",5
"DIOSTO",23
"DIPTHA",14
"DIPTVA",79
"DPLDPA",278
"DRACED",8
"DRYPLO",11
"DRYPME",271
"DRYPMI",5
"DYSOAR",3
"DYSOCB",4
"DYSOEX",10
"DYSOOP",90
"DYSOPA",28
"ELAELA",2
"ELLITO",1
"ENDICO",6
"ENDOPE",26
"ENICGR",7
"ERYTVA",2
"FICUBO",7
"FICUCO",33
"FICUFI",10
"FICUFK",1
"FICUIL",5
"FICULF",3
"FICUMG",5
"FICUMH",7
"FICURC",8
"FICUSB",1
"FICUSC",3
"FICUVR",8
"GARCCM",3
"GARCDV",1
"GARDME",4
"GLOCAL",6
"GLOCLT",3
"GLOCSF",1
"GLOCTR",1
"GLYCGR",1
"GONOCA",5
"GREWST",51
"GYMNFA",3
"GYNOAX",1
"HOPEAC",3
"HORSCO",8
"KAYEPA",3
"KIBAEL",1
"KNEMGL",23
"KNEMKU",1
"LAGEBA",3
"LEEAPH",7
"LEPIFR",1
"LEPITE",1
"LEPTBA",1
"LITH01",6
"LITHCD",14
"LITSAL",1
"LITSGA",33
"LITSGB",7
"LITSGR",4
"LITSTO",1
"LITSUR",4
"LITSVA",1
"MACABI",9
"MACAGR",4
"MACATA",28
"MANGAL",20
"MARACO",9
"MCRDMG",12
"MEMEBR",1
"MEMESY",1
"MLCPCO",2
"MYRIFR",4
"MYRIPH",3
"NAUC01",3
"NEPHRA",217
"NUVAAC",1
"OCTOSU",4
"ORANDE",11
"ORMOPA",4
"OROPCU",1
"PALA03",1
"PALABT",4
"PALAPO",2
"PALATP",19
"PCRTPE",1
"PHOEST",4
"PINAIN",6
"PINAMA",16
"PLANSP",2
"POMEPI",9
"POUT02",2
"PRARSB",1
"PRUNFR",5
"PSUVLU",2
"PTERIN",34
"PTSPCE",1
"RADEPI",1
"SAURKL",3
"SEMECU",15
"SEMEDF",2
"SEMEPH",1
"SHORCO",178
"SHORGU",58
"SHORNE",296
"SHORPA",408
"SHORPH",36
"SHORPO",135
"SLOAJA",6
"STERCO",6
"STERCP",1
"STERMO",7
"STERRU",10
"STROPH",162
"SYMPDE",2
"SYZY05",14
"SYZY08",10
"SYZYBD",9
"SYZYBT",5
"SYZYCR",1
"SYZYEV",13
"SYZYLF",4
"SYZYLO",3
"SYZYLS",6
"SYZYNI",22
"SYZYPO",7
"SYZYSM",2
"SYZYWZ",2
"TERMFT",3
"TERMMC",2
"TRDNPH",1
"TRIGFI",1
"VATIMA",2
"VILLFA",1
"WALSPI",2
"XPHLFL",55
"XPHLPA",1
"ZANTIN",1
