"","x"
"1","AGLAAM"
"2","AGLAAR"
"3","AGLAED"
"4","AGLAEL"
"5","AGLALW"
"6","AGLAOL"
"7","ALANME"
"8","ALBZBU"
"9","ALLODI"
"10","ALLOLE"
"11","ALSEEL"
"12","ALSEMA"
"13","ANTHBA"
"14","ANTICM"
"15","ANTIPL"
"16","APHAPO"
"17","APORSP"
"18","ARCH01"
"19","ARCHSC"
"20","ARDIPY"
"21","ARDITO"
"22","ARECWH"
"23","ARTORU"
"24","ARTOTR"
"25","ASTRCA"
"26","ASTRWM"
"27","BARRAC"
"28","BARRPT"
"29","BERRCO"
"30","BHESPA"
"31","BREY01"
"32","CALOBL"
"33","CALOCD"
"34","CALOCU"
"35","CAMELA"
"36","CANAAS"
"37","CANAEU"
"38","CANAGR"
"39","CANAHI"
"40","CAPPCA"
"41","CARYCM"
"42","CASEFU"
"43","CASEGE"
"44","CASEGR"
"45","CCRP01"
"46","CCRPCU"
"47","CCRPPL"
"48","CELTLU"
"49","CHIOCO"
"50","CHISCE"
"51","CHISCU"
"52","CHISPA"
"53","CHISPE"
"54","CLAOAL"
"55","CLAOAR"
"56","CLAOEU"
"57","CLAOPB"
"58","CLERIN"
"59","CLERMC"
"60","CLERMI"
"61","CLSTMY"
"62","CODILU"
"63","CONN01"
"64","CONNGR"
"65","CRATSU"
"66","CRPTCU"
"67","CRYPAM"
"68","CRYPCG"
"69","CRYPTJ"
"70","CYATSU"
"71","CYNOBI"
"72","CYNOIN"
"73","CYRTOB"
"74","DACRIN"
"75","DACRRO"
"76","DASYCL"
"77","DEHACA"
"78","DEHAIN"
"79","DENDSC"
"80","DILLLU"
"81","DILLMG"
"82","DILLPH"
"83","DIMOMA"
"84","DIMOPH"
"85","DIOS02"
"86","DIOS03"
"87","DIOSBU"
"88","DIOSCF"
"89","DIOSKZ"
"90","DIOSPE"
"91","DIOSPO"
"92","DIOSTO"
"93","DIPTHA"
"94","DIPTVA"
"95","DISCEF"
"96","DISCIN"
"97","DISCLI"
"98","DISCMI"
"99","DPLDPA"
"100","DPLSFA"
"101","DPLSTI"
"102","DRACED"
"103","DRYPLO"
"104","DRYPME"
"105","DRYPMI"
"106","DSCPWH"
"107","DYSO06"
"108","DYSO07"
"109","DYSOAL"
"110","DYSOAR"
"111","DYSOCB"
"112","DYSOCU"
"113","DYSOEX"
"114","DYSOOP"
"115","DYSOPA"
"116","DYSOPF"
"117","ELAELA"
"118","ELLITO"
"119","ENDICO"
"120","ENDOPE"
"121","ENICGR"
"122","ERYC01"
"123","ERYTVA"
"124","FICUBO"
"125","FICUCO"
"126","FICUFI"
"127","FICUFK"
"128","FICUIL"
"129","FICULF"
"130","FICUMC"
"131","FICUMG"
"132","FICUMH"
"133","FICURC"
"134","FICUSB"
"135","FICUSC"
"136","FICUTE"
"137","FICUVR"
"138","GARCCM"
"139","GARCDU"
"140","GARCDV"
"141","GARCLF"
"142","GARCMG"
"143","GARCRU"
"144","GARDLO"
"145","GARDME"
"146","GLOCAL"
"147","GLOCLT"
"148","GLOCNI"
"149","GLOCSB"
"150","GLOCSF"
"151","GLOCTR"
"152","GLYCGR"
"153","GMPDCU"
"154","GONIEL"
"155","GONOCA"
"156","GREWST"
"157","GUIOPL"
"158","GYMN01"
"159","GYMNFA"
"160","GYNOAX"
"161","HAPLBB"
"162","HAPLLA"
"163","HELIRO"
"164","HOPEAC"
"165","HORSCO"
"166","IXORMA"
"167","KAYELA"
"168","KAYEPA"
"169","KIBAEL"
"170","KNEMGL"
"171","KNEMKU"
"172","LAGEBA"
"173","LCSKCP"
"174","LEEAAC"
"175","LEEACG"
"176","LEEAHA"
"177","LEEAIN"
"178","LEEANE"
"179","LEEAPH"
"180","LEPIFR"
"181","LEPITE"
"182","LEPTBA"
"183","LITH01"
"184","LITHCD"
"185","LITSAL"
"186","LITSFU"
"187","LITSGA"
"188","LITSGB"
"189","LITSGR"
"190","LITSTO"
"191","LITSUR"
"192","LITSVA"
"193","LOPHBE"
"194","MACA02"
"195","MACABI"
"196","MACAGR"
"197","MACAOV"
"198","MACATA"
"199","MAESDE"
"200","MAGNCD"
"201","MALLFL"
"202","MALLMO"
"203","MANGAL"
"204","MARACO"
"205","MATTHE"
"206","MCRDMG"
"207","MELAMG"
"208","MEMEBR"
"209","MEMEOL"
"210","MEMERA"
"211","MEMESY"
"212","MISCPE"
"213","MITRRF"
"214","MLCPCO"
"215","MLSTMA"
"216","MUSSAN"
"217","MYRIFR"
"218","MYRIPH"
"219","NAUC01"
"220","NEPHRA"
"221","NTRWCU"
"222","NUVAAC"
"223","OCTOSU"
"224","OMPHMA"
"225","ORANDE"
"226","ORMOPA"
"227","OROPCU"
"228","OSMOFN"
"229","PALA03"
"230","PALA04"
"231","PALA06"
"232","PALA08"
"233","PALABT"
"234","PALAPH"
"235","PALAPO"
"236","PALATP"
"237","PANDB1"
"238","PANDBI"
"239","PANDOL"
"240","PCRTPE"
"241","PHOEST"
"242","PHYLRA"
"243","PINAIN"
"244","PINAMA"
"245","PIPTAS"
"246","PLANSP"
"247","POMEPI"
"248","POUT02"
"249","PRARSB"
"250","PRUNFR"
"251","PSUVLU"
"252","PSYC02"
"253","PSYCER"
"254","PSYCMA"
"255","PSYCMB"
"256","PTERIN"
"257","PTSPCE"
"258","RADEPI"
"259","SAURKL"
"260","SEMEBU"
"261","SEMECU"
"262","SEMEDF"
"263","SEMEGL"
"264","SEMELF"
"265","SEMEPH"
"266","SHORCO"
"267","SHORGU"
"268","SHORNE"
"269","SHORPA"
"270","SHORPH"
"271","SHORPO"
"272","SIPHCE"
"273","SLOAJA"
"274","STERCO"
"275","STERCP"
"276","STERMO"
"277","STERRU"
"278","STROPH"
"279","STRYAA"
"280","SUREGL"
"281","SYMPDE"
"282","SYZY01"
"283","SYZY05"
"284","SYZY08"
"285","SYZYBD"
"286","SYZYBR"
"287","SYZYBT"
"288","SYZYCR"
"289","SYZYCS"
"290","SYZYEV"
"291","SYZYGL"
"292","SYZYLF"
"293","SYZYLO"
"294","SYZYLS"
"295","SYZYLZ"
"296","SYZYNI"
"297","SYZYPO"
"298","SYZYSM"
"299","SYZYTP"
"300","SYZYUR"
"301","SYZYVD"
"302","SYZYWZ"
"303","TABEPA"
"304","TARE01"
"305","TERMFT"
"306","TERMMC"
"307","TRDNPH"
"308","TRIGFI"
"309","TRIGLP"
"310","TURPSP"
"311","VATIMA"
"312","VERNLA"
"313","VILLFA"
"314","VITIPH"
"315","VOACGL"
"316","WALSPI"
"317","XPHLF2"
"318","XPHLFL"
"319","XPHLPA"
"320","ZANTIN"
"321","ZIZIAN"
