"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AGLAAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","AGLAAR","1.1005971338029","0.999275219757474","0.999064835919256","0.990758717909377","0.971489538031133","0.966858238047385","0.970439316970205","0.978290325263418","0.062","0.986","0.986","0.726","0.206","0.13","0.134","0.238","1.77939211447056","-0.0376472345650938","-0.0419046307763172","-0.372373501373859","-1.21883983059755","-1.53804163350692","-1.463037103803","-1.15147488751852","82"
"3","AGLAED","1.0322241326091","1.01614848271785","1.0102120475766","0.999199154761724","0.995120873212824","0.992775695460874","0.989680373709659","0.988037878831875","0.044","0.112","0.218","0.92","0.462","0.22","0.056","0.016","2.1214152335818","1.6202537235523","1.25826498793643","-0.110780640793079","-0.76551199922233","-1.24120903469817","-1.92235098055797","-2.36467861832237","1077"
"4","AGLAEL","1.06224927318661","1.06704334630703","1.04963315271674","1.04196316443098","1.03555988587202","1.0311614465326","1.02625525718234","1.02425286382363","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.54888797430337","6.01322880915803","5.59018238537873","5.40415319209329","5.12385957176624","4.89176391808681","4.38686748501043","4.31950290155936","848"
"5","AGLALW","1.06319732091045","1.01903346200787","1.02128100511447","1.02014373302295","1.02612632406868","1.04012882588577","1.04705122935661","1.04644843248252","0.302","0.654","0.498","0.46","0.314","0.086","0.024","0.014","1.04700765520208","0.493585925587296","0.695516687360876","0.769787658814368","1.07142181843164","1.75749634575251","2.19273308630478","2.32713682497332","64"
"6","AGLAOL","1.01936746857774","1.00406753583778","1.01811785250538","1.02267460748144","1.00725179100013","1.00618456895854","1.00312622331896","1.0018418482481","0.48","0.836","0.212","0.076","0.496","0.546","0.764","0.836","0.714022780214123","0.230111783146564","1.26501928871109","1.84395365998884","0.636640544574033","0.599922771338503","0.317548164955246","0.194957429587408","330"
"7","ALANME","1.03407625273913","1.04105690032038","1.02398601569307","1.01756787151783","1.01379373028313","1.00961348827293","1.00632746132445","1.00461856666625","0.17","0.008","0.064","0.106","0.168","0.304","0.44","0.53","1.39309841376033","2.62957583416185","1.85297324609226","1.59818536477227","1.35693338820959","1.05428760727256","0.75847504974192","0.59554277275177","428"
"8","ALBZBU","1.0345044317228","0.964247480517117","0.992749640803472","0.999640754443719","1.00991698154641","1.01424498683322","1.01090170378184","1.01469889644602","0.34","0.124","0.702","0.992","0.534","0.346","0.424","0.26","0.956652036122863","-1.56251687687481","-0.375979740757431","-0.00856553418126414","0.641821985842325","0.968256860568245","0.799029899737663","1.15843316305034","201"
"9","ALLODI","1.1396571493529","1.05756259160734","1.14970614290303","1.17736435958345","1.16676387721383","1.14034249668286","1.14299747215518","1.1253896107555","0.358","0.582","0.082","0.026","0.014","0.024","0.014","0.038","0.899010689060168","0.54028974312432","1.69767649576725","2.3469591495815","2.41038501510723","2.21607521064556","2.42509566531768","2.24351866856806","9"
"10","ALLOLE","1.08079849788659","1.13555276877207","1.12233252602593","1.11400894819704","1.10455481302156","1.09876859508246","1.09634588156036","1.08841951954018","0.276","0.014","0.01","0.002","0.002","0.002","0.002","0.002","1.044491017883","2.72034657831262","2.97833017615623","3.24361300601712","3.30560604358442","3.43062862576145","3.56375724032717","3.43592921731447","40"
