"","allsp","","","","","","","","","abund"
"1","AGLAAM",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","AGLAAR","1.08679087709003","0.987355698428459","0.98679840619644","0.979510999314488","0.960355529761397","0.955514366463079","0.958697472104496","0.966384210518304","82"
"3","AGLAED","1.03210003769525","1.01577276895532","1.01019215260336","0.999228342849371","0.995371305025755","0.993011970384147","0.989859418133514","0.988206951586497","1077"
"4","AGLAEL","1.05918109464915","1.06369959416257","1.04918802513877","1.04151664809259","1.0351835896469","1.03081135307416","1.02586581173995","1.02376622410945","848"
"5","AGLALW","1.04670938608954","1.00300999430006","1.00538014535781","1.00408973623053","1.01005768558861","1.02389995001363","1.03079787705836","1.03031305893888","64"
"6","AGLAOL","1.01779764314357","1.00156250037994","1.01615654116181","1.02075669253445","1.00475821434466","1.00319523203373","0.999981574047496","0.998468680799023","330"
"7","ALANME","1.03520558255374","1.04123515957361","1.02460902355857","1.01858289357508","1.01488581852368","1.01000298141721","1.00608787320596","1.00434531567594","428"
"8","ALBZBU","1.0202727231012","0.963705732757292","0.997284554165251","1.00712696776553","1.01717181348457","1.01676081549881","1.0111831714056","1.01276264778095","201"
"9","ALLODI","1.02638701979619","0.951735577368674","1.03314610107104","1.05916903202545","1.05078163136252","1.02745715682267","1.03122866101994","1.015388302542","9"
"10","ALLOLE","1.026829140289","1.10454180427835","1.08366791728894","1.08115265209005","1.07327784566716","1.06932027660258","1.06845119012358","1.06053734993592","40"
"11","ALSEEL","1.00826701853072","1.04416450675187","1.05539463245106","1.03777289508304","1.02397365319686","1.02110144629156","1.02134876129603","1.01441687757537","120"
"12","ALSEMA","1.11677290318982","1.04429686473121","1.02788916660103","1.00324781306251","0.985471648100667","0.969365798923281","0.969783224644528","0.974786203591388","91"
"13","ANTHBA","1.01975215226584","0.874965080067638","0.866592373173453","0.889981035200657","0.901152585266961","0.910454306838286","0.912882928281729","0.925087379899266","35"
"14","ANTICM","1.1123516801675","1.06812721192629","1.05239443572992","1.03841995082961","1.02980180175525","1.02469576599035","1.01982247938433","1.01680411369243","812"
"15","ANTIPL","1.01495937429202","1.01837008541513","1.01511950847467","1.01045474589078","0.999756793279965","0.982127646585847","0.971373124460613","0.966693233360037","95"
"16","APHAPO","0.895402909638242","0.86542568525313","0.867910204077607","0.876322716672344","0.891050368286547","0.90023443417436","0.901539316150839","0.906658863331461","210"
"17","APORSP","1.02683784693633","1.06765574225889","1.06694361210862","1.03618865674358","1.03996377791436","1.03220539162009","1.02825671478943","1.03043807138504","76"
"18","ARCH01","0.911549959002758","0.974383272793045","0.988421958219179","1.08052390128877","1.05157554070346","1.0537031989157","1.07838099675071","1.07382590252455","10"
"19","ARCHSC","1.05824898502633","1.05826220131209","1.04174262745004","1.02919583863057","1.0112796673941","1.00631256047471","0.995026884439477","0.98516092012072","132"
"20","ARDIPY","1.10940320405709","1.07448158252363","1.0481486032753","1.03268187814078","1.02884783374665","1.023046781358","1.01684436359612","1.01068767608695","249"
"21","ARDITO","0.938938863613662","0.954210208929246","0.949978887572494","0.958690811411909","0.959844590738168","0.970281484576889","0.97996608955321","0.983818645776174","95"
"22","ARECWH","0.558776961611337","0.400577920798581","0.498904995307123","0.604264401301311","0.710403241269497","0.691154599337936","0.78595690363896","0.818808981451351","2"
"23","ARTORU","0.795602288812783","0.879449416318688","0.881240724570807","0.923197674719752","0.929399446582835","0.93616441254809","0.952064979105508","0.978828073320032","21"
"24","ARTOTR","1.090847709591","1.06831958690005","0.996186737712141","1.0055956788593","0.989666703278021","1.00333569601193","0.994783796501046","1.00052722026653","26"
"25","ASTRCA","0.875044954680256","0.89615402790962","0.908294850379948","0.897742108617066","0.88498456339316","0.875288124995678","0.879130042961069","0.886725147799496","48"
