"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AGLAAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","AGLAAR","0.943046689919221","0.89264988507261","0.938587749150177","0.958507072831522","0.949998939366897","0.947452027415848","0.960481864424705","0.972702318613405","0.284","0.002","0.01","0.02","0.002","0.002","0.002","0.002","-1.08209844594504","-3.24957190889526","-2.56113792616971","-2.24978543302269","-3.3518956603775","-4.21756936650239","-3.82607981382978","-3.11857944823913","82"
"3","AGLAED","1.04612324461397","1.02859059738958","1.0214116675133","1.01223825868491","1.00866283381537","1.00428426024575","1.00095272550787","1.00033799884959","0.004","0.004","0.002","0.026","0.048","0.238","0.764","0.946","3.25899822162192","3.23039619459736","3.11479872138373","2.27769874889456","2.01162757819797","1.15783865375883","0.239185662769569","0.0770605391425715","1077"
"4","AGLAEL","1.07297162634704","1.06190294915722","1.03367431948558","1.02548964587028","1.022232298283","1.01707775131787","1.01246304653833","1.01044261298971","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.49879255155344","6.30155882822197","4.71697039618504","4.36798526171126","4.62791973467714","4.26432903927648","3.65406716467464","3.5218807895662","848"
"5","AGLALW","1.06197112535525","1.00333546425511","1.01446215778127","1.00880946197751","1.00671900778689","1.02057880905313","1.01732973103364","1.01231039150487","0.278","0.932","0.6","0.706","0.748","0.19","0.208","0.322","1.11477951860991","0.0879509443888068","0.530963006813708","0.369054418311434","0.322881671143184","1.31793815088579","1.25317088804279","0.988655318694089","64"
"6","AGLAOL","1.01432764725442","1.01657231240418","1.02373273241619","1.01691801360314","1.00828888601811","1.00643665663397","1.00237385412681","1.00160532701027","0.584","0.288","0.038","0.076","0.282","0.316","0.678","0.734","0.569576738309658","1.06869551262899","2.0579731172251","1.82306082479605","1.09214552041557","0.997743170204783","0.429716405368013","0.339499288852293","330"
"7","ALANME","1.03852132886504","1.04915669577427","1.03551996334452","1.02775906024501","1.02212865879286","1.01894931434187","1.01407788095145","1.00898125158005","0.108","0.002","0.002","0.002","0.004","0.004","0.01","0.068","1.64668220266605","3.38301512782273","3.20550971775593","3.0934840584549","2.9636089133718","3.00986827327649","2.5764508664433","1.8193545147799","428"
"8","ALBZBU","1.03865902369175","0.97025073658412","0.993770338397052","0.984587525969058","0.987876032645433","0.990239789368585","0.988901489690341","0.991359218913555","0.24","0.15","0.658","0.238","0.264","0.284","0.164","0.196","1.15033559668126","-1.45730260330514","-0.439195812605445","-1.20261931103801","-1.12140017969232","-1.07253582149691","-1.40239292635591","-1.27527128282451","201"
"9","ALLODI","0.993836142083869","0.948092399799391","1.01826670632637","1.02202027143413","1.02319609684259","1.01939282311291","1.03514977912583","1.02681002217163","0.956","0.63","0.842","0.688","0.638","0.646","0.298","0.392","0.0141976804980584","-0.516376293027785","0.283739829431089","0.407725187819883","0.486643286053288","0.492566927133303","1.02720488885903","0.883098553401287","9"
"10","ALLOLE","1.0335878894327","1.05885567300007","1.05220566382825","1.0383440024443","1.02138806854078","1.00665759164222","0.999545760601123","0.990411784976752","0.674","0.176","0.112","0.15","0.348","0.74","0.978","0.502","0.430488409002342","1.35088983899618","1.60922787538033","1.48395716369917","0.970997936957078","0.359300313876071","-0.0213706514760684","-0.688690082654275","40"
"11","ALSEEL","1.01748860920002","1.04594545417436","1.05111650113927","1.03368535059745","1.02126428122861","1.02334807675456","1.02157208075205","1.01747073786415","0.636","0.084","0.014","0.038","0.102","0.026","0.016","0.032","0.465777601682263","1.70182092956305","2.53718562490034","2.08185201291908","1.62941871877067","2.12872127046308","2.27807615460696","2.12436362954205","120"
"12","ALSEMA","1.12528555844851","1.02409527883169","1.01011514408955","1.02093551595055","1.00631585380269","1.00839153695753","1.00628657817317","1.01367776861966","0.024","0.398","0.674","0.24","0.676","0.514","0.59","0.146","2.55585690124527","0.820187409224078","0.448349530469027","1.15692958475525","0.425482936121109","0.666941468600566","0.579388909264169","1.3752824183594","91"
"13","ANTHBA","0.989972263248045","0.89034402348253","0.92496128786283","0.96745521720717","0.976536173566655","0.97779123141322","0.984534603873038","0.987808925219808","0.97","0.036","0.058","0.304","0.336","0.278","0.392","0.428","-0.102745421690925","-2.07143102490217","-1.92775322781524","-1.07003608113527","-0.940407928212166","-1.07580602235136","-0.878667012257707","-0.77700349867104","35"
"14","ANTICM","1.10211886367804","1.04824732577774","1.02967005758625","1.01969942441225","1.01341727631702","1.0111190578926","1.00693906129086","1.00628166991955","0.002","0.002","0.002","0.002","0.006","0.006","0.034","0.028","6.40989670632673","4.95012152043557","4.16596822591879","3.51372356878641","2.92538793066735","2.82562226441576","2.03723974917717","2.08663587076543","812"
"15","ANTIPL","1.02910997615405","1.03862821293414","1.04170107309474","1.04036342763143","1.03522228818513","1.02041114985342","1.01191210564732","1.00009087286117","0.59","0.2","0.062","0.018","0.012","0.096","0.266","1","0.564858925453899","1.28618471024144","1.85068375882568","2.24908485634397","2.43204399261991","1.70931903198211","1.13926271941576","0.00571206147193308","95"
"16","APHAPO","0.909436235127508","0.898839120725188","0.916965262586033","0.925610297488557","0.9444145064961","0.956859879130431","0.961890607687696","0.972054706106749","0.012","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.70882200584612","-4.92323573699204","-5.34474797273485","-5.85822884524512","-5.17495505499902","-4.59638800522949","-4.75246731450746","-3.9741050122816","210"
"17","APORSP","1.0350267485327","1.03960064887843","1.03897277780908","1.01034850011721","1.01570305901576","1.01287853123235","1.00829532958795","1.00403247895189","0.526","0.19","0.09","0.578","0.322","0.336","0.462","0.662","0.68319383861725","1.33034511362292","1.6924630000873","0.586532750674201","1.05623695378357","1.02455104398268","0.763517036467057","0.452624001461854","76"
"18","ARCH01","0.881827907694245","0.894812168789077","0.90562435937186","0.994207413262557","0.986811434599279","0.996768521700837","1.00128743499867","0.998599426548696","0.482","0.276","0.168","0.95","0.792","0.968","0.97","0.982","-0.762881647042647","-1.127636710507","-1.40491575040004","-0.0462329134717567","-0.241377899802476","-0.0340909312993757","0.0853624200487716","-0.000239560624249292","10"
"19","ARCHSC","1.08601057745987","1.04952204982288","1.05153444421062","1.04110757373702","1.02849545888073","1.01725970985114","1.00314712729964","0.997489231969522","0.046","0.054","0.01","0.006","0.022","0.108","0.766","0.738","2.13428394959608","1.96501013033224","2.76082167421946","2.72779319863858","2.30094427081025","1.59871261015157","0.319913723052895","-0.304738257387801","132"
"20","ARDIPY","1.10643354798495","1.06050110073347","1.03925123626056","1.0261236164589","1.01898956443056","1.01501758939685","1.00911594625929","1.00391329600997","0.002","0.004","0.008","0.022","0.03","0.05","0.168","0.516","3.67365844942325","3.35208713136524","2.88496588632452","2.43136673099106","2.16617637016373","1.99508449748172","1.37989823497654","0.64438585887895","249"
"21","ARDITO","0.953035861861764","0.970461403518851","0.969347853715732","0.977776052288232","0.974944718886763","0.982672070792519","0.990673918715874","0.988458530406725","0.316","0.312","0.162","0.204","0.084","0.158","0.392","0.218","-1.01517129068126","-1.01386727823382","-1.39104624308134","-1.2721432831249","-1.77559782958844","-1.45292214162643","-0.862973108529491","-1.26152152001847","95"
"22","ARECWH","0.61917225114326","0.489065707981565","0.676218639359931","0.865349829968888","0.913471286302105","0.898006099426209","1.00323296576551","1.02654288537076","0.414","0.018","0.054","0.256","0.35","0.21","0.986","0.666","-0.999729007246707","-2.13251365978467","-1.95019401816246","-1.18784512852953","-0.968771605999683","-1.36772261836799","0.0352916869136702","0.559184524908349","2"
"23","ARTORU","0.751626823478836","0.852390920583694","0.842717650602201","0.910123203915586","0.926127780502759","0.941642400673203","0.96385509172756","0.987215190714402","0.006","0.02","0.002","0.03","0.028","0.03","0.122","0.556","-2.5561050533668","-2.38198153372532","-3.32318383071611","-2.3644700066885","-2.38244632556876","-2.18529461192669","-1.58199261510209","-0.619702404737469","21"
"24","ARTOTR","1.08347090550507","1.0949824484336","1.03546355731449","1.05154928523169","1.02937180695351","1.01979463918891","1.00310422687637","1.01238006339123","0.406","0.084","0.428","0.166","0.318","0.42","0.924","0.538","0.880740543413298","1.77333906868755","0.831748286111175","1.46915712727013","1.02906623257604","0.810351350862457","0.147844515257827","0.648284135584683","26"
"25","ASTRCA","0.869037593902625","0.896776570184228","0.935987159524175","0.928277129599898","0.926211151057103","0.919270122845986","0.928303768025486","0.932992969935138","0.062","0.038","0.072","0.018","0.004","0.002","0.002","0.002","-1.79050539009182","-2.22251738856111","-1.8175991839458","-2.4532212721201","-3.09773055179083","-3.96439375911224","-4.01301463688088","-4.25082654267872","48"
"26","ASTRWM","0.980321149932867","0.966100449183194","0.988779304253836","0.988110785445406","0.991058294257318","0.992909898818027","0.996192876978537","0.996554603765196","0.48","0.054","0.372","0.25","0.29","0.326","0.526","0.512","-0.731982947191224","-2.09681427006796","-0.891400011493319","-1.13845427463663","-1.0146894193028","-0.932870802312688","-0.597047537914584","-0.62022609511073","348"
"27","BARRAC","0.731172447825466","0.822208244950837","0.893564837544213","0.992521310179761","1.00373267736608","1.01269220090876","1.00786622359334","0.994889087822152","0.006","0.004","0.018","0.84","0.9","0.614","0.726","0.806","-2.64799268005141","-2.94740753458759","-2.48012066547873","-0.191273994271719","0.178858184612323","0.552999622941746","0.397431537912226","-0.252072845623849","19"
"28","BARRPT","1.04322062152817","1.0626508756431","1.09971728721794","1.09025313493567","1.07934517313126","1.07316235128735","1.05021772901074","1.03544455832514","0.554","0.152","0.004","0.002","0.002","0.002","0.002","0.012","0.631857874175676","1.49203984497399","3.12111192471073","3.48299385337038","3.68659743100229","3.97289078629605","3.19045844091211","2.50954289884099","54"
"29","BERRCO","0.504789475962664","0.752695627164827","0.812621226153279","0.844452897142599","0.834818332341534","0.864999771314852","0.86326101999534","0.874780358758795","0.064","0.164","0.204","0.218","0.132","0.186","0.13","0.12","-1.81727730079335","-1.43957626286858","-1.29181923818466","-1.24461844459327","-1.47496763260404","-1.34348104219085","-1.5278976190172","-1.575083041467","4"
"30","BHESPA","1.09695143845039","0.945444041029417","0.926902303544976","0.911624624618931","0.875653755945449","0.909967930196063","0.911119223671955","0.942072157980468","0.6","0.668","0.398","0.21","0.048","0.088","0.062","0.186","0.581624920675329","-0.452662129862505","-0.854167918097693","-1.28751846436174","-2.21657953942508","-1.7925163727724","-2.00477202325581","-1.44453943871884","7"
"31","BREY01","0.817202498703108","0.824820843017242","0.901821264920227","0.866299824256085","0.892393981281642","0.879265408913222","0.904952388027032","0.965900396849749","0.734","0.5","0.62","0.38","0.426","0.268","0.32","0.616","-0.527989869861463","-0.769354673909283","-0.594722860507631","-0.915523993637652","-0.860964042625513","-1.16720595476389","-1.05303644211351","-0.434556277895695","2"
