"","allsp","","","","","","","","","abund"
"1","AGLAAM",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","AGLAAR","0.943046689919221","0.89264988507261","0.938587749150177","0.958507072831522","0.949998939366897","0.947452027415848","0.960481864424705","0.972702318613405","82"
"3","AGLAED","1.04656848845333","1.0290462557977","1.02198091367171","1.01279631175976","1.00931055877526","1.00493261219983","1.00155608132373","1.00089937927573","1077"
"4","AGLAEL","1.07138205275711","1.05947637286305","1.03226264376831","1.02398509399506","1.02031826436271","1.01591026545325","1.01161848613703","1.01006138360491","848"
"5","AGLALW","1.06197112535525","1.00333546425511","1.01446215778127","1.00880946197751","1.00671900778689","1.02057880905313","1.01732973103364","1.01231039150487","64"
"6","AGLAOL","1.01734255780566","1.0175019296954","1.02491446528809","1.01797243704969","1.00893369200272","1.00724517445023","1.00296638523946","1.00172262980441","330"
"7","ALANME","1.04620292554429","1.05229831790743","1.03867541433511","1.03018254286932","1.02494700052987","1.02102221813421","1.01691192784621","1.01134672411806","428"
"8","ALBZBU","1.03306669860468","0.97379793765521","1.00170140158968","0.994689843304219","0.99600755941655","0.995683203488369","0.991593182094005","0.993151929608132","201"
"9","ALLODI","0.993836142083869","0.948092399799391","1.01826670632637","1.02202027143413","1.02319609684259","1.01939282311291","1.03514977912583","1.02681002217163","9"
"10","ALLOLE","1.00884523962349","1.05007871383421","1.04391446553422","1.03910207880963","1.0217367676372","1.00673276960484","1.00256516558587","0.99232670488143","40"
"11","ALSEEL","1.02319209464063","1.04341356600882","1.05203848709126","1.03382335457589","1.02035516113967","1.02182262912787","1.01941455544955","1.01587822900856","120"
"12","ALSEMA","1.1196577205263","1.03325147191615","1.01916912981656","1.02003286965841","1.004788100597","1.00024063696765","0.99868496021006","1.00838611335756","91"
"13","ANTHBA","0.989972263248045","0.89034402348253","0.92496128786283","0.96745521720717","0.976536173566655","0.97779123141322","0.984534603873038","0.987808925219808","35"
