"","x"
"AAAAAA",4296247.33430488
"ACROPO",529075.618791057
"ACTIM1",13797.8749345664
"ACTIMA",208.130513300324
"ACTIPR",358113.288175354
"ACTISE",76760.8894996496
"ADENBI",3747192.75703332
"ADRKR",907.92027688745
"AGLAAS",682464.665500742
"AGLACO",531541.769024125
"AGLAE1",1206587.56347341
"AGLAE2",452.38934211693
"AGLAFO",1364678.0035892
"AGLAGA",84882.6919073426
"AGLAGL",435081.522790141
"AGLAGR",978973.677933691
"AGLAME",18210.2418165332
"AGLAO2",637715.034344846
"AGLAOD",1217440.9806934
"AGLAOL",747038.531698953
"AGLAPA",76352.4824546829
"AGLARB",379470.620432621
"AGLARI",833547.783202692
"AGLARU",345860.291428191
"AGLAS1",273482.709078462
"AGLAS2",108962.999597108
"AGLAS3",11194.2800229038
"AGLAS4",41618.2486784308
"AGLAS5",30520.5726296248
"AGLAS7",62074.7292422807
"AGLATE",290913.835916905
"AIDIWA",11167055.766366
"ALANEB",7876681.211693
"ALANGR",3089.75637480556
"ALANNO",403872.94136938
"ALANRI",1889180.24887479
"ALBIPE",232787.303242023
"ALCHRU",9636.05006672329
"ALLOCO",1504.82288106951
"ALPHEL",1275748.94034403
"ALPHJA",476.736685182251
"ALPHMA",3397888.49465863
"ALSENI",97415.2904006757
"ALSEP1",24337.1328891967
"ALSEP2",514694.193021086
"ALSES1",524330.24308781
"ALSES2",6676.66978704171
"ALSTAN",1528315.71093306
"ANACHE",988487.991285087
"ANAXJA",3887449.16105283
"ANI1CO",443754.674708539
"ANI1LA",6738697.39239419
"ANI1ME",1918050.69996312
"ANI2CO",4031646.69305628
"ANT1CO",2919454.56404528
"ANT1CU",1046031.75852273
"ANT1MO",346.360590058275
"ANT1PE",197156.144763171
"ANT1SR",1613.20782761836
"ANT1VE",916.559656684822
"APH1PO",12501.9679649606
"APH1SU",189473.379928817
"APONO1",754.767635024948
"APORAU",2679954.46270069
"APORBR",2974707.32484029
"APORCO",55867.7275569507
"APORFA",2225270.18715032
"APORGL",2419929.55115205
"APORLU",287555.473370218
"APORM",314.159265358979
"APORM1",3514967.79887629
"APORM2",933437.863216233
"APORN1",1213155.84831391
"APORN2",517174.480421096
"APORNE",668843.50515294
"APORPR",2217286.61481938
"APORSY",603089.970913306
"AQUIMA",2961149.78174372
"ARALPI",446.891554973148
"ARCDIC",132.732289614169
"ARCHBU",6714715.25947484
"ARCHCL",128462.079799777
"ARCHCO",13899.1912976446
"ARCHGL",88280.3243622
"ARCHMI",677972.188006109
"ARDICO",1846.4710821474
"ARDICR",2346002.37822594
"ARDICU",113.097335529233
"ARDIKU",785714.678857297
"ARDILA",10712.8309487412
"ARDIOD",132.732289614169
"ARDIPA",460236.255167434
"ARDIRI",10451.2933603298
"ARDIS2",359940.124303417
"AROMEL",1217550.15103812
"ARTHDI",5361.12786335098
"ARTOAN",978471.023109116
"ARTODA",406866.093770087
"ARTOEL",2046.74761381375
"ARTOFU",564708.348066236
"ARTOIS",3115537.85491725
"ARTOKE",126715.354284381
"ARTOLA",962.112750161874
"ARTOLO",2259398.09354443
"ARTOMA",2804384.30832959
"ARTONG",1619223.19215182
"ARTORI",5192614.40420875
"ARTOSC",7198683.89094566
"ATUNEL",669010.794961744
"ATUNEX",5692693.90820534
"AUSTNI",50595.3496860636
"BACCAR",6647.610054996
"BACCGR",257883.916155225
"BACCKU",90842.2931712025
"BACCM1",307.8760800518
"BACCM2",120406.250837809
"BACCMI",377587.235636794
"BACCPA",2931252.81525583
"BACCPY",323670.437117722
"BACCR1",40687.5518548048
"BACCRA",3452713.99885275
"BACCRE",4221172.69466204
"BACCS1",31769.3557094268
"BACCSU",608652.94610465
"BARRFU",1781.28303458541
"BARRMA",8707818.60793222
"BARRPE",2842131.32946063
"BECCAR",113.097335529233
"BEILDI",179659.044479003
"BEILKU",5387.8314009065
"BEILL1",654101.58162597
"BEILLU",1247.99768163855
"BEILM2",767330.864046653
"BEILP2",558323.060997815
"BEILS1",101304.58210582
"BEILS2",87830.2912145732
"BHESPA",1239995.25975169
"BLUMCA",629407.877970591
"BLUMSU",1390057.35984122
"BLUMTO",1888050.84631583
