"","x"
"AAAAAA",11400
"ACROPO",141
"ACTIM1",33
"ACTIMA",2
"ACTIPR",178
"ACTISE",53
"ADENBI",181
"ADRKR",1
"AGLAAS",334
"AGLACO",502
"AGLAE1",230
"AGLAE2",1
"AGLAFO",361
"AGLAGA",13
"AGLAGL",225
"AGLAGR",351
"AGLAME",17
"AGLAO2",298
"AGLAOD",464
"AGLAOL",99
"AGLAPA",67
"AGLARB",29
"AGLARI",51
"AGLARU",86
"AGLAS1",32
"AGLAS2",26
"AGLAS3",10
"AGLAS4",15
"AGLAS5",11
"AGLAS7",13
"AGLATE",96
"AIDIWA",2330
"ALANEB",2265
"ALANGR",11
"ALANNO",72
"ALANRI",258
"ALBIPE",8
"ALCHRU",31
"ALLOCO",7
"ALPHEL",266
"ALPHJA",4
"ALPHMA",745
"ALSENI",11
"ALSEP1",26
"ALSEP2",208
"ALSES1",164
"ALSES2",23
"ALSTAN",80
"ANACHE",375
"ANAXJA",5662
"ANI1CO",21
"ANI1LA",137
"ANI1ME",49
"ANI2CO",572
"ANT1CO",629
"ANT1CU",256
"ANT1MO",1
"ANT1PE",398
"ANT1SR",9
"ANT1VE",6
"APH1PO",10
"APH1SU",210
"APONO1",1
"APORAU",1659
"APORBR",1910
"APORCO",4
"APORFA",737
"APORGL",1114
"APORLU",54
"APORM",1
"APORM1",5198
"APORM2",432
"APORN1",622
"APORN2",287
"APORNE",240
"APORPR",1209
"APORSY",276
"AQUIMA",99
"ARALPI",3
"ARCDIC",1
"ARCHBU",1225
"ARCHCL",47
"ARCHCO",21
"ARCHGL",23
"ARCHMI",183
"ARDICO",8
"ARDICR",4121
"ARDICU",1
"ARDIKU",1327
"ARDILA",13
"ARDIOD",1
"ARDIPA",319
"ARDIRI",19
"ARDIS2",1134
"AROMEL",33
"ARTHDI",9
"ARTOAN",28
"ARTODA",128
"ARTOEL",6
"ARTOFU",75
"ARTOIS",267
"ARTOKE",26
"ARTOLA",2
"ARTOLO",139
"ARTOMA",113
"ARTONG",431
"ARTORI",197
"ARTOSC",303
"ATUNEL",103
"ATUNEX",281
"AUSTNI",2
"BACCAR",1
"BACCGR",69
"BACCKU",8
"BACCM1",2
"BACCM2",18
"BACCMI",48
"BACCPA",2762
"BACCPY",52
"BACCR1",11
"BACCRA",999
"BACCRE",285
"BACCS1",3
"BACCSU",78
"BARRFU",5
"BARRMA",3054
"BARRPE",212
"BECCAR",1
"BEILDI",24
"BEILKU",5
"BEILL1",143
"BEILLU",6
"BEILM2",89
"BEILP2",168
"BEILS1",60
"BEILS2",12
"BHESPA",170
"BLUMCA",126
"BLUMSU",127
"BLUMTO",202
"BOUEMA",289
"BOUEOP",306
"BRACHO",53
"BRIDPU",25
"BUCHSE",583
"CALLMA",22
"CALODE",34
"CALODI",413
"CALOMA",146
"CALOSO",3
"CALOTE",293
"CALOWA",145
"CALOWI",18
"CAMPAU",3
"CANAAP",75
"CANALL",833
"CANALP",20
"CANALR",1119
"CANALT",293
"CANAME",154
"CANAPA",106
"CANAPI",399
"CARABR",179
"CASECL",35
"CASES2",51
"CASSNO",1
"CASTCU",17
"CASTIN",20
"CASTME",59
"CASTNE",9
"CASTSC",290
"CCCCCC",28
"CELTRI",3
"CHAMMA",919
"CHASCU",131
"CHASLO",3
"CHEIMA",29
"CHIOCA",11
"CHIOMA",39
"CHIORA",27
"CHIOS1",28
"CHISCE",68
"CHISER",117
"CHISGL",14
"CHISP2",79
"CHISSA",4
"CHISTO",129
"CHRYLA",66
"CINNIN",154
"CINNJA",118
"CINNMO",62
"CINNPO",2
"CLE1M1",11
"CLE1M2",708
"CLE1MY",67
"CLE1SU",373
"CLERDE",47
"CLERLA",56
"CLERNU",6
"COELGR",110
"CRA2RE",1
"CRATAR",2
"CRATCO",8
"CRATFO",106
"CRATMA",27
"CROTAR",1234
"CROTLA",473
"CRUDCU",31
"CRY1FE",94
"CRY1GR",300
"CRY1IN",501
"CRY1KU",508
"CRY1RU",234
"CRY1SC",46
"CRY2GR",21
"CTENPA",158
"CYATPR",30
"CYATRA",47
"CYNOMA",1110
"DACCFU",1
"DACCRI",2
"DACCRL",2
"DACRCO",504
"DACRIN",19
"DACRLA",828
"DACRLO",122
"DACRNE",37
"DACRPU",49
"DACRR",1
"DACRR1",4614
"DACRR2",434
"DACRRO",2385
"DACRRU",3
"DECAFR",27
"DEHACU",246
"DEHAIN",23
"DEHALO",15
"DEHAPO",18
"DEPLBA",1
"DIALMA",98
"DIALPL",949
"DIALPR",96
"DIALWA",30
"DICHGE",32
"DILLGR",7
"DILLRE",34
"DILLSU",243
"DIOAN",6
"DIOSA1",117
"DIOSA2",400
"DIOSAD",123
"DIOSAN",289
"DIOSAP",1278
"DIOSBU",435
"DIOSCA",248
"DIOSDA",5
"DIOSDI",31
"DIOSL1",578
"DIOSL2",18
"DIOSMA",78
"DIOSNU",1834
"DIOSP1",10
"DIOSP2",440
"DIOSPY",45
"DIOSRU",112
"DIOSS1",151
"DIOSSC",2448
"DIOSSI",530
"DIOSSN",1
"DIOSSU",604
"DIOSVE",1234
"DIOSWA",69
"DIPLLA",66
"DIPLMA",833
"DIPRCR",1
"DIPTC1",1445
"DIPTC2",591
"DIPTCR",163
"DIPTKU",44
"DIPTSU",4
"DRA1LL",265
"DRA1ML",76
"DRA1SL",144
