,sp,pasoh
1,ACROPO,AM
2,ACTIM1,AM
3,ACTIMA,AM
4,ACTIPR,AM
5,ACTISE,AM
6,ADENBI,AM
7,AGLAAS,AM
8,AGLACO,AM
9,AGLAE1,AM
10,AGLAE2,AM
11,AGLAFO,AM
12,AGLAGA,AM
13,AGLAGL,AM
14,AGLAGR,AM
15,AGLAME,AM
16,AGLAO2,AM
17,AGLAOD,AM
18,AGLAOL,AM
19,AGLAPA,AM
20,AGLARB,AM
21,AGLARI,AM
22,AGLARU,AM
23,AGLAS1,AM
24,AGLAS2,AM
25,AGLAS3,AM
26,AGLAS4,AM
27,AGLAS5,AM
28,AGLAS7,AM
29,AGLATE,AM
30,AIDIWA,AM
31,ALANEB,AM
32,ALANGR,AM
33,ALANNO,AM
34,ALANRI,AM
35,ALBIPE,AM
36,ALCHRU,AM
37,ALLOCO,AM
38,ALPHEL,AM
39,ALPHJA,AM
40,ALPHMA,AM
41,ALSENI,AM
42,ALSEP1,AM
43,ALSEP2,AM
44,ALSES1,AM
45,ALSES2,AM
46,ALSTAN,AM
47,ANACHE,AM
48,ANAXJA,AM
49,ANI2CO,AM
50,ANT1CO,AM
51,ANT1CU,AM
52,ANT1MO,AM
53,ANT1PE,AM
54,ANT1SR,AM
55,ANT1VE,AM
56,APH1PO,AM
57,APH1SU,AM
58,APORAU,AM
59,APORBR,AM
60,APORCO,AM
61,APORFA,AM
62,APORGL,AM
63,APORLU,AM
64,APORM,AM
65,APORM1,AM
66,APORM2,AM
67,APORN1,AM
68,APORN2,AM
69,APORNE,AM
70,APORPR,AM
71,APORSY,AM
72,AQUIMA,AM
73,ARALPI,AM
74,ARCHBU,AM
75,ARCHCL,AM
76,ARCHCO,AM
77,ARCHGL,AM
78,ARCHMI,AM
79,ARDICO,AM
80,ARDICR,AM
81,ARDICU,AM
82,ARDIKU,AM
83,ARDILA,AM
84,ARDIOD,AM
85,ARDIPA,AM
86,ARDIRI,AM
87,ARDIS2,AM
88,AROMEL,AM
89,ARTHDI,AM
90,ARTOAN,AM
91,ARTODA,AM
92,ARTOEL,AM
93,ARTOFU,AM
94,ARTOIS,AM
95,ARTOKE,AM
96,ARTOLA,AM
97,ARTOLO,AM
98,ARTOMA,AM
99,ARTONG,AM
100,ARTORI,AM
101,ARTOSC,AM
102,ATUNEL,AM
103,ATUNEX,AM
104,AUSTNI,AM
105,BACCAR,AM
106,BACCGR,AM
107,BACCKU,AM
108,BACCM1,AM
109,BACCM2,AM
110,BACCMI,AM
111,BACCPA,AM
112,BACCPY,AM
113,BACCR1,AM
114,BACCRA,AM
115,BACCRE,AM
116,BACCS1,AM
117,BACCSU,AM
118,BARRFU,AM
119,BARRMA,AM
120,BARRPE,AM
121,BEILDI,AM
122,BEILKU,AM
123,BEILL1,AM
124,BEILLU,AM
125,BEILM2,AM
126,BEILP2,AM
127,BEILS1,AM
128,BEILS2,AM
129,BHESPA,AM
130,BLUMCA,AM
131,BLUMSU,AM
132,BLUMTO,AM
133,BOUEMA,AM
134,BOUEOP,AM
135,BRIDPU,AM
136,BUCHSE,AM
137,CALLMA,AM
138,CALODE,AM
139,CALODI,AM
