"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AAAAAA","0.988488612423763","0.993953638787618","1.00019437707168","0.999552227928032","0.999470743014102","0.999774114173447","0.999393223979926","0.99910515471668","0.002","0.034","0.906","0.79","0.74","0.838","0.59","0.406","-2.85464850525611","-2.28692188293162","0.109033308685625","-0.257605212551961","-0.365916343582857","-0.203377134949359","-0.515177378726399","-0.812190510921185","11400"
"2","ACROPO","0.963722857966842","0.986822340811551","0.996350672221187","0.994700546731967","0.993135515466799","0.991787949418254","0.998388386336112","0.998174774631174","0.308","0.592","0.866","0.786","0.658","0.56","0.918","0.88","-1.01227519531782","-0.555761939628134","-0.19627281523765","-0.295607704371222","-0.440825948383405","-0.61507823192221","-0.110074406029242","-0.145111605558401","141"
"3","ACTIM1","1.09756395431686","1.04252810105237","1.07182174734294","1.05292563858165","1.05964040810991","1.05040845453482","1.04201074822771","1.03688388954451","0.17","0.386","0.046","0.094","0.036","0.056","0.066","0.076","1.31580026390466","0.904551345785043","1.9484010219241","1.67420788043701","2.13207555220314","2.02129986560242","1.8462005830461","1.76670463730647","33"
"4","ACTIMA","1.95352881893174","1.62665572472677","1.42341392939079","1.50393537981958","1.4484020153949","1.48335675339019","1.4557929479678","1.47885861956791","0.004","0.002","0.008","0.002","0.002","0.002","0.002","0.002","3.17529295491","3.39037801951392","2.96316934497841","3.99566646396026","3.96915119822372","4.78809456433551","4.88405577529636","5.42022039535087","2"
"5","ACTIPR","1.02969578240169","1.02293731497498","1.01417654084734","1.01958371539214","1.01702773814204","1.01772081506653","1.01844905613605","1.01290254442695","0.388","0.298","0.438","0.188","0.208","0.116","0.066","0.202","0.873464842361285","1.03810598411966","0.788963231747309","1.31088308899025","1.30857406717379","1.52216086075397","1.72552474948478","1.27631183828789","178"
"6","ACTISE","1.04171882430673","0.974932879760064","0.985106872787215","1.00289384630624","1.01500360648378","1.01270869399879","1.0122674419758","1.01248157104545","0.514","0.522","0.624","0.9","0.522","0.534","0.496","0.45","0.67323473937099","-0.625154662787631","-0.484572386210732","0.128978547309383","0.680611572829399","0.633421758623353","0.663134081371723","0.740035405131201","53"
"7","ADENBI","1.00940996279154","1.04061388517678","1.04039749053964","1.03715365774585","1.02984347686383","1.02180306349147","1.02127853493908","1.02157107491777","0.814","0.058","0.03","0.016","0.018","0.052","0.042","0.024","0.221401673869137","1.88574635951128","2.42677376357682","2.64219468730024","2.37751177544378","1.94761950616626","2.08162092081848","2.2840159432078","181"
"8","ADRKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGLAAS","1.07103707715554","1.02574198978373","0.99462493006981","1.00199046913259","0.999474384313293","0.995663506699766","0.996596817427211","0.995573862949368","0.004","0.128","0.69","0.86","0.934","0.612","0.68","0.558","2.89352934053023","1.58128745103858","-0.414976836210276","0.165220225077103","-0.0843877012291466","-0.514082336380356","-0.441421826368164","-0.604261834423257","334"
"10","AGLACO","1.01862409415326","1.00765039920848","1.00139180727224","1.00810415281696","1.00831140404373","1.00668015459889","1.00193518703802","1.00297978680579","0.324","0.532","0.86","0.324","0.246","0.306","0.732","0.57","1.01684074049901","0.620910824092552","0.154099806664503","1.0100622061631","1.15216740138684","1.01226561843684","0.335384344804952","0.542248972110362","502"
"11","AGLAE1","1.0765583415496","1.02270562388169","1.02155257905616","1.01374170372569","1.00675380839334","1.00366853027816","1.00351157266583","1.00004235889276","0.014","0.232","0.146","0.29","0.56","0.746","0.73","0.98","2.60982669184365","1.21566448991971","1.44450399478878","1.04528607408127","0.569934685155631","0.328869500311899","0.342691821184996","-0.0231492167016934","230"
"12","AGLAE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAFO","1.02007035593773","1.01888884732922","1.0209279464114","1.02271286356877","1.0199825290196","1.01589437996739","1.01229209309561","1.01249957508615","0.386","0.214","0.09","0.032","0.042","0.06","0.112","0.084","0.850521765338588","1.22945142563371","1.72594967644668","2.1665411594876","2.16222561117575","1.89867426313029","1.61788385322329","1.79064119081629","361"
"14","AGLAGA","1.03885773487682","1.00844650101996","1.02199027684892","1.05502786772865","1.07605744333363","1.06653097225007","1.07756378539268","1.07589439946913","0.694","0.906","0.708","0.304","0.118","0.1","0.038","0.03","0.310513995039214","0.081013195164526","0.333198583237903","1.04339581483197","1.67032308768241","1.66057421893296","2.12745590068488","2.29900327311996","13"
"15","AGLAGL","1.04725382420507","1.00592458459596","1.02321104616456","1.02493336526923","1.01579030202411","1.01194941350577","1.01368980366841","1.01604376301207","0.098","0.752","0.13","0.06","0.172","0.242","0.154","0.07","1.68693172932319","0.30113523950057","1.52506048095536","1.88446210915953","1.32204645399882","1.10184239654063","1.40041323128751","1.78154456648341","225"
