"","allsp","","","","","","","","","abund"
"1","AAAAAA","0.988571795377858","0.993659690543137","0.999847880640333","0.999195293366373","0.999035146795925","0.999370195246578","0.998974199525701","0.998722381492748","11400"
"2","ACROPO","0.948301226510524","0.963341436099362","0.979489352446199","0.984481235404192","0.981762915265363","0.980532534749252","0.989964639792761","0.991181139347711","141"
"3","ACTIM1","1.06757823283602","1.0129584230444","1.04078881107286","1.02217178956431","1.02833709956679","1.01935542216763","1.01110086786974","1.00614190226215","33"
"4","ACTIMA","1.30239574231246","1.0841464157791","0.947068954391326","1.00115465398291","0.966196206286756","0.988737012564539","0.970549060801886","0.985546854541915","2"
"5","ACTIPR","1.02070698560988","1.01385425821864","1.00509138877605","1.01130815615314","1.00893868541134","1.01043109888828","1.0116559697418","1.00544074074375","178"
"6","ACTISE","1.00679231021558","0.947960654453652","0.95742765755832","0.976428357422613","0.989337811864499","0.988272478760159","0.987185094120689","0.986919032753666","53"
"7","ADENBI","0.967877281592559","1.0139877054717","1.03120080006572","1.02642095220448","1.0149994565101","1.00982405952774","1.01178840554715","1.01434195339473","181"
"8","ADRKR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGLAAS","1.06537718890189","1.02283827848024","0.99378224121811","1.00071407518123","0.996743405734816","0.993036471935011","0.993831075564547","0.993058886871045","334"
"10","AGLACO","1.01573676652494","1.00638720721807","1.0005402401238","1.0068622202559","1.0074688577753","1.00535012408389","1.00059686175065","1.00145162300679","502"
"11","AGLAE1","1.07946123764883","1.01587637548238","1.01233846386681","1.00705886566957","1.00239373627486","0.998875116571593","0.998314716006117","0.995165360858321","230"
"12","AGLAE2",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAFO","1.0201761522226","1.02332244738171","1.0233305968737","1.02443194338026","1.0219441150073","1.01715391066391","1.01226455177798","1.01095438052367","361"
"14","AGLAGA","1.0196923709744","0.973753624908466","0.984164134056011","1.0090624628811","1.02360517633657","1.01221803935865","1.02040496292759","1.01524387976676","13"
"15","AGLAGL","1.0537633042339","1.00255430485548","1.02120766106125","1.02427469917573","1.01476700581507","1.00861150307936","1.00937596380805","1.01043895625488","225"
"16","AGLAGR","1.00305371120159","0.974054349017983","0.982943947581132","0.982009868360918","0.989145372551507","0.988970543167951","0.991162062462979","0.992073889048799","351"
"17","AGLAME","1.0129438548005","1.01498687129631","0.971322524350434","0.975884750581397","0.993919377570329","0.986620503218787","0.977838196798057","0.975707911731225","17"
"18","AGLAO2","0.980744885958728","0.999611207528063","1.02121367044033","1.01825489309915","1.0142174095578","1.01554328022643","1.0154720626352","1.01646400675206","298"
"19","AGLAOD","1.00709787157322","1.00118739178617","0.99301580973204","0.986473542824844","0.986795421069832","0.988750493782403","0.989011044144522","0.991556770972912","464"
"20","AGLAOL","1.02991619530054","0.984888678023336","1.01935331350155","1.02353514442959","1.0260939072366","1.03061684283652","1.02348946912039","1.02350098900552","99"
"21","AGLAPA","0.992022867602202","0.980572073277636","0.987017003485774","0.979105517707176","0.98884716648384","0.98064625569019","0.978265264701871","0.978164022877281","67"
"22","AGLARB","0.915604400023385","1.04675308263819","1.03151282182932","1.0430297525774","1.03220880886494","1.02069838908516","1.02108601380532","1.02242970901788","29"
"23","AGLARI","1.00891490468523","1.01064870357361","1.02673336369947","1.02772344418911","1.00814368236212","1.00591920840518","1.01220125600972","1.00749679951861","51"
"24","AGLARU","0.938023396823953","0.959582529708432","0.956245456828342","0.961935565948597","0.97595041806624","0.98324268557335","0.982027822484037","0.98165961532354","86"
"25","AGLAS1","1.06532749996168","1.06234774465116","1.01568306714436","1.05311643357382","1.05753014047969","1.061253885708","1.05798745250491","1.06536407175376","32"
"26","AGLAS2","0.961223641480533","0.955785164334513","0.980520801750939","0.977576589262021","0.991938830968704","1.00799467520235","1.02193039705348","1.01683722826014","26"
"27","AGLAS3","1.19992496952356","1.00609976446785","1.04757218317817","1.04045916068598","1.0304302174757","1.02908954288339","1.03584708956915","1.01986994686779","10"
"28","AGLAS4","1.12850874437022","1.08332192769797","1.09480669191102","1.12256289086696","1.11015000747878","1.08753394054459","1.07083617456177","1.05795174682133","15"
"29","AGLAS5","0.949839976034629","0.981014529151473","0.982323889920427","1.02980636149394","1.0344459187534","1.02507520449583","1.0251032302493","1.01206886799105","11"
"30","AGLAS7","1.09426093524648","1.05588128970537","1.05520576338031","1.03535719401529","1.03049507481927","1.01223223271344","1.00870028537101","0.990846368189464","13"
"31","AGLATE","1.03407725710018","1.07505697737157","1.01792915947353","1.02393521657533","1.02246043642222","1.01648588361066","1.00612408880862","1.00441138482622","96"
"32","AIDIWA","0.932607108454467","0.953046295122828","0.962827007702223","0.971885010910614","0.976868353132012","0.97951051250032","0.981668586289178","0.982849111231809","2330"
"33","ALANEB","1.04058385201594","1.01795313699485","1.01226506643942","1.01203223147845","1.00987170392767","1.00876837315026","1.00798532876767","1.00699734432356","2265"
"34","ALANGR","1.02012615146413","0.870384063054071","0.909037932407782","0.92980545650819","0.957241086305758","0.95034751483467","0.972143826189306","0.98631978917112","11"
"35","ALANNO","1.01500342767841","1.01205474638801","1.00701437211798","1.00788155409742","1.01523807364192","1.01476545325072","1.00853574672529","1.00806884260016","72"
"36","ALANRI","1.02152263967055","1.01833178053741","1.01258211705151","1.01244816749898","1.01607524490546","1.01392000362965","1.01018675895769","1.01004518518793","258"
"37","ALBIPE","0.912219238849428","0.99280984761668","1.00426140906282","0.934791608488623","0.875208494314843","0.887003729514728","0.876073339403264","0.904466302391512","8"
"38","ALCHRU","0.924448589444416","0.932770807262823","0.963029674581377","0.977743607561735","0.974418590864067","0.981945011609985","0.982945238844742","0.985585124122827","31"
"39","ALLOCO","0.894013696312827","0.980796364268853","1.00934614884136","1.00629989724148","1.03522198584576","1.01667186172151","1.02189757715002","1.05059680453566","7"
"40","ALPHEL","1.00960501105621","0.992512908556701","0.999043377495138","0.992466980396066","0.994392189143767","0.99425834924034","0.995925995349555","0.999383139311186","266"
"41","ALPHJA","1.21591807526799","1.1148270762462","1.11627063437192","1.02640523435206","0.983397077451185","1.00540045290728","0.991556032992232","1.01241837739086","4"
"42","ALPHMA","0.993057814952627","0.993120412176734","0.98619681207955","0.984140256589305","0.987466215105465","0.989006176289713","0.990522676290855","0.992146333659409","745"
"43","ALSENI","1.13624614908433","1.15157208670263","1.0693949488458","1.07212868854784","1.06736891256787","1.05660768557516","1.0336061730289","1.01338408643386","11"
"44","ALSEP1","1.07869888587835","1.09175755090013","1.05228383115197","1.02820752291085","1.03591550581404","1.02006888622659","1.0084308102789","1.0099265904534","26"
"45","ALSEP2","0.954830942871819","0.974996012902556","0.996190419483547","1.01720801379098","1.01862131031405","1.01177862994141","1.01221603994624","1.01165078396302","208"
"46","ALSES1","0.915007176683865","0.966103837797508","0.988371831930358","1.00362046235283","1.00169264505999","1.00438452545005","1.00733339607826","1.00603392938402","164"
"47","ALSES2","1.00868254930305","0.93789583736456","0.946377212770394","0.950489622530819","0.960989522658835","0.977223716837705","0.983046903108524","0.976083739238563","23"
"48","ALSTAN","0.926997203716813","0.980165811505197","0.99843595698362","0.993007872201212","0.979576580148508","0.969453354158598","0.97079830192756","0.972797654942111","80"
"49","ANACHE","0.977363804635033","0.983163822374436","0.999621040927982","1.00638270944251","1.00892901557228","1.00891602659399","1.00620656791171","1.00471128241283","375"
"50","ANAXJA","1.00602727074642","1.0054824639167","1.00452877663243","1.0048541771177","1.00373362576725","1.00304030469568","1.00275658606611","1.00336002141847","5662"
"51","ANI1CO","1.26022774332873","1.09569802078174","1.07729955076339","1.06384707570671","1.05680888809812","1.05957712895556","1.07053569991341","1.06085707716138","21"
"52","ANI1LA","1.00377492500867","0.978584412907848","1.00384486752539","0.9958641565968","0.984425041448361","0.992361396728052","0.993184421887416","0.992669677098414","137"
"53","ANI1ME","1.03718425222513","0.980968081737505","0.987694169241413","0.984786895209338","0.983760025592308","0.992318793693862","0.990967244252748","0.991376575625656","49"
"54","ANI2CO","0.974400298288057","0.970675552356876","0.97901164816152","0.975451555676803","0.978998920270259","0.983203511819813","0.986316686070978","0.989336412970038","572"
"55","ANT1CO","1.00580825256223","0.988630588532656","0.987892770609348","0.989046448417646","0.984600415264325","0.988849842133446","0.989287566556543","0.991097301568157","629"
"56","ANT1CU","1.00801681634177","0.992881780629832","0.995667783116517","0.985822195337446","0.992872686415807","0.987960181758408","0.990980856546803","0.993011234197632","256"
"57","ANT1MO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"58","ANT1PE","0.965932279376326","0.990528360221283","0.989706689558066","0.991899537046628","0.990156382075467","0.990345768067702","0.992031765022343","0.991604921892123","398"
"59","ANT1SR","0.855483343213329","0.938561705757713","0.96306818526805","0.940578304640209","0.939806817558267","0.974917261211321","0.982850306350346","0.983613627939234","9"
"60","ANT1VE","1.13617678818852","1.10675988070062","1.0819972853684","1.10400640336048","1.0539541227016","1.03060491158775","1.03089892363427","1.01314391965977","6"
"61","APH1PO","0.7855802924888","0.848615708178533","0.909618630105532","0.98865720081999","0.97177456575728","1.00653660013788","0.988826589224427","0.960576583755317","10"
"62","APH1SU","0.993938096983772","0.992910474793059","1.0022319124405","1.00937566609335","1.00929562129852","1.00651730541146","1.00571163736762","1.00405496394019","210"
"63","APONO1",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"64","APORAU","1.03055183087732","1.00644128640572","0.999544852378428","1.00091668729631","1.00326146084037","1.00307898056352","1.00338212196931","1.00212019328035","1659"
"65","APORBR","1.04820193210507","1.03282978605224","1.02340238015727","1.01720935949673","1.01144586765872","1.00806265018999","1.0027379432979","1.00102854758917","1910"
"66","APORCO",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"67","APORFA","0.99927072727333","0.999652988953387","1.00358914537488","1.00621861899719","1.00563220186511","1.00625481325802","1.00596820075868","1.0048322983454","737"
"68","APORGL","0.99730502476466","1.01337613102818","1.00504314603496","1.00590885255464","1.00442367239484","1.00552108910566","1.0030098977779","1.00244318704574","1114"
"69","APORLU","0.959608076966488","0.95748039010175","0.954985556588487","0.982799016148807","0.972100622647734","0.971621214571416","0.975955996889416","0.979786643628772","54"
"70","APORM",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"71","APORM1","1.04167723960799","1.02872269970116","1.02123225153065","1.01865765735315","1.01644915339215","1.01268560620817","1.01052045951748","1.00916412745809","5198"
"72","APORM2","1.00854846550151","1.01698873708175","1.00742328894321","1.00599761461549","1.00839768523776","1.00763356541404","1.00526213333026","1.00424220708703","432"
"73","APORN1","1.01155112046737","1.01424086618917","1.01503605203139","1.0106870178584","1.00675058744612","1.00533014167169","1.00408221712075","1.00320088317187","622"
"74","APORN2","0.947897876604997","0.972033210600053","0.97445515704701","0.981787229067217","0.986768590955103","0.987437131173643","0.991546859891144","0.995323906153953","287"
"75","APORNE","0.993258293206704","1.00330191186301","0.994981961051497","0.995815367376269","0.993344630065847","0.997425163712627","0.998599464492217","0.999922774376198","240"
