"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AAAAAA","0.867573726063671","0.891938093872483","0.916596273093762","0.932791460376027","0.945955998774063","0.95630474017795","0.964461146438161","0.971035483179119","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-34.2631347805174","-44.399388821102","-46.4167692566406","-47.2136291797813","-44.3872327793311","-41.9230609732691","-39.0801137563448","-36.0042351635554","11400"
"2","ACROPO","0.967955754252864","0.995530138372735","0.995962535140363","0.997717478455842","0.994922850114954","0.996006772538826","1.00102282956353","0.999481556362984","0.394","0.848","0.812","0.858","0.666","0.67","0.93","0.958","-0.858809379477799","-0.176211468915337","-0.231299324027872","-0.157744371727895","-0.441902123535925","-0.412502782474712","0.122595009197763","-0.0636087256855758","141"
"3","ACTIM1","1.08695349864044","1.02457798103083","1.03985504360269","1.02345843344773","1.02089419489772","1.02147701217247","1.01761503556974","1.02102591009719","0.208","0.626","0.246","0.408","0.386","0.28","0.324","0.174","1.23593627099876","0.526498005113221","1.21591667120765","0.867773393631629","0.906509281300253","1.10098654756733","1.04235494329415","1.41150111025021","33"
"4","ACTIMA","1.26415442341563","1.02739276762474","0.958253730284439","0.972567464671814","0.937255294280787","0.967857505911528","0.966166923736914","0.977528727451657","0.382","0.896","0.77","0.832","0.48","0.658","0.594","0.706","0.995279071306992","0.189163615554337","-0.31707861082701","-0.269798095000426","-0.765126593685054","-0.466509052526938","-0.570736659032129","-0.413597386507533","2"
"5","ACTIPR","1.02872544714825","1.02356329767562","1.01635499210199","1.0191268838428","1.01819054178766","1.01545847379363","1.01787720262365","1.01166463670805","0.428","0.274","0.31","0.118","0.07","0.096","0.02","0.096","0.850195264412111","1.10762951166465","1.04061938990601","1.53999978503","1.77204510868204","1.73054123279299","2.3213302719006","1.66020202051754","178"
"6","ACTISE","1.06919348121797","0.988673479138637","0.996566025214095","1.0061401591017","1.00932010672492","1.00876050053423","1.00457196765209","1.00082256646381","0.268","0.806","0.898","0.81","0.64","0.598","0.742","0.934","1.15842585264917","-0.305954452925648","-0.138243906094317","0.266038528277766","0.501937444036272","0.540172631771876","0.312357447578285","0.0556930024653799","53"
"7","ADENBI","1.02407204670138","1.04545077433198","1.03167293584503","1.02222661895724","1.01424911395822","1.01067016938827","1.01147114179899","1.0111718233256","0.446","0.024","0.04","0.056","0.192","0.268","0.138","0.108","0.801443047998613","2.33422032994413","2.11225252604578","1.79328314220915","1.36397082244349","1.18091063453121","1.46669691854182","1.60272921531139","181"
"8","ADRKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGLAAS","1.07926405349852","1.03139843377116","1.00485990600532","1.0105584862695","1.00872390355419","1.00884971991238","1.00792486645812","1.00535360058789","0.002","0.024","0.668","0.232","0.248","0.162","0.182","0.27","3.34923810640366","2.20083162487836","0.438513934325154","1.20340461193649","1.1531600506556","1.35433410399719","1.37758411286228","1.07610985534857","334"
"10","AGLACO","1.02761431540013","1.00746115738698","1.00584316846311","1.0113638590822","1.01097207462881","1.0087207616011","1.00489771000991","1.00375601055261","0.146","0.502","0.486","0.128","0.07","0.086","0.292","0.344","1.45267686943377","0.632463937100923","0.653250625378326","1.63626649259576","1.87252294873006","1.7051031766007","1.07919425785951","0.928316232284438","502"
"11","AGLAE1","1.09359203486373","1.04442417814366","1.03470552784798","1.02062170444739","1.01138529211468","1.01355195953771","1.01141921182488","1.00847944176004","0.006","0.016","0.004","0.052","0.212","0.084","0.112","0.2","3.2184680282028","2.56642044617687","2.66162710770586","1.95083023312284","1.24029644610205","1.6730636059542","1.57872757138921","1.2889139216983","230"
"12","AGLAE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAFO","1.02171304953894","1.02133638299714","1.01994559104264","1.01549793688773","1.00928966564717","1.0080944077412","1.00633164454159","1.00461126929683","0.346","0.132","0.066","0.076","0.198","0.196","0.242","0.338","0.91688110777628","1.51375936083685","1.88483305640786","1.81766772953139","1.29790132619928","1.31225762427259","1.15207497341359","0.941637002961068","361"
"14","AGLAGA","1.00410732746392","0.942793693129264","0.970575982903013","0.983420189645132","1.00161414514974","0.988833978026342","0.994833270976431","1.00140082972766","1","0.436","0.58","0.72","0.918","0.764","0.914","0.922","0.0342183094462215","-0.815346383483031","-0.568623018107995","-0.369996555964357","0.0796503366371948","-0.307478219671166","-0.125948583056751","0.117212096422631","13"
"15","AGLAGL","1.04128682431433","1.01250474540309","1.02421808273814","1.02863019145423","1.02337665091887","1.01978411740513","1.01604848026887","1.01825818002271","0.172","0.488","0.076","0.012","0.01","0.01","0.026","0.006","1.43527487631581","0.673411372788248","1.85908713074234","2.66726356224633","2.58227222190262","2.56157824052715","2.3130976749033","2.88231794601133","225"
"16","AGLAGR","1.01843056687209","0.98558920460257","0.994182068729451","1.00007493688981","1.00270434571304","1.00515118861405","1.00806673636713","1.0088386695315","0.434","0.326","0.574","0.954","0.734","0.434","0.146","0.066","0.796641102793605","-1.0248703672702","-0.552637193479419","-0.0247109953526661","0.340275897125756","0.826708869824563","1.47207996310121","1.85742672750856","351"
"17","AGLAME","1.07827417517372","1.02148438623143","0.9847841333347","1.00454899878866","0.988932741712845","0.981380808714941","0.979577789932365","0.986028251742045","0.496","0.734","0.782","0.932","0.814","0.626","0.472","0.608","0.706125340028046","0.32983050338688","-0.315347906808083","0.104937357312371","-0.306928074645861","-0.591830221133689","-0.728769851340222","-0.550494289716011","17"
"18","AGLAO2","0.988470804679163","1.0122465757965","1.02638589412674","1.02522716501103","1.0220749588603","1.02140702450438","1.01631914093257","1.01611517173684","0.69","0.382","0.014","0.012","0.006","0.004","0.004","0.004","-0.413585558285959","0.891334124862516","2.35956585286313","2.65163756225957","2.7549847870573","3.20579851417821","2.77810198100655","3.05436474916038","298"
"19","AGLAOD","1.00933368247093","1.01393402824959","1.01018123416603","1.00725275927011","1.00741386550023","1.00647204053134","1.00602416666315","1.00782207813662","0.646","0.242","0.26","0.306","0.22","0.248","0.226","0.084","0.494100247030501","1.17469894823236","1.15104260894807","0.993983938544232","1.223758076597","1.21295483347304","1.27071031102284","1.81565419994907","464"
"20","AGLAOL","1.04739808363232","0.983984289609182","1.00540757981449","1.00967242428122","1.00308502675551","1.0057882098406","1.00118803909054","1.00079299909648","0.312","0.5","0.768","0.564","0.842","0.64","0.972","0.972","1.08141172913267","-0.654490105244448","0.256835058187398","0.61612505889963","0.208446625858655","0.479098930344678","0.0823615657876907","0.0414928851120547","99"
