"","allsp","","","","","","","","","abund"
"1","AAAAAA","0.86762957729147","0.891780488918583","0.916485685939172","0.932681264588444","0.945811181990997","0.956189095083083","0.964351682639765","0.9709283426955","11400"
"2","ACROPO","0.958434161559708","0.976944728420684","0.985735547948351","0.995144137587583","0.992311657330575","0.994602776691646","1.00251261176498","1.00085299923741","141"
"3","ACTIM1","1.08695349864044","1.02457798103083","1.03985504360269","1.02345843344773","1.02089419489772","1.02147701217247","1.01761503556974","1.02102591009719","33"
"4","ACTIMA","1.26415442341563","1.02739276762474","0.958253730284439","0.972567464671814","0.937255294280787","0.967857505911528","0.966166923736914","0.977528727451657","2"
"5","ACTIPR","1.02316519783467","1.02015934478477","1.01327533392954","1.01610741907807","1.01673194844726","1.01442159221489","1.01734412734949","1.01087348811664","178"
"6","ACTISE","1.05612668257274","0.986475500580269","0.991891654423194","1.00325079506615","1.0053405889457","1.00492717278597","0.999838583771353","0.996366293048352","53"
"7","ADENBI","0.993024455873997","1.03893273849158","1.03316810667079","1.01627232145867","1.0017057199806","1.00252447672402","1.0008098606724","1.00260189640323","181"
"8","ADRKR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGLAAS","1.07725285464026","1.0319885867334","1.00644876882019","1.01162804970116","1.00789733317336","1.00755535648015","1.0067789604061","1.00401987269","334"
"10","AGLACO","1.02686018338481","1.00851817200537","1.00655524682662","1.01175520717918","1.01191034597658","1.00910426462261","1.00525877537855","1.00372262307885","502"
"11","AGLAE1","1.09851496783251","1.04000551740711","1.02956036108102","1.01859012601213","1.01070082704533","1.01145044206764","1.0086817841334","1.00685666267207","230"
"12","AGLAE2",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAFO","1.02429512930156","1.02935772674265","1.02602576718707","1.02179790871902","1.0160416601439","1.01362482265309","1.01041507567634","1.00655145498057","361"
"14","AGLAGA","1.07076711015778","0.986476304934396","1.00392429573169","1.00722473193702","1.02267208399112","1.00757510015703","1.01139249775781","1.0138724550406","13"
"15","AGLAGL","1.05109389267733","1.01264117908851","1.02532436514949","1.03001508683582","1.02622540053249","1.02086319820397","1.01762465377133","1.01796649678097","225"
"16","AGLAGR","1.00907135957221","0.981721846017881","0.993839774087906","0.998907131637492","1.00213047453431","1.00542503388702","1.0101729144073","1.01144359050656","351"
"17","AGLAME","1.07827417517372","1.02148438623143","0.9847841333347","1.00454899878866","0.988932741712845","0.981380808714941","0.979577789932365","0.986028251742045","17"
"18","AGLAO2","0.992741674632148","1.01637944784847","1.03146693639648","1.03071556018327","1.02576800281317","1.02404301272926","1.01873543392629","1.01839842745857","298"
"19","AGLAOD","1.01891611557543","1.01972019453368","1.01086239925432","1.00561167009144","1.00635882454586","1.0054063663981","1.00437701825368","1.00648156120223","464"
"20","AGLAOL","1.05730899525909","0.99282796615265","1.01808102242145","1.01893437036631","1.01560503910304","1.01601473883963","1.00849959515375","1.00603538300696","99"
"21","AGLAPA","0.989744088612755","0.958249747252748","0.98086291868506","0.981466087686587","0.990727772513465","0.99476869655577","0.993870148901585","0.994670124565434","67"
"22","AGLARB","0.927369629854896","1.03401544469086","0.998025448704385","0.997140778115427","0.990553484895417","0.98842245620063","1.00369106503377","1.00294996442782","29"
"23","AGLARI","1.00749017495608","1.0144504130474","1.02976012823517","1.04579916450387","1.03349594108478","1.01950293905571","1.01853018000637","1.01180175794797","51"
"24","AGLARU","0.947471440949685","0.984547537947152","0.973164044068367","0.976731536160232","0.986401527012601","0.991151154467048","0.991247817203844","0.994585537751928","86"
"25","AGLAS1","1.07436521609777","1.04669328168653","1.02442205087803","1.06437531321125","1.0588560599154","1.05342677832857","1.04758447728568","1.04838303667968","32"
