"","x"
"#N/A",1968.34131516178
"Acacia sinuata",374.682047830387
"Acer oblongum",2574.66084332298
"Acronychia pedunculata",8395.600061435
"Adinandra integerrima",625.797402613453
"Agapetes mannii",53447.6959040374
"Alangium chinense",1006.45633046729
"Albizia mollis",11649.3711347028
"Alnus nepalensis",39433.1610321162
"Alsophila spinulosa",7393.45556688476
"Amoora yunnanensis",2077.04042097599
"Anneslea fragrans",313537.442071073
"Aporusa villosa",7108.49740524089
"Artocarpus tonkinensis",4583.67792936712
"Bauhinia acuminata",1244.10210674809
"Beilschmiedia linocieroides",7061.10648006149
"Betula alnoides",627347.692194201
"Bischofia javanica",103.868907109313
"Canthium horridum",7017.27340856228
"Carpinus londoniana",1006.59770213671
"Caryodaphnopsis tonkinensis",2338.68011114858
"Caryota ochlandra",2251.1160699114
"Castanopsis calathiformis",298177.308087747
"Castanopsis ceratacantha",45654.1506587363
"Castanopsis echidnocarpa",1637371.32468159
"Castanopsis ferox",24677.1081921866
"Castanopsis fleuryi",13173.491248647
"Castanopsis hystrix",67239.9630957171
"Celastrus monospermus",794.257454680572
"Cerasus cerasoides",5281.19003828039
"Choerospondias axillaris",2933.94123316914
"Cinnamomum bejolghota",11023.8721833915
"Colona floribunda",116.898662640076
"Craibiodendron stellatum",10168.3693799292
"Craspedolobium schochii",15642.6809726074
"Croton tiglium",132.732289614169
"Cudrania cochinchinensis",253.03958028339
"Dalbergia rimosa",793.024379564038
"Dalbergia stipulacea",297.587364111293
"Decaspermum fruticosum",3995.24191738648
"Dichapetalum gelonioides",8427.0631118607
"Diospyros kaki",53410.9706859169
"Diplospora mollissima",9073.21803486941
"Dolichandrone cauda-felina",86.5901475145687
"Elaeocarpus braceanus",78.5398163397448
"Elaeocarpus fleuryi",30377.0096993374
"Elaeocarpus prunifolioides",219.039693789914
"Elaeocarpus sylvestris",17008.928201727
"Embelia ribes",521.23734512035
"Engelhardtia aceriflora",1438.72377163798
"Engelhardtia colebrookiana",93438.9373091189
"Engelhardtia serrata",93352.3314536411
"Engelhardtia spicata",22311.8344992254
"Eriobotrya serrata",2376.35566104676
"Ervatamia yunnanensis",309.918115276633
"Erythrina strica",8761.79195511906
"Eurya groffii",31862.3782678996
"Evodia lepta",2386.40090355661
"Evodia subtrigonosperma",3356.10845395854
"Ficus hookeriana",2358.58210060907
"Ficus oligodon",1368.07720684038
"Fissistigma bracteolatum",84.948665353068
"Fraxinus floribunda",220.979627253506
"Glochidion lanceolarium",19170.9172880561
"Gnetum montanum",14090.9855291463
"Gomphandra tetrandra",105.683176866761
"Gordonia chrysandra",6839.24720686498
"Helicia nilagirica",102469.790967055
"Helicia pyrrhobotrya",1436.70529835805
"Heliciopsis henryi",29546.7024689569
"Ilex godajam",691.967197879688
"Ilex polyneura",1829.43579598331
"Ilex szechwanensis",2319.96407291482
"Itea macrophylla",717.0292532737
"Itea yunnanensis",213.824649984955
"Kadsura coccinea",395.691448701268
"Kadsura heteroclita",105.683176866761
"Laurocerasus jenkinsii",6825.73835845454
"Ligustrum quihoui",237.661484244068
"Lithocarpus annamensis",10006.9386414245
"Lithocarpus fenestratus",175824.667813443
"Lithocarpus grandifolius",77800.1204954755
"Lithocarpus truncatus",576060.940796936
"Litsea garrettii",9300.74002882402
"Litsea lancifolia",438.896201669762
"Litsea magnoliifolia",4398.41821058493
"Litsea monopetala",1344.83727518545
"Litsea rubescens",219309.580160803
"Lyonia ovalifolia",78428.9652429629
"Macaranga denticulata",3298.24817126105
"Macaranga kurzii",86.5901475145687
"Macaranga pustulata",93.3131557932508
"Machilus bombycina",22103.1306452658
"Machilus robusta",330.063578167778
"Machilus rufipes",303781.94865166
"Maesa perlarius",3044.77662198779
"Maesa permollis",731.260667994462
"Maesa ramentacea",1119.75786951901
"Mallotus paniculatus",369.836141162224
"Mallotus philippensis",158.367685667461
"Mallotus tetracoccus",3770.27246746291
"Medinilla septentrionalis",2277.2619747709
"Michelia floribunda",9183.30729543283
"Mitrephora maingayi",1759.09553646943
"Moru macroura",8976.33917141434
"Mussaenda pubescens",795.490529797105
"Mycetia glandulosa",113.097335529233
"Myrica esculenta",81999.3224619146
"Neolitsea levinei",323.851078695304
"Olea dioica",463.769761504559
"Olea glandulifera",3489.73609747898
"Olea rosea",4377.75438490594
"Ormosia yunnanensis",784.652035142221
"Paramichelia baillonii",8041.95883040203
"Phoebe puwenensis",35539.1412300284
"Photinia davidsoniae",666.912996467309
"Phyllanthus emblica",5808.33357758949
"Pinus kesiya",6684.77509608797
"Pithecellobium clypearia",3454.60523763021
"Pittosporum kerrii",415.47562843725
"Pygeum henryi",6782.85561873304
"Pyrularia edulis",1745.75162167331
"Pyrus pashia",1595.62276273989
"Rapanea neriifolia",2808.58383230928
"Reevesia pubescens",3827.86571478485
