"","x"
"#N/A",2
"Acer oblongum",4
"Acronychia pedunculata",12
"Agapetes mannii",53
"Alangium chinense",1
"Albizia mollis",7
"Alnus nepalensis",19
"Alsophila spinulosa",6
"Amoora yunnanensis",1
"Anneslea fragrans",306
"Aporusa villosa",3
"Artocarpus tonkinensis",1
"Bauhinia acuminata",1
"Beilschmiedia linocieroides",3
"Betula alnoides",528
"Canthium horridum",2
"Carpinus londoniana",1
"Caryodaphnopsis tonkinensis",1
"Caryota ochlandra",4
"Castanopsis calathiformis",352
"Castanopsis ceratacantha",44
"Castanopsis echidnocarpa",1828
"Castanopsis ferox",22
"Castanopsis fleuryi",10
"Castanopsis hystrix",76
"Cerasus cerasoides",7
"Choerospondias axillaris",1
"Cinnamomum bejolghota",9
"Craibiodendron stellatum",1
"Craspedolobium schochii",6
"Decaspermum fruticosum",1
"Dichapetalum gelonioides",4
"Diospyros kaki",60
"Diplospora mollissima",2
"Elaeocarpus fleuryi",31
"Elaeocarpus sylvestris",18
"Engelhardtia aceriflora",1
"Engelhardtia colebrookiana",77
"Engelhardtia serrata",72
"Engelhardtia spicata",20
"Eriobotrya serrata",3
"Erythrina strica",8
"Eurya groffii",11
"Evodia lepta",3
"Evodia subtrigonosperma",3
"Ficus hookeriana",1
"Ficus oligodon",2
"Glochidion lanceolarium",6
"Gnetum montanum",5
"Gordonia chrysandra",9
"Helicia nilagirica",24
"Helicia pyrrhobotrya",2
"Heliciopsis henryi",23
"Ilex polyneura",3
"Ilex szechwanensis",4
"Laurocerasus jenkinsii",7
"Lithocarpus annamensis",10
"Lithocarpus fenestratus",95
"Lithocarpus grandifolius",71
"Lithocarpus truncatus",644
"Litsea garrettii",3
"Litsea magnoliifolia",3
"Litsea rubescens",164
"Lyonia ovalifolia",47
"Macaranga denticulata",5
"Machilus bombycina",15
"Machilus robusta",1
"Machilus rufipes",300
"Maesa perlarius",3
"Maesa permollis",1
"Mallotus paniculatus",1
"Mallotus tetracoccus",5
"Medinilla septentrionalis",3
"Michelia floribunda",5
"Moru macroura",9
"Mussaenda pubescens",1
"Myrica esculenta",53
"Olea dioica",1
"Olea glandulifera",3
"Olea rosea",1
"Ormosia yunnanensis",1
"Paramichelia baillonii",10
"Phoebe puwenensis",35
"Photinia davidsoniae",1
"Phyllanthus emblica",7
"Pinus kesiya",7
"Pithecellobium clypearia",3
"Pittosporum kerrii",1
"Pygeum henryi",3
"Pyrus pashia",1
"Rapanea neriifolia",2
"Reevesia pubescens",2
"Rourea minor",1
"Rubus paniculatus",1
"Sarcosperma griffithii",1
"Sarcosperma kachinense",1
"Saurauia napaulensis",5
"Schefflera delavayi",21
"Schefflera glomerulata",1
"Schima wallichii",1000
"Spatholobus suberectus",4
"Symplocos cochinchinensis",2
"Symplocos paniculata",1
"Syzygium latilimbum",13
"Tapiscia yunnanensis",150
"Tarennoidea wallichii",1
"Ternstroemia gymnanthera",284
"Toona ciliata",2
"Toxicodendron succedaneum",1
"Trichilia connaroides",4
"Turpinia montana",2
"Vaccinium exaristatum",40
"Vitex quinata",1
"Walsura robusta",1
"Wendlandia tinctoria",27
"Wrightia pubescens",1
"Xylosma longifolium",2
