"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","#N/A","1.02242414600765","1.00807784439638","0.994335504464326","0.99150355225758","0.979332347213581","0.978108612843927","0.965086389041248","0.964364724957261","0.752","0.832","0.834","0.73","0.358","0.302","0.086","0.066","0.341702056672642","0.182416106012144","-0.243027473677161","-0.36039935083298","-0.90985318547528","-1.04584596907783","-1.73890875808731","-1.85594639001028","103"
"2","Abrus precatorius","1.10215855321184","1.17672634318021","1.06026848030824","0.981738585395526","0.975715526855678","0.966680458839196","0.931332027581459","0.931085332702343","0.652","0.244","0.562","0.914","0.78","0.674","0.312","0.27","0.441229795948853","1.20012619027036","0.588471464851981","-0.155210871003159","-0.274272396111202","-0.448057469311104","-1.01608440738209","-1.08256910538302","5"
"3","Acacia sinuata","0.905543515037371","0.889621460449716","0.904165028672698","0.908071049571455","0.920076804567954","0.936546338716273","0.945627249156233","0.950139056869625","0.416","0.114","0.094","0.054","0.07","0.104","0.132","0.15","-0.890782626083398","-1.56199020085514","-1.62315513285448","-1.79965902826141","-1.75811714206116","-1.55027826385435","-1.46687014661904","-1.46407928467534","31"
"4","Acer mono","0.968758375575366","0.777237937612917","0.965937732614586","1.01687706309681","1.01216580335984","1.03341239480571","1.02331362764847","1.04460441679982","1","0.274","0.844","0.922","0.93","0.792","0.852","0.614","-0.109350376905654","-1.15414766922185","-0.241093448551913","0.144843566418983","0.129510879298509","0.344250214674019","0.277063272446044","0.553774364246348","2"
"5","Acer oblongum","0.905738684376595","0.900408644360429","0.912532101445487","0.904771567253986","0.928115567612558","0.940122036080157","0.938364000416827","0.942363839578271","0.31","0.072","0.04","0.012","0.032","0.06","0.036","0.038","-1.05886849932852","-1.77881334784609","-1.94740527310424","-2.45857389392327","-2.10013352927678","-1.86852504238759","-2.08195784425753","-2.05834511342963","34"
"6","Acronychia pedunculata","0.83737068325302","0.871237113600719","0.874908128137793","0.887172798444802","0.890947859086445","0.899815489267192","0.904188935182056","0.909491926967229","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.03551739067721","-3.34706698810473","-4.05030969073923","-4.24544439816934","-4.64490594924211","-4.65928084085705","-4.84332835157631","-4.94823114593116","125"
"7","Adinandra integerrima","0.926343179843953","0.879258930693664","0.914490309168677","0.914469043357658","0.93910225316008","0.913040461827754","0.915644664906062","0.921348781914915","0.402","0.046","0.07","0.028","0.082","0.008","0.008","0.008","-0.87418231891732","-2.09603833165127","-1.90486516508287","-2.18804417029429","-1.70788753466041","-2.65880415209424","-2.74055889696971","-2.71875963336225","38"
"8","Agapetes mannii","0.969844380024016","0.941030407002984","0.940919993350947","0.944058274334823","0.942872435220138","0.93952405393925","0.943374999860295","0.946756056178626","0.468","0.03","0.012","0.008","0.004","0.004","0.002","0.002","-0.730758409388954","-2.15394416422609","-2.66305164981134","-2.97599184581024","-3.44961680306738","-3.93476238912566","-3.95684352923588","-3.95956712036763","200"
"9","Ailanthus fordii","1.0359323942283","0.813739195568097","0.986334380594809","1.0930788328122","1.0749224301494","1.05998387977968","1.06553041880103","1.10674202176338","0.922","0.448","0.946","0.52","0.544","0.604","0.554","0.324","0.0409086039769045","-0.835477929698381","-0.0920065662413583","0.644877159306646","0.599204122979245","0.531691256251341","0.598058578596094","1.0485179169471","2"
"10","Alangium chinense","0.649194303745265","0.748172756736058","0.762241572981516","0.816695512599024","0.848756047830833","0.863522423055252","0.87105230163825","0.886454568115854","0.006","0.002","0.002","0.002","0.002","0.002","0.002","0.004","-2.91979027449266","-3.23450438108507","-3.93305679470684","-3.47459071372409","-3.25489340379513","-3.30010354595483","-3.39749601455822","-3.17505502056355","21"
