"","allsp","","","","","","","","","abund"
"1","#N/A","1.02649016150094","1.00928718241364","0.995741986899312","0.992101142596491","0.978042475838986","0.976609300260892","0.96429743678352","0.963154953023752","103"
"2","Abrus precatorius","1.10215855321184","1.17672634318021","1.06026848030824","0.981738585395526","0.975715526855678","0.966680458839196","0.931332027581459","0.931085332702343","5"
"3","Acacia sinuata","0.905543515037371","0.889621460449716","0.904165028672698","0.908071049571455","0.920076804567954","0.936546338716273","0.945627249156233","0.950139056869625","31"
"4","Acer mono","0.968758375575366","0.777237937612917","0.965937732614586","1.01687706309681","1.01216580335984","1.03341239480571","1.02331362764847","1.04460441679982","2"
"5","Acer oblongum","0.924868726114143","0.924235598261075","0.943946517257612","0.936301796819024","0.957904250384125","0.964741027865436","0.960872371973547","0.963818162535705","34"
"6","Acronychia pedunculata","0.808722011668498","0.866753993160372","0.870129240817882","0.887533492648877","0.892118272066935","0.899908363617654","0.907390203784715","0.914416667940692","125"
"7","Adinandra integerrima","0.926343179843953","0.879258930693664","0.914490309168677","0.914469043357658","0.93910225316008","0.913040461827754","0.915644664906062","0.921348781914915","38"
"8","Agapetes mannii","0.997302042049586","0.968541002269955","0.970378434740026","0.966895903803689","0.967171998915437","0.960376009548206","0.962988250987215","0.963072105512472","200"
"9","Ailanthus fordii","1.0359323942283","0.813739195568097","0.986334380594809","1.0930788328122","1.0749224301494","1.05998387977968","1.06553041880103","1.10674202176338","2"
"10","Alangium chinense","0.669173770587432","0.746550233146329","0.759226829436657","0.814567587506399","0.845513142080664","0.862008176073872","0.86664049491039","0.883053840834142","21"
"11","Albizia chinensis","0.977064846961746","0.865330860460129","0.859582234243887","0.859793434114117","0.878292912877085","0.923442386589335","0.956915312623287","0.953238251431843","7"
"12","Albizia mollis","0.92261010910099","0.911400077683982","0.946054991762137","0.94970188294059","0.961777872514339","0.978461350856062","0.97835381429343","0.977092637128589","39"
"13","Alchornea davidii",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","Alnus nepalensis","0.550659445418238","0.768811016115212","0.805698775445091","0.801111015299115","0.831119511535101","0.853223466698174","0.882442902150522","0.915767325061078","23"
"15","Alsophila spinulosa","0.49623449636203","0.595873022002487","0.677323590864068","0.711181251031392","0.743279393964382","0.763665676585123","0.784644836089164","0.79817537458352","56"
"16","Alyxia yunkuniana","0.761467999444396","0.596236875269338","0.727399319035157","0.846160646984433","0.896332844679492","0.847258621078509","0.855052751426097","0.878515731367087","2"
"17","Amoora yunnanensis","0.858741000838847","0.871160770338782","0.884093426851404","0.895647510630404","0.902099796570596","0.906465684953164","0.916637895537633","0.919611795768439","87"
"18","Angiopteris caudatiformis",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","Anneslea fragrans","1.01710019331859","1.01743494964666","1.0164220837563","1.01566501070128","1.01236801636929","1.00937867760284","1.00736987573622","1.00661001033748","5685"
"20","Aporusa villosa","0.984529241759135","0.99054556056338","0.99696740300646","0.997316881377356","0.998126524440391","0.995530875489548","0.998581955239479","1.00013956215486","518"
"21","Aralia chinensis","0.592324334827007","0.617517580579411","0.664384179626633","0.728935983476372","0.760022732937892","0.739016621143224","0.697050823288437","0.694854226433431","3"
"22","Ardisia maculosa","0.9397872996542","0.982495380743594","0.938326955331484","0.927061196900933","0.943356224816358","0.950177907411891","0.9457246119286","0.94535128509925","90"
