"","allsp","","","","","","","","","abund"
"1","#N/A","1.00484338607205","1.0186824266674","1.02610048277094","1.01374515886943","1.00054457505451","1.00928622854821","1.01170927680105","1.0127576293479","103"
"2","Abrus precatorius","0.994392045344571","1.12981445508316","1.0605543511279","0.939625826168455","0.960531308505581","0.980631901427605","0.982303296604322","0.93297258950115","5"
"3","Acacia sinuata","0.991021311783194","1.01550690720172","1.05060508271328","1.04543936729573","1.04805099670459","1.05809392691394","1.06616998008599","1.05936104348656","31"
"4","Acer mono","0.916000170784548","0.846926115019887","1.00064705086322","1.00199407659293","0.98827811552862","0.958080800382763","0.94220077723303","1.02690220410243","2"
"5","Acer oblongum","0.959118142041916","0.986743501458608","1.03601743969069","1.00912568206972","1.00246322527085","1.01483646387575","1.01752678263043","1.03252572172396","34"
"6","Acronychia pedunculata","0.853833337141361","0.959701236863556","0.97282614053095","1.00594141782679","1.02015495636391","1.03795104367678","1.04179146136639","1.05098052114183","125"
"7","Adinandra integerrima","0.972030771754917","0.959788261257394","1.01751576810653","1.02078696416817","1.04223607902218","1.03061272554215","1.03532681362638","1.03407227275946","38"
"8","Agapetes mannii","0.983950135140043","1.01128140223302","1.04229351873891","1.06607154518779","1.06324364352631","1.04473947784788","1.03850628129183","1.02904353580881","200"
"9","Ailanthus fordii","1.20859586133848","0.788022487418996","1.04203694863956","1.03907704301893","0.932712387605099","0.859375623212852","0.893077203567371","0.923488180093936","2"
"10","Alangium chinense","0.682150608209825","0.818536321836772","0.885802094116285","0.948693150689938","0.997179309660372","0.99328931917149","1.00376341332534","1.01176829951984","21"
"11","Albizia chinensis","0.892581337818854","0.94584517627246","0.956629878246708","0.984017982605216","1.02130534443311","1.02776718393131","1.02601440589671","1.01407479282514","7"
"12","Albizia mollis","0.920358673573447","0.952257092462349","0.999625700685931","0.983878864996612","0.997121633910477","1.01879348505364","1.01289302179916","1.02272962520364","39"
"13","Alchornea davidii",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","Alnus nepalensis","0.582945751429825","0.857855659150851","0.897695846608012","0.932779084373173","0.969562078064703","1.00291365817749","1.03708181423493","1.02541466443017","23"
"15","Alsophila spinulosa","0.58178561998981","0.780681930204847","0.944739385623962","0.989320086797174","1.01683992589976","1.03016339622323","1.03467180143728","1.02936985971166","56"
"16","Alyxia yunkuniana","0.821449417070336","0.910478586494583","0.984874584583402","1.03631948187592","0.973721516503159","0.984855980435555","1.00111538647942","1.01856347095638","2"
"17","Amoora yunnanensis","0.923185463076328","0.938058822613079","0.995051699336424","1.01895667627765","1.03928370933911","1.04425547614776","1.05736604088284","1.06232723564634","87"
"18","Angiopteris caudatiformis",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","Anneslea fragrans","1.01483815369901","1.00147051678048","0.989870532917255","0.986877052499592","0.985015141349709","0.983143988805437","0.982118665072889","0.983264090392648","5685"
"20","Aporusa villosa","1.00434570708259","1.00997813606247","1.01366157946911","1.01209658136682","1.00442567520934","1.0061513663467","1.00564774057623","1.00192099824346","518"
"21","Aralia chinensis","0.661694894509646","0.878731429750773","0.895222338181226","0.985757837328402","0.885898827653902","0.841774012514986","0.822810652762031","0.895131922347648","3"
"22","Ardisia maculosa","0.979839317011798","1.0278698549684","1.03787965901027","1.04478554991868","1.04305391619404","1.04012443196558","1.03624484427598","1.03459250106417","90"
"23","Ardisia virens","0.970905549633058","1.01269815464298","1.02276040175484","1.03014029820002","1.0277930050211","1.01974436061372","1.02687990953739","1.02701109566248","308"
"24","Argyreia capitata","0.604604243891475","0.752282083891829","0.87523467985074","0.946983279662885","0.963753589345474","1.02314588958863","1.05644942294287","1.08790583802273","3"
"25","Artabotrys hongkongensis","1.14341182263356","1.02554674358249","0.986936143706878","0.981844301795711","0.968848223923329","0.987988539447527","0.974657076083328","0.974835511488612","32"
"26","Artocarpus tonkinensis","0.884058514585255","0.950061175372333","0.976971346949383","1.00582229044337","1.00963244112686","1.02697378289768","1.02862307927615","1.03649699663649","328"
"27","Baccaurea ramiflora",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","Bauhinia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","Beilschmiedia linocieroides","0.901486433547546","0.955271962038332","1.00287489301249","1.00678961314275","0.996489306919134","0.996432182360996","1.00310353158357","1.00499320403116","536"
"30","Betula alnoides","0.98307674730907","1.03760230657116","1.04046738822173","1.01690508362057","1.01469924738054","1.01400009837854","1.01269153194241","1.00813664962685","712"
"31","Bischofia javanica","1.01149688081785","0.97005360055931","0.774989732515467","0.980402399008486","0.986323069244569","0.990907297684736","1.01712956013993","1.02538500689565","2"
"32","Brandisia hancei","1.04547132441818","0.89002402375919","0.887373187093321","0.886937646452791","0.86500998212149","0.878032174973402","0.865083106715175","0.870768155476987","25"
"33","Brassaiopsis glomerulata",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"34","Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"35","Canthium horridum","0.98785109061475","1.01380524343751","1.01833720935785","1.02544748258894","1.02308429042929","1.01840871035494","1.01397846250341","1.01363948109318","721"
"36","Carallia diplopetala",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"37","Carpinus londoniana",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"38","Caryodaphnopsis tonkinensis","0.860115846647294","0.88537130267195","1.00764885264736","1.04490227478767","1.03991946077248","1.03949726657501","1.04321730699961","1.02269870035295","29"
"39","Caryota ochlandra","0.751541140957074","0.633049458982464","0.857610666756784","0.851761888949447","0.932860964401138","0.948179858205015","0.98876122827676","1.02899380366808","8"
"40","Castanopsis calathiformis","0.983587326495142","0.98507551946655","0.999179575878044","1.00397262565603","1.00889220415659","1.00990071783665","1.01094924901037","1.01207576437215","6567"
"41","Castanopsis ceratacantha","0.777752088656421","0.88167844663608","0.926391084676112","0.95287849274522","0.959268196300381","0.983175315473788","0.992529750830327","1.00053436465745","303"
"42","Castanopsis echidnocarpa","0.965046394683777","0.954925163089546","0.960257351251757","0.96165232952166","0.963753250906207","0.965240392968448","0.966626790672107","0.967789226995724","25557"
"43","Castanopsis ferox","0.964041072106979","0.968264333952771","0.975004177925894","0.973757939676817","0.977953981169042","0.974540984129798","0.968183620112469","0.962821812339546","117"
"44","Castanopsis fleuryi","1.00689632093067","0.980280286011917","0.966217545319377","0.943888029284561","0.956310041581302","0.953536466200702","0.946127613905296","0.938713534307594","116"
"45","Castanopsis hystrix","1.03426494091034","1.00938320332714","1.01070539754727","1.01163883359113","1.01330205173717","1.01510802171922","1.0117082810247","1.01207408156339","540"
"46","Castanopsis wattii","1.00515159817198","0.899945572213489","0.896494862099277","0.906620580374917","1.00851953889588","0.9739347588575","1.0065162342567","1.01968496935927","2"
"47","Celastrus monospermus","1.03149417915277","1.02573745792623","1.03286557528061","1.03225069756742","1.03644299471793","1.03475265092154","1.03485977952851","1.03449496637387","1557"
"48","Cenocentrum tonkinense",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"49","Cerasus cerasoides","1.18971148316468","1.13212147384168","1.09476614965377","1.06677353103024","1.04664450482648","1.0566355060716","1.06429981846544","1.05457740973212","49"
"50","Chassalia curviflora",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"51","Choerospondias axillaris",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"52","Cinnamomum bejolghota","0.948934616511634","0.987667742215025","0.999429271767493","1.00170886369051","1.00637695517275","1.00866879508081","1.00992095634391","1.00808911735897","432"
"53","Cinnamomum tenuipilum","0.972634445200817","0.706914560267391","0.892765950548099","1.07045889082238","1.0148068356971","0.988898090868669","1.04529808293441","1.06797549908055","2"
"54","Cipadessa baccifera","0.824344395821492","0.930533022585831","1.01160844866649","0.962843157068594","0.956838653756623","1.00744636423337","1.0689704163682","1.08561771521856","6"
"55","Clerodendrum philippinum",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"56","Clerodendrum serratum",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"57","Colona floribunda","1.06921723451104","1.01129611580291","1.05172131686778","1.14551872794935","1.1073125569384","1.09040819880238","1.14919710093117","1.17610979871483","6"
"58","Colquhounia elegans","0.89147545357524","0.954626387367829","1.03669576736989","0.989972345714463","0.979677826332949","1.01937657485328","0.987234637341358","1.02482064128027","3"
"59","Craibiodendron stellatum","1.09024239741311","1.02261794189631","0.993639924591603","0.974329250715824","0.952937744146431","0.938542233763099","0.92957524257053","0.92483463085132","333"
"60","Craspedolobium schochii","1.04693490397538","0.990934958184796","0.970218401818284","0.959662476124185","0.956147748103581","0.954214291199085","0.954312364982604","0.955417627702805","1569"
"61","Croton tiglium",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"62","Cudrania cochinchinensis","0.843694199093225","0.900328055702504","0.935824571145748","0.966915810095183","1.00138993734554","0.999435139504903","1.02613037904976","1.03822657590054","60"
"63","Cyclea polypetala","1.04156576311199","0.958535436015982","0.946624630670273","1.00688411637236","1.0553439003072","1.05035593911104","1.06203522485945","1.06916887164986","6"
"64","Dalbergia obtusifolia","1.58800614722823","1.20108189663027","1.02238923282914","1.06329046778264","1.02959757032682","1.04639419034418","1.06361418433951","1.0783054956673","3"
"65","Dalbergia polyadelpha","0.836763622509557","0.876567109112817","0.966308535776482","1.12994306826848","1.2116677511172","1.23025164544358","1.20346546338893","1.17908289023078","2"
"66","Dalbergia rimosa","0.992121125508511","1.02552408475476","1.03387031751625","1.04240332769938","1.03872460543388","1.0395150125489","1.04776347219867","1.04923256263515","112"
"67","Dalbergia stipulacea","1.0160426212932","1.02083757310249","0.983978057421001","0.988286871803423","1.00529425899222","1.01422002926498","1.01334100153932","1.01065464172496","117"
"68","Daphne papyracea","1.29041680708738","1.16374772626885","1.14214764322336","1.04976374371162","1.03797048856218","1.08353442697901","1.10300769837274","1.1199348873892","7"
"69","Debregeasia orientalis","0.358352333768023","0.641636895438968","0.880450388349796","0.889399056967803","0.960114647208555","0.994997541038212","1.01447784610398","1.06886043980417","2"
"70","Decaspermum fruticosum","0.986458451291196","1.02507040197279","1.0332592468024","1.03808534454073","1.03554824703377","1.03725779020135","1.03248230111076","1.0304813000867","729"
"71","Desmodium megaphyllum",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"72","Dichapetalum gelonioides","1.07618439424293","1.05361428376691","1.02124045371003","1.02118427022636","1.01810396679141","1.01604445563234","1.01097026897888","1.0091222964443","515"
"73","Dichroa febrifuga",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"74","Diospyros kaki","1.04340450693461","1.06176629427012","1.04381919806017","1.04028261381626","1.04198750818327","1.03265649056852","1.03567981023361","1.03256513809939","437"
"75","Diplospora mollissima","1.0036184141364","1.02437913305768","1.02248642841927","1.0235527798917","1.02482963101377","1.02441364181735","1.02621083173218","1.02720247372143","2795"
"76","Dolichandrone cauda-felina",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"77","Dysoxylum binectariferum","0.722690443083524","0.879544230931726","0.916965149220684","0.987798291761853","1.02238813235045","1.02994719434029","1.03940578037356","1.05834720197329","12"
"78","Elaeagnus loureirii",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"79","Elaeocarpus balansae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"80","Elaeocarpus braceanus","0.807318827624346","0.946143421533586","0.980725710230999","1.00321039091484","0.987746084344882","0.982891432180737","0.985417196313431","0.993191002550017","22"
"81","Elaeocarpus fleuryi","0.998302385122702","1.01201868877314","1.01589651004872","1.01375998696136","1.00876661033536","1.00584757931478","1.00542012005192","1.00404310949882","497"
"82","Elaeocarpus prunifolioides","0.844715951634167","1.07313086725622","0.865918015508845","0.834875961740164","0.829726276442239","0.868624099134234","0.939466117308062","0.937012980378668","3"
"83","Elaeocarpus sylvestris","1.00258379066986","1.03589921832093","1.03748648411355","1.02441504045071","1.02175032984095","1.02669046437866","1.02080551177998","1.02462458034734","333"
"84","Embelia parviflora","0.979707155030464","1.01543981026927","1.0448589338336","1.03891294399829","1.02758035177322","1.03851584686768","1.04517741415557","1.05513248688463","31"
"85","Embelia ribes","1.0070812152602","1.01374091495318","1.00999907960674","1.0082449980092","1.01060836730866","1.01369164079724","1.02115212670312","1.02175587559219","101"
