"","x"
"AFROKA",401647.122974311
"AFZEBI",752460.135220886
"ALBIGL",1127174.38437597
"ALLO02",19496.7240081783
"AMANST",19797918.706054
"ANGY02",748548.066969003
"ANGY03",13296.0055081554
"ANIS03",1422047.41243456
"ANISGL",9746659.26087088
"ANISPU",1128691.77362766
"ANISSP",838623.81153273
"ANNICH",314.159265358979
"ANNO02",298866.777719468
"ANNO03",126288.883081656
"ANOPKL",917017.543814083
"ANTHAU",14812487.6249605
"ANTHCP",547297.641580041
"ANTHVO",942330.141222219
"ANTIVO",427350.84866782
"APOC02",227262.027162522
"ARDI02",314.159265358979
"ARGO02",8513.71609122834
"AUCOKL",3628852.10336524
"AULAGL",346.360590058275
"AULAJA",8526.2824618427
"BAIK02",116443.917103469
"BALAWI",2210988.5069471
"BAPH02",5120331.8550368
"BAPHGF",835981.732111061
"BARTFI",45619.8523209408
"BEIL02",2212168.17498852
"BEIL03",562302.673491749
"BEIL04",8119.44621320282
"BEILGF",1277781.5507909
"BEILLF",354322.956638798
"BEILNV",2164358.63258803
"BEILPF",262287.643657395
"BEILPU",1031071.49430633
"BELO02",871.00656320777
"BERL02",8791066.88626153
"BERLCB",4982260.42870785
"BERT02",415.47562843725
"BIKI02",5780623.1595885
"BLIGWE",446521.632438188
"CALPDI",5609832.04577242
"CALPHE",1569880.55253638
"CAMP02",1218421.15760132
"CAMP03",4531.74740280328
"CAMPBO",61676.5323734382
"CAMPDU",2548.61704022472
"CAMPFM",71867.0735435201
"CAMPLF",469663.389322694
"CARPAL",5960.38666202323
"CASE02",1649569.40638917
"CENTGL",348300.523521866
"CHRYWE",572.55526111674
"CHYT02",21599.2348915932
"CHYT03",79570.2587301223
"CHYTBA",237297.059496251
"CHYTBC",1654.04853211503
"CHYTGF",848120.846124532
"CHYTTA",61395.3598309419
"CLEIIT",734685.003986875
"CLEILE",1183750.54107631
"CLEIPA",95948.1666314493
"CLEIST",58743.8556313121
"COELPR",1061347.80810714
"COFF02",31741.0813755445
"COLA02",71114.6621029854
"COLAFD",573709.011018771
"COLALA",330411.509554163
"COPAMI",1672.11268987317
"COULED",13362926.929464
"CRAT02",873871.695707844
"CRATGF",712566.620909276
"CRATLE",2552.54403104171
"CRATPF",77276.1106948383
"CRATSN",395433.838103674
"CROT02",2012037.72738056
"CRUD02",12181330.7355499
"CRYP02",3231541.94904921
"CRYPPE",515969.679638444
"CUVI02",103023.033287333
"CUVIPC",5020.26506043649
"CUVIUN",33335.4396472413
"DACRBU",5173615.62263617
"DACRED",3341622.57023284
"DACRIG",9991588.81971903
"DACRKL",473708.975262354
"DACRNO",463246.686327737
"DACT02",661598.207095599
"DACTGL",319070.360074704
"DACTPF",11440186.6170672
"DACTPU",752649.416178265
"DIALAN",5469324.31434061
"DIALCO",45523.2483468429
"DIALDI",95662.2816999726
"DIALPF",6127882.2451457
"DIALTE",1136786.87249779
"DICH02",30374.4885712329
"DICH03",13116.9347269008
"DICHAF",4086.42664415692
"DICHGL",30559866.8851378
"DIDEAF",5695669.78184645
"DIDEBR",12085959.0511704
"DIDEMI",191438.446133638
"DIOGZE",13381316.2420618
"DIOSBO",230349.427342838
"DIOSCC",655110.032867772
"DIOSCI",2914482.99367097
"DIOSCO",1811.12816479452
"DIOSDE",150306.35891835
"DIOSFR",746151.031774314
"DIOSHO",3107594.33789264
"DIOSIT",1256029.94865561
"DIOSMA",205047.040110825
"DIOSOB",1146960.92030644
"DIOSPI",631218.220737222
"DIOSRA",3909580.89589921
"DISCCA",138978.561207669
"DRYP02",358669.350075039
"DUGUCO",2087679.42449737
"ENGLST",382157.467549604
"ERIO02",3226828.77467066
"ERIOPU",172978.447701144
"ERIS02",1649677.79133572
"ERISRE",10908548.244069
"EUCL02",17675.3856672596
"EUGE02",13834.0032500827
"EUGELF",325660.636063772
"EURYTE",13595166.8101861
"GAER02",116123.474652803
"GAERSP",27986.8781545047
"GARCKO",61575.2160103599
"GARCSM",6994931.97240628
"GARCTA",1961707.84227373
"GILB02",13437538.9695886
"GILBCU",7687661.00650446
"GILBOG",15351804.0504041
"GILBST",1093794.96243158
"GREEGA",405861.569519102
"GREESU",300231.014329289
"GREW02",43319.4211003497
"GREWCO",1497010.5255382
"HALLCI",1726772.47505481
"HARUMA",423137.187521192
"HEINCR",63171.930476547
"HEMA02",150234.102287318
"HEMA03",855.298599939821
"HOMA02",988250.801039741
"HOMA03",23486.5466782373
"HYMEFL",10797203.9172405
"HYMEKL",70651.2771865809
"HYMENG",9754468.47480954
"IRVIGA",1328032.8960814
"IRVIGR",1017.87601976309
"IRVIRO",431247.208956434
"ISOLHE",1558718.47383817
"IXOR02",28944.2785156862
"IXOR03",27820.3737438644
"IXORPF",9129.46825133194
"JOLL02",4935.44205878956
"KLAI02",3789964.75561378
"KLAIGA",6317237.02995185
"LACC02",118529.149227289
"LACC03",4083.28505150333
"LASIAF",5095.66328412264
"LECO02",112974.028017579
"LECOBI",946170.738241233
"LEPTCA",30483.6589159452
"LETEDU",63793.9658219577
"LIBRKL",16011895.0784242
"LOPHAL",28247606.7828077
"MACAMO",572.55526111674
"MACASP",23080.4958277608
"MAESBA",1124121.54171485
"MAESBC",253666.328017781
"MAESEM",962.112750161874
"MAESFA",438274.951722515
"MAESGF",1040.65256650162
"MAESGL",5808.80481648753
"MAESPF",75797.2059531609
"MAESPU",907286.460569588
"MAGN02",1629863.76646953
"MAGNBI",1461564.72102591
"MAGNPU",2008.26310380728
"MAPRME",2950568.11228827
"MARACH",10914.6782767343
"MARE02",839699.021618421
"MASSAC",532324.810993032
"MASSST",6382.14547576766
"MEME02",530254.501434317
"MEME03",190734.729379234
"MEMEC2",125746.958348912
"MEMEFC",745731.62915506
"MEMEMO",5199.33584169111
"MEMENV",595035.712747665
"MEMEPF",96588.2661346182
"MEMETO",133317.4112459
"MICRGL",1103.48441957341
"MICRPU",86536.7404394576
"NAPO02",295683.558963218
"NAPOGF",781319.590734925
"NEOCST",2406589.56334674
"NESO02",2207996.13994455
"NEWTLE",830.9512568745
"NICHSO",615.752160103599
"OCHTAF",22965.8276959048
"OCHTCA",15138182.8185435
"OCTOCA",7802.14535519025
"ODYEGA",31427848.8800183
"OKOUAU",297057.220351
"OMPHEL",76215.0377760884
"ONCOFL",10670.4194479177
"ONCOGL",572.55526111674
"OUBAAF",1728743.03904678
"OXYAFO",7919.16968153647
"PANC02",10286225.4429304
"PANC03",781142.090749998
"PARKBI",241922.269280499
"PARO02",6692.37775030966
"PARODE",1866.10603623234
"PAUR02",6822.75384543363
"PAURCA",9395.71822872367
"PAURFC",47465.5380049248
"PAUSJO",3315982.46179056
"PAUSMA",1079120.58314666
"PAVE02",2844.71214782556
"PAVENB",4962.14559634508
"PAVEPF",2282.36706283298
"PHYLDI",253312.898844252
"PICRNI",380.132711084365
"PIPTMU",1801430.06827288
"PLAGAF",1640617.43812277
"POLYPA",1453761.79027255
"PORTCL",154060.56213939
"POUCAF",528706.48165426
"PROT02",9646238.25169889
"PROTMA",61962.4173049149
"PSYC04",314.159265358979
"PSYCFE",314.159265358979
"PTERBE",458380.359307326
"PTERSO",282743.338823081
"QUASAF",4296.12795378404
"RAUVVO",44802.252832844
"RHAB02",1826531.39357507
"RHAP02",534618.959028316
"RINO02",186896.48855471
"RINO03",58951.9861446125
"RINOBC",16639.4454897383
"ROTH02",148838.44975096
"RUBI03",497256.782997336
"RUBI04",98715.1243610985
"SACOGA",11458371.7261425
"SANTTR",4617658.18090651
"SAPI02",145292.377043221
"SCHUMA",53277.4844140659
"SCOTKL",287559.400361035
"SCYPMA",7803791.54974073
"SCYTFL",284131.137377805
"SCYTKL",17974206.8918856
"SINDKL",16267800.5766058
"SORI02",242921.295744341
"SORIGA",4486597.21858405
"SOYALF",6335433.13460144
"SPATBL",973557.572198902
"STAUKA",3239530.23376913
"STRE02",2193598.22081315
"STREMA",3146981.27038886
"STRO02",330629.064845424
"STROPU",3139278.87060042
"STROTE",3928947.24381226
"SYMPGL",2727950.92986408
"SYNC02",2021039.17573126
"SYNC03",82622.3159930848
"SYNC04",1197.73219918111
"SYNCPF",191527.196126102
"SYNSSP",4580.44208893392
"SYZY02",2817974.05275085
"SYZY03",471930.048422259
"TARE02",11542.2114092889
"TAREJO",62791.7977654626
"TETRBI",24791882.3527947
"TETRLO",6804583.65892343
"TETRMO",35591023.8473043
"THECCB",4080.92885701314
"THOMCO",318281.034920489
"TRECAF",150673.92525882
"TRIC02",31174.0239015715
"TRIC03",588657.494262714
"TRICAC",741287.846346557
"TRICCD",355588.233080031
"TRICCM",529872.012528742
"TRICFL",391670.995502837
"TRICFO",90934.18475632
"TRICGA",64764.717951917
"TRICGL",230683.221562282
"TRICIN",94215.5782829945
"TRICNO",8177.56567729423
"TRICPE",1519275.77807235
"TRICPU",709653.579121235
"TRICSP",380.132711084365
"TRIICM",1254.28086694572
"TRYC02",308652.8388354
"TRYC03",383027.688714648
"TRYC04",41200.4168555033
"TRYCFM",43797.7285818587
"UAPA02",910889.081945093
"UNKNOW",8720576.61569845
