"","x"
"AFROKA",1277
"AFZEBI",8
"ALBIGL",32
"ALLO02",28
"AMANST",1636
"ANGY02",742
"ANGY03",16
"ANIS03",328
"ANISGL",860
"ANISPU",342
"ANISSP",280
"ANNICH",1
"ANNO02",473
"ANNO03",4
"ANOPKL",5
"ANTHAU",1059
"ANTHCP",349
"ANTHVO",158
"ANTIVO",285
"APOC02",40
"ARDI02",41
"ARGO02",58
"AUCOKL",8
"AULAGL",4
"AULAJA",50
"BAIK02",55
"BAILTO",1
"BALAWI",9
"BAPH02",1445
"BAPHGF",245
"BARTFI",5
"BEIL02",602
"BEIL03",230
"BEIL04",5
"BEILGF",266
"BEILLF",133
"BEILNV",384
"BEILPF",32
"BEILPU",88
"BELO02",2
"BERL02",889
"BERLCB",70
"BERT02",1
"BERT03",2
"BIKI02",41
"BLIGWE",2
"CALPDI",3047
"CALPHE",21
"CAMP02",5343
"CAMP03",20
"CAMPBO",94
"CAMPDU",48
"CAMPFM",295
"CAMPLF",455
"CARPAL",39
"CASE02",216
"CENTGL",256
"CHAZ02",14
"CHAZCM",2
"CHRYWE",1
"CHYT02",76
"CHYT03",69
"CHYTBA",211
"CHYTBC",7
"CHYTGF",29
"CHYTTA",44
"CLEIIT",120
"CLEILE",189
"CLEIPA",4
"CLEIST",3
"COELPR",6
"COFF02",843
"COLA02",148
"COLA03",1
"COLAFD",655
"COLALA",52
"COPAMI",3
"COULED",644
"CRAT02",968
"CRATGF",498
"CRATLE",4
"CRATPF",63
"CRATSN",674
"CROT02",14327
"CRUD02",742
"CRYP02",387
"CRYPPE",343
"CUVI02",126
"CUVILO",1
"CUVIPC",20
"CUVIUN",72
"DACRBU",8
"DACRED",90
"DACRIG",268
"DACRKL",6
"DACRNO",1
"DACT02",146
"DACTGL",107
"DACTPF",1550
"DACTPU",209
"DESBIN",1
"DESM02",1
"DIALAN",1364
"DIALCO",2
"DIALDI",1
"DIALPF",1095
"DIALTE",278
"DICH02",3
"DICH03",15
"DICHAF",7
"DICHGL",17096
"DIDEAF",1462
"DIDEBR",127
"DIDEMI",76
"DIOGZE",2517
"DIOSBO",356
"DIOSCC",159
"DIOSCI",1329
"DIOSCO",6
"DIOSDE",133
"DIOSFR",536
"DIOSHO",1886
"DIOSIT",3956
"DIOSMA",29
"DIOSOB",4777
"DIOSPI",276
"DIOSRA",366
"DISCCA",6
"DRYP02",1426
"DRYP03",1
"DUGUCO",245
"ENGLST",360
"ERIO02",841
"ERIOPU",96
"ERIS02",78
"ERISRE",579
"EUCL02",77
"EUGE02",214
"EUGELF",213
"EURYTE",565
"GAER02",275
"GAERSP",306
"GARCKO",1
"GARCSM",7606
"GARCTA",1094
"GILB02",752
"GILBCU",1973
"GILBOG",3395
"GILBST",543
"GREEGA",611
"GREESU",744
"GREW02",22
"GREWCO",88
"GUIBEH",1
"HALLCI",24
"HANNKL",1
"HARUMA",71
"HEINCR",20
"HEMA02",190
"HEMA03",1
"HOMA02",141
"HOMA03",34
"HYMEFL",1065
"HYMEKL",5
"HYMENG",538
"IRVIGA",84
"IRVIGR",3
"IRVIRO",1
"ISOLHE",247
"IXOR02",84
"IXOR03",102
"IXORPF",111
"JOLL02",40
"KLAI02",16
"KLAIGA",645
"LACC02",383
"LACC03",21
"LASI02",1
"LASIAF",70
"LASIMA",11
"LASYMA",1
"LECO02",5
"LECOBI",31
"LEPT02",1
"LEPTCA",76
"LETEDU",1
"LIBRKL",939
"LOPHAL",117
"MACAMO",5
"MACASP",6
"MAESBA",1093
"MAESBC",328
"MAESEM",1
"MAESFA",1273
"MAESGF",13
"MAESGL",2
"MAESPF",28
"MAESPU",352
"MAGN02",316
"MAGNBI",365
"MAGNPU",2
"MAPRME",342
"MARACH",9
"MARE02",393
"MASSAC",521
"MASSST",5
"MEME02",331
"MEME03",26
"MEMEC2",118
"MEMEFC",193
"MEMEMO",53
"MEMENV",377
"MEMEPF",137
"MEMETO",566
"MICRGL",5
"MICRPU",338
"NAPO02",718
"NAPOGF",377
"NEOCST",844
"NESO02",90
"NEWTLE",8
"NICHSO",27
"OCHN02",3
"OCHTAF",4
"OCHTCA",925
"OCTOCA",10
"ODYEGA",244
"OKOUAU",1
"OMPHEL",2
"ONCOFL",617
"ONCOGL",1
"OUBAAF",796
"OXYAFO",53
"PANC02",4395
"PANC03",138
"PARKBI",1
"PARO02",31
"PARODE",4
"PAUR02",158
"PAURCA",5
"PAURFC",90
"PAUSJO",663
"PAUSMA",115
"PAVE02",96
"PAVENB",168
"PAVEPF",15
"PHYLDI",446
"PICRNI",10
"PIPTMU",3278
"PLAGAF",118
"POLYPA",150
"PORTCL",22
"POUCAF",1318
"PROT02",2992
"PROTMA",3
"PSYC02",2
"PSYC03",1
"PSYC04",1
"PSYC05",1
"PSYCDE",3
"PSYCFE",48
"PTERBE",12
"PTERSO",1
"QUASAF",357
"RAUVVO",2
"RHAB02",769
"RHAP02",299
"RINO02",796
"RINO03",412
"RINOBC",51
"ROTH02",62
"RUBI03",281
"RUBI04",38
"RUBIPU",13
"SACOGA",96
"SANTTR",74
"SAPI02",723
"SCHUMA",135
"SCOTKL",70
"SCYPMA",26
"SCYTFL",56
"SCYTKL",948
"SINDKL",173
"SORI02",450
"SORIGA",2594
"SOYALF",969
"SPATBL",205
"STAUKA",111
"STRE02",372
"STREMA",1136
"STRO02",79
"STROPU",1136
"STROTE",652
"SYMPGL",117
"SYNC02",266
"SYNC03",18
"SYNC04",9
"SYNCPF",128
"SYNSSP",5
"SYZY02",54
"SYZY03",6
"TARE02",95
"TAREJO",28
"TETRBI",3082
"TETRLO",439
"TETRMO",3741
"THECCB",96
"THOMCO",312
"TRECAF",1
"TRIC02",27
"TRIC03",246
"TRICAC",135
"TRICCD",570
"TRICCM",994
"TRICFL",1017
"TRICFO",239
"TRICGA",37
"TRICGL",478
"TRICIN",375
"TRICLP",1
"TRICNO",43
"TRICPE",1489
"TRICPU",1746
"TRICSP",1
"TRIICM",3
"TRIITE",1
"TRYC02",480
"TRYC03",912
"TRYC04",161
"TRYCFM",146
"UAPA02",606
"UNKNOW",2105
"UVAR02",23
"VITE02",27
"VITEDO",65
"VOAC02",18
"WARN02",2731
"WARN03",2
"WARNDD",78
"WARNPU",214
"XYLO02",190
"XYLOAE",164
"XYLOLF",101
"XYLOPF",543
"XYLOQU",120
"ZEREMA",686
