,sp,N.fixing
1,AFZEBI,n
2,ALBIGL,y
3,ANGY02,n
4,ANGY03,n
5,ANTHCP,n
6,BAIK02,n
7,BAPH02,y
8,BAPHGF,y
9,BERL02,n
10,BERLCB,n
11,BIKI02,n
12,CALPDI,n
13,CALPHE,n
14,COPAMI,n
15,CRUD02,n
16,CRYP02,n
17,CRYPPE,n
18,DIALAN,n
19,DIALCO,n
20,DIALDI,n
21,DIALPF,n
22,DIALTE,n
23,DIDEAF,n
24,DIDEBR,n
25,DIDEMI,n
26,EURYTE,n
27,GILB02,n
28,GILBCU,n
29,GILBOG,n
30,GILBST,n
31,GUIBEH,n
32,HYMEFL,n
33,HYMEKL,n
34,HYMENG,n
35,LIBRKL,n
36,NEOCST,n
37,NEWTLE,n
38,PARKBI,n
39,PTERSO,y
40,SINDKL,n
41,TETRBI,n
42,TETRLO,n
43,TETRMO,n
