"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AFROKA","0.952180251333485","0.957377404901826","0.956795377894048","0.960477089657552","0.96246784707825","0.963038011069962","0.965649950014676","0.966328226982533","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.10577748978346","-5.66569855611542","-6.76108450582573","-6.93534050021966","-7.17414740002442","-7.61472525596086","-7.65659437533794","-7.98590065259573","1277"
"2","AFZEBI","1.06254034796468","1.16333447638865","1.12318136310114","1.14946934954791","1.12137875244235","1.10389432801118","1.10607033200389","1.09619072788232","0.73","0.076","0.114","0.032","0.06","0.092","0.078","0.098","0.403958843960481","1.77123139438361","1.54700043168916","2.04427532264399","1.75819769807373","1.59338711497553","1.71541331620145","1.63258252709228","8"
"3","ALBIGL","0.900902940078391","0.941491433492556","0.915897565267085","0.895147445918736","0.901501778114157","0.907234797539408","0.909749501297666","0.91243447591675","0.184","0.268","0.046","0.008","0.006","0.006","0.008","0.008","-1.35731676044694","-1.14740835242322","-1.99721193399783","-2.70843277919605","-2.6807504147986","-2.70328855543034","-2.7496471116874","-2.80779594188399","32"
"4","ALLO02","1.15661540489328","1.12043853898037","1.10336310581839","1.09104803798253","1.08635505922863","1.08617873968933","1.08547924270288","1.07706528489045","0.052","0.032","0.026","0.024","0.012","0.01","0.002","0.004","2.04170902622503","2.26312166205842","2.35949714611176","2.34621017236195","2.50551752676636","2.78059170359981","3.00841971900556","2.93997111244801","28"
"5","AMANST","0.927173581900032","0.941356937429218","0.946671544691478","0.957205230562121","0.960757827040084","0.966470799428389","0.97041669530785","0.972701501121242","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-7.24442856369002","-8.99806141720923","-9.78366808048777","-8.90814292063373","-8.7977290803202","-8.03535605204138","-7.59050497500961","-7.45823740165897","1636"
"6","ANGY02","1.01854720364144","0.992498196060375","0.99487692694638","0.991814635554122","0.992762545286789","0.991558210845281","0.993093236710448","0.994322383065383","0.226","0.45","0.518","0.244","0.266","0.132","0.2","0.252","1.19606145748821","-0.768687473997457","-0.642015125673752","-1.16881053788718","-1.12669316930044","-1.44295171040876","-1.2760977359528","-1.11588685888017","742"
"7","ANGY03","0.829104440063705","0.862829404990266","0.914162119610727","0.930723151854486","0.963804079287692","0.959216266565344","0.958743672166795","0.973810809984223","0.104","0.054","0.156","0.24","0.496","0.436","0.412","0.56","-1.59471205753859","-1.89964575044894","-1.3860672359451","-1.20444632099649","-0.67163565846117","-0.807326852304564","-0.856716091562993","-0.554003373216831","16"
"8","ANIS03","1.00586766919703","1.01002586796442","1.01250094699741","1.01313110883802","1.0133769885917","1.0139919565837","1.01363323203933","1.0136345796109","0.802","0.486","0.288","0.176","0.144","0.094","0.102","0.088","0.243789102081452","0.696996330075505","1.068780352686","1.3100241694245","1.44317678539928","1.62500603085884","1.67344678190822","1.7653773352208","328"
"9","ANISGL","1.0409268229753","1.03269172803694","1.02228582082105","1.02498495522312","1.02367092726178","1.02096753902026","1.01836830380571","1.0176752677318","0.01","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.94328457329205","3.6520772914517","3.06179529211525","3.93909829701139","4.02108451316205","3.83890664315967","3.58247012972204","3.64713355963275","860"
"10","ANISPU","1.01876494844046","1.00662886273477","0.999347663544709","0.998681709724087","0.999426479145845","0.998096057062579","0.999651395649812","1.0016026456822","0.37","0.568","0.986","0.958","0.998","0.85","0.986","0.788","0.896017539391774","0.528359077158358","-0.00551104846443879","-0.0941220257069347","-0.0303361405410524","-0.19816937950383","-0.0125289082290104","0.246816637928396","342"
"11","ANISSP","1.10041254925129","1.05388575115504","1.03871121428858","1.03571708237359","1.03069975249384","1.02896308769475","1.02550686466096","1.0230490772408","0.002","0.004","0.01","0.008","0.01","0.004","0.006","0.016","4.04222694760689","3.45390285957134","2.85221825284086","2.97220307369286","2.78999072600185","2.80869391015464","2.61652243262461","2.49506754400482","280"
"12","ANNICH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ANNO02","0.945441636305782","0.967863756804355","0.975206927180589","0.982365868814365","0.98019474711018","0.97885245356347","0.978550518091425","0.976827727848209","0.004","0.008","0.02","0.056","0.02","0.014","0.006","0.002","-3.07254823344246","-2.74849086463045","-2.49529961255246","-1.95899057211075","-2.44558814263577","-2.7902150801738","-3.04110808284161","-3.48741043250395","473"
"14","ANNO03","1.18087941932328","1.39257413977175","1.40852662232756","1.41676700150235","1.38828403498551","1.34863492740003","1.38538481586139","1.38701154772249","0.36","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.880724439137205","3.00891556316551","3.76438519447206","4.4876812859648","4.8077579195771","4.86739007926318","6.0464555643119","6.67718282148696","4"
"15","ANOPKL","1.42992592073561","1.3656434924496","1.39095159696698","1.3260524039493","1.28701672414453","1.26979986010905","1.28830130011629","1.26760727878148","0.042","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.26800526949046","3.51659697479849","4.29368088755968","4.02277086437147","3.81909924965299","3.63812949691613","4.1197718091528","4.16010323493664","5"
"16","ANTHAU","0.834867489011325","0.845056795011344","0.858225391976789","0.870563944798714","0.879671187731134","0.889864685152627","0.897628209349569","0.904790018025796","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-13.0317234821164","-17.0943730698009","-18.3135278939313","-18.1543658504216","-18.5330938114735","-18.1676476949816","-17.755222277426","-17.3947601105138","1059"
"17","ANTHCP","0.946033745465916","0.966915631454944","0.981735214312353","0.977665860059901","0.977301474201177","0.98125683836467","0.982046030072029","0.980366461866746","0.022","0.016","0.138","0.044","0.03","0.046","0.036","0.016","-2.47223089769587","-2.31952081572445","-1.49073481769358","-2.04134705026703","-2.3294426682108","-2.08734311616762","-2.147050542976","-2.50311132247765","349"
"18","ANTHVO","0.826468622211488","0.783696185999066","0.800770497720647","0.814509973608941","0.816681180052222","0.817531689615266","0.818241804448892","0.825385655515304","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.12318763541959","-9.03391853402539","-9.64808867034509","-9.86376719069927","-10.6136365326805","-11.4246054864673","-12.2243485045449","-12.4341532351194","158"
"19","ANTIVO","0.795300248114853","0.817028645079933","0.8334174883446","0.854432647358423","0.87045247438846","0.882909606086759","0.895477679778978","0.905763123065868","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.32975084949086","-10.9228481115234","-12.0986867270435","-11.7859561766467","-11.4033694767111","-11.0911802351556","-10.5343055382514","-9.964280846973","285"
"20","APOC02","0.994318504521508","0.996497518385755","0.99948979284272","1.01016000644356","1.00491335892822","1.01211351459583","1.02117119530079","1.02756348248931","0.958","0.926","0.984","0.75","0.882","0.652","0.38","0.208","-0.139773341257875","-0.115388421653061","-0.0319864430463876","0.336611242042491","0.148117881017179","0.459779696699677","0.882605067454493","1.24557875235888","40"
"21","ARDI02","1.09155826243899","1.05651595433158","0.97202075401939","0.958885863971709","0.95141533100924","0.947158880710174","0.941038999496955","0.933030224799438","0.162","0.21","0.542","0.316","0.228","0.14","0.086","0.04","1.3798289340001","1.27730717762022","-0.634637478909915","-1.03623694479354","-1.28111163424283","-1.47544563112001","-1.72308257732998","-2.04218095670048","41"
"22","ARGO02","1.02590990571076","0.983615315111304","0.993592251403793","0.985655568187447","0.992326302323338","0.999701757370514","0.995685482018909","0.998098148962843","0.582","0.584","0.77","0.51","0.702","0.982","0.794","0.89","0.555272705025141","-0.551608814095695","-0.292350337696379","-0.667520514106094","-0.407639899718488","-0.0518204882576229","-0.272360593902812","-0.145316546549519","58"
"23","AUCOKL","0.835848351788067","0.808285059145438","0.879304122715073","0.901679904096013","0.946682215745544","0.962816404971794","0.957057353344614","0.958254185708862","0.324","0.05","0.092","0.104","0.332","0.458","0.38","0.364","-1.03042853722951","-2.07494681411794","-1.75688133128888","-1.67378190953702","-0.971876504708397","-0.749515466094552","-0.905637262448236","-0.936715155228068","8"
"24","AULAGL","1.30991885168557","1.07678175976857","1.20047063083462","1.1865260899653","1.18709645974674","1.21785568913791","1.24315562290224","1.24735332148427","0.096","0.566","0.046","0.044","0.022","0.002","0.002","0.002","1.71072170389022","0.647001946810862","1.96706773969638","2.03788124256872","2.28222191226997","2.89087425191094","3.40922178445955","3.71149220601825","4"
"25","AULAJA","0.902897603227919","0.913517336094133","0.939306496016571","0.945170306624606","0.957352617775817","0.955888119152555","0.955239791886172","0.966003588259236","0.088","0.032","0.048","0.046","0.09","0.058","0.048","0.102","-1.69837748602143","-2.35567661858305","-1.95195481424389","-1.97857634720077","-1.66603403836959","-1.84592504535951","-1.99057125907965","-1.60484061745149","50"
"26","BAIK02","0.8104467455296","0.899229475533226","0.917249807009993","0.925036689587433","0.908179668009866","0.905788447468807","0.900188032423333","0.896844196418003","0.006","0.016","0.018","0.022","0.002","0.002","0.002","0.002","-2.91280805007765","-2.43801211778722","-2.38366529404597","-2.36176256327072","-3.12782843837212","-3.44441417132203","-3.9119101793208","-4.28765502479343","55"
"27","BAILTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","BALAWI","1.14109020793189","1.07998625768817","1.04646152214901","1.07193349815063","1.06316563419285","1.08690276204651","1.10420561512442","1.10861570649325","0.31","0.33","0.496","0.208","0.182","0.034","0.012","0.004","1.08199269566582","0.993340622616336","0.692526952332435","1.27672152821981","1.32683172574524","2.08236404446697","2.84286262979902","3.38257283917428","9"
"29","BAPH02","1.03968160399739","1.03147949516378","1.02621288351386","1.02566706345902","1.02764661531321","1.02673179567413","1.02405508544487","1.02245879727497","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.80768647191519","4.73074545244724","4.79457290780572","5.32985974253408","6.33430042672952","6.52315483920127","6.27755678988773","6.21342932092811","1445"
"30","BAPHGF","0.896859656097421","0.90176275180262","0.916221617326371","0.925457715171108","0.93350463405184","0.935515841979348","0.941598424148004","0.945219682005386","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.99606138931505","-5.53937758303661","-5.69231058529481","-5.57763437903945","-5.37115654148246","-5.58708610321034","-5.37980352535188","-5.32275182147353","245"
"31","BARTFI","1.02716901025359","1.04772977255494","1.08760581889252","1.05448395156182","1.08195809623714","1.07636205574344","1.06885010061992","1.05005630854174","0.87","0.738","0.498","0.65","0.45","0.472","0.488","0.608","0.155793151939418","0.328249656406548","0.721127826814739","0.473573196570113","0.782578352459515","0.757225965656213","0.71937372954001","0.52675828539404","5"
"32","BEIL02","1.06744584793715","1.0378708706676","1.02961551188881","1.0253381077047","1.02481106602609","1.02559983559246","1.02466796362214","1.0247671946027","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.11842453865211","3.7277906727514","3.58603312793945","3.44560138047634","3.67106288309453","4.03562069331395","4.09263914234536","4.31906577919946","602"
"33","BEIL03","1.08545976594745","1.04554693331098","1.04108197350784","1.03171003689736","1.02061297592568","1.02051819630063","1.01906004200952","1.01907886891393","0.002","0.006","0.004","0.016","0.07","0.056","0.064","0.048","3.30519364564811","2.71681638115812","2.93651868101887","2.49864585887956","1.78177511096255","1.89288639937503","1.89147150949716","2.0119450331937","230"
"34","BEIL04","0.960433415449106","0.945445460388487","1.0915643779389","1.10651435162465","1.1336232954105","1.13577026817639","1.14030247408301","1.18129128620254","0.884","0.668","0.29","0.174","0.064","0.026","0.012","0.002","-0.193745777588224","-0.433987165503925","1.04441013563462","1.44914702160577","2.00840637572271","2.23859089598399","2.48081211903251","3.41137682042106","5"
